,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,KAP_Beami,8,4,0,2,263.63205,0,3,1,2,79.58589,0,0,1272.711
1,KAP_Flamyy,8,0,0,2,0.0,0,2,0,0,0.0,0,0,1173.458
2,KAP_Addit,8,1,1,0,153.2,0,0,1,1,51.026134,0,0,1168.005
3,KAP_Plooob,8,0,2,3,104.84595,0,0,0,0,0.0,0,0,1182.006
4,VLR_Kolten,11,2,1,2,203.7748,2,3,2,3,89.759415,0,0,1213.946
5,VLR_X2R0,11,0,1,2,0.0,0,0,0,0,0.0,0,0,1147.842
6,VLR_Jeppe,11,1,0,3,60.859818,0,0,1,1,150.81415,0,0,1106.682
7,VLR_GRANTLANTIS,11,1,0,3,66.80349,0,1,1,1,75.70553,0,0,1182.857
8,STS_Ribeiro,16,0,0,6,0.0,0,3,0,0,0.0,0,0,1025.786
9,STS_dTz0r,16,1,0,5,162.30101,0,5,0,0,0.0,0,0,1025.774
10,STS_Anndzera,16,0,0,4,0.0,0,10,0,0,0.0,0,0,825.89
11,DGE_f1nna,7,0,0,4,225.6237,0,1,1,1,24.418917,2,0,1327.381
12,DGE_Lampalot,7,2,1,0,176.23999,0,0,0,0,0.0,0,0,822.111
13,DGE_Lataa,7,2,0,4,414.96503,0,4,1,2,32.543808,0,0,1327.312
14,DGE_DannyG,7,0,0,2,0.0,0,4,0,0,0.0,0,0,847.332
15,NRG_rogiw0w,5,0,0,0,0.0,0,0,0,0,0.0,0,0,213.922
16,NRG_Rizola,5,3,0,5,349.26105,0,2,1,1,257.10037,1,0,1495.142
17,NRG_v1n1,5,0,0,2,191.85013,0,1,1,1,332.82907,0,0,1525.317
18,NRG_Balkkan,5,1,0,3,217.71082,0,4,0,0,0.0,0,0,1525.326
19,GAS_nicoos,10,0,0,4,210.8792,0,14,0,0,0.0,3,0,1215.55
20,GAS_Adam,10,0,0,5,218.5897,0,2,0,0,0.0,0,0,1215.541
21,GAS_oldless,10,1,0,6,200.51038,0,3,0,0,0.0,0,0,1215.532
22,GAS_HoneyBadger,10,0,0,1,93.30994,0,1,0,0,0.0,1,0,1179.969
23,SLAP_sophiya666,6,6,1,4,490.82193,1,2,2,4,232.5263,0,0,1403.431
24,SLAP_memo,6,1,1,6,289.42557,0,6,0,0,0.0,0,0,1303.557
25,SLAP_hambinooo,6,2,1,5,191.29945,0,4,1,1,9.319689,1,0,1419.899
26,SLAP_DrasseL,6,0,2,3,211.45558,1,9,1,1,9.204694,1,0,1405.536
27,DUEL_v1ha,3,2,0,3,234.3681,0,8,1,3,53.323257,2,0,1679.201
28,DUEL_Cherry,3,1,1,3,245.21797,1,1,2,2,139.95636,0,0,1697.349
29,DUEL_Sharpshot4k,3,0,0,5,114.23999,0,5,0,0,0.0,0,0,1483.285
30,DUEL_Woo1y,3,1,1,8,217.86215,0,5,1,1,10.192537,1,0,1697.359
31,NE_kk1te,15,0,0,5,0.0,0,16,0,0,0.0,0,0,1039.976
32,NE_Frieskk,15,0,0,7,42.868744,0,27,0,0,0.0,0,0,1079.88
33,NE_Maurnzz,15,0,0,5,0.0,0,18,0,0,0.0,0,1,1056.881
34,NE_SneakAttack,15,0,0,8,0.0,0,3,0,0,0.0,0,0,1017.868
35,YK_lfp,14,0,0,0,0.0,0,0,0,0,0.0,0,0,1082.863
36,YK_and1FPS,14,0,0,2,0.0,0,2,0,0,0.0,0,0,1052.757
37,YK_KF9sk,14,1,0,0,67.326225,0,0,0,0,0.0,0,0,1047.336
38,YK_hiagguin,14,0,0,3,42.331135,0,5,0,0,0.0,0,0,1046.725
39,CREX_guizeera,4,2,0,6,490.93466,0,4,1,1,58.740063,0,0,1648.699
40,CREX_kyshenn,4,1,0,3,252.35292,0,2,0,0,0.0,1,0,1583.134
41,CREX_rbnkingg,4,2,2,3,351.72238,0,1,0,0,0.0,0,0,1528.276
