,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,ATN1_rogiw0w,1,6,0,5,1122.4446,5,3,2,8,380.1638,0,0,1841
1,ATN1_Faiska,1,0,1,5,274.09494,0,0,1,1,81.882034,0,0,1841
2,ATN1_TrisK-aMg-,1,3,0,2,327.06696,0,1,2,4,139.44061,0,0,1005
3,ATN1_H11JR,1,1,2,4,336.68375,1,2,1,1,44.466373,0,0,1741
4,GURI_bak1FPS,6,2,0,3,286.24124,0,0,1,2,361.93225,0,0,1576
5,GURI_ZxLopes,6,0,0,4,0.0,0,1,0,0,0.0,1,0,1305
6,GURI_vTnX-,6,1,0,5,322.37582,0,6,0,0,0.0,1,0,948
7,GURI_biel,6,0,1,5,137.4084,0,2,0,0,0.0,0,0,1437
8,22_v1n1,15,1,0,3,32.199997,0,1,0,0,0.0,0,0,872
9,22_Balkkan,15,0,0,0,47.289497,0,0,0,0,0.0,0,0,898
10,22_Rds149,15,1,0,1,228.39056,0,0,1,1,331.51895,0,0,907
11,22_HazeteN,15,1,1,3,262.9804,0,0,0,0,0.0,0,0,877
12,KIDS_btt,2,0,0,5,96.90761,0,5,0,0,0.0,0,0,1431
13,KIDS_rbN,2,4,0,11,566.1268,2,12,1,2,54.526825,1,0,1841
14,KIDS_Haveen,2,0,0,3,42.886703,0,3,0,0,0.0,0,0,933
15,KIDS_guizeera,2,0,0,5,153.94305,0,3,0,0,0.0,0,0,1378
16,BAIT_infantryz,9,0,1,2,0.0,0,5,0,0,0.0,0,0,1001
17,BAIT_dggggz,9,2,0,2,239.70935,0,8,1,2,8.285726,0,0,1317
18,BAIT_meisner,9,2,0,6,356.35928,1,4,1,1,110.06686,0,0,1195
19,BAIT_adrzin,9,0,0,1,0.0,0,0,0,0,0.0,0,0,940
20,RBS_thaina,10,0,0,1,0.0,0,0,0,0,0.0,0,0,489
21,RBS_Nitroxx,10,0,0,4,0.0,0,0,0,0,0.0,0,0,1053
22,RBS_Shapp2k,10,0,0,7,286.94614,1,5,1,1,86.78145,0,0,1256
23,SG_f1sherr,4,2,0,3,572.9284,0,6,1,2,227.6388,0,0,1342
24,SG_danitw,4,2,0,4,315.2101,0,4,1,2,34.018143,0,0,1338
25,SG_PIPAA,4,1,2,7,509.94034,1,1,1,2,33.980545,0,0,1738
26,SG_AleeRv,4,1,0,1,179.79926,1,2,1,1,43.458702,0,0,1401
27,JUST_Kalniix,7,0,0,0,124.02053,0,0,0,0,0.0,0,0,702
28,JUST_Loquix,7,0,0,3,83.81157,0,5,0,0,0.0,0,0,1471
29,JUST_quick,7,0,0,3,20.050173,0,10,0,0,0.0,0,0,1471
30,JUST_RiboxD,7,0,0,1,44.00728,0,0,0,0,0.0,0,0,716
31,VE_Dazz,14,0,0,2,68.399994,0,0,0,0,0.0,0,0,1003
32,VE_martins4n,14,1,0,3,95.0,0,0,0,0,0.0,0,0,1003
33,VE_4ngeeL,14,1,0,1,153.68,0,0,1,1,10.848641,0,0,1003
34,VE_S4N7I,14,0,0,0,0.0,0,0,0,0,0.0,0,0,1003
35,BT_hiagguin,13,0,1,5,145.26978,0,9,0,0,0.0,1,0,1050
36,BT_KF9sk,13,1,1,3,223.56099,0,13,1,1,11.005538,1,0,597
37,BT_Letti,13,2,1,1,136.09637,0,0,1,1,10.270514,0,0,924
38,BT_zkraken,13,0,0,3,55.83403,0,0,0,0,0.0,0,0,925
39,TROG_NecroAQN,3,1,1,8,300.00284,0,15,2,2,38.640747,1,0,1763
40,TROG_pablex,3,0,0,2,153.89088,0,1,0,0,0.0,0,0,1241
41,TROG_Execs,3,3,0,5,583.8485,0,11,1,3,181.57367,1,1,1761
42,MIR4_lfp1,8,1,2,6,376.45062,2,3,1,2,27.691519,0,0,983
43,MIR4_vhz,8,4,2,5,302.45935,2,4,2,4,60.702805,1,0,1160
44,MIR4_armatx,8,1,1,5,338.79068,0,8,0,0,0.0,0,0,1413
45,MIR4_FlavynN,8,1,0,2,215.45374,1,1,1,2,59.233746,2,0,1413
46,STS_Casagrande,16,0,0,3,0.0,0,4,0,0,0.0,0,0,717
47,STS_Lorran,16,1,0,3,190.89905,0,0,1,1,234.56769,0,0,811
48,IN_Mug,12,0,0,3,20.211908,0,0,0,0,0.0,0,0,584
49,IN_Selfish,12,0,0,3,254.0292,0,1,1,1,196.88199,0,0,1137
50,IN_Danzitooo-,12,0,0,2,145.34882,0,2,0,0,0.0,0,0,1134
51,RIP_sevenbee_,5,2,1,4,282.78915,0,4,1,2,181.35204,0,0,1293
52,RIP_Theroz-,5,1,0,1,365.769,1,8,1,2,87.34016,2,0,1624
53,RIP_Fhase-,5,1,3,4,381.95267,0,1,0,0,0.0,0,0,1313
54,RIP_beattz-,5,1,2,3,303.40823,0,10,0,0,0.0,1,0,1624
55,HIGH_bl4ckz,11,0,0,1,47.09386,0,1,0,0,0.0,0,0,836
56,HIGH_Kerak,11,1,0,4,100.0,1,0,1,1,106.44225,0,0,1226
