,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_am-gll_01,1,0,0,3,100.0,1,0,1,1,2.199972,0,0,860.242
1,es_am-gll_02,2,0,0,0,0.0,0,0,0,0,0.0,0,0,860.225
2,TNG_ReggiLove,11,1,0,3,47.36109,0,3,1,1,196.47652,0,0,1242.485
3,TNG_headkick,11,1,1,3,52.55441,0,3,1,1,59.323257,0,0,1123.189
4,TNG_BigBoyMacca,11,0,0,2,122.33256,0,5,0,0,0.0,0,0,1117.65
5,TNG_HughesyHS,11,0,1,4,87.905624,0,1,0,0,0.0,0,0,1219.963
6,OVR_Gintokiiz,4,4,1,9,446.96643,0,6,1,1,78.107544,0,0,1713.781
7,OVR_Prof6,4,1,1,3,253.16454,0,6,1,1,29.05337,0,0,1713.783
8,OVR_Reb,4,1,1,3,304.24133,0,4,1,2,27.455267,2,0,1477.096
9,OVR_Somatic,4,0,0,7,76.51748,0,10,0,0,0.0,0,0,1472.701
10,VAP_Ferzey,8,0,0,3,0.0,0,3,0,0,0.0,0,0,1358.92
11,VAP_Kebab,8,0,0,2,112.42589,0,2,0,0,0.0,0,0,1307.993
12,VAP_Fr0zenSnypA,8,0,0,2,100.0,0,2,1,1,93.27409,0,0,886.289
13,VAP_RaPiDoS,8,1,0,3,131.79678,0,2,0,0,0.0,0,0,1362.246
14,FURY_bee2,9,1,2,0,245.75827,1,0,1,2,203.97691,0,0,1317.097
15,FURY_Steele,9,0,2,0,306.95972,0,0,1,1,429.32742,0,0,1292.0
16,FURY_Rain,9,1,0,2,183.19661,1,0,1,1,18.552303,0,0,1353.865
17,FURY_TemPo,9,0,0,3,218.90256,1,2,1,1,123.11713,0,0,1353.863
18,ATH_Fludd,3,0,1,0,133.04964,0,0,0,0,0.0,0,0,791.524
19,ATH_Xtreme,3,0,0,0,0.0,0,0,0,0,0.0,0,0,313.192
20,ATH_Zoidm8,3,5,1,7,599.5904,3,2,2,5,244.38332,0,0,1718.94
21,ATH_Nick101,3,2,2,8,625.5799,0,2,1,2,323.978,1,0,1703.21
22,THR_Flickfox,14,0,0,0,0.0,0,0,0,0,0.0,0,0,476.093
23,THR_siGs,14,0,0,1,0.0,0,0,0,0,0.0,0,0,757.185
24,THR_Maczorris,14,0,0,0,0.0,0,0,0,0,0.0,0,0,290.38
25,THR_Flacksta,14,0,0,1,0.0,0,3,0,0,0.0,0,0,497.495
26,LESE_Yamee,10,1,1,2,238.01828,0,0,1,1,91.947395,1,0,1269.461
27,LESE_Power,10,2,1,2,526.80066,0,2,1,1,135.30028,0,0,1266.975
28,LESE_StoneNautz,10,0,0,4,26.03298,0,4,0,0,0.0,1,0,1237.752
29,LESE_JamGucci,10,0,0,2,175.10362,0,1,1,1,3.4580066,0,0,1222.138
30,FRX_Cozyy,1,4,2,8,598.40784,2,9,1,6,132.40292,2,0,1798.912
31,FRX_Sweetsoul,1,4,1,3,702.0786,3,5,2,5,195.73628,1,0,1722.664
32,FRX_Gruumpz,1,3,0,0,691.55273,0,2,1,2,103.76995,0,0,1500.894
33,FRX_nicoos,1,0,1,6,375.657,1,16,1,2,28.220648,1,0,1798.912
34,ODT_Daak,15,0,0,1,0.0,0,0,0,0,0.0,0,0,632.486
35,ODT_Asba,15,2,0,3,259.03998,0,0,1,1,2.9874442,0,0,647.103
36,ODT_sSuspekT,15,1,0,1,243.30014,0,0,0,0,0.0,0,0,634.665
37,INC_Insight,2,2,3,2,505.8253,0,0,1,2,250.08794,0,0,1798.892
38,INC_Ronon,2,2,1,4,389.38898,0,6,1,3,349.5841,0,0,1798.89
39,INC_Ykikamucow,2,4,2,4,936.6116,0,2,1,3,273.57407,0,0,1486.974
40,TB_Textil3,12,1,1,4,122.14,0,2,1,1,13.557603,2,0,1141.98
41,TB_kritikal,12,1,0,10,254.21054,0,10,2,2,48.72211,0,0,1201.784
42,TB_eDGe,12,0,2,3,75.95527,0,2,0,0,0.0,0,0,932.908
43,TB_Joombie,12,0,1,0,95.384,0,0,0,0,0.0,1,0,644.264
44,DKA_Speedy,7,0,1,2,124.99115,0,0,0,0,0.0,0,0,1295.564
45,DKA_Defiand,7,3,0,6,369.72324,0,4,1,1,24.051834,0,0,1413.116
46,DKA_Zepz,7,1,0,5,125.62367,0,12,0,0,0.0,1,0,1413.118
47,DKA_D3,7,1,0,1,164.61783,0,5,1,1,199.85596,1,0,1247.04
48,nA_Doomchild,6,0,0,0,25.703228,0,0,0,0,0.0,0,0,645.708
49,nA_Millah,6,0,0,5,27.060001,0,8,0,0,0.0,0,0,1509.886
50,nA_Tyas,6,0,0,5,152.9397,0,5,0,0,0.0,0,0,1509.884
51,DIV_JANKY,13,0,0,2,0.0,0,1,0,0,0.0,0,0,547.143
52,DIV_KillerRoo,13,1,0,4,154.78,0,3,1,1,4.7289066,0,0,1030.914
53,DIV_Mantic,13,1,0,3,100.0,0,3,1,1,15.766851,0,0,1030.916
54,DIV_ex,13,0,0,0,0.0,0,0,0,0,0.0,0,0,481.442
