,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_am-naph_01,1,0,0,0,100.00001,0,0,1,1,10.877554,0,0,86.553
1,es_am-naph_02,2,0,0,0,0.0,0,0,0,0,0.0,0,0,86.537
2,ZEN_Zhnark,11,0,0,0,0.0,0,0,0,0,0.0,0,0,202.04
3,ZEN_Roth,11,0,1,4,418.1469,0,4,0,0,0.0,0,0,1135.156
4,ZEN_Player,11,0,0,5,120.48278,0,5,0,0,0.0,0,0,1132.52
5,ZEN_Mysteryy,11,1,0,3,98.92897,0,4,1,1,26.400574,0,0,1175.323
6,PPGA_4EARTH,8,0,1,2,25.33611,0,1,0,0,0.0,0,0,1147.463
7,PPGA_Pfeiffer,8,0,1,1,51.812035,0,0,0,0,0.0,0,0,432.524
8,PPGA_HazeteN,8,1,1,6,514.8593,0,7,0,0,0.0,0,0,1397.356
9,PPGA_Dreamzz,8,1,0,5,115.54183,0,7,1,1,68.01984,0,0,1272.544
10,BW_20fps,12,0,0,6,61.385277,0,1,0,0,0.0,0,0,1036.864
11,BW_HaimK,12,1,0,3,100.0,0,2,0,0,0.0,0,0,1164.127
12,BW_kk1te,12,2,0,3,85.487854,0,0,0,0,0.0,1,0,1164.124
13,BW_Hyunny,12,1,0,2,100.0,0,0,1,1,304.52667,0,0,961.45
14,PRV_Chris,2,0,0,1,0.0,0,0,0,0,0.0,0,0,235.105
15,PRV_Jones,2,5,0,6,723.54443,2,6,3,3,19.164282,1,0,1734.911
16,PRV_Deathmore,2,0,0,0,30.286154,0,0,1,1,46.886787,0,0,1334.797
17,PRV_Rev3rus,2,0,0,4,161.40012,0,6,0,0,0.0,2,0,1735.047
18,ELV_Grisly,13,1,1,1,243.20285,1,7,1,2,66.07283,0,0,933.584
19,ELV_SteeZybb,13,0,1,3,296.39716,0,1,0,0,0.0,1,0,1105.576
20,ELV_BeaMz,13,3,0,2,319.01974,0,3,1,3,310.5197,0,0,1142.649
21,ELV_Weumbb,13,1,1,0,100.0,1,0,1,1,29.155495,0,0,140.363
22,HARD_Lobes,3,4,3,6,692.3921,2,4,2,3,101.830284,0,0,1599.268
23,HARD_Chub,3,2,0,3,229.12288,0,0,1,2,128.79355,1,0,1599.266
24,HARD_Fig,3,0,3,1,135.89912,1,2,1,1,146.31458,1,0,1551.63
25,HARD_Jsank,3,0,1,2,133.20125,0,0,0,0,0.0,0,0,1599.263
26,MR_AdamG,4,0,0,4,94.061844,0,6,0,0,0.0,0,0,1322.269
27,MR_Supernova,4,2,0,5,218.46893,0,5,1,2,18.36337,0,0,1553.687
28,MR_Sweaterr,4,0,0,5,237.92702,0,5,0,0,0.0,0,0,1348.379
29,LVD_CAD,16,0,0,0,0.0,0,0,0,0,0.0,0,0,119.844
30,LVD_NELLOZ,16,0,0,0,64.86,0,3,0,0,0.0,0,0,229.245
31,LVD_Soup,16,2,0,0,200.0,0,0,1,1,92.012024,0,0,229.242
32,LVD_HoneyBadger,16,0,0,0,0.0,0,0,0,0,0.0,0,0,137.793
33,COM_DTreats,10,5,2,6,747.2386,1,8,1,4,297.38293,0,0,1308.399
34,COM_Yaxley,10,0,1,7,78.967094,1,1,1,2,28.163092,1,0,1308.396
35,COM_Subzero,10,0,0,0,0.0,0,0,0,0,0.0,0,0,105.053
36,COM_Victxr,10,0,0,0,0.0,0,0,0,0,0.0,0,0,104.501
37,S1_Delta,14,0,0,2,0.0,0,3,0,0,0.0,0,0,788.6
