,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,OATH_Relo,5,1,2,3,304.52243,0,1,1,1,48.18968,0,0,1514
1,OATH_Snakers,5,0,0,4,108.9372,0,1,0,0,0.0,0,0,1893
2,OATH_Kickstart,5,4,1,5,527.50885,2,2,2,3,115.3158,0,0,1893
3,OATH_Balefrost,5,0,1,7,374.17697,0,2,1,2,90.624374,0,0,1614
4,YK_pablex,12,1,0,0,207.89438,0,0,0,0,0.0,0,0,1353
5,YK_and1FPS,12,0,0,3,91.09706,0,1,0,0,0.0,0,0,1333
6,YK_zFluxxx,12,0,0,0,98.19286,0,0,0,0,0.0,1,0,1328
7,YK_Ykuz,12,0,0,2,90.65655,0,1,0,0,0.0,0,0,1332
8,WC_ZRAY,1,5,5,10,753.0046,0,3,1,5,62.10466,1,0,1924
9,WC_Zealot,1,1,1,4,283.62344,0,4,1,1,21.458408,0,0,1428
10,WC_Maji,1,5,3,2,823.26,1,3,2,6,78.18841,0,0,1928
11,WC_TsoK,1,2,5,7,534.7398,1,7,1,4,85.55167,2,0,1967
12,STS_Anndzera,14,0,0,4,0.0,0,1,0,0,0.0,0,0,559
13,STS_Ribeiro,14,0,0,5,40.59073,0,1,0,0,0.0,0,0,1250
14,STS_Lorran,14,0,0,1,0.0,0,0,0,0,0.0,0,0,959
15,STS_Casagrande,14,0,0,0,30.871273,0,0,0,0,0.0,0,0,963
16,TSM_FTX_luke12,9,3,0,7,446.74155,0,4,1,2,170.51324,1,0,1433
17,TSM_FTX_Purdy,9,0,0,2,30.518553,0,1,0,0,0.0,1,0,1432
18,TSM_FTX_penta,9,1,0,4,383.35532,0,3,1,1,29.12003,1,0,1460
19,TSM_FTX_ALOW,9,0,0,6,181.2812,0,5,1,2,74.01208,1,0,1481
20,TROG_Execs,11,0,0,1,76.17076,0,1,0,0,0.0,0,0,1106
21,TROG_rustyzera,11,2,2,3,457.2102,0,6,1,1,328.1936,1,0,1455
22,TROG_jiayou,11,1,1,6,152.45145,0,0,1,1,253.73102,1,0,1449
23,TROG_killdemo,11,1,0,1,217.8892,0,0,2,2,237.29602,0,0,1092
24,DIG_sparkingg,13,0,0,5,36.995678,0,0,0,0,0.0,0,0,1030
25,DIG_Poonage,13,0,0,2,145.12057,0,4,0,0,0.0,0,0,1030
26,DIG_Shinboi,13,1,0,4,79.29083,0,3,0,0,0.0,0,0,1278
27,DIG_HoneyBadger,13,0,0,3,58.776554,0,0,0,0,0.0,0,0,1025
28,SG_AleeRv,7,0,0,6,79.92139,0,11,0,0,0.0,2,0,1771
29,SG_f1sherr,7,1,1,6,193.39471,0,5,0,0,0.0,0,0,1771
30,SG_paraguaShoot,7,2,1,9,308.3281,0,3,0,0,0.0,0,0,1771
31,SG_PIPAA,7,1,0,6,139.24521,0,7,1,2,220.32722,0,0,1731
32,eU_Waldoe,10,0,0,3,17.948608,0,8,0,0,0.0,0,0,1474
33,eU_LosHD,10,0,1,4,295.31,0,4,0,0,0.0,0,0,1466
34,eU_Corsac,10,1,0,8,423.62152,0,7,0,0,0.0,0,0,1474
35,eU_Valliate,10,0,0,2,175.50896,1,0,1,1,11.596504,1,0,1285
36,FIUM_Dr4FTk1NG,4,0,1,5,154.7012,0,1,0,0,0.0,0,0,1817
37,FIUM_Em1hh,4,0,0,5,359.94324,0,5,0,0,0.0,0,0,1898
38,FIUM_SzylzEN,4,2,1,0,326.7177,0,2,1,1,14.201768,1,0,1898
39,FIUM_Capitan,4,1,0,4,337.42487,0,2,1,1,12.986697,0,0,1855
40,XD_Retaliative,2,1,1,4,223.86624,0,3,0,0,0.0,1,0,1967
41,XD_Weum00,2,1,0,3,145.9731,0,10,0,0,0.0,0,0,1622
42,XD_SHOW,2,2,1,3,347.48172,0,3,0,0,0.0,0,0,1662
43,XD_RichyB,2,0,0,0,140.87964,0,0,0,0,0.0,1,0,1049
44,BT_cgdzin,16,0,0,0,0.0,0,0,0,0,0.0,0,0,376
45,BT_zkraken,16,0,0,3,0.0,0,8,0,0,0.0,0,0,843
46,BT_Letti1,16,0,0,2,0.0,0,3,0,0,0.0,0,0,900
47,BT_KF9sk,16,0,0,1,0.0,0,0,0,0,0.0,0,0,900
48,SSG_oldless,3,2,1,10,345.5975,0,7,2,2,25.840527,0,0,1446
49,SSG_Sharpshot4k,3,5,1,4,549.4195,0,7,1,2,30.908472,0,0,1938
50,SSG_Keenan,3,4,2,4,525.0965,0,6,1,4,171.89175,1,0,1888
51,SSG_Roth,3,0,1,4,81.840004,0,4,0,0,0.0,0,0,1656
52,SQ_M1ME,6,4,1,5,466.75626,1,9,2,3,45.892963,0,0,1817
53,SQ_hwinn,6,0,3,7,496.96536,0,5,0,0,0.0,0,0,1705
54,SQ_Shrimzy,6,3,1,5,284.2254,1,13,2,2,69.07403,2,0,1855
55,SQ_TGLTN,6,3,4,5,562.3739,1,5,1,1,45.71954,1,0,1844
56,GAS_nicoos,8,1,0,3,143.99188,0,12,1,2,106.63165,0,0,1516
57,GAS_Hikerman,8,0,1,7,25.419336,0,6,1,1,52.904285,0,0,1516
58,GAS_GregShotGG,8,2,1,8,101.44751,0,5,1,1,21.316545,1,0,1505
59,GAS_Adam,8,2,0,4,230.17105,0,6,2,2,74.014366,1,0,1516
60,300_Lataa,15,1,1,1,143.0181,0,2,1,1,27.481985,0,0,1151
61,300_Vox,15,0,0,0,92.232895,0,0,0,0,0.0,0,0,1141
62,300_Neferhor,15,0,0,3,60.27964,1,4,1,1,183.13806,0,0,1132
63,300_Xtreme,15,1,1,0,108.43653,0,1,0,0,0.0,0,0,1128
64,eU_Waldoe,11,1,0,1,79.982735,1,1,1,1,26.6257,1,0,1222
65,eU_Valliate,11,0,2,7,130.17397,0,4,1,1,12.276467,0,0,1326
66,eU_Corsac,11,1,2,5,233.51637,0,2,1,1,21.554289,0,0,1218
67,eU_LosHD,11,3,1,6,468.724,0,1,2,3,44.020477,0,0,1326
68,GAS_GregShotGG,15,1,0,6,96.009995,0,3,1,1,32.227417,1,0,1177
69,GAS_nicoos,15,0,1,3,84.94158,0,0,0,0,0.0,0,0,1177
