,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,NOOT_seniks,15,0,0,3,24.421543,0,7,0,0,0.0,0,0,1004
1,NOOT_Lampalot,15,0,0,2,86.17618,0,12,0,0,0.0,0,0,995
2,NOOT_HalloSenpai,15,0,0,3,0.0,0,4,0,0,0.0,0,0,1009
3,NOOT_Lataa,15,0,0,5,0.0,0,7,0,0,0.0,0,0,1003
4,YJ_jhownbappe,16,0,0,3,24.6,0,3,0,0,0.0,0,0,792
5,YJ_Betungas,16,0,0,1,0.0,0,0,0,0,0.0,0,0,672
6,YJ_DRIECK,16,0,0,2,0.0,0,0,0,0,0.0,0,0,673
7,YJ_FelipeRoch4,16,1,0,1,121.74,0,0,0,0,0.0,0,0,705
8,SQ_Shrimzy,11,0,1,5,89.82454,0,0,0,0,0.0,0,0,1185
9,SQ_TGLTN,11,1,0,4,214.37466,1,3,1,1,41.610542,1,0,1189
10,SQ_M1ME,11,0,0,1,0.0,0,0,0,0,0.0,0,0,644
11,SQ_hwinn,11,1,1,7,81.93001,1,4,1,1,14.209936,0,0,1189
12,22_Balkkan,3,0,0,4,21.902445,0,9,0,0,0.0,1,1,1687
13,22_v1n1,3,0,0,2,0.0,0,4,0,0,0.0,0,0,723
14,22_HazeteN,3,2,0,5,371.9737,0,20,1,1,81.953926,0,1,1781
15,DGE_f1nna,13,1,0,3,130.78644,0,1,0,0,0.0,0,0,1047
16,DGE_Hikerman,13,2,0,0,210.58748,1,0,1,3,207.57553,0,0,1075
17,DGE_Cherry,13,2,1,2,355.6117,1,0,1,1,193.37383,0,0,1079
18,DGE_Ethan,13,0,0,1,227.37596,0,1,0,0,0.0,0,0,1064
19,300_Xtreme,5,1,0,4,156.83557,0,1,1,1,27.086313,0,0,1448
20,300_Neferhor,5,0,0,2,49.212433,0,2,0,0,0.0,0,0,1581
21,300_Vox,5,3,0,4,268.10916,1,4,2,2,44.52066,1,0,1591
22,300_RichyB,5,1,1,3,261.92325,0,2,1,1,112.561104,0,0,1591
