,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,DGE_TsoK,9,0,1,6,178.11946,0,3,0,0,0.0,0,0,1265.136
1,DGE_Kropp,9,2,0,3,461.83624,0,0,1,2,147.05083,0,0,1261.049
2,DGE_Himan,9,0,1,2,276.14072,0,0,1,1,396.225,0,0,1265.132
3,DGE_f1nna,9,1,0,3,153.43591,1,4,1,1,240.57466,0,0,1265.134
4,HARD_Jsank,1,5,1,8,641.3722,0,11,1,3,164.29521,0,0,1860.987
5,HARD_FarmerBilly,1,0,1,8,683.28735,0,2,1,3,33.923622,0,0,48.41
6,HARD_Chubs,1,0,1,6,170.19095,0,5,1,1,47.311104,0,0,1860.987
7,HARD_Lobes,1,2,2,4,211.53984,1,2,1,1,50.670967,0,0,1860.987
8,LBR_Vexyl,10,0,0,6,115.966194,0,2,1,1,37.002308,0,0,1183.605
9,LBR_IceTech,10,0,0,5,98.85438,0,5,0,0,0.0,0,0,1195.323
10,LBR_Joombie,10,0,1,2,145.08311,0,3,0,0,0.0,0,0,1189.343
11,LBR_Steele,10,0,0,4,46.970135,0,5,0,0,0.0,0,0,1195.325
12,VTS_mykLe,6,0,2,8,324.17862,0,6,0,0,0.0,0,0,1377.088
13,VTS_jazza,6,1,0,5,284.34564,0,3,1,3,181.49484,0,0,1377.086
14,VTS_DTreats,6,1,0,0,34.8,0,0,0,0,0.0,1,0,428.223
15,VTS_DannyG,6,3,2,4,447.97488,0,3,2,3,22.548027,0,0,1366.216
16,SLAP_Sharpshot4k,8,0,1,2,75.6,0,1,0,0,0.0,0,0,1266.84
17,SLAP_SimpMatt,8,1,1,4,187.80122,0,0,1,1,37.101574,0,0,1244.453
18,SLAP_SILERZZ,8,2,2,2,803.00806,0,2,3,3,142.2795,0,0,1315.471
19,SLAP_Corsac,8,5,0,2,380.318,2,0,3,5,517.75653,0,0,1355.183
20,ATC_SHOW,15,0,0,0,0.0,0,0,0,0,0.0,0,0,474.685
21,ATC_Marcelek,15,1,0,0,199.23378,0,2,1,1,15.087854,0,0,474.689
22,ATC_icyflex,15,0,0,0,19.8,0,0,0,0,0.0,0,0,457.064
23,ATC_KnorkiS,15,0,1,1,33.599346,0,1,0,0,0.0,0,0,474.687
24,TRB_Valliate,2,1,1,5,98.110245,0,3,1,1,18.208593,0,0,1846.373
25,TRB_Linksy,2,0,4,5,226.50009,0,2,0,0,0.0,0,0,1860.862
26,TRB_Venerated,2,2,1,4,297.85565,0,1,1,2,81.6229,0,0,1711.7
27,TRB_Vegas,2,0,0,3,351.18164,0,2,0,0,0.0,1,0,1652.262
28,EDGE_Shorine,5,1,0,7,105.06674,0,4,0,0,0.0,1,1,1503.446
29,EDGE_Hyunny,5,0,0,7,19.886227,0,13,0,0,0.0,0,0,1503.444
30,EDGE_femmefatale,5,1,0,6,238.35204,0,3,0,0,0.0,0,0,1497.998
31,EDGE_Haagendaz_-,5,1,0,11,218.21265,0,8,0,0,0.0,0,0,1503.443
32,NE_kk1te,13,1,0,2,120.63097,0,0,1,1,6.8540106,1,0,734.2
33,NE_Uncivil,13,0,1,3,0.0,0,4,0,0,0.0,0,0,734.202
34,NE_Tetra,13,0,0,1,24.11496,0,0,0,0,0.0,0,0,671.798
35,NE_SneakAttack,13,0,0,1,61.048317,0,1,0,0,0.0,0,0,734.198
36,T8_Decinator,14,0,1,0,39.6,0,0,0,0,0.0,0,0,427.982
37,T8_Weum00,14,0,1,1,0.0,0,0,0,0,0.0,0,0,508.822
38,T8_SteeZybb,14,1,1,1,133.08,0,0,1,1,16.583847,0,0,508.82
39,T8_Zealot,14,2,0,1,181.54999,0,2,2,2,108.43852,0,0,508.824
40,MR_Lister,12,1,0,0,157.36319,0,0,1,1,17.211802,0,0,431.634
