,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,E365_Vandal9,2,2,2,6,464.72302,0,10,1,2,89.84629,0,0,1856
1,E365_Chibiritt,2,1,1,8,456.18192,1,4,1,1,120.68479,0,0,1856
2,E365_Jekzy,2,1,0,8,214.79854,0,8,0,0,0.0,1,0,1823
3,E365_Hanzyy,2,1,1,5,300.81964,1,7,2,2,83.09762,1,0,1856
4,EZ_Why8,1,1,1,2,232.55408,0,0,1,2,145.55502,0,0,1629
5,EZ_ShinV,1,1,3,10,514.08984,1,2,1,1,57.268665,0,0,1856
6,EZ_Smell,1,5,0,12,803.8641,1,7,2,7,113.968636,0,0,1856
7,EZ_Clee,1,1,5,10,761.2077,1,5,1,1,17.71232,0,0,1856
8,BN_SimonT,3,3,3,7,361.73154,0,12,1,2,69.334526,0,0,1799
9,BN_DrLoji,3,0,1,9,229.03189,0,5,0,0,0.0,0,0,1648
10,BN_Zest,3,1,3,5,585.448,0,9,1,1,140.94743,2,0,1799
11,BN_YoungBii,3,3,1,7,421.05292,1,2,2,5,191.32256,0,0,1799
12,MITH_Jacob,5,0,0,5,0.0,0,0,0,0,0.0,0,0,1214
13,MITH_DUCKMANZ,5,1,2,4,277.1491,0,5,1,2,92.64851,0,0,1656
14,MITH_ThanawatTH,5,1,1,7,303.1416,0,0,0,0,0.0,0,0,1657
15,MITH_Ezqelusia,5,2,0,5,401.08557,0,0,2,3,50.017662,1,0,1657
16,AAP_MADDOG,16,0,0,3,51.69918,0,4,0,0,0.0,0,0,1136
17,AAP_EvlPtrck,16,0,0,3,49.7919,0,2,0,0,0.0,0,0,756
18,AAP_CeeJay18,16,0,0,4,0.0,0,0,0,0,0.0,0,0,1134
19,AAP_AljnBOTz,16,0,0,4,0.0,0,2,0,0,0.0,0,0,1161
20,SP_Belmoth,8,0,0,3,41.30011,0,3,0,0,0.0,0,0,1335
21,SP_SixSackz,8,1,1,4,207.98563,0,2,0,0,0.0,0,0,1332
22,SP_MAGSONUS,8,5,5,5,614.5477,1,5,1,1,50.194424,0,0,1352
23,SP_TeenoiPpt,8,3,1,5,307.30914,0,6,2,3,28.450691,1,0,1352
24,GHD_Clories,11,1,0,3,306.32413,1,4,1,1,26.262417,0,0,1281
25,GHD_GodNue,11,0,0,1,0.0,0,3,0,0,0.0,0,0,959
26,GHD_d1sgustingg,11,1,0,3,100.0,0,3,0,0,0.0,0,0,1103
27,GHD_3007,11,0,0,1,0.0,0,2,0,0,0.0,0,0,879
28,MSC_RogueNANZMY,15,0,0,2,120.62747,0,5,0,0,0.0,0,0,1175
29,MSC_Jowman,15,0,0,4,108.41175,0,3,0,0,0.0,0,0,1158
30,MSC_Sceat,15,1,1,3,273.84937,0,2,0,0,0.0,0,0,1173
31,MSC_Julio,15,0,0,0,0.0,0,0,0,0,0.0,0,0,277
32,CLNY_Momonjii,9,1,0,3,100.0,0,3,1,1,18.794928,0,0,1274
33,CLNY_k1lla,9,0,0,7,0.0,0,1,0,0,0.0,0,0,1350
34,CLNY_Kalbs,9,1,0,5,139.18602,0,1,1,1,86.88664,0,0,1350
35,CLNY_alec,9,0,0,3,64.91574,0,1,0,0,0.0,1,0,1289
36,FURY_Fludd,12,2,0,3,519.8823,3,1,2,4,147.14595,0,0,1276
37,FURY_Ykikamucow,12,0,0,1,0.0,0,0,0,0,0.0,0,0,987
38,FURY_Ronon,12,0,1,4,52.4319,0,5,0,0,0.0,0,0,1276
39,FURY_Insight,12,0,0,0,0.0,0,0,0,0,0.0,0,0,536
40,AAA_Gems,6,1,0,1,196.30173,1,0,1,1,158.50047,0,0,1291
41,AAA_Jayers,6,1,0,5,321.61572,0,5,1,1,192.50818,0,0,1385
