,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,BN_Sapauu,13,1,0,2,36.494053,1,1,1,1,192.3462,1,0,982
1,BN_Simon,13,1,1,3,193.88414,1,0,2,2,7.982443,1,0,996
2,BN_Zest,13,2,0,7,298.0036,0,6,2,2,7.7607265,0,0,996
3,BN_Clories,13,1,1,7,228.53833,0,1,1,1,91.08914,1,0,970
4,CES_Sololzy,14,0,0,0,50.399998,0,0,0,0,0.0,0,0,815
5,CES_HaiSaki,14,0,0,0,58.798107,0,0,0,0,0.0,0,0,815
6,CES_Himass,14,0,0,3,0.0,0,3,0,0,0.0,0,0,811
7,CES_YmCud,14,1,0,0,86.05915,0,1,0,0,0.0,0,0,815
8,UNP_HungVoDich,2,0,1,2,325.37268,0,0,0,0,0.0,0,0,1737
9,UNP_ShinV,2,1,0,2,170.0,1,0,2,2,116.92675,0,0,1613
10,UNP_DatBlue,2,0,0,3,0.0,0,1,0,0,0.0,0,0,1737
11,UNP_Chu,2,1,0,5,306.628,0,0,1,1,280.71973,0,0,1638
12,TB_Insight,3,2,2,4,379.47025,0,2,1,1,30.42945,0,0,1286
13,TB_Mirage,3,1,0,3,246.18727,0,1,2,2,70.497536,0,0,1266
14,TB_monty,3,0,1,3,62.039997,0,0,0,0,0.0,0,0,1080
15,TB_6RYN,3,1,0,5,89.26148,1,3,2,2,74.13864,1,0,1537
16,EX_Niyl,8,0,0,3,0.0,0,0,0,0,0.0,0,0,913
17,EX_Kidx,8,2,1,6,265.89697,0,6,0,0,0.0,1,0,1266
18,EX_tRycK,8,3,0,10,351.93396,0,8,2,3,258.00235,0,0,1266
19,EX_HaoHao,8,0,0,3,31.756237,0,0,0,0,0.0,0,0,819
20,MG_LeonzQ,16,0,0,0,0.0,0,0,0,0,0.0,0,0,155
21,MG_Che4kz1nG,16,2,0,2,205.21356,0,5,0,0,0.0,0,0,155
22,MG_PetDrET,16,0,0,0,48.90515,0,0,0,0,0.0,0,0,152
23,MG_1non,16,0,0,0,0.0,0,0,0,0,0.0,0,0,155
24,DAY_Nourinz,1,3,2,3,438.86627,2,2,1,2,351.07535,0,0,1737
25,DAY_PuuChiwz,1,0,0,0,0.0,0,0,0,0,0.0,0,0,318
26,DAY_Belmoth,1,1,3,4,320.29608,0,1,1,1,109.717926,0,0,1737
27,DAY_Flash,1,6,0,2,972.1566,1,2,4,6,77.78651,1,0,1737
28,T5_Excrozit,11,0,0,1,28.224682,0,0,0,0,0.0,0,0,1113
29,T5_RangerX,11,2,0,1,193.0,1,1,1,1,233.19698,0,0,1118
30,T5_RossitedJR,11,0,0,0,61.2662,0,0,0,0,0.0,0,0,1118
31,T5_Pathompong,11,0,0,1,75.087585,0,0,0,0,0.0,0,0,1116
32,AE_Tedeeyy,10,0,0,7,149.37538,0,0,0,0,0.0,2,0,1232
33,AE_Anangtipi,10,3,1,3,249.33826,0,3,0,0,0.0,0,0,1232
34,AE_1234,10,0,0,5,154.3821,0,2,1,1,355.68396,0,0,1232
35,AE_v1ancherr,10,0,1,7,215.69205,0,3,0,0,0.0,0,0,1227
36,AAP_MADDOG,7,0,0,0,0.0,0,0,0,0,0.0,0,0,666
37,AAP_CeeJay18,7,6,3,3,703.61816,4,4,2,7,53.34298,1,0,1271
38,AAP_Nann,7,7,1,6,811.903,3,5,3,9,78.24704,1,0,1260
39,AAP_AljnBOTz,7,0,2,7,323.27417,0,2,1,1,434.14972,1,0,1264
40,NRX_Maestro,4,3,1,1,576.55646,1,1,2,3,54.59382,0,0,1498
41,NRX_Nycell,4,0,0,1,110.580826,1,1,1,1,32.39547,0,0,1197
42,NRX_Suzunamii,4,0,0,7,190.07634,0,4,0,0,0.0,1,0,1498
43,NRX_Namxiao,4,0,1,0,53.130093,0,2,0,0,0.0,0,0,1464
44,LX_74L1,12,0,0,4,89.50659,0,5,0,0,0.0,1,0,1091
45,LX_Syl1hyy,12,2,0,4,123.83073,0,3,1,2,119.39534,1,0,1091
46,LX_Smell,12,0,0,1,34.907837,0,0,0,0,0.0,0,0,706
47,LX_NBK,12,1,1,3,296.21634,0,4,0,0,0.0,0,0,1091
48,SEN_kang,5,4,0,7,410.084,0,8,1,2,34.17921,0,0,1496
49,SEN_Reb,5,1,1,5,191.99739,0,1,1,1,62.3065,0,0,1496
50,SEN_Steele,5,0,2,2,214.09384,0,1,0,0,0.0,0,0,1496
51,SEN_Linksy,5,0,1,4,177.77815,0,5,0,0,0.0,0,0,1496
52,AAA_J4nku2of,15,2,0,1,264.07224,0,2,0,0,0.0,1,0,469
53,AAA_Glooms,15,1,0,0,213.63184,0,1,0,0,0.0,2,0,469
54,AAA_Gems,15,1,0,0,75.0,0,1,1,1,11.223414,0,0,461
55,AAA_Jayers,15,0,0,0,80.34,0,2,0,0,0.0,0,0,446
56,TE_777,9,1,0,6,108.87913,0,7,0,0,0.0,0,0,1238
57,TE_Leviz,9,2,3,6,383.64618,0,3,1,1,8.506567,3,0,1233
58,TE_DuCkHjeUz,9,2,0,5,320.19077,0,3,2,2,7.5230694,1,0,1256
59,TE_Junnn,9,1,1,1,220.49214,0,4,1,1,2.747052,0,0,461
60,MiTH_Ezqelusia,6,1,1,4,39.33752,0,4,1,1,153.51456,1,0,1404
61,MiTH_RogueNANZMY,6,1,2,6,270.3849,0,2,0,0,0.0,1,0,1404
62,MiTH_Jacob,6,0,1,5,90.93412,0,7,0,0,0.0,1,0,1404
63,MiTH_ThanawatTH,6,0,0,3,178.31058,0,12,1,1,143.13925,0,0,1404
64,LX_Syl1hyy,10,0,0,0,0.0,0,0,0,0,0.0,0,0,118
65,LX_74L1,10,1,0,0,0.0,0,0,0,0,0.0,0,1,120
66,LX_NBK,10,2,0,2,224.14137,0,9,1,2,47.73811,0,0,1242
67,LX_Smell,10,0,0,4,0.0,0,2,0,0,0.0,0,0,1106
68,MG_Che4kz1nG,16,0,0,0,0.0,0,0,0,0,0.0,0,0,139
69,MG_1non,16,1,1,1,232.80574,0,1,0,0,0.0,0,0,248
