,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,AZG_WICK2D,3,2,1,2,627.78955,0,1,0,1,194.86948,1,0,1620.689
1,AZG_Esther,3,2,0,0,208.6017,1,1,0,2,75.87009,0,0,892.349
2,AZG_Rage,3,3,2,9,360.50555,1,3,0,2,22.006739,0,0,1620.698
3,AZG_Rozar,3,2,2,11,204.00642,1,10,0,1,30.306839,1,0,1620.707
4,GEN_Pio,12,1,0,0,126.4,1,0,0,1,15.595085,0,0,233.132
5,GEN_Loki,12,0,0,1,36.729,0,1,0,0,0.0,0,0,342.494
6,GEN_Inonix,12,1,0,1,205.77,0,1,0,0,0.0,0,0,263.709
7,GEN_Aqua5,12,0,0,0,0.0,0,0,0,0,0.0,0,0,257.23
8,OPGG_Ayoh,13,0,0,0,0.0,0,0,0,0,0.0,0,0,93.749
9,OPGG_Silky,13,1,0,0,100.00001,1,0,0,1,4.288714,0,0,94.063
10,OPGG_Dumbo,13,0,0,0,0.0,0,0,0,0,0.0,0,0,193.658
11,OPGG_Alphaca,13,0,0,0,0.0,0,0,0,0,0.0,0,0,168.532
12,MCG_LingDuuuuuu,5,2,0,4,187.22818,0,0,0,2,229.62602,1,0,1379.484
13,MCG_Summer,5,0,0,2,169.93329,0,2,0,1,23.281197,3,0,1391.635
14,MCG_Tanki995,5,2,0,4,224.16682,0,8,0,1,21.40715,0,0,1119.72
15,MCG_EviLLee,5,5,2,7,760.70825,2,7,0,3,365.74707,1,0,1434.737
16,K7_Lokslok,9,1,0,1,131.53574,0,2,0,0,0.0,0,0,1136.581
17,K7_BuYoHoo,9,1,0,0,182.28323,0,0,0,0,0.0,0,0,1098.261
18,K7_ZhenNan,9,2,0,3,190.67357,0,3,0,2,63.55341,0,0,1136.591
19,K7_Savior,9,0,0,2,152.03749,0,2,0,0,0.0,1,0,1093.879
20,QDR_Dlaks,15,2,0,0,60.479996,0,3,0,1,13.483474,0,0,172.461
21,QDR_yacha,15,0,0,0,65.52,0,0,0,0,0.0,0,0,177.094
22,QDR_Yeowook,15,1,0,0,100.0,0,0,0,1,5.6441326,0,0,177.104
23,QDR_Renba,15,0,1,1,74.0,0,0,0,0,0.0,0,0,177.098
24,TSG_ShanD1anX,16,0,0,0,35.1,0,0,0,0,0.0,0,0,101.506
25,TSG_QingTian,16,1,0,0,100.0,0,0,0,0,0.0,0,0,139.32
26,TSG_PengEGM,16,0,0,0,0.0,0,0,0,0,0.0,0,0,91.268
27,TSG_yuyu,16,1,0,0,130.03,0,0,0,0,0.0,0,0,103.528
28,Tian_LinShuNN,11,3,0,3,273.61688,0,5,0,2,141.95178,1,0,819.333
29,Tian_M200,11,0,0,4,0.0,0,2,0,0,0.0,0,0,745.31
30,Tian_Z9Max,11,0,0,4,0.0,0,1,0,0,0.0,0,0,806.741
31,Tian_mingz1,11,0,1,1,42.28238,0,2,0,0,0.0,0,0,808.752
32,ATA_Sparrow,7,2,1,2,299.59058,0,3,0,3,42.338444,1,0,1277.471
33,ATA_ZeniTh,7,0,0,4,80.919815,0,8,0,0,0.0,0,0,830.054
34,ATA_Rain1ng,7,0,0,5,81.43908,1,4,0,1,59.971283,0,0,1277.879
35,ATA_Hwan2da,7,4,1,3,510.4958,2,0,0,4,60.3682,3,0,838.038
36,DNW_JeffLocka,10,0,0,0,0.0,0,0,0,0,0.0,0,0,772.335
37,DNW_seoul,10,0,0,2,28.98,0,3,0,0,0.0,0,0,812.522
38,DNW_LeClo,10,0,0,2,0.0,0,0,0,0,0.0,0,0,793.361
39,DNW_Rex,10,1,0,1,127.44,0,3,0,1,2.614979,0,0,893.018
40,PeRo_LongDD,6,0,0,0,0.0,0,0,0,0,0.0,0,0,504.223
41,PeRo_Monsters,6,0,0,0,28.199999,0,1,0,0,0.0,0,0,516.914
42,PeRo_Myl,6,1,0,5,269.95117,0,5,0,0,0.0,1,0,1401.468
43,PeRo_XDD,6,2,0,4,292.7896,0,6,0,0,0.0,0,0,1401.458
44,NH_ZpYan7,2,3,1,8,542.1242,2,13,0,4,294.12305,0,0,1672.945
45,NH_Xingyu49,2,0,0,0,49.2,0,0,0,0,0.0,0,0,160.745
46,NH_Giaoiqq,2,1,0,0,129.83,0,0,0,1,7.7176905,0,0,149.181
47,NH_MMingDD,2,1,1,4,220.65959,1,0,0,2,5.9768677,1,0,878.708
48,SMG_17Sixgod,4,3,1,7,237.05368,2,3,0,5,37.850235,1,0,1453.544
49,SMG_17Lilghost,4,1,3,6,362.0772,0,10,0,0,0.0,1,0,1467.605
50,SMG_17shou,4,0,2,5,674.65656,0,4,0,1,3.9734695,1,0,1460.839
51,SMG_17Mad98,4,6,4,7,972.1711,1,3,0,7,81.5771,1,0,1477.029
52,LYG_MIGo,1,2,3,4,625.92816,1,2,0,4,349.88422,0,0,1673.075
53,LYG_Dec12th,1,2,2,3,373.89807,0,3,0,3,303.04556,1,0,1673.075
54,LYG_Maps,1,2,2,5,315.42706,0,3,0,2,267.82278,0,0,1673.075
55,LYG_Kele,1,0,0,0,0.0,0,0,0,0,0.0,0,0,431.734
56,SST_kendesu,14,0,0,0,0.0,0,0,0,0,0.0,0,0,180.403
57,SST_CrazySam,14,0,1,0,81.79183,0,0,0,0,0.0,0,0,86.543
58,SST_poly,14,2,0,0,118.20817,0,0,0,1,6.91141,0,0,180.408
59,SST_Fhy,14,1,0,0,87.648254,0,0,0,1,31.58008,0,0,99.401
60,BJ_HelleN,8,0,0,5,149.55238,0,1,0,0,0.0,0,0,1215.871
61,BJ_Joy,8,0,0,0,88.391174,0,0,0,0,0.0,0,0,313.726
62,BJ_AKaN,8,0,0,1,92.4,0,0,0,0,0.0,0,0,509.076
63,BJ_Damin,8,0,0,5,90.138214,0,3,0,0,0.0,0,0,1226.725
64,AZG_WICK2D,7,0,0,0,77.23439,0,0,0,0,0.0,0,0,112.995
65,AZG_Rage,7,1,0,4,156.1571,0,1,0,1,23.9482,0,0,737.405
66,AZG_Esther,7,1,0,2,217.72708,0,0,0,1,56.395714,0,0,718.511
67,AZG_Rozar,7,0,0,4,36.644142,0,4,0,1,31.060513,1,0,828.692
68,SST_Fhy,11,1,0,1,165.68001,1,2,0,2,97.15894,0,0,528.609
69,SST_poly,11,0,0,0,21.6,0,0,0,0,0.0,0,0,179.737
70,SST_kendesu,11,0,1,1,43.05,0,3,0,0,0.0,2,0,528.616
71,SST_CrazySam,11,1,0,0,157.4,0,2,0,1,6.0699983,1,0,204.045
72,QDR_Renba,12,0,0,0,52.440002,0,0,0,0,0.0,0,0,442.385
73,QDR_Yeowook,12,0,0,0,0.0,0,0,0,0,0.0,0,0,440.351
74,QDR_yacha,12,0,0,0,0.0,0,0,0,0,0.0,0,0,442.554
75,QDR_Dlaks,12,1,0,1,140.36499,0,0,0,0,0.0,0,0,526.735
76,GEN_Pio,10,4,0,3,447.74628,2,7,0,5,103.087776,1,0,682.277
77,GEN_Loki,10,1,1,1,159.4606,0,0,0,0,0.0,0,0,199.883
78,GEN_Aqua5,10,0,0,1,0.0,0,0,0,0,0.0,0,0,193.665
79,GEN_Inonix,10,1,0,1,100.0,0,6,0,0,0.0,0,0,512.238
80,OPGG_Alphaca,15,0,0,2,0.0,0,5,0,0,0.0,0,0,272.732
81,OPGG_Silky,15,1,0,0,118.28177,0,0,0,0,0.0,0,0,291.558
82,OPGG_Ayoh,15,1,0,0,10.0,0,0,0,1,41.21702,0,0,164.449
83,OPGG_Dumbo,15,1,1,1,181.48999,0,1,0,0,0.0,0,0,291.55
84,BJ_AKaN,3,4,0,12,617.4127,1,5,0,6,60.988228,1,0,1459.902
85,BJ_HelleN,3,0,5,10,240.6622,0,6,0,0,0.0,0,0,1494.539
86,BJ_Damin,3,1,3,7,252.60619,0,0,0,1,57.102486,0,0,912.563
87,BJ_Joy,3,3,1,10,352.02374,1,5,0,4,71.845535,0,0,1494.549
88,NH_MMingDD,9,2,0,2,197.1,1,0,0,3,45.923717,1,0,576.155
89,NH_Giaoiqq,9,0,0,1,66.24,0,1,0,0,0.0,0,0,565.023
90,NH_Xingyu49,9,0,0,1,65.205,0,0,0,0,0.0,1,0,664.615
91,NH_ZpYan7,9,3,2,2,494.38193,0,2,0,3,144.98969,0,0,698.701
92,Tian_Z9Max,14,1,0,1,146.82211,1,1,0,1,47.017506,1,0,367.298
93,Tian_LinShuNN,14,1,0,1,122.06413,0,1,0,1,9.391361,0,0,274.535
94,Tian_mingz1,14,3,0,1,324.84,0,0,0,3,98.21279,0,0,333.28
95,Tian_M200,14,3,3,2,343.42,0,1,0,1,18.14336,0,0,367.293
96,TSG_ShanD1anX,1,1,3,2,301.21548,0,0,0,2,81.57108,0,0,1638.12
97,TSG_QingTian,1,2,0,3,315.92596,0,3,0,4,51.344883,1,0,1638.12
98,TSG_yuyu,1,0,0,2,0.0,0,3,0,0,0.0,1,0,1638.12
99,TSG_PengEGM,1,1,3,5,379.22552,1,4,0,2,112.13647,0,0,1638.12
100,DNW_Rex,16,2,0,0,180.06299,0,0,0,0,0.0,0,0,225.183
101,DNW_seoul,16,0,0,0,0.0,0,0,0,0,0.0,0,0,99.738
102,DNW_LeClo,16,0,0,0,61.57,0,0,0,0,0.0,0,0,225.178
103,DNW_JeffLocka,16,0,0,0,0.0,0,0,0,0,0.0,0,0,102.174
104,LYG_Kele,6,0,0,0,85.5716,0,0,0,0,0.0,0,0,970.017
105,LYG_Dec12th,6,0,0,0,0.0,0,0,0,0,0.0,0,0,881.877
106,LYG_MIGo,6,1,0,0,84.7775,0,0,0,1,49.819,0,0,914.427
107,LYG_Maps,6,1,0,7,77.44635,0,0,0,0,0.0,0,0,936.406
108,MCG_EviLLee,5,3,0,5,443.20395,1,9,0,4,50.14464,0,0,1045.486
109,MCG_Summer,5,0,1,1,45.54,0,0,0,0,0.0,0,0,701.059
110,MCG_LingDuuuuuu,5,0,0,1,64.86,0,0,0,0,0.0,0,0,1080.452
111,MCG_Tanki995,5,1,0,1,49.6,0,0,0,1,90.75859,0,0,573.893
112,PeRo_LongDD,13,1,0,0,85.100204,0,0,0,1,26.090405,0,0,347.949
113,PeRo_Monsters,13,0,0,0,0.0,0,0,0,0,0.0,0,0,348.34
114,PeRo_Myl,13,0,1,0,171.95802,0,0,0,0,0.0,0,0,377.082
115,PeRo_XDD,13,0,0,0,0.0,0,0,0,0,0.0,0,0,335.783
116,SMG_17shou,4,0,1,2,112.93577,0,1,0,0,0.0,0,0,417.464
117,SMG_17Lilghost,4,1,0,7,592.09045,1,22,0,3,100.73308,0,0,1348.388
118,SMG_17Mad98,4,1,0,1,150.75998,0,1,0,1,36.59047,0,0,285.772
119,SMG_17Sixgod,4,0,0,0,0.0,0,0,0,0,0.0,0,0,286.206
120,ATA_Sparrow,2,0,0,0,0.0,0,0,0,0,0.0,0,0,543.81
121,ATA_ZeniTh,2,0,0,0,0.0,0,0,0,0,0.0,0,0,499.141
122,ATA_Rain1ng,2,1,0,4,225.51709,0,1,0,0,0.0,0,0,1637.986
123,ATA_Hwan2da,2,1,0,2,126.05209,0,0,0,0,0.0,0,0,1637.977
124,K7_BuYoHoo,8,0,0,0,20.24621,0,0,0,0,0.0,0,0,222.467
125,K7_ZhenNan,8,2,2,6,303.12073,1,3,0,2,39.591793,0,0,782.702
126,K7_Lokslok,8,0,0,2,234.38884,0,4,0,1,82.39607,0,0,654.594
127,K7_Savior,8,3,0,1,424.46252,0,1,0,3,12.086579,0,0,484.193
128,BJ_AKaN,3,0,2,8,148.68935,0,2,0,0,0.0,1,0,1375.314
129,BJ_HelleN,3,1,0,3,100.0,0,3,0,1,12.822731,1,0,919.041
130,BJ_Damin,3,1,2,0,155.65,0,0,0,1,5.074223,0,0,101.811
131,BJ_Joy,3,2,0,2,200.13329,1,0,0,3,141.48376,1,0,909.172
132,K7_Savior,16,0,0,0,0.0,0,0,0,0,0.0,0,0,110.239
133,K7_ZhenNan,16,3,0,0,245.40001,0,0,0,1,6.1880946,0,0,110.246
134,K7_Lokslok,16,0,0,0,0.0,0,0,0,0,0.0,0,0,83.375
135,K7_BuYoHoo,16,0,0,0,0.0,0,0,0,0,0.0,0,0,110.243
136,NH_ZpYan7,4,3,0,7,447.67944,0,7,0,4,142.60013,0,0,1240.099
137,NH_Giaoiqq,4,2,1,6,324.1572,0,9,0,1,36.629845,0,0,1245.732
138,NH_MMingDD,4,2,2,7,367.19772,0,8,0,3,188.98723,0,0,1088.252
139,NH_Xingyu49,4,0,0,3,28.199999,0,2,0,0,0.0,1,0,1005.533
140,MCG_LingDuuuuuu,1,1,3,5,158.1656,0,2,0,2,49.719654,0,0,1509.713
141,MCG_Tanki995,1,3,3,5,293.10385,0,5,0,4,317.2963,1,0,1509.713
142,MCG_EviLLee,1,1,0,1,66.83021,0,0,0,1,223.1883,0,0,459.02
143,MCG_Summer,1,0,4,4,308.56268,1,2,0,1,90.54772,0,0,1509.713
144,GEN_Loki,14,2,0,0,162.38,0,0,0,1,8.42762,0,0,96.791
145,GEN_Aqua5,14,1,0,0,236.85999,0,1,0,0,0.0,0,0,346.309
146,GEN_Inonix,14,1,1,2,100.0,0,0,0,0,0.0,0,0,341.049
147,GEN_Pio,14,0,0,0,37.62,0,0,0,0,0.0,0,0,98.787
148,SST_kendesu,9,0,0,0,25.608253,0,0,0,1,89.56889,0,0,340.377
149,SST_poly,9,1,1,1,113.649994,0,1,0,0,0.0,0,0,540.696
150,SST_Fhy,9,1,0,1,376.7207,0,0,0,1,76.59276,0,0,736.661
151,SST_CrazySam,9,2,3,3,319.32,0,1,0,0,0.0,0,0,611.955
152,OPGG_Dumbo,11,1,0,2,146.97807,0,6,0,1,61.267296,1,0,713.605
153,OPGG_Ayoh,11,1,0,0,99.58414,0,0,0,0,0.0,0,0,713.613
154,OPGG_Alphaca,11,0,0,1,104.220276,0,1,0,0,0.0,0,0,451.397
155,OPGG_Silky,11,0,0,0,234.45001,0,14,0,0,0.0,1,0,698.601
156,TSG_PengEGM,10,0,0,3,0.0,0,1,0,0,0.0,0,0,687.508
157,TSG_yuyu,10,1,0,3,99.49779,0,2,0,0,0.0,1,0,720.529
158,TSG_QingTian,10,1,0,0,156.66,0,0,0,0,0.0,0,0,697.497
159,TSG_ShanD1anX,10,0,0,1,24.708372,0,0,0,0,0.0,0,0,720.537
160,AZG_Rozar,2,2,2,10,378.40036,0,5,0,1,93.286446,0,0,1509.583
161,AZG_Rage,2,0,0,0,0.0,0,0,0,0,0.0,0,0,811.941
162,AZG_Esther,2,0,1,0,0.0,0,0,0,0,0.0,0,0,578.222
163,AZG_WICK2D,2,1,1,2,342.55573,0,1,0,1,347.8064,0,0,1490.043
164,QDR_Yeowook,12,1,0,2,85.40619,0,5,0,2,11.055996,0,0,680.139
165,QDR_Dlaks,12,0,0,0,44.649998,0,0,0,0,0.0,0,0,83.282
166,QDR_Renba,12,2,1,2,268.044,0,1,0,2,18.703533,0,0,680.147
167,QDR_yacha,12,1,2,1,145.04428,0,13,0,0,0.0,2,0,680.157
168,ATA_Hwan2da,13,0,0,1,43.05,0,0,0,0,0.0,0,0,178.306
169,ATA_ZeniTh,13,1,0,0,100.0,0,0,0,0,0.0,0,0,511.47
170,ATA_Sparrow,13,0,0,1,0.0,0,0,0,0,0.0,0,0,337.749
171,ATA_Rain1ng,13,0,0,0,0.0,0,0,0,0,0.0,0,0,450.251
172,Tian_LinShuNN,15,0,0,0,36.12,0,0,0,0,0.0,0,0,322.324
173,Tian_M200,15,0,0,0,38.471714,0,0,0,0,0.0,0,0,321.075
174,Tian_mingz1,15,0,0,0,112.22108,0,0,0,0,0.0,0,0,322.32
175,Tian_Z9Max,15,0,0,0,34.56725,0,0,0,0,0.0,0,0,322.331
176,SMG_17shou,8,1,0,1,58.806892,0,0,0,1,47.246044,0,0,697.713
177,SMG_17Mad98,8,3,1,2,252.36012,0,5,0,1,66.81197,0,0,743.364
178,SMG_17Lilghost,8,0,0,0,57.381462,0,0,0,0,0.0,0,0,247.805
179,SMG_17Sixgod,8,1,0,2,269.84875,0,13,0,2,4.865188,1,0,834.756
180,LYG_Dec12th,5,0,2,3,62.663273,0,11,0,0,0.0,0,0,1095.526
181,LYG_Kele,5,1,0,4,93.14765,0,8,0,1,35.812973,0,0,1095.547
182,LYG_Maps,5,0,0,2,0.0,0,0,0,0,0.0,0,0,486.488
183,LYG_MIGo,5,2,0,6,232.73672,0,12,0,3,123.850296,0,0,1095.536
184,DNW_Rex,7,4,0,2,224.47067,0,15,0,5,54.911552,1,0,873.969
185,DNW_seoul,7,0,1,3,138.10947,0,10,0,1,4.6150227,0,0,886.672
186,DNW_JeffLocka,7,1,0,2,100.0,1,2,0,1,2.419901,1,0,689.493
187,DNW_LeClo,7,1,1,4,58.39515,2,10,0,2,10.682428,1,1,877.817
188,PeRo_Myl,6,0,0,3,0.0,0,6,0,0,0.0,0,0,857.378
189,PeRo_Monsters,6,0,0,5,54.636982,0,12,0,0,0.0,0,0,862.629
190,PeRo_XDD,6,4,0,6,547.3853,3,25,0,8,389.37305,0,0,1035.799
191,PeRo_LongDD,6,0,0,5,116.0981,0,4,0,0,0.0,0,0,859.909
192,AZG_Esther,12,1,0,1,63.36774,0,2,0,1,27.201998,0,0,625.721
