,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,MCG_Peng,13,0,2,3,50.798405,0,1,0,0,0.0,0,0,986
1,MCG_995iTank,13,1,1,1,208.33205,0,4,1,1,12.921406,0,0,1033
2,MCG_LingDuuuuuu,13,1,1,2,197.49414,0,1,1,2,288.35275,0,0,1033
3,MCG_9,13,2,0,1,84.786026,0,5,1,1,52.87631,2,0,1024
4,GBL_Lambu,7,0,0,1,0.0,0,1,0,0,0.0,0,0,1249
5,GBL_Adder,7,0,0,2,100.23538,0,1,0,0,0.0,0,0,1172
6,GBL_Gyumin,7,0,0,3,43.00927,0,1,0,0,0.0,1,0,1349
7,GBL_Heaven,7,1,0,3,121.06296,1,4,1,1,16.394203,0,0,1248
8,BGP_Aqua5,5,0,1,1,118.700775,0,1,0,0,0.0,0,0,1424
9,BGP_Foxy,5,0,1,4,75.0,1,2,1,1,31.080584,0,0,1400
10,BGP_2heart,5,1,0,3,325.62936,1,2,1,2,240.80502,1,0,1411
11,BGP_Pio,5,1,0,3,100.0,1,0,1,1,21.891834,0,0,1210
12,DK_Loki,2,0,0,3,193.49153,0,3,1,1,365.8126,0,0,1145
13,DK_Under,2,3,0,5,663.27155,1,1,2,2,35.405075,0,0,1487
14,DK_Makne,2,3,0,4,274.99997,0,7,1,3,61.440884,0,0,1497
15,DK_Menteul,2,0,0,4,65.5507,0,2,0,0,0.0,0,0,1384
16,DNW_Rex,14,0,0,1,128.71019,0,0,0,0,0.0,0,0,936
17,DNW_HelleN,14,2,0,4,372.17523,1,1,1,2,39.80735,1,0,1032
18,DNW_seoul,14,1,0,3,197.99728,0,0,1,1,82.948975,0,0,913
19,DNW_Salute,14,2,0,2,252.41333,0,1,1,2,18.261383,0,0,1032
20,CTG_55555,4,1,0,3,178.5953,1,1,1,1,167.94208,0,0,1468
21,CTG_PaoPao,4,0,0,0,54.120003,0,0,0,0,0.0,0,0,683
22,CTG_MonkeyKing,4,1,0,0,231.29936,1,0,1,2,184.27869,0,0,1468
23,CTG_LingQiang,4,1,2,2,230.12808,0,2,0,0,0.0,0,0,1368
24,NH_ZpYan1,15,0,0,3,0.0,0,3,0,0,0.0,0,0,895
25,NH_MMing,15,0,0,0,51.890324,0,0,0,0,0.0,0,0,439
26,NH_Nannnnn,15,0,0,1,0.0,0,2,0,0,0.0,0,0,868
27,NH_HSmm,15,0,0,0,0.0,0,0,0,0,0.0,0,0,94
28,JuFu_Hang2y,3,1,1,3,131.58,0,3,1,1,29.287891,2,0,1468
29,JuFu_xyang,3,5,3,9,603.23047,2,3,4,6,60.302967,3,0,1468
30,JuFu_Grayyyyyy,3,1,0,4,102.41721,0,4,1,2,43.391758,0,0,1468
31,JuFu_xwudd,3,0,1,5,151.72089,0,4,0,0,0.0,0,0,1468
32,PeRo_Myl,6,1,1,2,305.0871,0,2,0,0,0.0,0,0,1394
33,PeRo_Ming,6,3,0,3,440.99146,0,0,0,0,0.0,0,0,1394
34,PeRo_AZ,6,3,0,1,536.0841,0,0,1,2,203.97089,0,0,1394
35,PeRo_Monsters,6,0,0,0,127.848206,0,0,0,0,0.0,0,0,1394
36,iFTY_L1nnn,12,0,0,1,29.782574,0,0,0,0,0.0,0,0,678
37,iFTY_WangZai,12,0,0,0,0.0,0,0,0,0,0.0,0,0,94
38,iFTY_VoliBEAR,12,0,0,0,0.0,0,0,0,0,0.0,0,0,1024
39,iFTY_LongSkr,12,1,0,0,121.78,0,0,0,0,0.0,0,0,1048
40,GEN_Inonix,1,2,1,2,299.19693,0,2,1,1,176.88943,0,0,1497
41,GEN_Maczora,1,3,1,7,401.8312,2,1,1,3,288.98114,0,0,1497
42,GEN_Spear,1,0,0,0,84.0,1,1,1,1,169.34045,1,0,1497
43,GEN_Renba,1,1,2,3,111.20708,1,2,1,2,195.72275,0,0,1497
44,4AM_xxxLu,11,0,0,0,62.039997,0,0,0,0,0.0,0,0,282
45,4AM_Lzqq,11,0,0,4,218.48785,0,2,0,0,0.0,0,0,203
46,4AM_We1less,11,1,0,3,242.88998,0,2,0,0,0.0,0,0,1051
47,4AM_Xiaohaixxxx,11,2,0,4,242.93698,0,2,0,0,0.0,1,0,1051
48,EOS_KimKaXhaxx,8,0,0,1,30.70401,0,3,0,0,0.0,0,0,1043
49,EOS_ParkChaN,8,0,0,3,127.97711,0,5,0,0,0.0,0,0,1245
50,EOS_Suk,8,0,1,1,44.296745,0,13,0,0,0.0,0,0,1245
51,EOS_DozeL,8,1,0,2,222.43144,1,5,1,1,2.9967506,0,0,1217
52,SD_Shenn,16,0,0,0,0.0,0,0,0,0,0.0,0,0,120
