,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,TOP_LiLingChen,13,1,1,1,125.8,0,2,0,0,1,1,0,0,5.688349,0,1500,0,0,1353.096,0,0
1,Top_Akira,13,1,0,0,89.02386,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,578.093,0,0
2,Top_HongVTell,13,2,0,4,157.599991,0,7,0,0,3,3,0,0,22.42748,0,1500,0,0,1574.314,0,0
3,TOP_Noth1ng,13,0,1,1,139.070145,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1346.354,0,0
4,FTD-Lph,12,4,1,0,342.4134,0,1,0,0,1,1,0,0,7.987923,0,1500,1,0,1538.186,0,0
5,FTD-Tiechui,12,2,1,2,133.294418,0,2,0,0,1,1,0,0,1.20585048,0,1500,1,0,1634.703,0,0
6,FTD-Ayu,12,3,2,1,279.942352,0,3,0,0,1,3,0,0,269.036224,0,1500,0,0,1646.562,0,0
7,FTD-Leyii,12,2,1,3,33.57124,1,6,0,0,1,2,0,0,88.5368958,0,1500,1,0,1684.221,0,0
8,MDY_xishaMMM,4,3,2,4,545.0267,0,3,0,0,1,3,0,0,320.408173,0,1500,0,0,1873.198,0,0
9,MDY-AZ,4,2,2,6,342.5846,1,6,0,0,1,1,0,0,63.715,0,1500,3,0,1869.26,0,0
10,MDY_AnRan,4,0,0,6,120.502312,0,7,0,0,0,0,0,0,0.0,0,1500,0,0,1821.595,0,0
11,MDY-GongMian,4,2,0,4,291.168457,0,1,0,0,2,3,0,0,50.4623375,0,1500,1,0,1594.008,0,0
12,LYG_SanMu1,3,1,0,3,226.2492,0,6,0,0,1,2,0,0,179.173828,0,1500,0,0,1404.033,0,0
13,LYG_yyxovo,3,1,1,4,213.835968,2,4,0,0,1,3,0,0,65.47838,0,1500,0,0,1876.831,0,0
14,LYG_MapsQAQ,3,0,2,3,354.620178,0,2,0,0,0,0,0,0,0.0,0,1500,1,0,1876.827,0,0
15,LYG_TuDouBoss,3,0,1,0,22.05,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1236.701,0,0
16,LGE_Ump,9,0,0,1,182.491776,0,0,0,0,1,1,0,0,113.538231,0,1500,0,0,1753.757,0,0
17,LGE_Sanjiu-__-,9,5,2,2,797.273132,1,3,0,0,1,2,0,0,118.329964,0,1500,0,0,1756.962,0,0
18,LGE_Timon,9,0,1,3,178.198639,0,4,0,0,0,0,0,0,0.0,0,1500,0,0,1682.13,0,0
