,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta,rank_points
0,es_AS-Imba_04,1,0,0,0,100.0,0,0,1000,0,1,1,0,0,7.89292,0,0,0,326.253,1500,0,
1,es_AS-Imba_05,2,0,0,0,95.46,0,0,1000,0,0,0,0,0,0.0,0,0,0,326.236,1500,0,
2,es_AS-Imba_06,1,0,0,0,100.0,0,0,1000,0,1,1,0,0,10.3493929,0,0,0,166.409,1500,0,
3,es_AS-Imba_05,2,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,166.393,1500,0,
4,es_AS-Imba_06,1,0,0,1,100.0,0,0,1000,0,1,1,0,0,94.86987,0,0,0,189.741,1500,0,
5,es_AS-Imba_04,2,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,189.724,1500,0,
6,es_AS-Imba_04,1,0,0,0,96.61123,0,0,1000,0,1,1,0,0,62.4548721,0,0,0,139.364,1500,0,
7,es_AS-Imba_05,2,0,0,0,57.08747,0,0,1000,0,0,0,0,0,0.0,0,0,0,139.348,1500,0,
8,AG2dog,1,1,3,4,248.810791,1,7,1000,0,1,1,0,0,42.9968643,0,0,0,2000.553,1500,0,
9,AGNuBi,1,3,0,1,500.8965,1,0,1000,0,1,5,0,0,273.503082,0,1,0,2000.553,1500,0,
10,AGYuChEn,1,3,0,2,250.446533,1,9,1000,0,2,3,0,0,261.0971,0,0,0,2000.553,1500,0,
11,AGshuiwa,1,1,2,2,236.947525,1,2,1000,0,1,3,0,0,248.844666,0,0,0,1960.152,1500,0,
12,Ark_Z9MaxSkr,7,0,2,4,160.569626,0,2,1000,0,1,1,0,0,34.75806,0,2,0,1541.048,1500,0,
13,Ark_FnGO,7,1,3,2,212.254517,0,4,1000,0,1,1,0,0,6.173632,0,0,0,1376.763,1500,0,
14,Ark_WeiSi,7,4,1,6,456.14447,0,2,1000,0,2,4,0,0,149.756744,0,0,0,1561.612,1500,0,
15,Ark_Mad98TnT,7,2,1,6,376.4822,1,9,1000,0,1,3,0,0,183.423218,0,1,0,1658.103,1500,0,
16,SSSkongmu-w-,15,0,0,0,7.253993,0,0,1000,0,0,0,0,0,0.0,0,0,0,631.11,1500,0,
17,SSSsAsaO_o,15,0,0,1,68.1898346,0,4,1000,0,0,0,0,0,0.0,0,0,0,1245.042,1500,0,
18,SSSvv0_0,15,0,0,3,167.287155,0,2,1000,0,0,0,0,0,0.0,0,0,0,1245.05,1500,0,
19,SSSNB211-__-,15,0,0,1,99.03409,0,5,1000,0,0,0,0,0,0.0,0,1,0,1245.046,1500,0,
20,SnakeTC-T1antian,5,2,0,3,161.311264,0,0,1000,0,1,1,0,0,3.27676868,0,2,0,1704.524,1500,0,
21,SnakeTC-baolei,5,2,1,5,245.594009,1,9,1000,0,1,1,0,0,263.654053,0,1,0,1742.571,1500,0,
22,SnakeTC-Jiaozhu,5,2,1,5,346.788269,0,2,1000,0,1,2,0,0,224.074066,0,0,0,1656.354,1500,0,
