,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,JPN_CiNVe,2,0,0,1,57.239998,0,1,0,0,0.0,0,0,607
1,JPN_OKOK,2,1,0,2,78.44,0,1,0,0,0.0,1,0,627
2,JPN_Wesker,2,4,0,1,355.81897,1,2,2,2,3.478147,1,0,611
3,JPN_Purci,2,0,0,0,63.399994,0,2,0,0,0.0,0,0,353
4,JPN_Vuelo,2,2,0,2,245.52002,0,2,1,1,6.117323,2,0,636
5,JPN_ottyan,2,0,0,1,0.0,0,0,0,0,0.0,1,0,262
6,JPN_hirochan,2,1,0,0,150.6,0,1,1,1,8.22511,2,0,395
7,JPN_Masashi,2,0,0,0,0.0,0,0,0,0,0.0,0,0,103
8,JPN_SouLM4N,2,1,0,1,73.54,0,1,1,1,11.5688305,0,0,271
9,JPN_gabha,2,2,0,3,227.39325,0,2,1,1,3.924848,1,0,636
10,JPN_T1aRe,2,0,0,1,0.0,0,8,0,0,0.0,0,0,341
11,JPN_MAOxox,2,0,0,0,170.17482,0,2,0,0,0.0,0,0,351
12,JPN_Kashic,2,0,0,1,227.61789,0,0,0,0,0.0,0,0,344
13,JPN_DAIKI,2,2,0,1,122.399994,0,7,1,1,43.60351,0,0,322
14,JPN_jinseeei,2,1,0,1,149.997,0,5,1,1,4.5187,0,0,346
15,JPN_Ruytv,2,0,0,0,56.399998,0,0,0,0,0.0,0,0,306
16,JPN_xxve3,2,1,0,2,100.0,0,0,1,1,23.957989,0,0,614
17,JPN_fiachan,2,1,0,0,112.560005,0,0,1,1,29.533867,0,0,616
18,JPN_nGO,2,0,0,0,0.0,0,0,0,0,0.0,0,0,622
19,JPN_Manju,2,0,0,0,126.059044,0,2,0,0,0.0,0,0,636
20,KOR_Hwan2da,1,0,0,0,22.8,0,0,0,0,0.0,0,0,252
21,KOR_Rain1ng,1,3,0,1,266.07196,0,1,1,2,6.585077,0,0,598
22,KOR_Pio,1,1,0,0,171.33589,1,0,1,1,16.895638,0,0,584
23,KOR_Adder,1,4,0,2,350.937,0,2,2,4,21.042784,2,0,639
24,KOR_Aqua5,1,1,0,0,56.962723,0,0,1,1,52.16326,0,0,639
25,KOR_Menteul,1,0,0,0,0.0,0,0,0,0,0.0,0,0,639
26,KOR_Gyuyeon,1,0,0,0,87.043,0,7,0,0,0.0,0,0,310
27,KOR_Inonix,1,3,0,0,199.80249,2,1,1,3,113.39498,0,0,639
28,KOR_EJ,1,0,0,0,39.559982,0,1,0,0,0.0,0,0,639
29,KOR_Hansia,1,1,0,0,142.63501,0,0,0,0,0.0,0,0,170
30,KOR_Renba,1,2,0,0,238.26001,0,1,0,0,0.0,0,0,232
31,KOR_Lash,1,1,0,1,241.67097,0,1,1,1,67.2947,0,0,639
32,KOR_Lambu,1,1,0,0,56.53,0,1,1,1,6.9901495,0,0,299
33,KOR_DAEVA,1,1,0,2,257.75903,0,0,1,1,23.26336,1,0,639
34,KOR_Daengchae,1,3,0,1,208.7323,1,3,2,3,50.54626,0,0,639
35,KOR_Hikari,1,1,0,1,101.0,0,1,1,1,62.049507,0,0,316
36,KOR_maczora,1,1,0,2,146.84187,0,1,1,1,57.316288,0,0,639
37,KOR_NEFiEX,1,0,0,1,79.0,0,0,1,1,2.5224872,1,0,639
38,KOR_2heart,1,4,0,2,529.88214,0,1,0,0,0.0,1,0,371
39,KOR_indigo,1,0,0,0,59.22,0,0,0,0,0.0,0,0,256
40,CHN_mingz1,1,1,0,0,158.556,0,0,1,1,61.178165,0,0,513
41,CHN_Aixleft_,1,3,0,2,297.66473,0,1,3,3,47.17475,0,0,513
42,CHN_Nannnnn,1,3,0,0,284.34482,0,0,2,3,40.896587,0,0,513
43,CHN_Mamu,1,2,0,1,155.12427,1,0,1,2,226.5411,0,0,513
44,CHN_Xbei,1,2,0,0,111.44,1,0,2,2,26.250923,0,0,513
45,CHN_Loong,1,1,0,0,59.08,0,0,1,1,20.288244,0,0,493
46,CHN_Forever,1,0,0,1,76.140816,0,0,0,0,0.0,0,0,513
47,CHN_MMing1029,1,0,0,0,119.60536,0,1,0,0,0.0,0,0,513
48,CHN_SuJiu,1,0,0,0,31.92,0,0,0,0,0.0,0,0,513
49,CHN_Myl,1,1,0,2,123.76,0,0,0,0,0.0,0,0,436
50,CHN_shou,1,1,0,0,107.987274,0,0,1,1,26.392258,0,0,474
51,CHN_LilGhost,1,1,0,0,253.11998,0,0,1,1,28.041933,0,0,439
52,CHN_ATongMuu,1,1,0,0,62.64598,0,0,1,1,65.37753,0,0,436
53,CHN_ZpYan1,1,1,0,0,83.474014,0,1,0,0,0.0,0,0,513
54,CHN_Godv,1,2,0,0,129.96315,0,0,2,2,56.286777,0,0,513
55,CHN_LanBoO,1,0,0,0,22.03686,0,0,0,0,0.0,0,0,469
56,CHN_Xiaohai,1,1,0,2,22.199999,0,2,1,1,66.78813,1,0,513
57,CHN_Hsmm,1,1,0,3,12.879997,0,0,1,1,112.11366,1,0,513
58,CHN_CRAZY112,1,1,0,0,114.159996,0,1,1,1,64.86452,0,0,513
59,CHN_911x,1,0,0,1,74.4,0,0,0,0,0.0,0,0,470
60,JPN_DAIKI,2,0,0,0,0.0,0,0,0,0,0.0,0,0,509
61,JPN_CiNVe,2,2,0,0,333.67828,0,0,1,1,19.889826,0,0,506
62,JPN_Masashi,2,1,0,0,94.17282,0,0,0,0,0.0,1,0,509
63,JPN_SouLM4N,2,0,0,1,126.04096,0,0,0,0,0.0,0,0,508
