,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,LGD-ScareCr0w,18,0,0,4,0.0,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,792.248,0.0,0.0
1,LGD-XIN8,25,0,0,0,205.178009,1,0,0.0,0.0,3,3,0.0,0.0,20.9712982,0.0,0.0,0,0,155.796,0.0,0.0
2,DLG_kid_d,8,0,0,5,100.0,1,4,0.0,0.0,1,1,0.0,0.0,49.01547,0.0,0.0,0,0,1249.967,0.0,0.0
3,FGB_Paozi-_-,9,0,0,2,97.74745,1,0,0.0,0.0,1,1,0.0,0.0,15.2933931,0.0,0.0,0,0,1207.338,0.0,0.0
4,LGD-TJW,26,0,0,0,94.90166,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,136.451,0.0,0.0
5,XDG_KongKong,23,0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,378.686,0.0,0.0
6,xyG_xiaowai,27,0,0,0,125.8,0,0,0.0,0.0,1,1,0.0,0.0,7.461567,0.0,0.0,0,0,113.308,0.0,0.0
7,xyG_Runaway,3,0,1,4,144.014,0,1,0.0,0.0,1,1,0.0,0.0,19.0581379,0.0,0.0,0,0,1377.995,0.0,0.0
8,LGD-meRcy2213,22,0,0,3,281.46106,1,8,0.0,0.0,1,1,0.0,0.0,59.56191,0.0,0.0,0,0,549.024,0.0,0.0
9,iFTYL1nnnnOvO,30,0,1,0,59.7600021,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,100.413,0.0,0.0
10,xyG_Xbb,28,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,110.261,0.0,0.0
11,SMS-BBQFishOvo,10,0,0,4,73.66275,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1207.048,0.0,0.0
12,xyG_MooooLu,20,0,0,0,71.0866547,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,689.045,0.0,0.0
13,TF_9FF,4,0,0,2,66.24537,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1348.335,0.0,0.0
14,LGD-xiaojinshan,31,0,0,0,35.0619736,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,93.352,0.0,0.0
15,iFTYGrAy_,13,0,0,1,227.83078,0,1,0.0,0.0,1,2,0.0,0.0,192.472534,0.0,0.0,0,0,1134.646,0.0,0.0
16,annienies,15,0,0,5,55.385,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1046.119,0.0,0.0
17,xyG_Ndfu,24,0,0,0,100.0,0,1,0.0,0.0,1,1,0.0,0.0,9.105525,0.0,0.0,0,0,208.04,0.0,0.0
18,RushB_Future,7,0,1,5,140.467209,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1277.589,0.0,0.0
19,TMS_YuXuan,19,0,0,3,133.35,0,2,0.0,0.0,1,1,0.0,0.0,21.0896149,0.0,0.0,0,0,729.877,0.0,0.0
20,PLPL_heixiong,5,0,0,3,179.180008,1,3,0.0,0.0,1,2,0.0,0.0,57.1505,0.0,0.0,0,0,1300.169,0.0,0.0
21,TIA_Zihao,6,0,0,10,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1281.742,0.0,0.0
22,DLG_Hc_c,16,0,0,6,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1016.896,0.0,0.0
