,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,GGP_MinuDa,7,1,0,4,338.63864,1,2,1,2,30.535862,1,0,1335
1,GGP_Crux,7,0,1,0,0.0,0,0,0,0,0.0,0,0,183
2,GGP_Solution,7,1,2,2,319.89252,0,1,1,1,8.022662,0,0,988
3,GGP_KarNa,7,2,1,3,166.7374,0,1,1,1,24.347229,0,0,1327
4,AST_Hyuk,12,1,0,3,128.7544,0,2,0,0,0.0,1,0,1234
5,AST_Nater,12,1,0,4,153.57664,0,2,1,1,47.095654,0,0,1215
6,AST_Lucas,12,0,0,1,31.913681,0,0,0,0,0.0,0,0,1148
7,AST_Silvia,12,1,0,2,107.3261,0,1,0,0,0.0,0,0,1232
8,HKG_Vortex,2,0,0,0,0.0,0,0,0,0,0.0,0,0,122
9,HKG_DaeJang,2,0,0,0,0.0,0,0,0,0,0.0,0,0,445
10,HKG_Haku,2,5,0,9,731.00464,4,4,1,8,244.092,2,0,1904
11,HKG_Geuba,2,3,1,9,738.90753,1,3,1,4,77.10399,0,0,1936
12,FN_Hevin,16,2,0,0,115.40001,0,0,1,1,3.6061366,0,0,193
13,FN_Stepo,16,0,0,0,84.6,0,0,0,0,0.0,0,0,193
14,FN_Birthday,16,0,0,0,0.0,0,0,0,0,0.0,0,0,172
15,FN_teulttack,16,0,0,0,45.061317,0,0,0,0,0.0,0,0,193
16,GCAD_k1nch,4,1,1,5,359.81958,0,4,0,0,0.0,0,0,1586
17,GCAD_bawoo,4,1,0,3,112.61235,0,1,1,1,178.65123,0,0,1387
18,GCAD_Primal,4,1,1,4,512.2523,0,0,1,1,19.469465,2,0,1637
19,GCAD_GoNa,4,1,0,5,95.80001,0,1,0,0,0.0,1,0,1458
20,FSS_Zephyros,9,3,0,6,308.267,0,8,2,3,26.056824,0,0,1256
21,FSS_SunLight,9,1,1,4,314.6311,1,11,1,1,18.121248,0,0,1277
22,FSS_Heat,9,0,0,5,0.0,0,1,0,0,0.0,0,0,804
23,FSS_Fl1x,9,0,0,2,57.195,0,0,0,0,0.0,0,0,430
24,GR_Euclid,5,0,1,6,136.80351,0,1,0,0,0.0,0,0,1401
25,GR_BONO,5,0,1,7,151.83708,0,6,1,2,114.493904,0,0,1414
26,GR_Akaps,5,3,1,7,628.3836,0,1,1,2,184.78745,0,0,1414
27,GR_Slowly,5,0,0,4,0.0,0,0,0,0,0.0,0,0,1397
28,Klux_Tera,15,0,0,0,67.78368,0,1,0,0,0.0,0,0,913
29,Klux_Aim,15,1,0,0,100.0,1,0,1,1,26.563244,0,0,898
30,Klux_Ares,15,0,0,0,21.60089,0,0,0,0,0.0,0,0,915
31,Klux_Dino,15,0,0,2,71.08705,0,0,0,0,0.0,0,1,915
32,GF_SilKanoN,1,3,1,8,347.59113,0,1,1,3,120.3131,0,0,1890
33,GF_Srong,1,3,1,7,353.71124,0,5,1,2,13.177942,1,0,1936
34,GF_C9INE,1,1,2,5,541.62805,0,2,2,2,114.23605,0,0,1842
35,GF_REAS,1,2,1,6,334.24115,0,4,1,2,45.052444,0,0,1936
36,BGP_2heart,6,1,1,4,334.8187,1,1,1,2,6.630016,3,0,1270
37,BGP_Pio,6,3,1,3,370.8714,0,2,2,3,105.54001,1,0,1261
38,BGP_Aqua5,6,1,2,3,157.9757,0,3,1,2,45.368927,0,0,1374
39,BGP_DG98,6,0,0,3,158.25308,0,0,1,1,3.6442325,0,0,1128
40,YP_Tero,10,1,0,6,100.00001,0,1,0,0,0.0,0,0,1154
41,YP_Nevaeh,10,2,0,2,272.9382,1,3,1,2,131.65773,0,0,1257
42,YP_Value,10,2,1,6,167.36293,2,4,1,2,74.80074,0,0,1185
43,YP_Rifle,10,0,1,2,85.62062,0,1,0,0,0.0,0,0,1092
44,KH_Senz,14,3,0,5,259.1264,1,1,1,2,98.34524,0,0,1035
45,KH_Jaeheon,14,0,1,4,54.68572,0,2,0,0,0.0,0,0,1032
46,KH_Dooly,14,0,0,4,0.0,0,0,0,0,0.0,0,0,1022
47,KH_RickyD,14,0,1,6,119.8949,0,2,0,0,0.0,0,0,1035
48,Re_Ruke,3,0,1,11,17.716516,0,5,0,0,0.0,0,0,1868
49,Re_Isis,3,1,1,3,305.74493,0,1,0,0,0.0,0,0,1802
50,Re_eLv,3,1,0,3,162.14111,0,1,2,2,21.178627,1,0,1665
51,Re_muel,3,0,0,7,66.14344,0,6,0,0,0.0,1,0,1818
52,GZC_Agatha,13,1,0,3,145.34178,0,1,1,1,58.81157,0,0,1048
53,GZC_LIBERO,13,0,0,2,143.59937,0,0,0,0,0.0,0,0,1009
54,GZC_CENTRE,13,2,0,2,200.0,0,5,1,1,36.09339,0,0,451
55,GZC_ZAMIL,13,0,0,0,0.0,0,0,0,0,0.0,0,0,128
56,SEE_Veritas,8,0,0,1,61.4625,0,1,0,0,0.0,0,0,333
57,SEE_Doram,8,1,1,3,196.67119,1,2,1,1,22.33553,1,0,1283
58,SEE_Eseu,8,3,0,2,409.48996,1,1,2,4,125.4353,0,0,1275
59,SEE_GRIT,8,0,0,0,46.944504,0,0,0,0,0.0,0,0,216
60,DW_Avenger,11,0,0,1,36.811752,0,0,0,0,0.0,0,0,1089
61,DW_Suit,11,0,0,4,0.0,0,1,0,0,0.0,0,0,1082
62,DW_Dera,11,0,0,0,87.25368,0,0,0,0,0.0,0,0,1060
63,DW_LeaF,11,2,1,0,285.37695,0,0,1,1,93.042625,0,0,1255
64,FSS_Fl1x,15,0,0,3,0.0,0,0,0,0,0.0,0,0,675
65,FSS_Zephyros,15,0,1,4,0.0,0,0,0,0,0.0,0,0,717
66,FSS_Heat,15,0,0,3,0.0,0,1,0,0,0.0,0,0,738
67,FSS_SunLight,15,1,0,1,156.7438,0,1,1,1,14.057356,1,0,738
68,AST_Nater,3,0,0,4,330.2347,0,5,1,1,10.793004,1,0,1530
69,AST_Hyuk,3,1,0,2,113.0725,0,0,1,2,33.453842,0,0,1105
70,AST_Lucas,3,1,0,3,367.92722,1,8,1,1,137.78209,0,0,1639
