,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_as-mrc2_01,1,0,0,0,500.0,0,0,5,5,4.5490723,0,0,144
1,LVUPGG7,6,0,0,0,0.0,0,0,0,0,0.0,0,0,125
2,LVUPGG8,5,0,0,0,0.0,0,0,0,0,0.0,0,0,135
3,LVUPGG6,4,0,0,0,0.0,0,0,0,0,0.0,0,0,136
4,LVUPGG3,2,0,0,0,0.0,0,0,0,0,0.0,0,0,144
5,LVUPGG4,3,0,0,0,0.0,0,0,0,0,0.0,0,0,140
6,pink_JangGu,6,1,0,7,228.38141,1,0,2,2,42.030014,0,0,1455
7,pink_babsanghead,6,1,1,6,142.33005,0,4,1,1,58.81615,0,0,1491
8,pink_Heather,6,0,1,5,211.78384,0,0,0,0,0.0,0,0,1464
9,pink_ddakgu,6,0,1,8,231.80948,0,0,0,0,0.0,0,0,1424
10,LVL_DulGi,7,1,0,5,239.25696,1,2,1,1,48.876923,0,0,1437
11,LVL_Dokdo,7,3,2,5,311.80154,0,1,2,3,9.571582,1,0,1444
12,LVL_Suit,7,1,3,3,64.64556,0,4,0,0,0.0,0,0,1445
13,LVL_Fury,7,0,0,2,0.0,0,1,0,0,0.0,0,0,879
14,Klux_QUEEN,14,0,0,1,0.0,0,0,0,0,0.0,0,0,769
15,Klux_ERIC,14,0,0,1,0.0,0,0,0,0,0.0,0,0,926
16,Klux_KIKU,14,1,0,4,203.73999,1,5,1,1,64.60959,0,0,1032
17,Klux_HY3ONI,14,0,0,2,0.0,0,1,0,0,0.0,0,0,999
18,Mess_Xquad,8,0,0,3,0.0,0,0,0,0,0.0,1,0,1146
19,Mess_Ispy,8,0,1,2,80.39828,0,9,0,0,0.0,1,0,839
20,Mess_SJ04,8,2,1,4,227.72,0,7,1,2,111.25662,0,0,1160
21,Mess_Solution,8,1,2,7,53.401703,0,9,1,1,7.186929,1,0,1295
22,RYL_SIHEON,16,3,0,2,270.88812,0,0,1,1,3.0574286,0,0,249
