,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_as-pac3_01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,58.285
1,CAG_Enjoy,1,0,0,0,0.0,0,0,0,0,0.0,0,0,6.759
2,AR_Ouka,4,1,1,3,196.43393,1,4,1,1,30.353086,1,0,1782.0
3,AR_Neko96,4,1,0,3,111.69715,0,0,0,0,0.0,0,0,973.0
4,AR_Dabin,4,1,1,2,253.88687,0,1,0,0,0.0,0,0,937.0
5,AR_LilyLux,4,1,0,0,109.42838,1,1,1,1,12.513989,1,0,991.0
6,BSX_SiG,13,1,0,5,118.73662,0,0,1,1,32.40131,0,0,1161.0
7,BSX_Xouyo,13,0,0,3,0.0,0,1,0,0,0.0,0,0,1161.0
8,BSX_LOLIPE,13,0,1,5,149.25883,0,5,0,0,0.0,0,0,1166.0
9,BSX_Melody,13,0,0,3,183.13367,0,0,0,0,0.0,0,0,1166.0
10,IBSG_NekoSuke,2,2,1,6,305.56107,1,3,2,2,35.263523,0,0,1875.0
11,IBSG_BoSS,2,1,2,4,563.27435,0,2,1,1,51.388706,0,0,1429.0
12,IBSG_orzMaka-jp,2,0,0,4,26.515116,0,1,0,0,0.0,1,0,1433.0
13,IBSG_Akssi,2,3,0,12,341.6239,0,6,1,1,141.35374,0,0,1875.0
14,CAG_SouLM4N,7,1,0,4,161.57776,0,0,1,1,194.47763,0,0,1519.0
15,CAG_MAOxox,7,0,0,5,116.16415,0,3,0,0,0.0,0,0,1629.0
16,CAG_Enjoy,7,1,0,7,341.6595,0,1,0,0,0.0,0,0,1522.0
17,CAG_shrkN,7,0,0,3,19.298317,0,0,0,0,0.0,1,0,1566.0
18,3RL_hirochan,3,2,1,4,298.97397,0,4,1,1,112.38313,1,0,1570.0
19,3RL_nGO,3,2,3,4,369.30698,1,4,1,2,56.370956,0,0,1650.0
20,3RL_ottyan,3,1,1,2,177.25627,0,6,1,1,159.6188,0,0,1378.0
21,3RL_Nex,3,5,4,6,1129.6289,1,5,1,6,64.73777,2,0,1871.0
22,BB_SapporoNo1,5,2,0,3,351.4919,0,1,1,2,147.50914,1,0,1723.0
23,BB_Tae9,5,3,2,2,574.0926,0,3,1,3,68.55246,0,0,1684.0
24,BB_Yasusi,5,0,1,4,103.24812,0,1,1,1,35.072838,0,0,1737.0
25,BB_Imhac,5,0,0,0,0.0,0,0,0,0,0.0,0,0,745.0
26,FG_RuM,14,0,0,1,52.8,0,1,0,0,0.0,0,0,662.0
