,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,LBWNB,1,0,0,2,78.89679,0,7,0,1,35.77736,1,0,968.441
1,Yolo,1,0,0,0,0.0,0,0,0,0,0.0,0,1,741.931
2,VSPN_OB07,3,0,0,2,0.0,0,0,0,0,0.0,0,1,792.067
3,VSPN_OB06,3,0,0,5,0.0,0,9,0,0,0.0,2,0,946.135
4,laolv,2,0,0,3,0.0,0,4,0,0,0.0,0,1,804.063
5,es_test-pcl_01,2,0,0,2,0.0,0,6,0,0,0.0,0,0,968.324
6,LBWNB,2,0,0,2,0.0,0,13,0,0,0.0,1,1,954.763
7,Yolo,2,0,0,4,0.0,0,19,0,0,0.0,0,0,954.772
8,VSPN_OB06,1,0,0,4,0.0,0,8,0,0,0.0,0,0,954.906
9,VSPN_OB07,1,1,0,3,68.19986,0,1,0,0,0.0,0,0,832.684
10,laolv,3,0,0,0,0.0,0,0,0,0,0.0,0,1,732.615
11,es_test-pcl_01,3,0,0,3,0.0,0,6,0,0,0.0,2,0,808.675
12,Yolo,3,0,0,0,59.09475,0,1,0,0,0.0,0,0,503.562
13,LBWNB,3,2,0,3,160.19113,1,2,0,2,16.331303,0,0,519.511
14,VSPN_OB07,2,0,0,0,0.0,0,0,0,0,0.0,0,0,368.835
15,VSPN_OB06,2,0,0,1,318.0504,0,0,0,2,9.689183,0,0,632.071
16,laolv,1,0,0,2,100.0,1,0,0,1,44.30564,0,0,632.191
17,es_test-pcl_01,1,1,0,2,89.734634,0,1,0,0,0.0,0,0,457.384
18,Yolo,1,0,0,0,0.0,0,0,0,0,0.0,0,0,3.746
19,Yolo,3,2,1,2,97.285995,0,5,0,1,5.1812577,0,0,1097.501
20,LBWNB,3,1,0,1,113.636856,0,4,0,0,0.0,3,0,1097.494
21,es_test-pcl_01,2,2,0,4,150.98433,0,1,0,0,0.0,1,0,1128.906
22,laolv,2,0,0,0,0.0,0,0,0,0,0.0,1,0,1108.514
23,VSPN_OB06,1,3,1,4,252.64102,1,1,0,3,53.054882,1,0,1129.025
24,VSPN_OB07,1,1,0,0,10.0,0,0,0,1,0.80065453,0,0,1120.047
25,VSPN_OB06,2,0,0,0,0.0,0,0,0,0,0.0,0,0,107.101
26,LBWNB,3,0,0,0,0.0,0,0,0,0,0.0,0,0,104.593
27,es_test-pcl_01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,107.235
28,LBWNB,1,0,0,0,0.0,0,1,0,0,0.0,0,0,587.934
29,VSPN_OB06,2,0,0,3,98.44031,1,0,0,1,121.88714,0,1,587.799
30,VSPN_OB08,3,0,0,0,0.0,0,0,0,0,0.0,0,0,545.677
31,VSPN_OB08,1,2,1,0,170.822,1,1,0,2,30.057745,1,0,399.024
32,Yolo,1,0,0,0,62.0,0,0,0,1,9.449962,0,0,399.024
33,laolv,1,0,1,0,125.388,0,0,0,0,0.0,0,0,399.024
34,es_test-pcl_01,2,2,0,0,22.800001,0,0,0,0,0.0,1,1,398.913
35,VSPN_OB06,2,0,0,0,96.8,0,0,0,0,0.0,0,0,398.896
36,es_as-pcl20_01,2,0,0,0,0.0,0,0,0,0,0.0,0,0,398.904
37,LBWNB,2,1,0,1,77.2,0,1,0,0,0.0,0,0,398.905
38,es_test-pcl_01,2,1,0,0,83.556564,0,0,0,0,0.0,1,0,322.946
39,es_as-pcl20_01,2,1,0,1,80.65001,0,1,0,0,0.0,1,0,324.409
40,VSPN_OB08,1,0,0,2,0.0,0,5,0,0,0.0,0,0,324.53
41,LBWNB,1,0,0,0,0.0,0,0,0,0,0.0,0,0,324.53
42,VSPN_OB06,1,1,0,0,10.0,0,0,0,1,19.918934,1,0,324.53
43,laolv,1,3,0,0,273.79324,0,0,0,1,13.365737,1,0,324.53
44,VSPN_OB08,2,1,0,2,119.099,0,4,0,1,35.38148,0,0,397.749
45,es_test-pcl_01,2,1,1,2,123.301,0,2,0,1,25.218931,1,0,397.757
46,es_as-pcl20_01,1,1,0,1,139.62256,0,1,0,0,0.0,0,0,374.829
47,laolv,1,0,0,1,89.2,0,2,0,0,0.0,0,0,281.828
48,LBWNB,1,0,0,0,82.0,0,0,0,1,37.203697,0,0,397.871
49,VSPN_OB06,1,2,0,1,115.47557,0,0,0,1,3.1396084,1,0,397.871
