,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,VSPN_OB6,1,0,0,0,99.99999,0,0,1,1,22.628084,0,0,89.508
1,VSPN_OB8,2,0,0,0,0.0,0,0,0,0,0.0,0,0,89.49
2,VSPN_OB4,1,0,0,0,0.0,0,0,0,0,0.0,0,0,2.43
3,es_as-pclps19_01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,1.555
4,KL_f0rgen1337,13,0,0,1,0.0,0,0,0,0,0.0,0,0,1141.31
5,KL_acKerman,13,0,0,0,77.9881,0,0,1,1,69.927345,0,0,1127.231
6,KL_Weim1n,13,0,1,0,137.71558,0,0,0,0,0.0,0,0,1165.828
7,KL_BLOSSOM,13,0,0,0,0.0,0,0,0,0,0.0,0,0,1141.299
8,XJ_TianGou11,8,0,0,4,87.35226,0,6,0,0,0.0,1,0,1403.471
9,XJ_Yixiao,8,1,1,5,188.50908,0,6,1,1,53.11528,0,0,1440.015
10,XJ_Dongxin,8,1,0,4,100.0,0,6,1,1,62.0655,0,0,1217.288
11,XJ_Sk11,8,0,1,3,87.38251,1,2,1,1,67.3894,1,0,1434.916
12,JStar_Luobo,14,0,0,2,0.0,0,2,0,0,0.0,0,0,1111.374
13,JStar_oopS,14,0,0,4,97.64047,0,1,0,0,0.0,1,0,1103.065
14,JStar_XiaoBin,14,0,0,3,18.707582,0,4,0,0,0.0,0,0,1003.238
15,JStar_1LIN,14,1,0,2,74.883965,0,1,0,0,0.0,0,0,999.632
16,FTQ_ZhouKe,2,0,1,2,379.069,1,1,1,1,370.4452,0,0,1707.021
17,FTQ_95k,2,6,3,4,951.5417,1,1,2,7,274.85815,1,0,1712.802
18,FTQ_DYY,2,2,1,3,225.13379,0,2,2,4,248.85492,0,0,1675.667
19,FTQ_Hang2y,2,1,2,3,711.3684,0,1,2,4,349.51608,0,0,1705.136
20,CL_Hibiki,4,1,0,3,133.73439,0,4,1,1,2.0300007,1,0,1527.821
21,CL_daggers,4,1,0,4,338.50497,0,2,1,1,4.398033,0,0,1521.569
22,CL_SR,4,0,1,5,243.9721,0,7,0,0,0.0,0,0,1444.613
23,CL_Sakura79,4,1,1,3,217.17561,1,9,2,3,24.408352,2,0,1485.358
24,KP_JYQAQ,15,0,1,1,232.80888,0,1,0,0,0.0,0,0,892.373
25,KP_daben,15,3,0,3,393.5144,0,1,3,4,49.96059,0,0,906.881
26,KP_MuCoffeee,15,0,1,1,65.62016,0,7,0,0,0.0,0,0,843.737
27,KP_S1Yue,15,2,1,4,186.21474,1,3,1,1,38.015343,0,0,878.187
28,TJ_FreeJimboy,1,1,0,2,300.66553,0,0,1,1,109.46867,0,0,1712.844
29,TJ_UniverseZero,1,3,1,6,581.0166,1,2,1,4,357.732,0,0,1712.844
30,TJ_GoodBoyNB2020,1,1,4,3,93.92239,0,0,0,0,0.0,0,0,1712.844
31,TJ_NJQAQ,1,4,1,2,314.68463,0,3,2,4,199.83936,0,0,1712.844
32,VTOP_AZ,10,1,0,4,134.18826,0,4,0,0,0.0,0,0,1238.397
33,VTOP_GxNBBBBBBB,10,2,0,5,136.64496,0,2,1,2,234.06355,0,0,1247.755
34,VTOP_peiLin,10,2,1,4,290.26892,1,1,1,2,39.106167,0,0,1406.981
35,VTOP_respectK0BE,10,0,1,5,92.40582,0,3,0,0,0.0,0,0,1246.784
36,BHGS_MoQiU_,16,0,0,0,0.0,0,0,0,0,0.0,0,0,510.371
37,BHGS_DD,16,0,0,0,0.0,0,0,0,0,0.0,0,0,510.36
38,BHGS_LJs,16,0,0,0,49.200005,0,0,0,0,0.0,0,0,507.407
39,BHGS_DY,16,0,0,1,35.9775,0,0,0,0,0.0,0,0,503.324
40,BS_BeiQiu,3,3,2,6,320.07172,1,3,2,3,76.20767,0,0,1583.971
41,BS_ZiYuuuu,3,0,2,3,16.499023,0,3,0,0,0.0,1,0,1631.953
42,BS_YuHappY,3,0,1,2,18.449999,0,3,0,0,0.0,0,0,1631.97
43,BS_Y1ngMuu,3,2,0,3,110.79319,0,1,2,2,63.352154,0,0,1631.962
44,COC_XS,7,0,0,7,57.293114,0,7,0,0,0.0,0,0,1418.125
45,COC_Nannnnn,7,0,0,5,108.29982,0,4,0,0,0.0,0,0,1442.42
46,COC_luluHXxx,7,1,0,8,187.01395,1,2,1,2,110.43859,0,0,1420.603
47,COC_PigNanss_,7,0,3,6,146.54071,0,3,0,0,0.0,0,0,1442.41
48,Wz_Anq1an,9,0,0,3,33.80243,0,2,0,0,0.0,0,0,1431.651
49,Wz_Leyii,9,0,0,2,61.047474,0,0,0,0,0.0,0,0,1431.663
50,Wz_128i,9,0,0,3,120.09042,0,1,0,0,0.0,1,0,1431.678
51,Wz_S1mPle,9,1,1,3,197.49995,0,1,0,0,0.0,0,0,1431.669
52,SMS_BBQFish,5,0,0,5,146.85977,0,1,0,0,0.0,0,0,1440.297
53,SMS_21ih4m,5,3,1,0,337.54004,1,0,1,1,7.106981,0,0,1461.844
54,SMS_GrandMaSS,5,2,0,2,320.39395,1,1,1,1,34.645287,0,0,1446.596
55,SMS_lsabellae,5,1,0,2,182.41,0,1,0,0,0.0,0,0,1078.851
56,iG_fc4t,6,0,2,5,220.11641,0,1,1,1,0.0,1,0,1460.443
57,iG_755,6,0,0,0,18.449999,0,0,0,0,0.0,0,0,863.592
58,iG_KiLLerD,6,3,1,6,543.43384,1,14,1,4,342.9671,0,0,1443.117
59,iG_QingTiann,6,2,2,6,270.29523,1,4,1,2,13.96936,1,0,1460.455
60,Axi_Z1yinkk,11,1,2,6,226.06866,0,6,0,0,0.0,0,0,1294.985
61,Axi_Sao,11,0,0,4,201.11609,0,8,0,0,0.0,0,0,1294.975
62,Axi_HolyGui,11,0,1,4,92.645935,0,2,0,0,0.0,0,0,1037.045
63,Axi_J9_,11,0,0,2,76.14691,0,3,0,0,0.0,0,0,1067.476
64,JJH_ODDkk,12,2,0,5,90.88739,0,4,0,0,0.0,0,0,1252.37
65,JJH_1RaNNN,12,2,1,4,387.01428,0,3,0,0,0.0,1,0,1264.784
66,JJH_XintAiGG,12,0,0,0,0.0,0,0,0,0,0.0,0,0,463.475
67,JJH_xxxMa,12,0,0,3,0.0,0,1,0,0,0.0,0,0,1169.963
68,KP_MuCoffeee,12,1,1,1,100.0,0,0,0,0,0.0,0,0,1117.698
69,KP_JYQAQ,12,1,0,0,128.29001,0,0,1,1,13.558401,0,0,1117.707
70,KP_daben,12,0,1,1,63.96,0,0,0,0,0.0,0,0,1117.677
71,KP_S1Yue,12,1,1,0,119.016685,0,0,1,1,32.961033,0,0,1117.688
72,COC_XS,9,0,1,1,80.56773,0,1,0,0,0.0,0,0,1133.125
73,COC_PigNanss_,9,2,1,5,100.00001,0,5,1,2,56.012257,0,0,1187.788
74,COC_Nannnnn,9,2,0,6,250.80502,1,2,1,3,105.885254,0,0,1133.788
75,COC_luluHXxx,9,1,1,6,146.6575,0,4,1,1,9.2405815,1,0,1224.983
76,FTQ_DYY,13,1,1,3,151.71976,1,0,1,2,343.62515,0,0,1097.884
77,FTQ_95k,13,0,1,1,144.20212,0,0,0,0,0.0,0,0,1113.102
78,FTQ_Hang2y,13,1,1,5,339.86423,0,3,1,1,0.0,1,0,1113.091
79,FTQ_ZhouKe,13,1,0,3,51.469955,1,6,1,1,24.156397,0,0,1084.023
80,TJ_NJQAQ,1,0,0,0,0.0,0,0,0,0,0.0,0,0,259.621
81,TJ_GoodBoyNB2020,1,1,0,5,101.05422,0,0,1,1,11.41095,1,0,1805.38
82,TJ_UniverseZero,1,2,1,4,309.46783,0,1,2,2,38.90634,0,0,1805.38
83,TJ_FreeJimboy,1,2,1,6,330.93945,0,2,1,2,83.997314,0,0,1805.38
84,iG_KiLLerD,3,0,1,5,232.81256,1,1,1,1,53.330734,0,0,1692.242
85,iG_755,3,0,2,6,276.44968,0,5,1,1,126.95747,1,0,1701.258
86,iG_QingTiann,3,1,0,2,393.1634,1,2,1,2,52.21334,0,0,1708.129
87,iG_fc4t,3,2,1,3,174.64157,0,1,1,1,20.59886,0,0,1703.666
88,VTOP_respectK0BE,11,1,0,2,109.413795,0,0,1,1,69.6269,0,0,1056.904
89,VTOP_peiLin,11,0,0,0,0.0,0,0,0,0,0.0,0,0,609.712
90,VTOP_GxNBBBBBBB,11,0,1,3,26.821701,0,0,0,0,0.0,0,0,1004.824
91,VTOP_AZ,11,2,0,3,179.10362,1,1,1,2,82.188385,0,0,1192.774
