,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,MaD_EEND,16,0,0,0,0.0,0,1,0,0,0.0,0,0,608.728
1,MaD_DAEVA,16,0,0,0,72.0,0,0,0,0,0.0,0,0,592.312
2,MaD_2tap,16,2,0,1,149.9622,0,0,0,0,0.0,0,0,608.732
3,MaD_Lash,16,0,0,1,67.32,0,0,0,0,0.0,0,0,599.546
4,GEX_ZhenNan,14,0,0,5,0.0,0,20,0,0,0.0,0,1,991.594
5,GEX_YanLi,14,0,0,4,0.0,0,19,0,0,0.0,0,0,1037.222
6,GEX_BuYoHoo,14,0,0,6,0.0,0,22,0,0,0.0,0,0,1065.481
7,GEX_Savior,14,0,0,5,0.0,0,21,0,0,0.0,0,0,1059.482
8,E36_amonot,11,0,0,3,0.0,0,0,0,0,0.0,0,0,1161.579
9,E36_indigo,11,0,0,2,75.601395,0,1,0,0,0.0,0,0,1164.093
10,E36_Giken,11,0,0,7,9.650569,0,1,0,0,0.0,0,0,1141.464
11,E36_Pureboy,11,0,0,2,0.0,0,1,0,0,0.0,0,0,1160.119
12,T1_Aqua5,9,1,1,3,232.54414,0,3,0,0,0.0,0,0,1243.934
13,T1_BeaN,9,0,0,1,0.0,0,0,0,0,0.0,0,0,765.163
14,T1_Daengchae,9,0,0,0,0.0,0,0,0,0,0.0,0,0,653.984
15,T1_Hulk,9,0,0,0,42.0,0,0,0,0,0.0,0,0,664.225
16,GBL_Spear,6,1,2,5,203.52336,1,4,2,2,323.1581,1,0,1452.212
17,GBL_Renba,6,0,2,5,197.85648,0,4,0,0,0.0,0,0,1228.686
18,GBL_Adder,6,3,2,2,224.70708,0,4,1,2,343.90588,1,0,1452.215
19,GBL_Lambu,6,4,0,8,354.8317,1,3,3,5,290.17587,1,0,1452.209
20,4AM_GODV,15,0,0,5,0.0,0,2,0,0,0.0,0,0,1028.098
21,4AM_CRAZY112,15,0,0,7,25.259024,0,4,0,0,0.0,0,0,1028.092
22,4AM_xxxLu,15,0,0,4,30.278048,0,1,0,0,0.0,0,0,1028.095
23,4AM_Forever,15,0,0,4,27.25797,0,1,0,0,0.0,0,0,1028.09
24,GFY_LanBoO,10,1,1,1,100.0,0,0,0,0,0.0,0,0,1239.644
25,GFY_Loong,10,0,0,2,115.43439,0,3,0,0,0.0,0,0,1222.16
26,GFY_ATongMuu,10,1,0,2,178.71289,0,0,0,0,0.0,0,0,1220.016
27,GFY_911x,10,1,1,3,152.01518,0,1,0,0,0.0,0,0,1232.096
28,KIA_Seongjang,3,3,2,1,560.7772,1,0,1,2,49.33242,1,0,1815.331
29,KIA_Loki,3,0,1,10,184.24423,0,9,1,1,200.4755,0,0,1807.787
30,KIA_Under,3,2,0,5,441.34128,1,1,1,2,217.26039,0,0,1640.111
31,KIA_WICK2D,3,1,1,1,158.71402,0,3,1,1,263.85056,2,0,1815.329
32,PeRo_grayyyyyy,12,0,0,2,0.0,0,1,0,0,0.0,0,0,463.039
33,PeRo_Aixleft,12,1,2,2,254.7521,1,3,1,2,138.5466,0,0,1137.872
34,PeRo_Myl,12,0,0,2,174.49117,0,0,0,0,0.0,0,0,1099.57
35,PeRo_Mamu,12,3,0,2,300.19717,1,1,2,4,206.48135,0,0,1155.65
36,17_shou,8,0,1,5,242.02832,0,5,2,3,231.1785,0,0,1298.179
37,17_SuJiu,8,2,0,2,213.82916,0,1,1,2,63.85292,0,0,1296.384
38,17_LilGhost,8,3,3,2,452.36197,0,1,1,4,168.84708,0,0,1281.313
39,17_Xbei,8,0,1,0,182.36783,0,0,0,0,0.0,0,0,663.147
40,AF_EJ,5,0,0,2,147.61787,0,0,0,0,0.0,0,0,1390.854
41,AF_Hansia,5,2,1,3,256.429,0,1,2,3,36.933895,2,0,1472.05
42,AF_Hikari,5,1,0,4,371.18558,0,2,0,0,0.0,0,0,1426.826
43,AF_Akad,5,1,1,0,118.57137,0,1,1,1,7.5016046,0,0,1472.047
44,emT_YunJong,4,2,2,8,538.5916,0,10,2,4,119.8895,0,0,1772.856
45,emT_Gyuyeon,4,3,1,2,244.08687,0,6,1,1,32.339317,2,0,1752.704
46,emT_Piky,4,0,0,3,130.23834,0,3,1,1,66.12569,0,0,1659.749
