,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,GEX_Savior,6,2,0,5,216.69006,0,9,0,0,0.0,0,0,1333
1,GEX_SSR,6,2,0,1,302.88504,0,1,0,0,0.0,1,0,1343
2,GEX_YanLi,6,1,1,2,204.69597,0,7,2,2,74.337906,0,0,1331
3,GEX_ZhenNan,6,0,1,3,74.203995,0,2,0,0,0.0,0,0,1285
4,ENCE_SKUIJKE,16,2,0,2,186.4367,0,1,0,0,0.0,1,0,1052
5,ENCE_Rustanmar,16,1,0,2,96.1976,0,1,0,0,0.0,0,0,1052
6,ENCE_Tiikzu,16,0,0,0,0.0,0,0,0,0,0.0,0,0,873
7,ENCE_D1gg3r1,16,0,0,0,21.6,0,0,0,0,0.0,1,0,1052
8,SSG_Sharpshot4k,10,0,0,5,62.04,0,6,0,0,0.0,0,0,946
9,SSG_Roth,10,0,0,5,0.0,0,6,0,0,0.0,0,0,964
10,SSG_Keenan,10,1,0,6,158.07497,0,16,1,2,8.188432,0,0,1184
11,SSG_oldless,10,1,0,3,96.8827,0,5,1,1,51.987076,2,0,986
12,TSM_FTX_penta,13,1,0,2,124.07435,0,6,1,1,9.203948,0,0,1139
13,TSM_FTX_ALOW,13,0,0,4,194.34344,0,1,0,0,0.0,0,0,1045
14,TSM_FTX_luke12,13,0,0,0,0.0,0,0,0,0,0.0,0,0,495
15,TSM_FTX_Purdy,13,1,0,4,157.56099,0,4,1,2,44.39728,0,0,1000
16,NH_Nannnnn,4,0,0,4,207.5394,0,4,0,0,0.0,0,0,1483
17,NH_ZpYan1,4,2,0,5,550.51117,0,2,1,2,468.9615,0,0,1507
18,NH_HSmm,4,2,0,4,144.41402,1,0,1,2,377.21555,0,0,1497
19,NH_MMing,4,3,0,6,505.97595,0,5,1,1,253.17987,0,0,1535
20,PeRo_Aixleft,1,3,2,6,518.3968,1,6,1,3,117.030525,0,0,1696
21,PeRo_Mamu,1,0,0,2,257.68707,0,9,0,0,0.0,1,0,1655
22,PeRo_Myl,1,2,2,6,190.14343,1,4,1,1,158.04762,0,0,1696
23,PeRo_mingz1,1,1,2,3,196.16039,1,3,1,2,117.469765,1,0,1696
24,KPI_SzylzEN,7,2,2,4,373.76276,0,0,2,3,75.921524,0,0,1297
25,KPI_Dr4FTk1NG,7,0,1,3,153.77902,0,0,1,2,283.54718,0,0,1297
26,KPI_Em1hh,7,1,1,6,133.86357,0,0,1,1,54.57698,0,0,1297
27,KPI_Capitan,7,0,0,2,79.684616,0,1,0,0,0.0,0,0,921
28,NAVI_Qwizzy,11,1,0,3,107.62282,0,2,2,2,17.728443,2,0,1134
29,NAVI_Mellman,11,0,1,2,37.560543,0,2,0,0,0.0,0,0,1159
30,NAVI_xmpl,11,3,0,2,344.73776,1,2,3,4,15.870321,0,0,1173
31,NAVI_alya,11,3,3,4,391.68628,0,4,1,1,44.27044,1,0,1172
