,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,17_shou,6,0,0,8,225.19678,0,7,1,1,125.37623,0,0,1574
1,17_LilGhost,6,0,0,5,46.643265,0,5,0,0,0.0,0,0,1394
2,17_SuJiu,6,0,0,7,225.57913,0,7,0,0,0.0,0,0,1553
3,17_Xbei,6,4,2,5,362.06375,0,4,1,3,114.742096,3,0,1605
4,PeRo_Aixleft,9,2,1,5,393.44693,0,0,1,2,306.46967,1,0,1304
5,PeRo_Myl,9,0,1,5,105.83943,0,2,0,0,0.0,0,0,1329
6,PeRo_mingz1,9,1,1,6,330.03857,1,9,1,1,75.8302,1,0,1414
7,PeRo_Mamu,9,3,0,7,370.25854,1,10,3,4,138.93176,0,0,1356
8,MaD_EEND,11,0,0,2,101.18744,0,1,0,0,0.0,0,0,1274
9,MaD_2tap,11,1,0,3,100.0,0,1,0,0,0.0,0,0,1268
10,MaD_Lash,11,0,0,1,63.931595,0,0,0,0,0.0,0,0,1274
11,MaD_DAEVA,11,0,0,2,84.65551,1,1,1,1,56.53564,0,0,1274
12,FURY_Insight,1,4,1,6,558.80237,0,1,1,3,147.27426,1,0,1890
13,FURY_Ronon,1,2,2,4,365.71582,0,4,1,1,40.388134,0,0,1785
14,FURY_Ykikamucow,1,0,0,4,239.91634,0,4,1,1,231.0423,0,0,1782
15,FURY_Fludd,1,2,0,3,233.61044,0,4,1,1,41.199913,0,0,1890
16,FaZe_Fuzzface,5,0,1,2,74.47177,0,4,1,2,566.4241,0,0,1527
17,FaZe_Fexx,5,1,0,2,81.43692,0,1,1,1,54.19854,0,0,1350
18,FaZe_Aitzy,5,1,1,3,215.96347,0,1,1,1,39.68038,1,0,1620
19,FaZe_Gustav,5,1,0,7,299.6344,0,7,1,1,30.9155,1,0,1516
20,SQ_Shrimzy,3,0,0,7,115.249565,0,1,0,0,0.0,0,0,1655
21,SQ_TGLTN,3,3,2,7,767.856,1,5,2,3,202.88771,1,0,1842
22,SQ_M1ME,3,1,1,8,184.66217,1,6,2,2,319.43588,1,0,1842
23,SQ_hwinn,3,1,1,5,304.51297,0,2,1,2,269.53528,0,0,1667
24,DIG_sparkingg,4,5,1,8,694.53253,1,7,2,6,195.0584,0,0,1624
25,DIG_Poonage,4,0,0,4,94.54138,0,1,0,0,0.0,1,0,1548
26,DIG_HoneyBadger,4,1,4,5,555.5357,0,2,0,0,0.0,1,0,1624
27,DIG_Shinboi,4,2,1,7,271.75455,2,10,1,2,264.23636,0,0,1534
28,GNL_Tosi,16,1,0,4,157.1131,0,0,0,0,0.0,0,0,1011
29,GNL_Corn,16,2,0,2,206.99231,1,1,1,2,127.41526,0,0,1018
30,GNL_Americano,16,0,0,0,0.0,0,0,0,0,0.0,0,0,745
31,GNL_Heaven,16,0,0,4,20.136868,0,3,0,0,0.0,0,0,1010
32,OATH_Relo,8,2,0,5,144.70184,0,5,1,1,109.29936,0,0,1504
33,OATH_Kickstart,8,0,0,3,0.0,0,1,0,0,0.0,0,0,948
34,OATH_Balefrost,8,0,1,5,74.088,0,3,0,0,0.0,1,0,1487
35,OATH_Snakers,8,0,0,0,0.0,0,0,0,0,0.0,0,0,657
36,E36_indigo,10,0,0,2,72.3318,0,1,1,1,78.32768,0,0,1271
37,E36_amonot,10,1,2,3,167.28862,0,1,0,0,0.0,0,0,1321
38,E36_Starlord,10,0,0,3,136.37201,0,2,0,0,0.0,0,0,1321
39,E36_Pureboy,10,1,0,4,51.868835,0,1,1,1,26.181292,1,0,1321
40,MCG_EviLLee,15,1,1,2,277.2432,0,0,0,0,0.0,0,0,1086
41,MCG_LingDuuuuuu,15,0,0,0,0.0,0,0,0,0,0.0,0,0,1032
42,MCG_Tanki995,15,0,0,0,25.73109,0,1,0,0,0.0,0,0,1037
43,MCG_Summer,15,1,0,0,136.04875,0,0,1,1,16.614473,0,0,997
44,AAA_Gems,13,1,0,2,148.53,0,6,0,0,0.0,1,0,1114
45,AAA_Glooms,13,0,0,4,18.71815,0,2,0,0,0.0,0,0,1101
46,AAA_J4nku2of,13,0,0,0,67.50015,0,0,0,0,0.0,0,0,1058
47,AAA_Jayers,13,0,0,4,127.36759,0,5,0,0,0.0,0,0,1099
48,BRU_GodMiao,14,0,0,0,50.006622,0,0,0,0,0.0,1,0,1022
49,BRU_Noardra,14,2,0,4,376.22632,0,4,2,3,146.15723,0,0,1093
50,BRU_Conaxy,14,0,0,2,0.0,0,1,0,0,0.0,0,0,986
51,BRU_Eaddy,14,3,1,1,347.58487,1,0,2,3,74.76991,0,0,1082
52,BBL_CodeMarco,7,3,0,4,431.65714,0,1,1,2,409.6223,0,0,1173
53,BBL_Smash,7,1,1,7,413.86475,0,11,0,0,0.0,2,0,1569
54,BBL_mert,7,0,0,2,150.8993,0,2,0,0,0.0,0,0,1441
55,BBL_Mitraleius,7,2,1,4,361.72607,0,2,0,0,0.0,0,0,1533
56,KX_YUPPIE,12,0,0,3,65.40096,0,2,0,0,0.0,0,0,1192
57,KX_Cobra,12,0,0,3,69.375595,0,1,0,0,0.0,0,0,1187
58,KX_Lanren,12,0,0,2,0.0,0,0,0,0,0.0,0,0,1192
59,KX_Yuren,12,1,0,1,100.0,0,0,0,0,0.0,0,0,1136
