,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,TL_jeemzz,5,0,0,0,0.0,0,1,0,0,0.0,0,0,265.397
1,TL_mxey,5,2,2,6,219.03252,0,0,0,0,0.0,0,0,1613.39
2,TL_ibiza,5,0,0,1,45.763756,0,0,0,0,0.0,0,0,225.879
3,TL_clib,5,0,0,0,62.424343,0,0,0,0,0.0,0,0,261.59
4,FUR_killdemo,2,1,2,3,527.2339,1,0,3,4,175.90523,0,0,1637.725
5,FUR_raspu,2,0,0,0,0.0,0,0,0,0,0.0,0,0,654.646
6,FUR_NecroAQN,2,4,0,5,619.33594,1,9,1,2,66.360565,0,0,1370.998
7,FUR_rustyzera,2,1,0,5,144.7931,0,4,1,1,61.981327,0,0,1677.956
8,AAA_Boblee,14,0,0,3,139.26,0,1,0,0,0.0,0,0,887.613
9,AAA_J4nku2of,14,0,0,1,0.0,0,1,0,0,0.0,0,0,867.473
10,AAA_Gems,14,0,0,0,41.802925,0,0,0,0,0.0,0,0,867.823
11,AAA_Jayers,14,2,1,2,379.95465,1,3,1,2,266.6039,0,0,1158.316
12,TSM_Iroh,6,0,0,2,93.61349,0,3,0,0,0.0,0,0,1042.581
13,TSM_Wookiebookie,6,0,1,7,277.34616,1,14,1,1,342.19473,0,0,1602.649
14,TSM_vard,6,0,0,5,97.15863,0,2,0,0,0.0,0,0,1439.288
15,TSM_MiracU,6,4,0,6,198.15938,0,12,1,3,262.11658,2,0,1605.087
16,DGW_Machao,1,2,1,4,211.7828,1,2,1,2,181.78458,0,0,1678.101
17,DGW_Melofo,1,1,1,6,401.54852,0,1,1,2,65.640564,0,0,1678.101
18,DGW_Gokuri,1,1,2,4,740.75836,0,2,1,1,158.68652,0,0,1678.101
19,DGW_SSeeS,1,1,0,1,279.14737,0,1,2,2,73.41279,0,0,1678.101
20,ENCE_Rustanmar,8,0,0,2,130.27087,0,1,0,0,0.0,0,0,1360.876
21,ENCE_Tiikzu,8,1,0,1,100.0,0,1,0,0,0.0,0,0,1358.314
22,ENCE_SKUIJKE,8,1,0,5,292.14053,1,6,1,1,68.77409,0,0,1463.132
23,ENCE_D1gg3r1,8,2,1,1,539.294,0,0,1,2,60.074203,1,0,1480.68
24,4AM_xxxLu,15,1,0,3,123.282974,0,3,1,1,15.369901,0,0,1095.225
25,4AM_Forever,15,1,1,3,70.086655,0,3,1,1,88.01702,0,0,1095.237
26,4AM_Godv,15,1,0,2,109.08023,1,6,1,1,54.56047,1,0,1081.179
27,4AM_CRAZY112,15,0,1,4,53.880157,0,3,0,0,0.0,0,0,1074.053
28,TSG_ShanD1anX,4,0,1,2,182.81204,0,2,0,0,0.0,0,0,1630.056
29,TSG_IAMSIA,4,4,1,6,683.0895,3,3,1,5,98.377975,0,0,1654.85
30,TSG_VoliBEAR,4,4,1,3,391.91998,0,1,1,3,65.3785,0,0,1617.643
31,TSG_PengEGM,4,0,0,2,25.698301,0,2,0,0,0.0,0,0,1273.488
32,BRU_Eaddy,16,0,0,3,55.37046,0,5,0,0,0.0,0,0,1007.035
33,BRU_Noardra,16,1,0,3,99.99999,0,0,0,0,0.0,0,0,935.54
34,BRU_GodMiao,16,0,0,0,0.0,0,0,0,0,0.0,0,0,924.223
35,BRU_Conaxy,16,0,0,2,0.0,0,0,0,0,0.0,0,0,967.837
36,LGDV_Turtle,11,0,0,3,0.0,0,2,0,0,0.0,0,0,986.958
37,LGDV_Leviz,11,1,0,3,355.52737,1,0,1,1,5.4250393,0,0,1281.331
38,LGDV_Junnn,11,0,0,1,116.15224,0,4,0,0,0.0,1,0,1354.793
39,LGDV_JEnd,11,0,0,4,0.0,0,4,0,0,0.0,0,0,1356.33
40,GEX_YanLi,13,1,0,0,52.515343,0,1,1,1,320.5121,0,0,1145.322
41,GEX_Cc,13,0,1,3,28.55988,0,2,0,0,0.0,1,0,1164.948
42,GEX_Leo,13,0,1,4,216.23013,1,6,1,1,268.1622,0,0,1166.085
43,GEX_MaoYe56,13,0,0,2,58.433163,0,3,0,0,0.0,0,0,1162.087
44,KIA_Under,10,1,0,3,302.16205,1,1,1,1,37.032604,0,0,1358.489
45,KIA_indigo,10,1,0,3,255.34892,0,2,0,0,0.0,0,0,1304.569
46,KIA_kAyle,10,1,1,2,149.48386,0,3,0,0,0.0,0,0,1358.478
47,KIA_Seongjang,10,0,0,0,223.45973,0,0,0,0,0.0,0,0,1305.638
48,ZEN_Poonage,12,1,1,2,100.0,1,1,1,1,153.49185,0,0,1100.783
49,ZEN_Shinboi,12,1,0,3,297.94168,0,2,1,2,113.757195,2,0,1283.607
50,ZEN_Kickstart,12,2,1,4,255.2386,0,2,1,1,100.79893,0,0,1283.62
51,ZEN_Roth,12,0,2,6,518.20325,0,8,1,1,440.96823,0,0,1278.65
52,K7_BuYoHoo,7,2,1,8,230.8338,0,2,1,1,4.891443,1,0,1501.475
53,K7_ZhenNan,7,0,1,7,90.71938,0,3,1,1,45.017303,1,0,1524.438
54,K7_Lokslok,7,1,1,10,399.0119,0,7,1,1,46.836987,0,0,1469.854
55,K7_Savior,7,0,0,7,93.559875,0,7,1,1,76.81794,1,0,1517.729
56,FaZe_Gustav,3,1,0,8,209.89818,0,3,1,2,178.85977,0,0,1658.27
57,FaZe_ubah,3,1,1,3,584.4539,0,0,1,1,16.024487,0,0,1665.441
58,FaZe_Aitzy,3,0,0,1,130.31078,1,0,1,1,135.41974,0,0,1658.616
59,FaZe_Fuzzface,3,3,1,3,426.60406,2,5,1,4,184.09967,0,0,1663.376
60,STK_aLOW,9,1,0,7,172.33351,0,4,1,1,183.51878,0,0,1364.22
61,STK_PurdyKurty,9,1,1,4,153.7382,0,2,0,0,0.0,0,0,1264.869
62,STK_luke12,9,0,0,3,211.02956,0,1,0,0,0.0,0,0,1278.944
63,STK_pentalol,9,0,1,3,136.07823,0,2,0,0,0.0,1,0,1364.208
64,TSM_MiracU,6,0,1,3,162.61165,0,2,0,0,0.0,1,0,1612.106
65,TSM_Wookiebookie,6,0,0,3,58.808575,0,3,0,0,0.0,0,0,1626.754
66,TSM_Iroh,6,3,0,5,421.2783,0,3,1,2,1.636086,0,0,1202.249
67,TSM_vard,6,0,1,2,296.11932,0,3,0,0,0.0,0,0,1171.599
68,ENCE_Tiikzu,8,2,0,4,279.92773,0,3,1,1,124.12047,1,0,1521.319
69,ENCE_Rustanmar,8,1,1,3,183.526,0,0,0,0,0.0,0,0,1521.33
70,ENCE_D1gg3r1,8,0,1,3,145.73416,0,5,0,0,0.0,1,0,1521.341
71,ENCE_SKUIJKE,8,0,0,4,0.0,0,4,0,0,0.0,0,0,1488.341
72,DGW_Gokuri,10,2,1,2,387.35178,0,1,0,0,0.0,0,0,1323.919
73,DGW_SSeeS,10,0,0,1,100.777435,0,2,0,0,0.0,0,0,1323.91
74,DGW_Melofo,10,1,0,6,152.17921,0,3,1,1,42.47751,1,0,1323.9
75,DGW_Machao,10,0,1,3,131.9875,0,5,0,0,0.0,0,0,1323.932
76,STK_PurdyKurty,9,0,0,7,125.95829,0,8,0,0,0.0,0,0,1475.235
77,STK_luke12,9,2,0,3,377.26144,1,4,1,1,151.92995,0,0,1475.246
78,STK_aLOW,9,1,0,7,349.4217,0,3,0,0,0.0,0,0,1475.225
79,STK_pentalol,9,0,0,2,96.33803,0,3,0,0,0.0,0,0,917.12
80,TSG_IAMSIA,7,1,0,5,100.0,0,2,0,0,0.0,2,0,1417.17
81,TSG_ShanD1anX,7,1,0,2,317.1366,2,3,2,3,511.0031,0,0,1441.607
82,TSG_PengEGM,7,2,1,6,243.05725,1,5,1,2,59.388145,0,0,1536.39
83,TSG_VoliBEAR,7,2,0,0,244.99248,0,0,0,0,0.0,0,0,1225.213
84,LGDV_Junnn,4,2,2,6,431.49652,0,19,1,2,91.516075,0,0,1635.331
85,LGDV_Turtle,4,2,1,7,440.90277,2,10,1,5,188.0847,0,0,1733.594
86,LGDV_JEnd,4,2,1,4,268.25784,1,2,2,2,59.720314,0,0,1039.443
87,LGDV_Leviz,4,1,4,3,253.605,0,4,1,1,66.28473,1,0,1144.543
88,FUR_raspu,11,0,0,2,21.527605,0,1,0,0,0.0,0,0,1313.01
89,FUR_killdemo,11,0,0,3,18.333168,0,3,0,0,0.0,0,0,1074.812
90,FUR_rustyzera,11,0,0,2,78.57592,0,2,0,0,0.0,0,0,1294.366
91,FUR_NecroAQN,11,0,0,6,229.44945,0,3,0,0,0.0,0,0,1314.635
92,FaZe_Fuzzface,16,1,0,3,99.983635,1,2,1,1,17.139631,0,0,1042.972
93,FaZe_ubah,16,0,0,1,21.78,0,0,0,0,0.0,0,0,964.055
94,FaZe_Gustav,16,0,0,4,236.16911,0,3,0,0,0.0,0,0,1027.062
95,FaZe_Aitzy,16,0,1,3,138.32909,0,0,0,0,0.0,0,0,1048.328
96,ZEN_Kickstart,2,2,3,6,637.0065,0,4,2,2,52.1727,1,0,1886.034
97,ZEN_Poonage,2,3,2,6,695.0629,1,6,2,3,101.89457,2,0,1872.195
98,ZEN_Shinboi,2,3,5,5,560.73193,0,7,1,2,52.78137,1,0,1886.054
99,ZEN_Roth,2,5,2,4,909.0152,1,5,1,4,287.0799,1,0,1886.044
100,4AM_CRAZY112,3,1,1,8,245.16168,0,10,1,3,8.804643,1,0,1777.834
101,4AM_xxxLu,3,1,1,7,244.86746,1,2,1,1,9.971899,0,0,1645.809
102,4AM_Forever,3,1,1,2,313.7376,0,0,1,1,4.3274136,0,0,1216.672
103,4AM_Godv,3,1,2,5,235.54063,0,3,0,0,0.0,0,0,1174.974
104,BRU_GodMiao,1,2,1,8,339.10788,0,7,1,2,157.6425,1,0,1843.306
105,BRU_Conaxy,1,1,4,3,559.9462,0,1,0,0,0.0,1,0,1876.615
106,BRU_Noardra,1,0,0,5,65.39311,0,3,0,0,0.0,0,0,1612.017
107,BRU_Eaddy,1,5,0,2,830.78625,0,1,4,7,83.38294,0,0,1886.206
108,TL_jeemzz,5,0,0,2,86.737564,0,2,0,0,0.0,0,0,1391.499
109,TL_ibiza,5,3,1,8,407.47708,0,3,1,2,38.59814,0,0,1670.579
110,TL_mxey,5,2,0,5,306.02002,0,0,2,2,42.474316,1,0,1666.498
111,TL_clib,5,0,1,6,139.84941,0,3,0,0,0.0,0,0,1665.312
112,AAA_J4nku2of,14,0,0,3,101.31526,0,0,0,0,0.0,0,0,1149.231
113,AAA_Jayers,14,0,0,3,39.666496,0,4,0,0,0.0,0,0,1107.559
114,AAA_Gems,14,1,0,1,133.5418,0,6,0,0,0.0,0,0,1170.821
115,AAA_Boblee,14,1,0,2,0.0,0,0,0,0,0.0,2,0,1173.765
116,GEX_Leo,15,1,0,2,102.0,1,1,1,1,41.95878,0,0,1167.391
117,GEX_Cc,15,0,0,0,177.56976,0,1,0,0,0.0,0,0,1167.401
118,GEX_YanLi,15,0,0,0,97.00587,0,1,0,0,0.0,0,0,684.097
119,GEX_MaoYe56,15,0,0,2,0.0,0,0,0,0,0.0,0,0,686.106
120,KIA_Under,13,1,0,3,169.35599,1,2,1,1,33.786015,0,0,1269.034
121,KIA_indigo,13,0,1,4,330.92957,0,2,0,0,0.0,0,0,1266.571
122,KIA_kAyle,13,0,1,4,146.89764,0,6,0,0,0.0,0,0,1227.258
123,KIA_Seongjang,13,2,1,1,240.67047,0,2,1,1,334.32843,1,0,1262.556
124,K7_BuYoHoo,12,0,1,2,28.225685,0,4,0,0,0.0,0,0,1305.529
125,K7_ZhenNan,12,1,1,4,233.52856,0,5,2,2,51.97336,2,0,1284.478
126,K7_Lokslok,12,2,1,2,337.8288,0,6,2,2,34.87059,1,0,1308.539
127,K7_Savior,12,4,1,5,508.9464,2,3,1,4,44.514282,0,0,1258.383
128,K7_BuYoHoo,11,2,1,5,156.39232,0,1,1,1,20.664993,0,0,1259.635
129,K7_Savior,11,0,0,5,0.0,0,1,0,0,0.0,0,0,998.538
130,K7_ZhenNan,11,0,0,5,141.657,0,5,0,0,0.0,0,0,1033.984
131,K7_Lokslok,11,0,0,4,215.70444,0,4,0,0,0.0,1,0,1085.854
132,ENCE_Rustanmar,12,0,0,3,103.9734,0,0,0,0,0.0,0,0,1133.148
133,ENCE_SKUIJKE,12,0,0,1,22.998562,0,0,0,0,0.0,0,0,1165.519
134,ENCE_D1gg3r1,12,1,0,2,191.35313,0,2,1,1,3.8664038,0,0,1193.46
135,ENCE_Tiikzu,12,1,0,3,150.0199,0,2,0,0,0.0,0,0,1193.449
136,AAA_Gems,3,2,1,3,368.25818,0,0,0,0,0.0,1,0,1686.687
137,AAA_Jayers,3,1,1,3,211.61807,0,1,0,0,0.0,0,0,1557.204
138,AAA_J4nku2of,3,0,0,2,271.49948,0,1,0,0,0.0,0,0,1766.793
139,AAA_Boblee,3,1,0,4,156.0,1,7,1,1,6.091385,0,0,1766.804
140,LGDV_Junnn,6,3,0,1,303.1712,1,1,1,2,221.48428,0,0,1408.976
141,LGDV_Turtle,6,0,1,2,306.3905,0,1,0,0,0.0,0,0,1408.955
142,LGDV_Leviz,6,0,0,3,0.0,0,0,0,0,0.0,0,0,1135.773
143,LGDV_JEnd,6,1,1,8,314.6604,0,1,0,0,0.0,0,0,1408.965
144,TSM_Iroh,4,1,0,1,100.0,1,0,1,1,24.278976,0,0,430.78
145,TSM_vard,4,5,0,7,626.51135,1,3,2,3,69.896515,0,0,1612.226
146,TSM_MiracU,4,0,1,6,162.54501,1,6,1,1,7.272916,1,0,1612.216
147,TSM_Wookiebookie,4,0,1,9,54.851707,0,6,1,1,339.9089,0,0,1612.204
148,4AM_Forever,7,1,1,0,16.839998,0,0,0,0,0.0,0,0,425.396
149,4AM_CRAZY112,7,0,1,0,83.16,0,0,0,0,0.0,0,0,421.096
150,4AM_xxxLu,7,0,1,5,28.409122,0,12,0,0,0.0,0,0,1283.565
151,4AM_Godv,7,1,0,6,145.80397,0,7,1,2,220.24966,0,0,1355.285
152,DGW_Gokuri,15,1,0,4,201.26303,1,4,1,1,29.753428,0,0,1060.457
153,DGW_Melofo,15,0,0,2,178.64557,0,0,0,0,0.0,0,0,1007.0
154,DGW_SSeeS,15,0,0,1,61.527378,0,0,0,0,0.0,0,0,879.303
155,DGW_Machao,15,0,0,0,157.18552,0,0,0,0,0.0,0,0,1019.277
156,KIA_indigo,13,0,0,4,146.04642,0,3,0,0,0.0,0,0,1046.992
157,KIA_Seongjang,13,2,0,3,174.20337,1,19,1,2,311.0828,0,0,1141.972
158,KIA_kAyle,13,0,0,0,27.81876,0,0,0,0,0.0,0,0,776.502
159,KIA_Under,13,0,0,3,146.54826,0,2,0,0,0.0,0,0,1055.976
160,STK_PurdyKurty,10,0,0,5,171.30554,1,3,1,1,40.12954,1,0,1263.57
161,STK_pentalol,10,0,0,7,34.258083,0,4,0,0,0.0,1,0,1253.535
162,STK_aLOW,10,2,1,4,478.21835,2,5,2,2,29.801735,0,0,1253.688
163,STK_luke12,10,2,0,5,241.8062,1,1,1,1,351.9992,0,0,1257.723
164,ZEN_Shinboi,2,1,2,7,550.57446,0,5,1,1,186.87228,0,0,1816.254
165,ZEN_Poonage,2,2,0,4,273.91296,0,3,1,1,173.17357,1,0,1730.34
166,ZEN_Kickstart,2,2,1,4,249.29771,0,2,2,3,83.5445,1,0,1816.243
167,ZEN_Roth,2,0,1,6,280.99896,0,2,1,1,347.00922,0,0,1498.729
168,FaZe_ubah,8,0,2,3,167.70459,0,5,0,0,0.0,0,0,1294.435
169,FaZe_Fuzzface,8,4,0,7,327.35968,1,10,1,4,245.2919,0,0,1333.612
170,FaZe_Gustav,8,0,3,4,220.79892,0,1,0,0,0.0,0,0,1192.308
171,FaZe_Aitzy,8,0,2,5,200.95332,0,2,1,1,289.94913,1,0,1324.881
172,TSG_IAMSIA,16,0,0,0,0.0,0,0,0,0,0.0,0,0,433.193
173,TSG_VoliBEAR,16,0,0,1,28.743443,0,0,0,0,0.0,0,0,663.983
174,TSG_PengEGM,16,1,0,2,174.68488,0,5,1,1,1.3779511,0,0,664.002
175,TSG_ShanD1anX,16,0,0,0,59.496674,0,0,0,0,0.0,1,0,663.992
176,FUR_raspu,5,0,0,0,0.0,0,0,0,0,0.0,0,0,1443.225
177,FUR_NecroAQN,5,0,0,3,78.6121,0,0,1,1,265.84744,1,0,1442.21
178,FUR_killdemo,5,0,0,5,268.2315,0,7,0,0,0.0,0,0,1492.871
179,FUR_rustyzera,5,0,0,5,96.306,0,13,0,0,0.0,0,0,1492.881
180,GEX_MaoYe56,14,1,0,0,110.8,0,0,1,1,8.325878,0,0,653.902
181,GEX_Cc,14,2,0,4,257.93,1,2,1,1,65.05431,0,0,1067.704
182,GEX_YanLi,14,2,0,0,519.02423,0,0,1,1,14.274308,1,0,1067.724
183,GEX_Leo,14,2,0,2,201.27478,0,1,1,1,13.660972,0,0,1067.714
184,BRU_GodMiao,9,1,0,5,240.60936,1,4,2,3,19.88365,0,0,1272.881
185,BRU_Conaxy,9,0,0,3,0.0,0,5,0,0,0.0,0,0,1086.963
186,BRU_Noardra,9,2,0,4,281.83618,1,2,1,2,28.39435,1,0,1262.449
187,BRU_Eaddy,9,0,1,2,168.137,0,4,1,1,25.312153,0,0,1130.386
