,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,META_Ragnaldinho,2,0,0,2,0.0,0,0,0,0,0.0,0,0,706.139
1,META_sparkingg,2,1,1,4,156.73412,0,0,1,1,27.917091,0,0,731.42
2,META_SzylzEN,2,0,0,2,80.520004,0,3,0,0,0.0,0,0,712.409
3,META_WICK2D,2,1,1,1,237.54393,2,0,2,3,23.759323,0,0,731.428
4,TSG_ShanD1anX,1,0,0,1,175.43889,0,1,0,0,0.0,0,0,729.588
5,TSG_IAMSIA,1,2,1,3,272.44888,1,1,1,2,71.40083,0,0,731.565
6,TSG_PengEGM,1,1,1,4,46.378845,0,2,1,1,4.9971232,0,0,724.588
7,TSG_VoliBEAR,1,0,0,2,28.98,0,0,0,0,0.0,0,0,721.592
8,SQ_hwinn,4,0,0,5,0.0,0,1,0,0,0.0,0,0,686.587
9,SQ_Shrimzy,4,0,0,3,0.0,0,1,0,0,0.0,1,0,686.609
10,SQ_M1ME,4,0,0,5,0.0,0,1,0,0,0.0,0,0,681.065
11,SQ_TGLTN,4,0,0,5,91.08,0,1,0,0,0.0,0,0,686.598
12,VP_H1RUZEN,3,0,0,3,23.161495,0,0,0,0,0.0,0,0,730.003
13,VP_BatulinS,3,4,1,4,289.4524,0,2,1,3,68.503494,0,0,730.011
14,VP_spyrro,3,1,2,1,366.4515,0,1,1,1,59.232838,0,0,729.995
15,VP_Lu,3,2,0,2,290.29593,0,0,2,2,64.06247,0,0,728.296
16,SQ_M1ME,3,1,0,4,70.169304,0,1,1,1,63.941406,0,0,602.212
17,SQ_Shrimzy,3,0,0,4,85.242035,0,0,1,1,71.32799,0,0,607.732
18,SQ_hwinn,3,0,2,4,108.0036,0,1,0,0,0.0,0,0,705.164
19,SQ_TGLTN,3,1,2,4,101.11654,0,3,0,0,0.0,0,0,633.332
20,META_WICK2D,2,1,2,1,215.85551,0,0,1,1,81.24789,0,0,742.385
21,META_Ragnaldinho,2,1,0,0,29.400002,0,0,1,1,17.378216,1,0,740.669
22,META_sparkingg,2,1,0,1,212.72408,1,0,1,1,117.40813,1,0,737.538
23,META_SzylzEN,2,0,2,5,245.21841,0,5,0,0,0.0,0,0,742.392
24,VP_H1RUZEN,4,0,0,1,0.0,0,2,0,0,0.0,0,0,571.178
25,VP_Lu,4,0,0,0,0.0,0,0,0,0,0.0,0,0,515.773
26,VP_BatulinS,4,0,0,1,0.0,0,0,0,0,0.0,0,0,483.911
27,VP_spyrro,4,0,0,0,0.0,0,0,0,0,0.0,0,0,571.17
28,TSG_PengEGM,1,2,5,4,492.10803,0,1,0,0,0.0,0,0,735.549
29,TSG_ShanD1anX,1,1,0,0,0.0,0,3,0,0,0.0,0,0,363.693
30,TSG_IAMSIA,1,5,1,3,302.64224,3,4,4,7,181.51129,0,0,742.526
31,TSG_VoliBEAR,1,0,2,5,264.6494,0,5,1,1,188.03284,0,0,742.526
32,VP_spyrro,1,0,1,0,193.94585,0,0,1,1,83.7777,0,0,713.821
33,VP_H1RUZEN,1,1,0,0,103.0,0,0,1,1,117.28899,0,0,713.821
34,VP_BatulinS,1,2,1,2,171.16821,1,3,2,4,148.13649,0,0,713.821
35,VP_Lu,1,0,1,0,98.84894,0,0,0,0,0.0,0,0,713.821
36,META_sparkingg,2,1,0,2,70.23737,0,0,1,1,161.40201,0,0,689.342
37,META_WICK2D,2,0,0,0,38.042145,0,0,0,0,0.0,0,0,662.119
38,META_SzylzEN,2,1,1,1,177.616,0,0,0,0,0.0,0,0,713.664
39,META_Ragnaldinho,2,0,0,0,50.14815,0,1,0,0,0.0,0,0,713.673
40,TSG_ShanD1anX,3,1,2,1,230.38707,0,1,1,1,17.505116,0,0,647.168
41,TSG_IAMSIA,3,1,1,2,138.21312,0,0,1,1,39.05618,0,0,564.79
42,TSG_VoliBEAR,3,0,0,0,0.0,0,0,0,0,0.0,0,0,327.172
43,TSG_PengEGM,3,2,0,0,150.6,0,1,1,2,43.513115,0,0,573.579
44,SQ_Shrimzy,4,0,0,1,0.0,0,1,0,0,0.0,0,0,509.592
45,SQ_TGLTN,4,0,0,0,132.02782,0,0,0,0,0.0,0,0,529.118
46,SQ_M1ME,4,1,0,2,84.04,0,0,1,1,100.92441,0,0,529.107
47,SQ_hwinn,4,0,0,2,15.96,0,1,0,0,0.0,0,0,529.127
