,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,TL_clib,14,0,0,1,0.0,0,1,0,0,0.0,0,0,973.604
1,TL_jeemzz,14,0,0,5,32.964813,0,4,0,0,0.0,0,0,1092.795
2,TL_mxey,14,1,0,2,84.088,1,2,1,1,3.120514,0,0,973.699
3,TL_ibiza,14,0,0,3,0.0,0,0,0,0,0.0,0,0,962.397
4,OATH_Snakers,1,3,2,9,623.501,0,9,1,3,365.88492,1,0,1813.01
5,OATH_Relo,1,1,1,5,679.77374,1,3,1,1,29.58046,0,0,1841.05
6,OATH_PATKAPS,1,0,0,0,19.098955,0,0,0,0,0.0,0,0,921.786
7,OATH_Balefrost,1,0,0,0,60.857998,0,1,0,0,0.0,0,0,954.07
8,ZEN_Poonage,9,1,0,4,229.08818,0,2,0,0,0.0,1,0,1373.358
9,ZEN_Kickstart,9,2,0,2,246.87057,0,0,1,1,62.082813,1,0,1367.434
10,ZEN_Roth,9,0,2,3,321.29346,0,2,0,0,0.0,0,0,1373.348
11,ZEN_Shinboi,9,2,0,3,287.80545,2,2,1,2,417.59128,0,0,1356.682
12,STK_PurdyKurty,3,0,0,7,109.30933,0,12,0,0,0.0,0,0,1401.75
13,STK_Uncivil,3,3,2,8,439.80286,1,2,1,3,294.79697,1,0,1685.068
14,STK_aLOW,3,3,2,3,403.95688,0,3,1,2,19.146156,0,0,1633.799
15,STK_luke12,3,2,3,3,626.91986,1,1,1,1,7.565384,0,0,1564.778
16,LGDV_JEnd,7,0,0,6,32.19474,0,0,0,0,0.0,0,0,1380.968
17,LGDV_Leviz,7,0,0,2,82.80533,0,4,0,0,0.0,0,0,1428.629
18,LGDV_Junnn,7,0,0,2,0.0,0,1,0,0,0.0,0,0,1399.81
19,LGDV_Turtle,7,1,0,1,229.93886,0,1,0,0,0.0,1,0,1453.546
20,ENCE_D1gg3r1,11,2,0,1,162.93042,0,2,2,2,8.443903,0,0,1303.735
21,ENCE_Tiikzu,11,1,2,3,170.85681,0,1,0,0,0.0,0,0,1303.726
22,ENCE_SKUIJKE,11,1,0,4,221.54565,0,2,1,1,144.57588,0,0,1303.714
23,ENCE_Rustanmar,11,0,0,5,96.61258,0,2,0,0,0.0,0,0,1292.696
24,NAVI_ceh9,15,0,0,0,0.0,0,0,0,0,0.0,0,0,649.541
25,NAVI_Besto,15,0,0,2,184.16603,0,3,0,0,0.0,0,0,876.214
26,NAVI_TheTab,15,1,0,0,35.14,1,0,1,1,257.98584,0,0,670.028
27,NAVI_Kemba7,15,1,2,0,152.58525,0,0,0,0,0.0,0,0,955.034
28,T1_Adder,5,1,0,7,165.3697,1,7,1,2,122.3299,0,0,1605.836
29,T1_Daengchae,5,0,1,5,283.8624,0,8,0,0,0.0,2,0,1619.156
30,T1_Starlord,5,2,1,5,471.184,0,7,1,1,6.3097887,1,0,1619.137
31,T1_Aqua5,5,2,1,5,498.241,0,8,1,1,123.02411,0,0,1619.147
32,VP_H1RUZEN,12,0,0,2,98.54418,0,1,0,0,0.0,0,0,1221.961
33,VP_BatulinS,12,0,0,0,0.0,0,0,0,0,0.0,0,0,663.858
34,VP_Lu,12,1,0,3,170.4097,0,1,1,1,200.10052,0,0,1221.984
35,VP_spyrro,12,0,0,2,0.0,0,0,0,0,0.0,0,0,1221.972
36,FaZe_Gustav,2,1,1,8,634.1921,0,8,1,3,41.845127,1,0,1840.901
37,FaZe_Fuzzface,2,2,1,8,309.3746,0,2,1,2,47.765625,0,0,1643.595
38,FaZe_Aitzy,2,2,0,2,217.89952,1,1,1,1,3.5831769,0,0,1018.724
39,FaZe_ubah,2,4,2,4,610.4267,0,12,1,3,42.25408,0,0,1837.456
40,TSG_IAMSIA,10,1,0,2,346.00302,0,7,0,0,0.0,0,0,1262.216
41,TSG_VoliBEAR,10,0,1,4,166.71402,0,5,0,0,0.0,0,0,1311.729
42,TSG_PengEGM,10,1,2,4,584.2753,0,1,1,1,370.73273,0,0,1322.02
43,TSG_ShanD1anX,10,2,1,4,248.55382,0,0,1,1,263.13815,1,0,1299.012
44,MCG_EviLLee,8,1,1,4,291.59128,0,6,0,0,0.0,0,0,1353.128
45,MCG_LingDuuuuuu,8,2,0,5,503.87982,1,6,2,6,458.70978,1,0,1392.672
46,MCG_995iTank,8,0,0,1,0.0,0,0,0,0,0.0,0,0,637.611
47,MCG_Summer,8,0,0,1,24.05465,0,0,0,0,0.0,0,0,634.942
48,Tian_mingz1,13,2,1,2,214.00038,0,1,2,2,36.879955,0,0,1195.744
49,Tian_LinShuNN,13,0,1,1,277.39886,0,1,0,0,0.0,0,0,973.317
50,Tian_LuRenA,13,1,1,2,319.20798,0,1,1,2,285.73212,1,0,966.944
51,Tian_M200,13,1,2,2,14.819998,0,1,0,0,0.0,0,0,983.419
52,GEN_Inonix,4,2,1,6,458.66074,0,6,1,2,505.0173,0,0,1655.992
53,GEN_Esther,4,0,2,2,75.80802,0,4,0,0,0.0,1,0,1655.968
54,GEN_Loki,4,0,0,3,154.30037,0,6,0,0,0.0,1,0,1627.693
55,GEN_Pio,4,6,1,7,1153.619,3,2,3,7,570.09576,1,0,1655.98
56,AF_Hansia,6,2,0,3,350.5278,2,3,3,4,23.792404,2,0,1494.783
57,AF_Akad,6,2,2,2,272.02393,0,2,2,2,24.99182,0,0,1298.784
58,AF_EJ,6,1,1,4,175.71605,0,1,1,1,2.6509113,0,0,1286.661
59,AF_Hikari,6,0,0,2,0.0,0,0,0,0,0.0,0,0,1138.642
60,DAY_PuuChiwz,16,0,0,4,64.5075,0,4,0,0,0.0,0,0,848.365
61,DAY_Flash,16,0,0,2,0.0,0,2,0,0,0.0,0,0,859.77
62,DAY_vanOtica,16,0,0,2,24.0,0,3,0,0,0.0,1,0,859.781
63,DAY_Nourinz,16,0,0,1,77.65405,0,2,0,0,0.0,0,0,812.419
64,TL_mxey,2,0,0,4,0.0,0,3,0,0,0.0,0,0,1141.461
65,TL_clib,2,0,0,1,160.66692,0,4,0,0,0.0,0,0,1113.392
66,TL_jeemzz,2,4,0,11,625.9217,1,14,2,4,113.57245,0,0,1789.392
67,TL_ibiza,2,1,1,4,175.61662,0,2,0,0,0.0,0,0,1126.84
68,FaZe_ubah,8,0,0,0,85.799995,0,0,0,0,0.0,0,0,961.501
69,FaZe_Aitzy,8,3,0,6,314.47223,1,4,1,2,17.176186,0,0,1519.095
70,FaZe_Gustav,8,3,1,4,479.90314,1,2,1,2,78.34548,0,0,1513.397
71,FaZe_Fuzzface,8,0,0,0,137.43515,0,0,0,0,0.0,0,0,882.873
72,GEN_Loki,9,0,0,7,0.0,0,5,0,0,0.0,0,0,1463.325
73,GEN_Pio,9,2,0,8,245.44669,0,11,0,0,0.0,0,0,1518.575
74,GEN_Esther,9,1,0,3,92.68502,0,3,1,1,22.386446,0,0,1518.584
75,GEN_Inonix,9,1,0,5,134.45479,0,0,0,0,0.0,0,0,1518.564
76,ZEN_Kickstart,7,0,0,5,276.0135,0,2,0,0,0.0,1,0,1589.527
77,ZEN_Shinboi,7,2,0,2,504.00125,1,2,1,2,290.3885,0,0,1589.538
78,ZEN_Poonage,7,0,0,4,508.4773,0,5,0,0,0.0,0,0,1589.515
79,ZEN_Roth,7,1,0,1,105.71735,0,2,0,0,0.0,0,0,1588.694
80,AF_Hikari,13,0,0,6,333.5676,0,7,0,0,0.0,2,0,1384.921
81,AF_Akad,13,0,0,4,0.0,0,3,0,0,0.0,0,0,1267.406
82,AF_EJ,13,0,0,5,0.0,0,5,0,0,0.0,0,0,1372.781
83,AF_Hansia,13,0,0,2,0.0,0,1,0,0,0.0,1,0,1384.932
84,LGDV_Turtle,5,1,1,6,340.49353,0,3,1,1,41.044243,0,0,1679.675
85,LGDV_Junnn,5,1,0,8,138.5133,0,2,1,1,7.895229,0,0,1646.731
86,LGDV_JEnd,5,0,0,2,0.0,0,0,0,0,0.0,0,0,1083.949
87,LGDV_Leviz,5,0,0,0,0.0,0,0,0,0,0.0,0,0,577.724
88,T1_Daengchae,4,2,0,6,422.4572,0,0,1,3,101.41297,0,0,1668.731
89,T1_Starlord,4,0,0,3,65.8,1,4,1,1,128.29797,0,0,1133.369
90,T1_Aqua5,4,0,0,0,92.745926,0,0,0,0,0.0,0,0,855.396
91,T1_Adder,4,2,1,3,382.79468,0,2,1,1,7.1439543,0,0,1709.911
92,DAY_PuuChiwz,1,2,4,6,452.92645,1,4,1,1,155.92278,0,0,1789.546
93,DAY_vanOtica,1,2,0,5,418.83875,1,10,2,3,144.7698,2,0,1789.546
94,DAY_Flash,1,2,1,5,179.39807,1,6,2,3,165.42703,0,0,1789.546
95,DAY_Nourinz,1,2,4,3,1213.2046,0,5,2,5,189.68562,0,0,1789.546
96,Tian_LinShuNN,3,0,0,3,127.13167,0,0,0,0,0.0,0,0,1346.213
97,Tian_LuRenA,3,1,0,5,253.4039,0,3,0,0,0.0,0,0,1693.472
98,Tian_M200,3,3,1,3,345.90823,1,1,1,2,370.96252,0,0,1728.218
99,Tian_mingz1,3,0,1,5,0.0,0,1,0,0,0.0,0,0,1728.206
100,OATH_PATKAPS,15,0,0,0,129.61896,0,0,0,0,0.0,0,0,877.894
101,OATH_Relo,15,0,0,3,43.076443,0,1,0,0,0.0,0,0,941.722
102,OATH_Balefrost,15,1,0,7,233.1112,0,4,2,2,15.009422,1,0,1231.067
103,OATH_Snakers,15,1,0,4,301.5562,0,5,1,3,89.5356,0,0,1233.763
104,MCG_995iTank,6,1,0,1,254.88069,0,1,2,3,261.4026,0,0,1591.343
105,MCG_Summer,6,0,1,3,243.76385,0,4,0,0,0.0,0,0,1591.356
106,MCG_LingDuuuuuu,6,0,0,4,55.762966,0,1,1,1,26.08714,0,0,1533.33
107,MCG_EviLLee,6,2,1,7,324.53293,1,4,1,2,35.564896,0,0,1506.399
108,NAVI_TheTab,10,1,0,1,298.35666,1,1,1,1,47.893234,0,0,1440.476
109,NAVI_Besto,10,0,1,2,169.15073,0,6,0,0,0.0,1,0,1456.056
110,NAVI_Kemba7,10,0,0,3,44.211926,0,2,1,1,9.277495,0,0,1456.069
111,NAVI_ceh9,10,0,0,0,0.0,0,0,0,0,0.0,0,0,507.079
112,TSG_ShanD1anX,14,0,0,3,168.04018,0,1,0,0,0.0,0,0,1087.379
113,TSG_VoliBEAR,14,1,0,2,176.87396,0,1,1,2,123.85435,0,0,1168.354
114,TSG_PengEGM,14,1,0,5,388.03192,1,3,1,2,240.20332,0,0,1253.155
115,TSG_IAMSIA,14,2,0,1,222.4716,0,0,1,1,244.99365,0,1,1088.103
116,VP_BatulinS,12,1,1,5,165.17236,0,5,0,0,0.0,1,0,1359.756
117,VP_Lu,12,1,1,5,316.05908,1,7,1,1,260.95206,1,0,1392.717
118,VP_spyrro,12,1,0,4,289.71683,0,4,0,0,0.0,0,0,1251.173
119,VP_H1RUZEN,12,1,0,3,182.44571,0,11,1,1,60.826202,0,0,1423.529
