,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,MG_Dlaks,5,1,0,2,205.407,0,1,0,0,0.0,0,0,1757
1,MG_Gak,5,1,0,2,198.68002,0,2,2,2,176.61389,1,0,1757
2,MG_yacha,5,2,0,3,273.92,1,2,1,1,17.722706,0,0,1757
3,MG_SeungYong,5,0,0,1,0.0,0,0,0,0,0.0,0,0,1037
4,E36_Starlord,9,0,0,5,0.0,0,1,0,0,0.0,0,0,1337
5,E36_amonot,9,0,1,3,0.0,0,0,0,0,0.0,1,0,1343
6,E36_indigo,9,2,0,1,123.449974,0,0,1,1,30.695974,0,0,1341
7,E36_Pureboy,9,0,0,3,0.0,0,0,0,0,0.0,0,0,1342
8,SST_runaxp,15,0,1,0,97.2,0,1,0,0,0.0,0,0,485
9,SST_poly,15,1,0,0,74.8,0,0,1,1,41.820526,0,0,473
10,SST_Martinez,15,0,0,0,0.0,0,0,0,0,0.0,0,0,475
11,SST_DDakGu,15,1,0,2,110.0,0,0,1,1,21.688753,0,0,474
12,GnG_Hwarang,14,1,0,6,150.16,0,7,1,1,34.329693,0,0,995
13,GnG_ZeniTh,14,2,0,3,299.7935,2,3,3,3,22.16573,0,0,873
14,GnG_Salvia,14,0,0,0,86.8,0,0,0,0,0.0,0,0,339
15,GnG_KarNa,14,0,0,0,0.0,0,1,0,0,0.0,0,0,319
16,GEX_YanLi,6,2,0,6,447.56976,1,5,2,3,203.45381,0,0,1623
17,GEX_SSR,6,1,0,5,300.55988,0,4,1,1,78.09551,0,0,1602
18,GEX_Savior,6,3,2,5,373.68152,0,15,1,1,160.16826,1,0,1647
19,GEX_ZhenNan,6,0,3,6,188.60185,0,10,0,0,0.0,1,0,1647
20,GEN_Maczora,8,0,0,6,14.265747,0,10,0,0,0.0,0,0,1382
21,GEN_Inonix,8,0,0,9,0.0,0,13,0,0,0.0,0,0,1429
22,GEN_Spear,8,0,0,4,106.34854,0,16,0,0,0.0,1,0,1429
23,GEN_Renba,8,0,0,7,18.104221,0,12,0,0,0.0,0,0,1376
24,GST_Yian,12,2,1,3,185.11954,1,9,1,2,49.059193,0,0,1041
25,GST_JiangDD,12,2,0,3,211.61162,1,0,1,3,189.71416,0,0,1039
26,GST_TinDD,12,0,0,1,34.184883,0,0,0,0,0.0,0,0,870
27,GST_Andy,12,1,2,2,224.65654,0,0,0,0,0.0,0,0,1041
28,DK_Under,4,0,1,0,128.772,0,1,0,0,0.0,0,0,1795
29,DK_Makne,4,1,0,4,120.60459,0,3,1,1,44.836773,0,0,1795
30,DK_Loki,4,1,0,1,325.54037,0,1,1,1,100.42626,0,0,1795
31,DK_Menteul,4,2,2,3,386.7937,0,0,0,0,0.0,0,0,1795
32,V3F_Sy4N,7,0,0,1,87.42,0,0,0,0,0.0,0,0,1503
33,V3F_Imhac,7,1,0,2,179.1148,0,2,0,0,0.0,0,0,1247
34,V3F_yuuno6,7,0,0,0,0.0,0,0,0,0,0.0,0,0,1118
35,V3F_OMOCHIDATEN,7,0,0,4,101.96956,0,11,0,0,0.0,0,0,1579
36,emT_DAEVA,1,5,1,2,477.41852,3,8,2,5,102.18165,2,0,1865
