,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,TST_McCrit,3,3,0,8,457.0211,0,3,2,3,193.5675,0,0,1497.673
1,TST_RS,3,1,2,2,313.26447,0,1,0,0,0.0,0,0,1495.647
2,TST_Bohan,3,1,1,6,354.6067,0,1,0,0,0.0,0,0,1467.823
3,TST_dashushu,3,5,2,3,816.64136,1,3,3,4,70.556656,1,0,1739.64
4,XXX_Shiou,14,0,0,2,21.6,0,5,0,0,0.0,0,0,985.562
5,XXX_Life,14,0,0,1,60.130722,0,4,0,0,0.0,0,0,996.849
6,XXX_Keres,14,0,0,0,82.799995,0,0,0,0,0.0,0,0,476.709
7,XXX_YH,14,1,0,1,300.9176,0,1,0,0,0.0,0,0,990.439
8,KSR_Jagger,7,1,0,4,42.586243,0,2,1,1,11.957101,0,0,1365.508
9,KSR_BuYoLan,7,1,1,4,149.27425,0,1,0,0,0.0,0,0,1084.934
10,KSR_W0m1,7,0,0,2,0.0,0,0,0,0,0.0,0,0,668.913
11,KSR_LuckyJie,7,3,1,6,508.6,1,3,3,5,69.46428,0,0,1365.51
12,NS_Aruba,8,2,0,2,307.66187,1,2,1,2,150.80101,2,0,1307.575
13,NS_BAOGIN,8,0,0,4,85.59206,0,9,0,0,0.0,1,0,1352.521
14,NS_Soapy,8,0,0,2,69.0,0,1,1,2,273.08588,0,0,1086.696
15,NS_DrToss,8,2,0,6,146.0,0,7,1,1,265.52542,0,0,1342.362
16,4Fun_Tom,16,1,0,2,193.82866,0,0,0,0,0.0,0,0,893.822
17,4Fun_NemoKao,16,0,1,3,114.4702,0,1,0,0,0.0,1,0,863.807
18,4Fun_aNiGi,16,1,0,3,52.77281,0,1,1,1,60.106724,0,0,868.6
19,4Fun_Uncom,16,1,1,3,141.86209,0,1,0,0,0.0,0,0,893.825
20,XD_Pikasen,15,0,0,1,0.0,0,0,0,0,0.0,0,0,956.883
21,XD_BoFish,15,1,0,1,5.0,0,0,0,0,0.0,0,0,975.743
