,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,ARC_Star1y,9,0,0,1,0.0,0,0,0,0,0.0,0,0,1138.0
1,ARC_Babukichi,9,0,0,0,0.0,0,0,0,0,0.0,0,0,345.0
2,ARC_RikiSuke,9,1,0,5,141.22482,1,3,1,1,90.55951,0,0,1396.0
3,ARC_H4na,9,1,0,0,106.98799,0,0,0,0,0.0,0,0,1158.0
4,OPGG_HowL,4,4,3,4,539.03906,1,4,1,2,34.87618,2,0,1913.0
5,OPGG_WICK2D,4,1,1,2,200.13742,0,0,0,0,0.0,1,0,1411.0
6,OPGG_Gak,4,1,1,1,160.4004,0,1,1,1,33.741825,0,0,1296.0
7,OPGG_yacha,4,2,1,7,386.51193,0,6,2,2,43.069637,0,0,1902.0
8,DNW_YJ,3,0,0,5,189.68475,0,3,1,1,75.24251,0,0,1921.0
9,DNW_Rex,3,2,2,8,406.94672,1,3,1,1,62.478214,0,0,1934.0
10,DNW_LeClo,3,2,0,9,449.93408,1,0,1,3,55.880928,1,0,1885.0
11,DNW_Salute,3,4,0,7,733.85394,1,3,2,4,70.71422,0,0,1928.0
12,TST_Bohan,14,1,0,4,99.99999,0,15,0,0,0.0,0,0,1047.0
13,TST_dashushu,14,1,0,3,226.2336,1,4,1,1,188.70047,0,0,1047.0
14,TST_McCrit,14,1,0,5,260.17715,0,3,1,1,4.2424335,0,0,1047.0
15,TST_RS,14,1,0,4,60.94305,0,8,1,1,47.95353,0,0,1047.0
16,RNWL_Ru11et,16,0,0,3,133.2,0,4,0,0,0.0,0,0,830.0
17,RNWL_R0ba,16,1,0,3,173.92,0,2,1,1,171.1344,0,0,830.0
18,RNWL_Dami,16,0,0,3,90.0,0,2,0,0,0.0,0,0,830.0
19,RNWL_Answerz,16,1,1,3,122.999146,0,4,0,0,0.0,0,0,830.0
20,AF_Hikari,12,0,0,3,59.64451,0,9,0,0,0.0,0,0,1294.0
21,AF_EJ,12,1,0,2,163.68097,0,1,0,0,0.0,0,0,1286.0
22,AF_Hansia,12,1,0,2,100.0,0,2,1,1,23.32024,0,0,1312.0
23,AF_R0wha,12,0,0,2,0.0,0,0,0,0,0.0,3,0,1285.0
24,AE_BaiBai,1,2,0,5,338.9586,0,0,1,2,162.9701,3,0,1939.189
25,AE_koix,1,5,3,6,1232.668,1,7,5,5,18.266396,0,0,1939.189
26,AE_Nimo66,1,1,1,7,485.85193,1,19,1,2,274.18295,0,0,1939.189
27,AE_UKL,1,1,1,1,248.13098,0,0,0,0,0.0,0,0,1939.189
28,GEN_Inonix,5,6,1,5,865.0249,3,4,4,8,136.01282,2,0,1396.0
29,GEN_Esther,5,2,1,6,326.10638,1,7,1,2,20.871584,1,0,1808.0
30,GEN_Pio,5,2,1,10,416.11597,1,5,2,3,148.47481,1,0,1613.0
31,GEN_Asura,5,1,2,8,123.62404,0,3,0,0,0.0,0,0,1808.0
32,T1_Hwan2da,6,1,0,4,259.24442,0,3,0,0,0.0,1,0,1575.0
33,T1_kAyle,6,0,0,2,201.62138,0,3,0,0,0.0,0,0,1245.0
34,T1_Hulk,6,2,1,1,254.77005,0,0,0,0,0.0,0,0,1250.0
35,T1_Aqua5,6,0,0,6,164.56207,0,7,0,0,0.0,0,0,1346.0
36,RJ_CiNVe,2,1,0,7,257.33527,0,2,1,1,11.899749,1,0,1942.0
37,RJ_fiachan,2,2,0,6,238.00911,0,2,1,1,10.4979105,0,0,1942.0
38,RJ_gabha,2,0,0,4,0.0,0,3,0,0,0.0,0,0,1942.0
39,RJ_Wesker,2,0,0,2,0.0,0,1,0,0,0.0,0,0,1224.0
40,RC_osakana,7,1,3,5,260.68384,0,2,1,1,17.226961,0,0,1360.0
41,RC_SeaKingJAWS,7,0,0,3,0.0,0,0,0,0,0.0,0,0,1340.0
42,RC_G0ni1,7,1,1,6,186.07355,0,3,1,2,56.657524,0,0,1457.0
43,RC_albert,7,2,0,6,174.29257,1,0,2,5,96.454666,0,0,1455.0
44,GEX_Lokslok,13,1,1,4,396.96323,0,1,2,2,28.864983,0,0,1089.0
45,GEX_SSR,13,0,0,4,34.168545,0,8,0,0,0.0,0,0,1100.0
46,GEX_Savior,13,0,0,0,0.0,0,0,0,0,0.0,0,0,180.0
47,GEX_ZhenNan,13,2,1,2,239.87735,1,0,1,2,179.42496,0,0,1038.0
48,SYF_Maderpig,10,1,0,4,380.665,0,1,1,1,59.60285,0,0,1352.0
49,SYF_IAMPETE,10,0,0,3,0.0,0,2,0,0,0.0,2,0,1211.0
50,SYF_Jervis,10,2,1,4,316.32974,0,4,0,0,0.0,0,0,1352.0
51,SYF_KiT,10,0,0,2,25.127235,0,1,0,0,0.0,0,0,1226.0
52,CRS_SASA,8,0,1,2,74.21237,0,1,0,0,0.0,0,0,1384.0
53,CRS_UpChen,8,1,1,4,220.97528,0,2,1,1,8.750141,2,0,1405.0
54,CRS_dA,8,0,0,4,109.29911,0,4,1,1,40.59089,0,0,1380.0
55,CRS_SimbaHS,8,0,0,0,0.0,0,0,0,0,0.0,0,0,449.0
56,GnG_Smoke,15,0,0,3,18.901285,0,1,0,0,0.0,0,0,882.0
57,GnG_NEFiEX,15,0,0,2,0.0,0,0,0,0,0.0,0,0,764.0
58,GnG_KIMGONI,15,0,0,3,19.8,0,0,0,0,0.0,0,0,878.0
59,GnG_Dlaks,15,0,0,0,0.0,0,0,0,0,0.0,0,0,891.0
60,AOC_psychobaby,11,2,0,4,243.39851,0,0,0,0,0.0,0,0,1320.0
61,AOC_CrazyEZ,11,0,0,1,0.0,0,0,0,0,0.0,0,0,413.0
62,AOC_JY,11,0,0,5,136.54057,0,7,0,0,0.0,0,0,1320.0
63,AOC_Yuri,11,0,0,3,51.834644,0,1,0,0,0.0,0,0,1138.0
64,TST_dashushu,6,1,2,6,648.87463,1,9,1,1,25.422548,1,0,1737.0
65,TST_Bohan,6,0,0,4,26.409601,0,3,0,0,0.0,3,0,1745.0
66,TST_McCrit,6,1,0,2,166.70636,1,5,1,1,24.8852,0,0,1738.0
67,TST_RS,6,2,1,2,464.68045,0,9,1,1,4.336743,1,0,1745.0
68,DNW_Salute,3,2,4,7,832.62286,0,9,0,0,0.0,1,0,1865.0
69,DNW_Rex,3,5,1,7,958.3743,2,3,2,7,256.01904,1,0,1849.0
70,DNW_LeClo,3,7,0,7,857.3549,2,3,3,6,63.21422,0,0,1852.0
71,DNW_YJ,3,2,2,10,497.068,0,7,1,1,42.908257,0,0,1865.0
72,T1_Hulk,14,0,0,2,155.50671,0,1,1,1,377.62112,0,0,1265.0
73,T1_Aqua5,14,2,0,1,239.05112,0,1,1,1,24.848112,0,0,1265.0
74,T1_kAyle,14,0,1,3,25.816488,0,0,0,0,0.0,0,0,1200.0
75,T1_Hwan2da,14,0,0,2,22.997849,0,1,0,0,0.0,0,0,1180.0
76,CRS_SimbaHS,12,2,0,3,204.9285,0,3,2,2,12.283552,0,0,1382.0
77,CRS_SASA,12,1,0,3,129.61,0,3,0,0,0.0,0,0,1374.0
78,CRS_UpChen,12,2,2,7,298.64816,1,3,1,1,7.1681304,0,0,1382.0
79,CRS_dA,12,1,1,3,132.30046,1,0,1,1,115.58113,0,0,1382.0
80,GnG_KIMGONI,8,1,0,7,250.79942,0,3,0,0,0.0,0,0,1591.0
81,GnG_Smoke,8,0,0,2,293.56125,0,10,0,0,0.0,0,0,1607.0
82,GnG_NEFiEX,8,0,0,8,78.95999,0,6,0,0,0.0,0,0,1607.0
83,GnG_Dlaks,8,0,0,2,160.15166,0,4,0,0,0.0,0,0,1588.0
84,RJ_Wesker,10,0,0,1,0.0,0,0,0,0,0.0,0,0,1207.0
85,RJ_fiachan,10,2,0,1,291.9527,1,0,2,3,55.592144,1,0,1414.0
86,RJ_gabha,10,1,0,4,260.46182,0,2,1,1,3.2224135,0,0,1414.0
87,RJ_CiNVe,10,0,0,0,119.938675,0,0,0,0,0.0,0,0,1175.0
88,GEX_Savior,11,1,0,4,303.16763,0,3,1,1,30.755579,0,0,1394.0
89,GEX_ZhenNan,11,4,1,5,747.37067,0,2,1,4,44.495224,0,0,1394.0
90,GEX_SSR,11,0,1,2,514.7596,0,1,1,1,7.4022694,1,0,1394.0
91,GEX_Lokslok,11,3,1,6,349.6581,2,5,2,5,161.2023,1,0,1394.0
92,AE_koix,5,0,0,7,483.79272,1,7,1,1,7.52538,0,0,1803.0
93,AE_UKL,5,0,0,6,248.73796,0,5,0,0,0.0,1,0,1803.0
94,AE_Nimo66,5,0,0,1,28.023985,0,1,0,0,0.0,0,0,1094.0
95,AE_BaiBai,5,0,0,4,208.17615,0,5,1,1,16.58615,0,0,1803.0
96,RC_SeaKingJAWS,15,0,0,4,62.039997,0,5,0,0,0.0,0,0,1091.0
