,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,GEN_Esther,4,2,3,2,496.83978,1,4,2,2,49.34147,0,0,1476.0
1,GEN_Asura,4,1,1,5,410.88135,0,4,1,1,52.740677,2,0,1547.0
2,GEN_Inonix,4,4,1,7,455.00204,2,5,1,3,96.534935,0,0,1619.0
3,GEN_Pio,4,3,1,4,333.9113,0,4,1,3,72.08586,0,0,1497.0
4,GRF_Menteul,5,2,1,5,357.09515,1,4,1,2,153.5607,2,0,1612.0
5,GRF_Foxy,5,2,0,6,270.0847,1,5,2,2,26.590143,0,0,1612.0
6,GRF_2heart,5,0,0,3,177.64488,0,0,0,0,0.0,0,0,1318.0
7,GRF_mick9y,5,0,0,2,96.92738,0,3,0,0,0.0,0,0,1612.0
8,RNWL_Answerz,7,2,0,4,328.76804,1,8,1,3,218.3644,2,0,1434.0
9,RNWL_Dami,7,0,0,4,283.0157,0,2,0,0,0.0,1,0,1417.0
10,RNWL_Ru11et,7,2,3,7,437.02032,0,12,0,0,0.0,0,0,1370.0
11,RNWL_R0ba,7,3,1,3,362.04163,0,2,2,3,124.29417,1,0,1409.0
12,E36_indigo,13,1,1,1,184.49178,0,0,1,1,80.10096,1,0,995.0
13,E36_Starlord,13,1,2,4,177.10037,0,2,1,1,39.046032,0,0,989.0
14,E36_Pureboy,13,1,0,3,208.67351,1,3,1,2,206.13147,0,0,1074.0
15,E36_amonot,13,0,1,2,174.40994,0,0,1,1,33.930435,0,0,994.0
16,GBL_Spear,1,0,0,2,86.667725,0,1,1,1,26.648853,0,0,1658.44
17,GBL_Renba,1,2,1,0,330.58463,1,1,2,2,82.84125,0,0,1614.0
18,GBL_Lambu,1,0,0,0,91.99999,0,2,1,1,58.26522,1,0,1658.44
19,GBL_Adder,1,1,0,3,180.85,0,2,0,0,0.0,0,0,1658.44
20,DK_Makne,16,0,0,2,0.0,0,1,0,0,0.0,0,0,886.0
21,DK_Under,16,1,0,1,50.08,0,0,0,0,0.0,0,0,931.0
22,DK_BeaN,16,0,0,0,65.270874,0,2,0,0,0.0,0,0,943.0
23,DK_Loki,16,0,0,2,31.92,0,1,0,0,0.0,0,0,916.0
24,MaD_EEND,3,5,0,4,768.47986,2,6,1,7,180.56961,0,0,1644.0
25,MaD_2tap,3,0,0,0,45.884846,0,0,0,0,0.0,0,0,363.0
26,MaD_DAEVA,3,0,0,1,77.52895,0,2,0,0,0.0,1,0,1573.0
27,MaD_Lash,3,2,3,6,292.383,0,10,1,1,33.18894,1,0,1509.0
28,GnG_Dlaks,14,0,1,2,100.141365,0,1,0,0,0.0,0,0,1004.0
29,GnG_Smoke,14,1,0,2,200.95459,0,0,1,1,22.768286,0,0,998.0
30,GnG_NEFiEX,14,1,0,1,179.2,0,2,1,1,36.969845,0,0,1031.0
31,GnG_KIMGONI,14,1,1,3,106.95999,1,2,1,1,39.5612,0,0,1062.0
32,T1_Aqua5,12,0,0,1,0.0,0,4,0,0,0.0,0,0,895.0
33,T1_kAyle,12,0,0,4,89.80114,0,1,1,1,36.44055,0,0,1111.0
34,T1_Hwan2da,12,0,0,3,0.0,0,2,0,0,0.0,0,0,1198.0
35,T1_Hulk,12,0,0,2,250.41995,0,1,0,0,0.0,0,0,1198.0
36,ATA_Shadow,2,4,0,5,560.313,1,2,2,5,174.0736,0,0,1659.0
37,ATA_Sparrow,2,0,0,3,63.859825,0,2,0,0,0.0,0,0,1509.0
38,ATA_maczora,2,0,1,4,284.33972,0,2,0,0,0.0,0,0,1501.0
39,ATA_Rain1ng,2,1,1,4,128.55492,0,3,1,1,92.26387,1,0,1561.0
40,AF_R0wha,11,1,0,2,208.01404,0,4,0,0,0.0,2,0,1208.0
41,AF_EJ,11,0,0,2,0.0,0,1,0,0,0.0,0,0,1188.0
42,AF_Hikari,11,1,0,2,203.59439,0,0,0,0,0.0,0,0,1204.0
43,AF_Hansia,11,0,0,1,19.592386,0,1,0,0,0.0,1,0,1200.0
