,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,GV_chillrex,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,100.954,0,0
1,GV_afham,8,1,0,0,196.950134,0,1,0,0,0,0,0,0,0.0,0,0,0,0,279.116,0,0
2,GV_jerieno,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,95.08,0,0
3,GV_njRx,8,5,0,1,354.745941,1,5,0,0,1,2,0,0,8.14926052,0,0,0,0,371.008,0,0
4,RRQ_VALDEMORT,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,116.78,0,0
5,RRQ_Ma4nn,3,0,0,0,21.7940559,0,0,0,0,0,0,0,0,0.0,0,0,0,0,111.818,0,0
6,RRQ_ASwp,3,1,0,0,140.87616,0,0,0,0,1,1,0,0,1.16760218,0,0,0,0,110.784,0,0
7,RRQ_CoppinLee,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,569.474,0,0
8,QUAC_Fr0zz3rn,14,2,0,0,83.69639,0,0,0,0,1,1,0,0,28.0422611,0,0,0,0,185.037,0,0
9,QUAC_Raldo,14,1,0,0,132.807846,1,0,0,0,1,1,0,0,3.67541862,0,0,0,0,185.048,0,0
10,QUAC_Apluxx,14,1,0,0,167.9651,1,0,0,0,1,1,0,0,1.752268,0,0,1,0,185.045,0,0
11,QUAC_Scyrex,14,0,1,0,48.3384857,0,0,0,0,0,0,0,0,0.0,0,0,0,0,178.162,0,0
12,MKJ_snazzu,17,0,0,0,45.720005,0,0,0,0,0,0,0,0,0.0,0,0,0,0,87.809,0,0
13,MKJ_ROSeksdee,17,0,0,0,44.956707,0,0,0,0,0,0,0,0,0.0,0,0,0,0,105.16,0,0
14,MKJ_Darkaz,17,1,0,0,147.3,0,0,0,0,1,1,0,0,3.71073914,0,0,0,0,157.399,0,0
15,MKJ_kBYTEZ,17,0,0,0,58.8811264,0,0,0,0,0,0,0,0,0.0,0,0,0,0,143.59,0,0
16,PLMES_Justmoment,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,130.408,0,0
17,PLMES_Bossense,16,0,0,0,52.56,0,0,0,0,0,0,0,0,0.0,0,0,0,0,87.414,0,0
18,PLMES_PuuChiwz,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,84.602,0,0
19,PLMES_YOSHI,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,161.071,0,0
20,2Be_Reggiez,2,4,0,1,459.005463,1,4,0,0,3,6,0,0,35.3490334,0,0,0,0,671.645,0,0
21,2Be_Jamesftz-,2,2,3,1,244.33316,0,0,0,0,1,2,0,0,6.24796,0,0,4,0,397.615,0,0
22,2Be_JobJab_-,2,0,0,0,81.72,0,0,0,0,0,0,0,0,0.0,0,0,0,0,98.35,0,0
23,2Be_Jayers-,2,1,3,0,171.286575,1,7,0,0,1,2,0,0,9.272455,0,0,1,0,597.165,0,0
24,Refund_Pino,10,2,0,0,142.505066,1,3,0,0,3,3,0,0,37.71132,0,0,1,0,309.915,0,0
