,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,es_cn-Banana_11,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,137.125,0,0
1,es_cn-Banana_06,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,137.205,0,0
2,es_cn-Banana_09,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,204.468,0,0
3,es_cn-Banana_08,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,144.32,0,0
4,es_cn-Banana_07,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,136.507,0,0
5,es_cn-Banana_05,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,204.436,0,0
6,es_cn-Banana_01,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,137.123,0,0
7,es_cn-Banana_10,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,137.792,0,0
8,es_cn-Banana_01,6,0,0,2,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,436.355,0,0
9,es_cn-Banana_02,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,430.831,0,0
10,es_cn-Banana_10,5,0,0,2,21.7349987,0,0,0,0,0,0,0,0,0.0,0,0,0,1,443.312,0,0
11,es_cn-Banana_07,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,543.638,0,0
12,es_cn-Banana_06,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,543.671,0,0
13,es_cn-Banana_04,8,0,0,0,21.835535,0,0,0,0,0,0,0,0,0.0,0,0,0,1,425.09,0,0
14,es_cn-Banana_08,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,472.587,0,0
15,es_cn-Banana_03,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,535.506,0,0
16,es_cn-Banana_11,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,521.307,0,0
17,es_cn-Banana_04,2,0,0,0,87.40002,0,0,0,0,1,1,0,0,4.12957335,0,0,0,0,521.272,0,0
18,es_cn-Banana_05,3,0,0,0,76.8,0,0,0,0,0,0,0,0,0.0,0,0,0,0,503.418,0,0
19,es_cn-Banana_07,4,0,0,0,41.6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,258.621,0,0
20,es_cn-Banana_08,1,0,0,0,342.8,0,0,0,0,2,4,0,0,22.6270046,0,0,0,0,316.368,0,0
21,es_cn-Banana_06,2,0,0,0,54.6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,316.35,0,0
22,es_cn-Banana_03,3,0,0,0,31.2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,266.449,0,0
23,es_cn-Banana_11,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,224.252,0,0
24,1246_QAQ,5,2,1,4,362.8739,0,3,0,0,1,1,0,0,149.948425,0,0,0,0,1499.503,0,0
25,1246_TAT,5,0,0,4,116.845276,0,4,0,0,1,1,0,0,86.52803,0,0,0,0,1490.989,0,0
26,1246_Koi,5,4,0,7,608.034668,2,2,0,0,1,4,0,0,116.80162,0,0,0,0,1502.559,0,0
27,1246_IndiGO-,5,0,1,7,414.2542,0,4,0,0,1,1,0,0,13.9606209,0,0,1,0,1512.803,0,0
28,OMGlionkk,3,2,0,6,390.807281,1,5,0,0,1,2,0,0,247.577286,0,0,0,0,1688.121,0,0
29,OMGClouds,3,2,2,4,179.670441,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1483.909,0,0
30,OMGsilentBT,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1052.635,0,0
31,OMGxiaohaixxxx,3,6,1,6,842.6233,1,8,0,0,4,8,0,0,46.9006157,0,0,3,0,1672.529,0,0
32,Nw_Lzy,14,2,0,3,131.375854,0,1,0,0,1,2,0,0,252.428,0,0,0,0,684.097,0,0
33,Nw_Txxx,14,0,0,3,271.461823,0,2,0,0,0,0,0,0,0.0,0,0,0,0,681.831,0,0
34,Nw_Long,14,0,0,1,94.41527,0,1,0,0,0,0,0,0,0.0,0,0,1,0,682.379,0,0
35,Nw_xk,14,1,1,3,175.611008,0,2,0,0,1,1,0,0,59.8601532,0,0,0,0,684.101,0,0
36,RNG_fc4t_,15,1,0,2,57.9999352,1,1,0,0,1,1,0,0,20.873045,0,0,0,0,621.329,0,0
37,RNG_JiyunX,15,0,0,0,47.73,0,0,0,0,0,0,0,0,0.0,0,0,0,0,531.007,0,0
38,RNG_shuaishuai,15,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,263.689,0,0
39,RNG_Emperor,15,1,0,0,67.10517,0,0,0,0,1,1,0,0,25.6749363,0,0,0,0,533.924,0,0
40,QM_JIYy,10,0,0,1,25.29056,0,3,0,0,0,0,0,0,0.0,0,0,0,0,721.359,0,0
41,QM_KuZan,10,1,0,6,41.9375,0,10,0,0,1,1,0,0,118.597771,0,0,0,1,982.117,0,0
42,QM_YIZz,10,1,0,3,112.863014,1,1,0,0,1,1,0,0,154.151855,0,0,0,0,784.939,0,0
43,QM_WuFeng,10,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,137.573,0,0
44,17_shou,7,0,0,3,104.988686,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1106.147,0,0
45,17_shox,7,0,0,0,25.8,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1154.019,0,0
46,17_MonkeyKing_,7,2,0,1,147.94162,0,7,0,0,1,1,0,0,156.581314,0,0,1,0,1269.712,0,0
47,17_yyxovo,7,0,1,3,65.2221756,0,3,0,0,0,0,0,0,0.0,0,0,1,0,1134.054,0,0
48,Dae_577,12,1,0,5,154.5999,0,6,0,0,1,2,0,0,22.2549667,0,0,0,0,860.369,0,0
49,Dae_m200,12,0,0,2,0.0,0,11,0,0,0,0,0,0,0.0,0,0,0,0,838.116,0,0
50,Dae_SmaIIccc,12,1,1,2,95.20001,0,1,0,0,1,1,0,0,29.487999,0,0,0,0,597.453,0,0
51,Dae_Yudabao,12,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,546.832,0,0
52,SnakeTC-T1antian,4,0,1,3,22.1214867,0,4,0,0,1,1,0,0,45.98798,0,0,0,0,761.344,0,0
53,SnakeTC-BaoLeiNB,4,2,3,10,579.439,0,14,0,0,1,2,0,0,56.2754669,0,0,0,0,1579.329,0,0
54,SnakeTC-Dongdong,4,2,2,10,429.859955,2,8,0,0,1,3,0,0,201.621445,0,0,1,0,1579.334,0,0
55,SnakeTC-ChenWu,4,2,2,11,131.902191,0,15,0,0,2,2,0,0,158.075775,0,0,0,0,1579.339,0,0
56,iDs_49y,2,1,3,4,633.714,0,4,0,0,1,3,0,0,180.877228,0,0,2,0,1711.401,0,0
57,iDs_Kicz,2,4,2,3,627.7241,0,1,0,0,2,4,0,0,130.244431,0,0,1,0,1699.652,0,0
58,iDs_Tiantian,2,0,0,3,126.014763,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1616.312,0,0
59,iDs_MessiMagic,2,0,0,2,49.9833679,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1335.34,0,0
60,KG_r29,8,3,0,3,179.842682,1,11,0,0,1,2,0,0,167.038788,0,0,1,0,816.342,0,0
61,KG_yyangkkk,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,104.233,0,0
62,KG_Myl,8,0,0,8,100.642761,0,10,0,0,0,0,0,0,0.0,0,0,0,0,1222.273,0,0
63,KG_970_,8,0,0,2,0.0,0,4,0,0,0,0,0,0,0.0,0,0,0,0,769.338,0,0
64,JTG_MarsToT,9,1,0,1,99.99999,0,0,0,0,0,0,0,0,0.0,0,0,0,0,251.763,0,0
65,JTG_AryaT_T,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,314.664,0,0
66,JTG_Roar,9,2,1,5,100.000008,0,1,0,0,1,1,0,0,3.746138,0,0,0,0,1021.088,0,0
67,JTG_LuuuuuOvO,9,3,0,5,527.695068,1,6,0,0,3,3,0,0,47.5715179,0,0,0,0,1021.083,0,0
68,Elephant_Ql_,1,0,0,6,385.301117,0,3,0,0,1,1,0,0,34.73126,0,0,0,0,1711.446,0,0
69,Elephant_BoxQvQ,1,0,0,2,226.865021,0,4,0,0,0,0,0,0,0.0,0,0,0,0,1084.322,0,0
70,FTD-Leyii,16,1,0,0,49.6575241,0,1,0,0,1,1,0,0,9.532943,0,0,0,0,320.774,0,0
71,FTD-LPHQ_Q,16,0,1,0,28.38,0,0,0,0,0,0,0,0,0.0,0,0,2,0,366.958,0,0
72,FTD-Chegan,16,0,0,1,29.4,0,1,0,0,0,0,0,0,0.0,0,0,0,0,366.965,0,0
73,FTD-Loong,16,0,1,1,55.86,1,1,0,0,1,1,0,0,67.7187653,0,0,0,0,366.968,0,0
74,BADec12th,13,2,0,2,304.249847,0,5,0,0,1,1,0,0,193.797134,0,0,0,0,512.829,0,0
75,BASoSo-_-,13,1,1,3,154.5718,0,0,0,0,1,1,0,0,131.124847,0,0,0,0,756.114,0,0
76,BAJoe,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,394.176,0,0
77,BAPig,13,2,0,3,202.0256,0,4,0,0,1,1,0,0,74.79979,0,0,0,0,756.108,0,0
78,V5_ShanD1anX,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,469.302,0,0
79,V5_Accerio,11,0,0,0,64.1725845,0,0,0,0,0,0,0,0,0.0,0,0,0,0,460.436,0,0
80,V5_NealxTT,11,0,0,6,76.2075,0,11,0,0,0,0,0,0,0.0,0,0,0,0,945.885,0,0
81,V5_nigma,11,0,0,3,30.49869,0,4,0,0,0,0,0,0,0.0,0,0,0,0,851.992,0,0
82,AMY_Paopao,6,2,1,8,286.0,0,1,0,0,1,1,0,0,46.888073,0,0,0,0,1402.763,0,0
83,AMY_MiLu,6,2,0,4,205.000015,0,1,0,0,1,1,0,0,13.44893,0,0,0,0,1388.642,0,0
84,AMY_Sugary,6,0,0,6,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1382.3,0,0
85,QM_JIYy,12,0,0,4,209.414612,0,5,0,0,0,0,0,0,0.0,0,0,0,0,1455.7,0,0
86,QM_WuFeng,12,1,0,0,132.293381,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1299.242,0,0
87,QM_KuZan,12,0,0,0,18.4048882,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1308.755,0,0
88,QM_YIZz,12,0,0,1,55.8127441,0,1,0,0,1,1,0,0,232.521255,0,0,0,0,1471.824,0,0
89,JTG_MarsToT,8,1,0,2,236.941177,0,1,0,0,1,1,0,0,31.563221,0,0,0,0,1684.722,0,0
90,JTG_Roar,8,1,0,3,156.797485,1,1,0,0,1,1,0,0,44.8913,0,0,0,0,1495.078,0,0
91,JTG_LuuuuuOvO,8,0,1,4,184.2904,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1507.331,0,0
92,JTG_AryaT_T,8,1,0,4,384.8837,0,2,0,0,1,1,0,0,59.6844177,0,0,1,0,1510.776,0,0
93,FTD-Chegan,7,2,1,6,216.889343,0,6,0,0,3,3,0,0,220.778992,0,0,1,0,1698.892,0,0
94,FTD-LPHQ_Q,7,1,2,3,256.6686,0,3,0,0,1,1,0,0,19.3458576,0,0,1,0,1733.494,0,0
95,FTD-Leyii,7,1,0,3,161.859085,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1691.707,0,0
96,FTD-Loong,7,3,4,3,509.685028,0,3,0,0,1,1,0,0,230.879578,0,0,0,0,1733.499,0,0
97,Nw_Long,13,2,0,3,203.163666,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1368.647,0,0
98,Nw_Txxx,13,0,0,2,122.698395,0,0,0,0,1,1,0,0,90.618866,0,0,0,0,1397.604,0,0
99,Nw_xk,13,1,0,1,171.867752,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1397.599,0,0
100,Nw_Lzy,13,0,0,1,56.9076233,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1365.104,0,0
101,Dae_Yudabao,9,0,2,0,57.0824966,0,1,0,0,0,0,0,0,0.0,0,0,2,0,1679.191,0,0
102,Dae_577,9,0,1,2,160.463913,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1643.927,0,0
103,Dae_m200,9,0,2,4,159.9161,1,3,0,0,1,1,0,0,46.5184669,0,0,0,0,1681.719,0,0
104,Dae_SmaIIccc,9,3,0,2,377.37146,0,1,0,0,1,1,0,0,33.2317123,0,0,0,0,1635.54,0,0
105,RNG_fc4t_,5,2,1,5,100.079514,0,6,0,0,2,4,0,0,41.33653,0,0,0,0,1842.518,0,0
106,RNG_Emperor,5,2,1,7,381.559418,0,4,0,0,1,1,0,0,107.449593,0,0,0,0,1842.526,0,0
107,RNG_shuaishuai,5,2,3,3,297.889923,1,3,0,0,1,2,0,0,118.571594,0,0,2,0,1842.522,0,0
108,RNG_JiyunX,5,0,1,2,142.749634,0,3,0,0,0,0,0,0,0.0,0,0,0,1,1371.847,0,0
109,SnakeTC-Dongdong,3,0,1,3,149.938034,0,3,0,0,1,1,0,0,143.407425,0,0,2,0,1833.261,0,0
110,SnakeTC-T1antian,3,0,1,4,267.677246,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1842.04,0,0
111,SnakeTC-BaoLeiNB,3,2,1,6,366.44342,2,4,0,0,4,6,0,0,67.02788,0,0,0,0,2124.257,0,0
112,SnakeTC-ChenWu,3,1,0,2,130.274643,0,2,0,0,1,1,0,0,210.733673,0,0,0,0,1666.77,0,0
113,17_shou,6,5,1,3,389.440216,2,3,0,0,1,6,0,0,213.62355,0,0,0,0,1734.89,0,0
114,17_MonkeyKing_,6,1,0,1,100.0,0,0,0,0,1,1,0,0,314.003662,0,0,0,0,1353.02,0,0
115,17_shox,6,0,0,3,36.4473763,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1342.04,0,0
116,17_yyxovo,6,2,3,5,453.483368,1,1,0,0,1,2,0,0,177.619339,0,0,2,0,1653.566,0,0
117,OMGsilentBT,10,0,0,4,72.9451,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1575.898,0,0
118,OMGClouds,10,0,1,6,0.0,0,2,0,0,0,0,0,0,0.0,0,0,1,0,1570.22,0,0
119,OMGlionkk,10,0,2,4,29.85696,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1575.903,0,0
120,OMGxiaohaixxxx,10,1,0,3,65.88495,0,2,0,0,1,1,0,0,84.4477844,0,0,1,0,1525.309,0,0
121,Elephant_Ql_,11,1,1,1,61.73893,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1443.201,0,0
122,Elephant_BoxQvQ,11,0,0,1,176.687759,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1495.513,0,0
123,Elephant_AiDi_,11,2,0,4,221.287659,0,0,0,0,1,2,0,0,46.6667,0,0,0,0,1481.762,0,0
124,Elephant_JiaoZi,11,0,0,0,91.76337,1,0,0,0,1,1,0,0,280.5894,0,0,0,0,1495.518,0,0
125,V5_nigma,1,5,2,3,411.030457,1,5,0,0,2,2,0,0,15.89237,0,0,1,0,2140.608,0,0
