,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_cn-bpcs2_01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,12.746
1,Dss_857,15,0,0,0,0.0,0,0,0,0,0.0,0,0,390.0
2,Dss_CoCo,15,0,0,0,0.0,0,0,0,0,0.0,0,0,339.0
3,Dss_iMeet26,15,0,0,3,0.0,0,3,0,0,0.0,0,0,850.0
4,Dss_molu,15,0,0,3,0.0,0,0,0,0,0.0,0,0,850.0
5,GNL_TaekGyun,1,1,1,2,283.2327,2,1,2,2,72.323296,0,0,1885.0
6,GNL_ROY,1,0,2,5,91.34111,0,9,0,0,0.0,0,0,1885.0
7,GNL_HAMMER,1,1,1,3,289.89624,1,6,1,2,265.26126,0,0,1885.0
8,GNL_Tosi,1,4,0,5,486.07443,2,5,1,5,141.61592,0,0,1885.0
9,RBS_XiaoHuxxXX,9,0,1,1,105.43196,0,1,0,0,0.0,0,0,1294.0
10,RBS_Dec12th,9,4,0,1,380.62646,0,2,1,4,164.43326,0,0,1293.0
11,RBS_TuFeiHei,9,0,0,5,139.83958,0,2,0,0,0.0,0,0,1294.0
12,TL_SIA,5,1,0,5,40.99405,0,12,1,1,102.00391,0,0,1371.0
13,TL_Yuren,5,3,3,7,536.9317,1,14,1,2,23.541754,2,0,1445.0
14,TL_J1aoyang,5,1,2,6,185.3457,0,8,1,2,17.737001,0,0,1339.0
15,TL_xtongzz,5,0,1,4,165.96844,0,6,0,0,0.0,0,0,1046.0
16,PeRo_lionkk,6,0,1,2,44.40443,0,7,0,0,0.0,0,0,1349.0
17,PeRo_Aixleft,6,1,1,5,60.497402,0,1,0,0,0.0,1,0,1401.0
18,PeRo_Mamu,6,1,1,7,191.5058,0,7,1,1,261.62283,1,0,1414.0
19,PeRo_Myl,6,0,0,1,0.0,0,0,0,0,0.0,0,0,777.0
20,emT_JeffLocka,10,0,0,2,0.0,0,0,0,0,0.0,0,0,795.0
21,emT_Sparrow,10,1,0,2,54.259438,0,4,1,1,148.03769,1,0,911.0
22,emT_DAEVA,10,0,0,2,28.241026,0,0,0,0,0.0,0,0,791.0
23,emT_Stella,10,1,0,4,136.5232,1,35,1,1,130.1313,0,0,1159.0
24,AAA_Jayers,14,1,1,1,168.58714,1,1,1,1,16.27472,0,0,989.0
25,AAA_Glooms,14,0,0,3,83.8986,0,2,0,0,0.0,0,0,991.0
26,AAA_J4nku2of-,14,2,1,2,270.4233,1,2,1,1,61.81035,0,0,1002.0
27,AAA_Gems,14,1,1,1,65.35,0,4,1,1,236.75587,0,0,697.0
28,TMA_XS,3,0,0,1,112.083755,0,0,0,0,0.0,0,0,1379.0
29,TMA_Cobra,3,0,0,5,248.52057,0,5,1,1,206.58478,0,0,1609.0
30,TMA_LuLualways,3,1,1,6,702.1406,1,1,2,3,184.22047,0,0,1752.0
31,TMA_YUPPIE,3,0,0,1,0.0,0,0,0,0,0.0,0,0,632.0
32,KRG_Bcup,4,0,1,2,69.18284,0,2,0,0,0.0,0,0,1448.0
33,KRG_XxiKkk,4,1,0,0,84.910965,0,0,1,1,40.998547,0,0,1457.0
34,KRG_TWOTAP,4,0,0,0,67.78289,0,0,0,0,0.0,0,0,1006.0
35,KRG_Regret,4,0,0,3,515.5823,0,3,1,1,34.25621,0,0,1484.0
36,XLG_LiJunTong,11,0,0,2,35.459106,0,0,0,0,0.0,0,0,1004.0
37,XLG_Lanren,11,0,1,2,199.45999,0,3,0,0,0.0,0,0,1073.0
38,XLG_FFeng,11,3,0,2,322.89355,0,3,2,3,8.53201,2,0,1109.0
39,XLG_XiaoA1sy,11,0,0,4,144.78172,0,4,0,0,0.0,0,0,1126.0
40,KDF_LashK,2,1,0,7,219.36711,0,1,0,0,0.0,0,0,1885.0
41,KDF_EEND,2,0,0,2,260.2329,0,6,2,2,73.75278,0,0,1885.0
