,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,YunJong,7,0,0,5,130.08249,0,2,0,0,0.0,0,0,1269.717
1,Gyuyeon,7,1,0,5,183.1489,0,0,0,0,0.0,0,0,1271.349
2,Heaven,7,0,0,6,33.090115,0,1,0,0,0.0,0,0,1148.556
3,Piky,7,0,0,4,108.39314,0,2,0,0,0.0,0,0,1270.929
4,NEFiEX,5,1,2,8,234.42447,0,7,1,1,132.82387,0,0,1488.875
5,Hwarang,5,0,2,7,203.92206,0,3,1,1,17.577461,0,0,1488.863
6,KIMGONI,5,1,0,7,101.0,0,2,1,1,1.7911929,0,0,1129.4
7,Entra,5,2,1,7,309.54306,0,1,2,2,52.081852,1,0,1488.853
8,Dumbo,13,1,0,0,156.4,0,2,1,1,21.001839,0,0,461.394
9,mick9y,13,0,0,0,0.0,0,0,0,0,0.0,0,0,441.118
10,Silky,13,1,0,1,65.41572,0,0,1,1,17.148365,0,0,439.404
11,Ayoh,13,0,1,0,125.06064,0,0,0,0,0.0,0,0,461.38
12,Sixbb,9,0,0,2,111.92706,0,1,0,0,0.0,0,0,1056.898
13,XingXing,9,0,0,3,62.904213,0,0,0,0,0.0,0,0,985.362
14,shox,9,0,0,3,0.0,0,0,0,0,0.0,0,0,1056.885
15,FPC_babsanghead,15,0,0,0,0.0,0,0,0,0,0.0,0,0,163.772
16,HowL,15,2,0,0,187.60704,0,0,0,0,0.0,0,0,274.314
17,Dlaks,15,1,0,0,199.86801,0,0,1,1,12.345844,0,0,274.308
18,BeaN,15,0,0,0,0.0,0,0,0,0,0.0,0,0,168.247
19,TIP_Ning,6,0,0,6,72.172455,0,5,0,0,0.0,0,0,1281.867
20,TIP_CuiOne,6,0,0,4,61.41943,0,4,0,0,0.0,0,0,1281.857
21,TIP_Cloud,6,0,0,5,0.0,0,1,0,0,0.0,0,0,1271.964
22,Menteul,14,1,0,2,229.01837,0,0,1,1,51.55303,0,0,399.319
23,Minsung,14,1,0,0,129.04001,0,0,1,1,20.037374,0,0,336.355
24,Asura,14,0,0,0,0.0,0,0,0,0,0.0,0,0,350.74
25,2heart,14,2,0,1,215.47777,0,0,0,0,0.0,0,0,307.63
26,Jw23,8,2,0,4,351.58258,0,10,1,2,160.33261,0,0,1165.031
27,Ming,8,2,0,5,518.38556,2,9,1,3,192.5486,0,0,1190.582
28,DanQingxxx,8,0,0,5,81.83775,0,4,0,0,0.0,0,0,1167.312
29,xwudd,2,0,0,7,581.64374,0,1,1,1,39.443085,0,0,1738.311
30,MMing,2,0,2,2,182.50478,1,0,1,1,281.2394,0,0,1573.848
31,Ru1n,2,0,0,0,0.0,0,0,0,0,0.0,0,0,345.629
32,ZpYaN1,2,2,0,3,337.26132,0,0,1,3,302.3385,0,0,1432.335
33,Yurenzzz,10,2,0,4,342.9894,0,8,1,3,39.89473,2,0,1052.728
34,LanrenQAQ,10,0,0,0,0.0,0,0,0,0,0.0,0,0,292.389
35,YUPPIE,10,0,1,3,105.00101,0,7,0,0,0.0,0,0,1052.738
