,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,TMS_QingCheng,6,0,0,2,209.198761,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1278.461,0.0,0.0
1,TMS_MingZ1,6,0,1,2,86.90453,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,1214.798,0.0,0.0
2,TMS_JURqvQ,6,1,2,2,121.535248,0,3,0.0,0.0,1,1,0.0,0.0,204.2125,0.0,0.0,0,0,1160.932,0.0,0.0
3,TMS_YuXuan,6,1,0,2,238.773224,1,3,0.0,0.0,1,1,0.0,0.0,24.1388264,0.0,0.0,0,1,1278.455,0.0,0.0
4,HX_Mjmonsterr,9,0,2,3,103.710045,0,8,0.0,0.0,2,2,0.0,0.0,266.03952,0.0,0.0,0,0,1001.844,0.0,0.0
5,HX_abcd,9,0,2,3,39.3053665,0,9,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,941.808,0.0,0.0
6,HX_7K_,9,0,0,3,24.6248112,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,943.174,0.0,0.0
7,HX_desire,9,2,0,7,500.249969,1,16,0.0,0.0,1,5,0.0,0.0,94.35314,0.0,0.0,0,0,1174.897,0.0,0.0
8,OMG_silentBT,12,1,0,2,252.788422,0,1,0.0,0.0,1,1,0.0,0.0,109.761154,0.0,0.0,0,0,947.136,0.0,0.0
9,OMG_lionkk,12,1,0,1,108.061874,0,0,0.0,0.0,1,1,0.0,0.0,28.4817963,0.0,0.0,0,0,910.604,0.0,0.0
10,OMG_Clouds,12,0,0,1,47.5412064,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,977.544,0.0,0.0
11,OMG_xiaohaixxxx,12,2,1,3,190.49852,0,2,0.0,0.0,1,2,0.0,0.0,39.577755,0.0,0.0,0,0,1099.052,0.0,0.0
12,VC_Summer,2,1,3,6,153.248138,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1726.552,0.0,0.0
13,VC_DouM,2,1,2,2,232.73436,0,6,0.0,0.0,1,1,0.0,0.0,48.73654,0.0,0.0,1,0,1726.549,0.0,0.0
14,VC_Tide,2,2,0,7,252.751862,1,2,0.0,0.0,1,3,0.0,0.0,145.002029,0.0,0.0,0,0,1560.312,0.0,0.0
15,VC_DJBOY,2,0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,771.24,0.0,0.0
16,XDG_Candyyyyyy,8,1,0,4,116.271767,1,2,0.0,0.0,1,1,0.0,0.0,166.050232,0.0,0.0,0,0,1226.632,0.0,0.0
17,XDG_TheSunKK,8,0,0,3,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,937.364,0.0,0.0
18,XDG_XingYi,8,0,0,3,84.375,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,878.95,0.0,0.0
19,XDG_LingD,8,0,0,3,86.4925842,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,826.759,0.0,0.0
20,Elephant_Ql,10,0,0,5,89.01,0,6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1160.006,0.0,0.0
21,Elephant_AiDi,10,0,0,2,159.5175,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1041.588,0.0,0.0
22,Elephant_BesT,10,0,1,4,0.0,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,903.421,0.0,0.0
23,Elephant_Box,10,1,0,3,128.38,0,1,0.0,0.0,1,1,0.0,0.0,181.907,0.0,0.0,0,0,1017.304,0.0,0.0
24,LGD_TJW,14,2,0,3,181.27,0,1,0.0,0.0,1,1,0.0,0.0,284.3321,0.0,0.0,1,0,954.195,0.0,0.0
25,LGD_XIN8,14,0,1,2,0.0,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,954.187,0.0,0.0
26,LGD_ZkDiE,14,1,0,3,66.0,0,9,0.0,0.0,1,1,0.0,0.0,128.65387,0.0,0.0,0,0,954.191,0.0,0.0
27,LGD_meRcy,14,0,0,3,0.0,0,0,0.0,0.0,1,1,0.0,0.0,65.03356,0.0,0.0,0,0,940.288,0.0,0.0
28,CEGM_BBI,4,0,0,7,219.148315,1,2,0.0,0.0,1,1,0.0,0.0,126.187012,0.0,0.0,0,0,1401.845,0.0,0.0
29,CEGM_Xx,4,3,1,1,426.13382,0,1,0.0,0.0,2,2,0.0,0.0,18.6891041,0.0,0.0,0,0,1429.915,0.0,0.0
30,CEGM_Zccc,4,0,1,3,239.141434,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1414.705,0.0,0.0
31,CEGM_AhaNg,4,3,0,4,256.266785,1,1,0.0,0.0,1,3,0.0,0.0,226.887421,0.0,0.0,0,0,1538.731,0.0,0.0
32,KG_yyangkkk,7,0,0,3,73.81436,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1066.717,0.0,0.0
33,KG_r29,7,0,0,0,54.03749,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1246.145,0.0,0.0
34,KG_Myl,7,0,0,1,76.08603,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,974.999,0.0,0.0
35,KG_970,7,1,0,2,100.0,0,0,0.0,0.0,1,1,0.0,0.0,28.271368,0.0,0.0,0,0,793.152,0.0,0.0
36,SSS_61,16,1,0,0,156.090454,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,610.242,0.0,0.0
37,SSS_NB211,16,2,0,0,101.710091,0,0,0.0,0.0,1,1,0.0,0.0,78.63472,0.0,0.0,0,0,604.737,0.0,0.0
38,SSS_RyaNNNNNN,16,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,456.329,0.0,0.0
39,SSS_Xbei,16,0,0,2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,629.667,0.0,0.0
40,LYG_CRAZY112,3,0,2,2,240.613129,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1407.458,0.0,0.0
41,LYG_Aumuha,3,6,0,5,680.0,0,7,0.0,0.0,2,3,0.0,0.0,167.69162,0.0,0.0,0,0,1409.551,0.0,0.0
42,LYG_Cpup,3,0,2,5,257.367981,1,3,0.0,0.0,1,1,0.0,0.0,170.621033,0.0,0.0,1,0,1654.705,0.0,0.0
43,LYG_Maps,3,4,1,6,466.637421,1,1,0.0,0.0,1,3,0.0,0.0,76.4946442,0.0,0.0,1,0,1654.708,0.0,0.0
44,JTG_Arya,13,0,0,2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,942.684,0.0,0.0
45,JTG_Roar,13,1,0,4,122.295578,0,3,0.0,0.0,1,2,0.0,0.0,64.31223,0.0,0.0,0,0,1054.097,0.0,0.0
46,JTG_Luuuuuu,13,0,0,5,106.590004,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,964.648,0.0,0.0
47,JTG_YLLL,13,0,2,2,45.579422,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,979.152,0.0,0.0
48,17_shou,15,0,0,2,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,644.419,0.0,0.0
49,17_yyxovo,15,0,0,3,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,646.22,0.0,0.0
50,17_Monkeyking,15,2,1,1,227.995667,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,653.679,0.0,0.0
51,17_SkrAKzzZ,15,0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,628.489,0.0,0.0
52,FPX_x1aoTu,5,2,0,8,378.818848,2,1,0.0,0.0,3,4,0.0,0.0,35.6968536,0.0,0.0,0,0,1401.176,0.0,0.0
53,FPX_XiaoLianBoy,5,1,1,8,217.2424,0,0,0.0,0.0,1,1,0.0,0.0,1.03186369,0.0,0.0,0,0,1220.441,0.0,0.0
54,FPX_by,5,0,0,6,0.0,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,939.826,0.0,0.0
55,FPX_Misaka,5,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,248.041,0.0,0.0
56,LGE_DieYi,11,1,0,1,62.1909676,1,0,0.0,0.0,1,1,0.0,0.0,77.6317,0.0,0.0,0,0,1130.002,0.0,0.0
57,LGE_Sanjiu,11,0,0,4,135.31749,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1130.007,0.0,0.0
58,LGE_Timon,11,0,0,2,106.542007,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1062.269,0.0,0.0
59,LGE_949,11,2,1,1,256.175659,1,1,0.0,0.0,1,2,0.0,0.0,172.729782,0.0,0.0,0,0,1130.011,0.0,0.0
60,VG_ShenS,1,1,3,6,350.8487,0,3,0.0,0.0,2,3,0.0,0.0,70.49026,0.0,0.0,0,0,1726.613,0.0,0.0
61,VG_Vama,1,1,4,7,229.400513,0,1,0.0,0.0,1,1,0.0,0.0,32.7339363,0.0,0.0,0,0,1726.613,0.0,0.0
