,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,AnG_26iPei,4,0,0,0,0.0,0,0,0,0,0.0,0,0,877
1,AnG_bobo,4,0,0,5,0.0,0,1,0,0,0.0,0,0,1862
2,AnG_DouZi,4,0,0,1,88.44812,0,0,0,0,0.0,0,0,1862
3,AnG_LongGG,4,0,0,0,0.0,0,0,0,0,0.0,0,0,853
4,SMS_BBQFishsz,2,1,1,3,461.34515,0,6,1,2,108.36098,0,0,1693
5,SMS_567OvO,2,1,1,7,148.10744,0,3,0,0,0.0,1,0,1444
6,SMS_GrandMaSS,2,2,0,7,407.39322,1,15,3,3,19.502928,1,0,1445
7,SMS_Naivete,2,3,1,3,323.7975,2,3,2,3,155.8089,1,0,1895
8,PFG_King,15,1,0,7,100.0,0,8,0,0,0.0,0,0,473
9,PFG_Xbb,15,0,0,8,0.0,0,11,0,0,0.0,0,0,1072
10,PFG_LeiNuoPsy,15,0,0,7,0.0,0,24,0,0,0.0,0,0,1072
11,PFG_PPeng,15,0,0,5,87.119995,0,12,0,0,0.0,0,0,928
12,NEXOTA_Boliang,11,2,0,3,330.3768,1,11,3,4,276.4965,0,0,1311
13,NEXOTA_L1nnnn,11,0,1,3,50.383507,0,4,0,0,0.0,1,0,1311
14,NEXOTA_WangZai,11,1,0,2,144.37897,1,1,1,1,179.87927,2,0,1211
15,NEXOTA_YangZai,11,1,2,2,166.70996,0,2,0,0,0.0,0,0,1190
16,KRG_LoveDD,12,0,0,0,45.719013,0,0,0,0,0.0,0,0,1261
17,KRG_XxiKkk,12,1,0,1,158.131,0,0,0,0,0.0,0,0,1288
18,KRG_X1X1,12,0,0,3,30.824427,0,5,0,0,0.0,0,0,1282
19,KRG_2Tap,12,0,0,1,263.65298,0,0,0,0,0.0,0,0,1283
20,FOD_HHuai,13,0,2,5,72.16975,0,7,0,0,0.0,0,0,1231
21,FOD_May1Pio,13,2,0,2,180.89177,0,1,1,2,87.30335,1,0,1233
22,FOD_Inuyasha,13,0,0,3,105.05559,0,3,1,1,231.14189,0,0,1225
23,FOD_xiaolin,13,1,1,2,156.43471,0,2,1,1,46.226646,0,0,1167
24,KoK_MoQiu,5,0,0,5,0.0,0,0,0,0,0.0,0,0,882
25,KoK_Bcup,5,2,0,13,462.3818,2,6,1,2,42.271637,2,0,1838
26,KoK_Guy,5,0,0,3,0.0,0,0,0,0,0.0,0,0,869
27,KoK_BaoAnDu1z,5,1,0,9,188.45058,0,3,0,0,0.0,0,0,1839
28,NK_Ning,10,3,0,2,379.8242,1,0,3,3,82.76224,0,0,1323
29,NK_MuCoffee,10,0,0,4,165.90764,0,2,0,0,0.0,0,0,1271
30,NK_Xxxx16bb,10,0,0,1,85.07881,0,0,0,0,0.0,0,0,558
31,NK_iYIVen,10,1,1,4,231.41344,0,1,0,0,0.0,0,0,1323
32,DT_FreeJimboy,6,3,2,9,407.5055,0,9,2,3,39.150917,0,0,1761
33,DT_NJess,6,1,2,3,64.14665,0,3,1,1,59.19379,0,0,1444
34,DT_Gangd1ng,6,2,2,6,441.72845,0,9,1,3,152.43617,1,0,1589
35,DT_CoCo,6,1,2,6,192.70346,0,8,0,0,0.0,1,0,1758
36,My_0216-,14,0,1,5,89.558266,0,2,0,0,0.0,0,0,1143
37,My_Ailuoli,14,1,0,4,308.19812,0,1,0,0,0.0,0,0,1214
38,My_eilims,14,1,0,5,186.8423,0,9,0,0,0.0,0,0,1211
39,My_A1ice,14,2,0,4,221.1086,1,1,1,1,80.878685,1,0,1144
40,I7_Me1Mei,3,6,2,6,570.2959,1,9,2,4,233.0917,0,0,1882
41,I7_Henry,3,4,1,5,727.6393,1,5,2,5,201.24112,0,0,1866
42,I7_HuaS,3,2,4,3,469.1961,0,6,1,2,241.09737,0,0,1883
43,I7_N1ngAn,3,0,1,5,318.03497,0,8,0,0,0.0,2,0,1883
44,QM_Savage,9,0,0,0,154.35794,0,0,0,0,0.0,1,0,1323
45,QM_970,9,0,0,1,139.43596,0,3,0,0,0.0,0,0,1323
46,QM_liyuanba,9,0,0,1,0.0,0,1,0,0,0.0,0,0,1314
47,QM_YIZz,9,0,0,0,70.45182,0,0,0,0,0.0,0,0,1306
48,JuFu_Smallccc,1,2,0,7,767.1432,1,3,1,2,70.66734,0,0,1895
49,JuFu_yyxovo,1,3,0,6,256.2496,1,3,1,4,192.5411,0,0,1895
50,JuFu_shox,1,0,1,1,297.1734,0,1,1,1,2.6295898,3,0,1895
51,JuFu_Sixbb,1,0,1,0,29.867594,0,0,0,0,0.0,0,0,1293
