,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,D7G_9FF,14,0,1,0,16.30185,0,0,0,0,0.0,0,0,658.618
1,D7G_GongMian,14,0,0,1,0.0,0,0,0,0,0.0,0,0,618.921
2,D7G_King,14,0,0,4,359.1,0,0,0,0,0.0,0,0,709.842
3,D7G_Tys,14,2,0,1,239.322037,1,0,1,2,224.726547,0,0,626.501
4,CSG_BaiHuXp,8,1,0,5,144.504562,1,3,1,1,11.1255522,0,0,1198.514
5,CSG_QiLinXm,8,0,0,4,123.945374,0,9,0,0,0.0,1,0,1201.241
6,CSG_QingLongxL,8,2,0,7,120.788559,0,12,1,2,26.9892731,0,0,1184.215
7,CSG_TaoTiexk,8,1,1,6,153.979584,0,10,1,1,73.45017,0,0,1045.968
8,Ark_Yuren,7,1,0,7,58.0475,0,2,1,1,53.01213,0,0,1238.815
9,Ark_by,7,1,2,4,457.571228,1,1,1,1,15.0934582,0,0,1234.39
10,Ark_Mad98,7,0,1,0,83.70614,0,0,1,1,13.1881886,0,0,1223.882
11,Ark_Cobra,7,3,0,2,524.4223,0,2,1,1,170.33551,0,0,1238.82
12,WZ_Frizzls,15,0,0,0,0.0,0,0,0,0,0.0,0,0,649.144
13,WZ_Anq1an,15,0,0,1,0.0,0,0,0,0,0.0,0,0,649.14
14,WZ_Arui,15,0,0,1,0.0,0,0,0,0,0.0,0,0,645.717
15,WZ_iccll,15,0,0,2,0.0,0,0,0,0,0.0,0,0,649.148
16,NEXT_zHAnBo,4,0,1,0,60.59455,0,0,0,0,0.0,0,0,645.083
17,NEXT_Hsss,4,3,2,7,528.8116,0,7,2,3,66.05266,0,0,1422.399
18,NEXT_soldier,4,2,3,2,512.42804,0,4,2,5,200.620865,0,0,1272.86
19,NEXT_BAIQIYYY,4,0,0,2,79.13795,0,0,1,1,121.515877,0,0,646.262
20,EDG_Fugue,11,0,0,2,0.0,0,0,0,0,0.0,0,0,880.408
21,EDG_Z9Max,11,0,0,3,148.712082,0,1,0,0,0.0,0,0,880.419
22,EDG_AzEeeeee,11,0,0,1,0.0,0,0,0,0,0.0,0,0,880.413
23,EDG_Lzy,11,0,0,2,86.48013,0,2,0,0,0.0,0,0,880.405
24,YTG_YuChEn,9,1,0,0,100.0,0,0,1,1,119.727119,0,0,596.688
25,YTG_2dog,9,1,0,2,247.377716,0,1,0,0,0.0,0,0,1087.179
26,YTG_EzTong,9,0,2,1,85.14,0,1,0,0,0.0,0,0,626.931
27,YTG_Zmmm,9,2,1,4,354.513336,1,10,1,1,106.814392,0,0,1114.815
28,FPX_x1aoTu,1,0,4,3,198.609421,0,2,0,0,0.0,0,0,1485.298
29,FPX_meRcy,1,1,2,4,441.5919,0,2,1,3,79.7848053,1,0,1485.298
30,FPX_XiaoA,1,2,1,3,199.8891,0,2,1,2,24.671833,0,0,1485.298
31,FPX_mingz1,1,5,1,7,651.8018,1,1,2,8,304.518951,1,0,1485.298
32,TMQ_DDn,3,2,1,1,294.1027,0,1,0,0,0.0,0,0,589.526
33,TMQ_qmcc,3,5,4,5,554.399048,0,2,2,2,28.65614,0,0,1473.924
34,TMQ_MonkeyKing,3,1,0,0,180.198776,0,0,1,1,8.436993,0,0,558.394
35,TMQ_NewCandy,3,0,0,1,0.0,0,0,0,0,0.0,0,0,622.475
36,CBT_xingxing,10,2,0,4,102.7925,0,2,1,2,7.637539,1,0,845.285
37,CBT_Xcc,10,0,2,5,230.957428,0,9,0,0,0.0,1,0,979.365
38,CBT_Sixgod,10,0,0,2,130.772064,0,2,0,0,0.0,0,0,845.852
39,CBT_M9Xxx,10,2,0,5,301.287933,1,5,3,5,126.788681,0,0,979.372
40,JTG_YawaLLL,16,0,0,0,0.0,0,0,0,0,0.0,0,0,111.654
41,JTG_Arya,16,0,0,0,84.23999,0,0,0,0,0.0,0,0,231.791
42,JTG_Roar,16,0,0,0,128.31,0,0,0,0,0.0,0,0,260.25
43,JTG_xiaorong,16,1,0,2,100.8,0,1,0,0,0.0,0,0,320.89
44,JTeam_KENYOFF,2,0,1,8,254.189529,0,10,1,1,180.477142,0,0,1485.246
45,JTeam_LingQiang,2,1,0,2,38.2775078,0,1,1,1,306.0933,0,0,1075.53
46,JTeam_GoodBoy,2,0,1,3,72.24,0,1,0,0,0.0,0,0,1077.633
47,JTeam_26DoD,2,2,1,6,229.273926,0,2,1,2,127.531975,1,0,1485.249
48,WE_FNGO,6,1,0,2,161.920013,0,0,1,1,46.174633,0,0,1061.335
49,WE_Sola,6,1,1,7,194.25293,0,9,1,1,343.427032,0,0,1280.021
50,WE_XiaoLv,6,1,0,4,105.645691,0,30,1,1,19.5666218,0,0,1086.614
51,WE_JiSibabe,6,1,0,5,112.918922,1,6,1,1,96.08947,0,0,1102.7
52,QM_JiYy,13,3,0,3,164.854126,0,3,1,2,20.364378,1,0,870.374
53,QM_YIZz,13,0,0,0,0.0,0,0,0,0,0.0,0,0,519.744
54,QM_L1gEEE,13,1,0,3,169.024841,0,4,1,1,32.1792068,2,0,857.654
55,QM_WuFeng,13,0,1,0,95.45999,0,2,0,0,0.0,0,0,583.255
56,V5_Perse,12,0,0,3,135.432236,0,1,0,0,0.0,0,0,672.212
57,V5_927,12,1,0,4,172.1361,0,6,2,2,401.059753,0,0,874.859
58,V5_ShanD1anX,12,0,0,3,74.05634,0,4,0,0,0.0,0,0,851.174
59,V5_SnGiao,12,0,0,2,0.0,0,0,0,0,0.0,0,0,628.386
60,Tianba_T1antian,5,0,1,3,95.2875,0,0,0,0,0.0,0,0,1279.805
61,Tianba_Tianqi,5,0,0,3,84.1199,0,6,0,0,0.0,0,0,1291.186
62,Tianba_LuRenA,5,0,0,1,123.688057,0,0,1,1,568.6663,0,0,1291.182
63,Tianba_LinShuNN,5,1,2,1,233.21373,0,3,2,2,550.464966,1,0,1287.12
64,JTeam_KENYOFF,6,1,1,2,124.509995,0,1,1,1,37.5064,0,0,720.604
65,JTeam_26DoD,6,1,0,1,75.4900055,0,1,1,1,10.5060778,1,0,794.267
66,JTeam_GoodBoy,6,0,1,3,91.04524,0,2,0,0,0.0,0,0,787.412
67,JTeam_LingQiang,6,2,0,3,272.609772,1,0,1,3,252.618866,1,0,823.741
68,CSG_QiLinXm,16,1,0,0,68.84854,0,0,0,0,0.0,0,0,121.679
69,CSG_QingLongxL,16,0,0,0,0.0,0,0,0,0,0.0,0,0,121.694
70,CSG_BaiHuXp,16,0,0,0,0.0,0,0,0,0,0.0,0,0,121.698
71,CSG_TaoTiexk,16,0,0,0,59.22,0,0,0,0,0.0,0,0,121.685
72,Tianba_LinShuNN,2,2,0,5,245.49234,1,0,2,2,16.795557,0,0,1095.442
73,Tianba_T1antian,2,0,0,1,0.0,0,0,0,0,0.0,0,0,748.146
74,Tianba_Tianqi,2,0,2,2,83.85,0,0,0,0,0.0,0,0,806.025
75,Tianba_LuRenA,2,2,0,6,235.625,1,1,1,3,149.614456,0,1,1252.895
76,QM_YIZz,12,0,1,0,27.5718212,0,0,0,0,0.0,0,0,406.956
77,QM_WuFeng,12,2,1,2,191.602,0,0,0,0,0.0,1,0,490.099
78,QM_L1gEEE,12,0,1,1,0.0,0,1,0,0,0.0,0,0,490.096
79,QM_JiYy,12,0,0,1,0.0,0,1,0,0,0.0,0,0,490.103
80,Ark_Yuren,1,4,1,8,373.8776,0,2,1,3,239.69722,0,0,1252.948
81,Ark_Cobra,1,4,3,6,263.5462,3,2,2,5,185.2527,1,0,1252.948
82,Ark_by,1,2,3,3,636.7206,0,1,2,4,119.278595,1,0,1252.948
83,Ark_Mad98,1,2,3,3,499.770355,1,4,2,4,62.00425,2,0,1252.948
84,D7G_9FF,8,2,1,1,119.6975,0,5,1,1,19.4396667,0,0,809.157
85,D7G_King,8,3,2,2,428.1727,2,0,1,3,290.687469,1,0,794.234
86,D7G_Tys,8,2,1,3,137.30249,0,0,1,1,7.186277,1,0,801.989
87,D7G_GongMian,8,1,1,0,143.0,0,0,1,1,6.28528452,0,0,82.958
88,TMQ_MonkeyKing,9,0,0,0,29.4,0,0,0,0,0.0,0,0,272.028
89,TMQ_DDn,9,0,0,1,30.0999985,0,3,0,0,0.0,0,0,263.994
90,TMQ_qmcc,9,1,0,2,43.4294128,0,11,1,1,35.05425,0,0,696.772
91,TMQ_NewCandy,9,0,0,4,70.4109955,0,1,0,0,0.0,0,0,532.832
92,EDG_Z9Max,13,1,1,2,214.584518,0,1,1,1,24.7725582,0,0,387.468
93,EDG_Fugue,13,0,0,0,120.6903,0,0,0,0,0.0,0,0,387.471
94,EDG_Lzy,13,2,0,0,229.831329,2,0,2,3,40.7134857,0,0,387.478
95,EDG_AzEeeeee,13,0,0,0,0.0,0,0,0,0,0.0,0,0,297.451
96,YTG_EzTong,4,0,0,3,84.792,0,1,0,0,0.0,0,0,769.031
97,YTG_Zmmm,4,0,0,2,0.0,0,5,0,0,0.0,0,0,979.995
98,YTG_YuChEn,4,0,0,3,53.5947075,0,1,0,0,0.0,0,0,903.862
99,YTG_2dog,4,0,0,3,0.0,0,1,0,0,0.0,0,0,928.101
100,WE_XiaoLv,14,0,0,0,34.3,0,0,0,0,0.0,0,0,333.217
101,WE_Sola,14,1,0,0,69.97,1,1,1,1,60.7361,0,0,383.426
