,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,AMY_Panda,4,1,0,2,230.677948,1,0,1,1,217.186752,0,0,1588.286
1,AMY_Sugary,4,0,0,9,232.420944,0,5,2,2,116.110046,0,0,1653.316
2,AMY_HongHong,4,2,1,3,221.053391,0,2,1,1,12.5257511,0,0,1731.301
3,AMY_Reve,4,0,0,0,0.0,0,0,0,0,0.0,0,0,558.757
4,Tianba_Tua,2,2,0,8,471.392944,1,2,1,2,19.91152,0,0,1645.375
5,Tianba_T1antian,2,2,3,2,631.136536,0,3,1,4,283.833221,0,0,1778.087
6,Tianba_LuRenA,2,2,1,7,410.4236,1,1,1,3,13.1054354,0,0,1778.09
7,Tianba_LinShuNN,2,2,2,4,613.894,1,1,1,3,179.935532,1,0,1770.32
8,RNG_Rain,7,2,2,6,467.8763,0,5,1,1,5.94146872,1,0,1381.316
9,RNG_tiaotiaohu,7,0,0,1,72.76317,0,2,0,0,0.0,1,0,1280.688
10,RNG_shuaishuai,7,2,0,3,158.871475,0,5,1,2,237.47998,0,0,1314.89
11,RNG_Loong,7,2,1,2,347.785431,1,2,1,1,82.97623,0,0,1336.623
12,VG_Milu,11,0,0,0,0.0,0,0,0,0,0.0,0,0,988.825
13,VG_QFFFF,11,0,0,0,120.9375,0,0,0,0,0.0,0,0,984.197
14,VG_Vama,11,1,0,2,186.778534,0,0,0,0,0.0,0,0,1010.037
15,VG_77owo,11,0,0,0,194.935715,0,1,0,0,0.0,0,0,1062.74
16,TSG_BearTieShou,3,3,1,6,421.564575,1,1,2,3,60.6556854,0,0,1771.013
17,TSG_ODUZhuiMing,3,0,1,0,124.03215,0,0,0,0,0.0,0,0,1403.261
18,TSG_PengWuQing,3,1,1,2,83.65584,1,0,1,1,173.7241,0,0,1411.177
19,TSG_911LengXue,3,1,0,1,496.238342,1,0,2,2,213.752655,0,0,1377.232
20,Lstars_ADuo,14,0,3,0,25.920002,0,0,0,0,0.0,0,0,628.075
21,Lstars_Seventeen,14,4,2,0,378.110321,0,0,1,2,93.52581,0,0,628.078
22,Lstars_WnnnNB,14,2,0,0,168.395,0,0,1,2,112.482414,0,0,623.798
23,Lstars_91Karl,14,1,0,0,182.440018,0,0,1,1,9.746554,0,0,615.479
24,SSS_NB211,1,1,0,9,155.197159,0,11,2,2,50.452877,0,0,1778.152
25,SSS_Xbei,1,1,0,2,306.2338,0,1,1,1,46.9091835,0,0,1379.954
26,SSS_Q77,1,0,1,11,351.419128,0,4,1,1,11.9998617,1,0,1778.152
27,SSS_Mamu,1,0,1,8,109.84964,0,3,0,0,0.0,1,0,1778.152
28,D7G_9FF,8,1,0,1,253.878448,0,0,0,0,0.0,0,0,1079.511
29,D7G_King,8,2,0,3,346.552948,0,2,2,2,44.8617668,0,0,1298.765
30,D7G_Tys,8,2,1,5,123.130142,0,4,1,2,441.345459,0,0,1292.861
31,D7G_GongMian,8,1,1,1,326.0068,0,0,1,1,387.865143,0,0,1015.162
32,OMG_lionkk,10,1,0,2,128.908066,0,2,0,0,0.0,1,0,1073.54
33,OMG_xiaohaixxxx,10,0,1,1,210.631592,0,1,0,0,0.0,0,0,1073.544
34,OMG_Shmily,10,0,0,4,174.647964,0,1,0,0,0.0,0,0,1043.606
35,OMG_Shark,10,1,0,2,191.0333,0,2,1,1,12.2514181,0,0,1058.395
36,JTG_xiaorong,5,1,1,6,155.73793,0,3,1,1,0.9469216,1,0,1646.908
37,JTG_Arya,5,0,0,4,137.488785,0,5,0,0,0.0,0,0,1296.186
38,JTG_YawaLLL,5,0,0,0,0.0,0,0,0,0,0.0,0,0,604.37
39,JTG_Roar,5,2,0,7,199.22084,0,8,2,3,65.3180847,1,0,1646.913
40,AG_NGK,6,0,0,2,39.00904,0,1,0,0,0.0,0,0,802.538
41,AG_NuBi,6,0,1,0,25.8,0,0,0,0,0.0,0,0,328.045
42,AG_WaterBaby,6,1,0,6,74.2,0,5,1,1,9.860849,0,0,1623.538
43,AG_Libro,6,0,0,2,0.0,0,1,0,0,0.0,0,0,598.595
44,YTG_YuChEn,16,0,0,0,0.0,0,0,0,0,0.0,0,0,91.559
45,YTG_2dog,16,1,0,0,131.02,0,0,1,1,8.424161,0,0,337.017
46,YTG_EzTong,16,1,1,0,125.73999,0,0,1,1,53.45477,0,0,337.014
47,YTG_Zmmm,16,0,0,0,0.0,0,0,0,0,0.0,0,0,107.637
48,Weibo_NB103,12,1,1,4,246.305,0,5,1,2,25.98615,0,1,1035.979
49,Weibo_067,12,1,1,5,174.309753,0,4,2,2,38.50244,2,0,1035.973
50,Weibo_Little1ee,12,0,2,6,213.1991,0,4,1,1,311.149567,0,0,1035.99
51,Weibo_Running,12,0,0,2,0.0,0,0,0,0,0.0,0,0,621.105
52,QM_WuFeng,9,0,2,1,111.085838,0,0,0,0,0.0,1,0,1229.621
53,QM_YIZz,9,0,1,0,183.436447,0,0,0,0,0.0,0,0,1229.626
54,QM_JiYy,9,0,0,2,0.0,0,0,0,0,0.0,0,0,1027.3
55,QM_L1gEEE,9,1,0,7,68.822464,0,2,1,1,246.446915,0,0,1221.172
56,DAE_Dy577,15,0,0,0,0.0,0,0,0,0,0.0,0,0,520.157
57,DAE_m200Yy,15,0,0,0,0.0,0,0,0,0,0.0,0,0,520.126
58,DAE_SmaIIccc,15,0,0,0,0.0,0,0,0,0,0.0,0,0,319.371
59,DAE_Timon,15,0,0,0,0.0,0,0,0,0,0.0,0,0,311.639
60,LYG_Maps,13,0,1,0,86.42999,0,0,0,0,0.0,0,0,336.252
61,LYG_Box,13,0,0,0,6.703392,0,0,1,1,4.086214,0,0,337.019
62,LYG_Carrot,13,1,0,6,177.400009,0,2,1,1,49.47318,0,0,901.988
63,LYG_M1Go,13,1,0,0,119.35,0,0,1,1,5.528125,0,0,332.682
64,RNG_Loong,16,1,0,1,56.412426,0,1,1,1,22.55372,0,0,790.395
65,RNG_shuaishuai,16,0,1,0,53.32,0,0,0,0,0.0,0,0,790.39
66,RNG_tiaotiaohu,16,0,0,1,0.0,0,1,0,0,0.0,0,0,790.387
67,RNG_Rain,16,0,0,0,0.0,0,0,0,0,0.0,0,0,322.232
68,QM_WuFeng,6,3,2,6,504.705322,1,3,2,3,268.493073,0,0,1435.301
69,QM_JiYy,6,1,4,6,391.854919,0,4,1,1,32.4255028,2,0,1357.085
70,QM_L1gEEE,6,2,1,3,248.447876,0,3,1,2,33.57977,1,0,1346.345
71,QM_YIZz,6,3,1,3,351.0737,0,1,1,3,55.1356544,0,0,1405.049
72,AMY_Sugary,11,0,0,3,18.6036739,1,5,1,2,27.5164261,0,0,1127.932
73,AMY_Reve,11,2,1,0,286.316772,0,0,2,2,26.628973,0,0,793.654
74,AMY_HongHong,11,0,0,0,19.3422565,0,0,0,0,0.0,0,0,1127.936
75,AMY_Panda,11,0,0,0,97.2281647,0,0,0,0,0.0,0,0,1102.105
76,Tianba_LuRenA,13,0,0,0,55.87422,0,0,0,0,0.0,0,0,958.07
77,Tianba_Tua,13,0,0,0,0.0,0,0,0,0,0.0,0,0,892.715
78,Tianba_LinShuNN,13,0,0,2,25.6800823,0,0,0,0,0.0,0,0,913.881
79,Tianba_T1antian,13,0,0,4,105.001678,0,12,0,0,0.0,0,0,1101.485
80,YTG_EzTong,8,2,0,4,203.26976,0,4,1,4,57.73044,1,1,1237.914
81,YTG_YuChEn,8,1,2,3,200.039124,0,2,1,2,35.0586128,0,0,1207.92
82,YTG_Zmmm,8,0,1,2,111.975639,1,4,1,1,23.433342,0,0,1237.917
83,YTG_2dog,8,1,2,2,183.43132,0,3,1,1,18.7511311,0,0,1159.953
84,LYG_Carrot,12,0,0,3,95.46,0,5,0,0,0.0,0,0,1115.137
85,LYG_Box,12,0,0,3,54.1118469,0,2,0,0,0.0,0,0,1084.351
86,LYG_Maps,12,0,0,1,0.0,0,4,0,0,0.0,0,0,1076.74
87,LYG_M1Go,12,0,0,3,28.6006165,0,7,0,0,0.0,0,0,1047.368
88,Lstars_91Karl,3,3,0,4,316.349152,1,1,1,3,212.258392,0,0,1478.582
89,Lstars_ADuo,3,0,1,6,104.633919,0,11,0,0,0.0,0,0,1543.26
90,Lstars_WnnnNB,3,2,0,2,312.549469,0,1,1,3,304.476166,0,0,1543.256
91,Lstars_Seventeen,3,2,2,4,332.3915,1,1,1,1,74.94499,0,0,1515.91
92,JTG_Arya,10,1,3,0,303.457855,0,2,0,0,0.0,0,0,1147.732
93,JTG_YawaLLL,10,0,0,1,0.0,0,3,0,0,0.0,0,0,1139.686
94,JTG_xiaorong,10,1,0,0,282.356384,0,1,1,3,217.0605,0,0,1132.832
95,JTG_Roar,10,3,0,0,278.751678,0,1,1,3,85.85039,0,0,1147.736
96,OMG_Shark,1,1,1,4,135.500473,0,2,1,1,46.1154022,0,0,1560.683
97,OMG_xiaohaixxxx,1,2,0,2,219.453949,0,1,1,1,30.6303215,1,0,1549.493
98,OMG_Shmily,1,1,0,3,407.980225,2,0,2,3,234.637512,0,0,1560.683
99,OMG_lionkk,1,1,2,6,355.81604,1,4,2,2,58.99414,0,0,1560.683
100,SSS_Xbei,7,0,0,3,93.53741,0,5,0,0,0.0,0,0,1260.003
101,SSS_NB211,7,0,0,2,46.3593,0,2,0,0,0.0,0,0,487.921
102,SSS_Mamu,7,0,0,2,151.614334,0,0,0,0,0.0,0,0,1318.849
103,SSS_Q77,7,1,1,3,105.923622,0,1,1,1,383.424652,0,0,1318.846
104,DAE_m200Yy,14,1,0,3,0.0,0,0,0,0,0.0,0,1,1094.502
105,DAE_SmaIIccc,14,0,0,4,170.6675,0,1,0,0,0.0,1,0,1075.41
106,DAE_Timon,14,0,0,2,21.5241947,0,0,0,0,0.0,0,0,1006.387
107,DAE_Dy577,14,2,0,3,354.310547,0,2,1,2,9.266442,0,0,1094.897
108,TSG_BearTieShou,5,0,0,3,149.688965,0,0,0,0,0.0,0,0,1348.676
109,TSG_ODUZhuiMing,5,0,0,4,98.33038,0,0,0,0,0.0,0,0,1265.918
110,TSG_PengWuQing,5,0,0,6,235.409439,0,2,0,0,0.0,0,0,1460.238
111,TSG_911LengXue,5,1,0,5,335.526825,0,6,0,0,0.0,0,0,1459.049
112,VG_Vama,9,1,0,2,69.7112961,1,0,1,1,64.67233,0,0,1129.975
113,VG_QFFFF,9,1,0,4,150.63,0,1,1,1,31.397295,0,0,1141.086
114,VG_77owo,9,1,2,5,169.453583,0,2,0,0,0.0,0,0,1180.881
115,VG_Milu,9,0,0,1,0.0,0,3,0,0,0.0,0,0,1098.505
116,AG_NuBi,15,0,0,0,0.0,0,0,0,0,0.0,0,0,1001.501
117,AG_Libro,15,1,0,0,33.7300034,0,1,0,0,0.0,0,0,799.391
118,AG_NGK,15,1,0,2,149.094254,0,0,0,0,0.0,0,0,976.756
119,AG_WaterBaby,15,0,0,0,66.27,0,0,0,0,0.0,0,0,791.436
120,D7G_Tys,4,0,1,0,228.108673,0,0,0,0,0.0,0,0,1032.964
121,D7G_King,4,0,0,3,0.0,0,5,0,0,0.0,0,0,860.48
122,D7G_GongMian,4,0,1,1,93.70633,0,0,0,0,0.0,0,0,1083.233
123,D7G_9FF,4,2,1,5,123.725174,0,2,1,2,23.0606689,0,0,1481.596
124,Weibo_Running,2,2,4,3,323.158264,0,2,1,2,213.155548,0,0,1420.05
125,Weibo_Little1ee,2,2,0,4,291.942627,0,3,1,2,159.405518,0,0,1560.632
126,Weibo_NB103,2,1,0,6,264.106842,1,1,2,2,35.24754,1,0,1560.627
127,Weibo_067,2,2,1,3,392.909363,1,1,1,3,216.104218,1,0,1413.218
128,QM_JiYy,14,1,1,2,63.88,0,0,0,0,0.0,0,0,948.353
129,QM_L1gEEE,14,1,0,2,69.59628,1,1,1,1,17.616251,0,0,948.358
130,QM_YIZz,14,0,0,1,0.0,0,1,0,0,0.0,0,0,948.351
131,QM_WuFeng,14,0,0,2,120.078918,0,2,0,0,0.0,0,0,842.41
132,Lstars_91Karl,15,0,0,0,0.0,0,0,0,0,0.0,0,0,216.884
133,Lstars_WnnnNB,15,1,0,1,152.655,1,0,2,2,64.94454,0,0,898.298
134,Lstars_ADuo,15,0,1,0,72.345,0,0,0,0,0.0,0,0,230.599
135,Lstars_Seventeen,15,2,0,5,200.000015,0,3,2,2,29.8768215,0,0,898.294
136,LYG_Maps,11,0,0,3,0.0,0,0,0,0,0.0,0,0,1079.903
137,LYG_M1Go,11,0,0,3,42.57,0,0,0,0,0.0,0,0,1016.078
138,LYG_Box,11,0,0,4,74.7299957,0,3,0,0,0.0,1,0,1276.883
139,LYG_Carrot,11,0,0,4,55.1,0,3,0,0,0.0,1,0,1276.891
140,AG_NGK,3,4,2,7,531.2946,2,5,1,3,218.2004,2,0,1708.153
141,AG_NuBi,3,1,0,0,158.802826,1,0,1,1,199.766724,0,0,939.424
142,AG_Libro,3,1,2,2,254.0955,1,2,1,1,164.194214,0,0,1591.351
143,AG_WaterBaby,3,5,0,2,503.415253,1,1,2,5,25.8040333,0,0,1602.124
144,Tianba_LuRenA,1,1,0,4,42.2700043,1,2,2,3,246.102524,0,0,1733.278
145,Tianba_T1antian,1,1,1,5,342.222656,0,2,2,4,391.554,0,0,1733.278
146,Tianba_Tua,1,1,1,5,184.736771,0,2,1,1,68.46297,0,0,1403.536
