,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,EDG_Fugue7,12,1,0,0,100.0,0,0,0,0,1,1,0,0,1.49440217,0,0,0,0,94.51,0,0
1,EDG_SlinGEleven,12,2,1,2,312.689056,0,1,0,0,1,1,0,0,1.039949,0,0,0,0,332.244,0,0
2,EDG_AzEeeeee,12,4,0,2,496.93,3,2,0,0,2,6,0,0,22.74804,0,0,0,0,332.247,0,0
3,EDG_Lin1,12,2,0,1,215.209991,2,2,0,0,1,2,0,0,21.9352188,0,0,0,0,327.525,0,0
4,FTF-Yudabao,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,118.268,0,0
5,FTF-zsiR,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,95.147,0,0
6,FTF-Loong,4,2,0,2,263.210022,2,1,0,0,2,2,0,0,3.5584774,0,0,0,0,200.528,0,0
7,FTF-Muggle,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,947.73,0,0
8,JDGAilx,6,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,730.576,0,0
9,JDGBluhhff,6,2,0,4,0.0,0,3,0,0,0,0,0,0,0.0,0,0,0,2,720.09,0,0
10,JDGLee99,6,0,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,590.919,0,0
11,JDGShuFu,6,0,0,2,0.0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,480.277,0,0
12,Dae_away,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,342.526,0,0
13,Dae_GanDaoFu7777,3,1,0,3,167.80481,0,2,0,0,1,1,0,0,167.436615,0,0,0,0,805.077,0,0
14,Dae_HaShen,3,2,1,2,226.22583,1,0,0,0,1,2,0,0,168.590744,0,0,0,0,794.47,0,0
15,Dae_577,3,2,1,0,397.927673,0,1,0,0,1,2,0,0,155.495026,0,0,0,0,991.109,0,0
16,LYG_Maps,8,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,439.01,0,0
17,LYG_yyxovo,8,0,0,2,68.52858,0,4,0,0,0,0,0,0,0.0,0,0,0,0,441.018,0,0
18,LYG_TuDouBoss,8,0,0,0,52.0954475,0,0,0,0,0,0,0,0,0.0,0,0,0,0,626.496,0,0
19,LYG_XiaoLv,8,2,0,1,162.95,0,1,0,0,0,0,0,0,0.0,0,0,0,0,484.396,0,0
20,17_shou,9,0,0,0,116.086533,0,0,0,0,0,0,0,0,0.0,0,0,0,0,607.214,0,0
21,17_Libro,9,0,0,1,35.06389,0,0,0,0,0,0,0,0,0.0,0,0,0,0,510.464,0,0
22,17_067QAQ,9,0,0,0,132.210556,1,1,0,0,1,1,0,0,9.573787,0,0,0,0,539.398,0,0
23,17_shox,9,1,0,0,171.430008,0,0,0,0,1,1,0,0,55.37786,0,0,0,0,475.573,0,0
24,Elephant_AiDi,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,94.896,0,0
25,Elephant_BoxQ_Q,16,0,0,0,105.963409,0,0,0,0,0,0,0,0,0.0,0,0,0,0,167.163,0,0
26,Elephant_JiaoZi,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,90.041,0,0
27,Elephant_Ql,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,89.189,0,0
28,QM_JiYy,1,1,0,0,238.778717,0,0,0,0,0,0,0,0,0.0,0,0,0,0,403.045,0,0
29,QM_WuFeng,1,3,0,7,524.084534,0,1,0,0,2,5,0,0,46.24022,0,0,0,0,1074.476,0,0
30,QM_XiaoLian,1,4,0,2,587.1604,0,1,0,0,2,4,0,0,35.0720673,0,0,0,0,640.245,0,0
31,QM_YIZz,1,1,0,0,100.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,505.215,0,0
32,SSSLsn-___-,7,1,0,0,94.03,1,0,0,0,1,1,0,0,6.48278666,0,0,0,0,664.482,0,0
33,SSSNB211-__-,7,0,0,3,94.35,0,0,0,0,1,1,0,0,20.79879,0,0,0,0,647.336,0,0
34,SSSsummer-_-,7,1,0,1,11.2659988,0,1,0,0,1,1,0,0,84.20602,0,0,0,0,669.122,0,0
35,SSSkongmu-w-,7,0,1,0,176.734,1,0,0,0,1,1,0,0,120.96254,0,0,0,0,669.125,0,0
36,V5_kadi,14,0,0,0,99.6000061,0,0,0,0,0,0,0,0,0.0,0,0,0,0,89.711,0,0
37,V5_Lanren,14,1,1,1,100.0,0,1,0,0,1,1,0,0,18.1090183,0,0,0,0,233.315,0,0
38,V5_ShanD1anX,14,1,0,1,200.0,1,1,0,0,1,2,0,0,159.4731,0,0,0,0,233.312,0,0
39,V5_Little1ee,14,1,0,0,157.237366,0,0,0,0,1,1,0,0,2.06495547,0,0,0,0,99.07,0,0
40,Ark_FnGO,10,2,0,0,200.0,2,3,0,0,1,2,0,0,26.7586327,0,0,0,0,590.815,0,0
41,Ark_invincible,10,0,1,0,97.70662,0,1,0,0,0,0,0,0,0.0,0,0,0,0,500.251,0,0
42,Ark_Mad98TnT,10,1,1,4,250.507843,1,9,0,0,2,3,0,0,87.2430344,0,0,1,0,580.105,0,0
43,Ark_Z9maxSkr,10,1,1,1,69.24419,0,3,0,0,1,1,0,0,101.894943,0,0,1,0,425.278,0,0
44,Lstars_Easy,2,1,0,7,348.660919,0,10,0,0,1,2,0,0,50.1261864,0,0,0,0,1072.65,0,0
45,Lstars_Wnnn_,2,0,2,4,158.039856,0,1,0,0,1,1,0,0,46.13641,0,0,3,0,1074.437,0,0
46,Lstars_Ydd,2,2,0,4,241.164581,2,2,0,0,2,2,0,0,68.8512039,0,0,0,0,765.773,0,0
47,Lstars_Aduo,2,2,0,6,323.699341,0,2,0,0,1,3,0,0,109.246048,0,0,1,0,945.268,0,0
48,JTG_Yulu,13,0,0,0,69.09,0,0,0,0,0,0,0,0,0.0,0,0,1,0,249.973,0,0
49,JTG_LuuuuuuOvO,13,0,0,0,0.0,0,0,0,0,1,1,0,0,8.356024,0,0,0,0,133.045,0,0
50,JTG_Arya,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,93.383,0,0
51,JTG_Mars,13,1,1,0,173.530014,1,1,0,0,1,1,0,0,35.86568,0,0,0,0,243.754,0,0
52,RNG_shuaishuai,11,1,0,0,100.0,1,0,0,0,1,1,0,0,57.0222359,0,0,0,0,441.533,0,0
53,RNG_Emperor,11,0,0,0,53.8184662,0,0,0,0,0,0,0,0,0.0,0,0,0,0,488.028,0,0
54,RNG_ha1ker,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,560.575,0,0
55,OMGsilentBT,5,2,0,1,219.194,0,1,0,0,1,1,0,0,206.485092,0,0,0,0,902.822,0,0
56,OMGxiaohaixxxx,5,1,1,3,131.76,0,0,0,0,1,1,0,0,38.2707825,0,0,0,0,837.481,0,0
57,OMGlionkk,5,0,0,0,134.353485,0,0,0,0,0,0,0,0,0.0,0,0,0,0,788.402,0,0
58,OMGxiaorong,5,1,0,0,164.63533,0,0,0,0,1,1,0,0,198.038162,0,0,0,0,916.561,0,0
59,HX_sanjing,15,1,1,0,194.6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,99.686,0,0
60,HX_desire,15,2,1,0,213.890015,1,0,0,0,1,1,0,0,6.078879,0,0,0,0,202.482,0,0
61,HX_Xz_,15,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,202.476,0,0
62,HX_DouGay,15,0,0,0,18.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,88.417,0,0
63,OMGxiaorong,12,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,212.582,0,0
64,OMGxiaohaixxxx,12,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,203.091,0,0
65,OMGlionkk,12,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,224.313,0,0
66,OMGsilentBT,12,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,330.094,0,0
67,Lstars_Easy,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,405.011,0,0
68,Lstars_Ydd,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,317.678,0,0
69,Lstars_Aduo,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,271.497,0,0
70,Lstars_Wnnn_,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,328.714,0,0
71,17_shou,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,193.095,0,0
72,17_Libro,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,284.225,0,0
73,17_shox,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,469.712,0,0
74,17_067QAQ,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,213.567,0,0
75,Elephant_BoxQ_Q,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,332.72,0,0
76,Elephant_AiDi,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,191.022,0,0
77,Elephant_Ql,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,201.401,0,0
78,RNG_shuaishuai,14,2,0,0,200.0,0,0,0,0,2,2,0,0,3.74766755,0,0,0,1,292.114,0,0
79,RNG_JiyunX,14,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,224.422,0,0
80,RNG_ha1ker,14,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,188.218,0,0
81,RNG_Emperor,14,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,224.939,0,0
82,V5_ShanD1anX,15,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,210.648,0,0
83,V5_Lanren,15,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,205.677,0,0
84,V5_kadi,15,1,0,0,100.0,0,0,0,0,1,1,0,0,0.9673633,0,0,0,0,286.565,0,0
85,FTF-Loong,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,336.711,0,0
86,FTF-zsiR,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,396.67,0,0
87,FTF-Yudabao,7,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,310.013,0,0
88,FTF-Muggle,7,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,415.512,0,0
89,HX_sanjing,1,2,0,0,77.20006,0,0,0,0,1,1,0,0,105.7381,0,0,0,1,398.208,0,0
90,HX_desire,1,0,0,1,0.0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,472.76,0,0
91,HX_DouGay,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,472.76,0,0
92,HX_Xz_,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,200.581,0,0
93,SSSsummer-_-,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,205.916,0,0
94,SSSNB211-__-,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,311.812,0,0
95,SSSLsn-___-,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,310.531,0,0
96,Dae_GanDaoFu7777,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,441.587,0,0
97,Dae_HaShen,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,221.479,0,0
98,Dae_away,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,209.33,0,0
99,Dae_577,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,215.468,0,0
100,JTG_LuuuuuuOvO,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,297.053,0,0
101,JTG_Yulu,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,205.528,0,0
102,JTG_Arya,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,316.429,0,0
103,JTG_Mars,9,1,0,0,9.767555,0,0,0,0,1,1,0,0,61.96535,0,0,0,0,350.86,0,0
104,LYG_Maps,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,196.045,0,0
105,LYG_yyxovo,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,465.851,0,0
106,LYG_TuDouBoss,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,387.765,0,0
107,LYG_XiaoLv,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,391.284,0,0
108,JDGAilx,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,209.912,0,0
109,JDGBluhhff,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,196.41,0,0
110,JDGShuFu,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,472.715,0,0
111,EDG_Lin1,10,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,330.77,0,0
112,EDG_AzEeeeee,10,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,325.573,0,0
113,EDG_Fugue7,10,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,291.53,0,0
114,EDG_SlinGEleven,10,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,336.065,0,0
115,QM_JiYy,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,201.95,0,0
116,QM_WuFeng,6,1,0,0,99.99999,0,0,0,0,1,1,0,0,1.67584944,0,0,0,0,328.532,0,0
117,QM_XiaoLian,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,419.712,0,0
