,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,WuK_BaiLongMax,13,0,0,1,31.203568,0,1,0,0,0.0,0,0,1055.0
1,WuK_95k,13,0,1,0,59.33253,0,0,0,0,0.0,0,0,1055.0
2,WuK_Hang2yTvT,13,2,1,0,120.845245,1,0,1,1,183.11084,0,0,950.0
3,0731_1nuyasha,10,4,0,9,314.545,2,8,2,4,25.584034,1,1,1168.0
4,0731_Gangd1ng,10,1,0,0,100.0,1,2,1,1,26.377892,0,0,121.0
5,0731_Fovk-,10,0,0,0,38.683853,0,5,0,0,0.0,0,0,119.0
6,0731_Yixinnn,10,1,1,4,290.99933,2,1,1,2,103.51301,0,0,1168.0
7,PFG_RunCnB,4,0,0,4,123.2595,0,2,1,1,440.34848,1,0,1359.0
8,PFG_X,4,2,1,6,311.26556,0,2,0,0,0.0,0,0,1375.0
9,PFG_Crow,4,0,1,3,285.08716,0,0,0,0,0.0,0,0,1350.0
10,PFG_PPeng,4,0,0,5,191.38158,0,5,0,0,0.0,0,0,1479.0
11,MK_Juzi,2,0,0,6,235.60614,0,0,3,3,52.543846,0,0,1717.0
12,MK_ZywZz,2,0,0,6,388.15665,0,1,0,0,0.0,0,0,1685.0
13,MK_BeiM,2,0,0,2,62.039997,0,2,0,0,0.0,0,0,1765.0
14,MK_YuBo,2,1,0,8,264.2429,0,3,1,1,105.60474,0,0,1765.0
15,Dss_857,3,0,1,4,84.977974,0,2,0,0,0.0,0,0,1428.0
16,Dss_molu,3,1,0,9,70.96,0,1,1,1,24.213682,0,0,1250.0
17,Dss_LiBai,3,0,1,8,29.04,0,3,0,0,0.0,0,0,1445.0
18,Dss_XiaoHuxxXX,3,1,0,10,354.31985,1,2,1,2,35.406044,1,0,1619.0
19,TL_CC108,1,5,2,8,525.19556,2,6,2,7,268.8884,0,0,1765.0
20,TL_J1aoyang,1,3,2,3,484.4782,0,3,1,2,223.45335,0,0,1765.0
21,TL_xtongzz,1,1,1,5,340.382,0,5,1,4,175.98898,0,0,1765.0
22,TL_SIA,1,1,3,4,422.6294,0,2,1,1,36.781498,0,0,1765.0
23,Whale_SuiX1ngKK,8,0,1,5,269.0254,0,9,1,1,1.2391263,0,0,1382.0
24,Whale_qiuKK,8,1,1,4,68.80437,1,3,1,1,1.1361902,1,0,1097.0
25,Whale_WarGreymon,8,3,2,7,405.89343,0,6,2,3,13.636554,0,0,1382.0
26,Whale_Miluc,8,3,0,7,308.3566,1,0,2,2,42.199814,0,0,1379.0
27,XCG_Jackying,14,0,0,0,0.0,0,1,0,0,0.0,0,0,250.0
28,XCG_Candy,14,0,0,0,35.877987,0,0,0,0,0.0,0,0,197.0
29,XCG_steven,14,0,0,0,0.0,0,0,0,0,0.0,0,0,111.0
30,XCG_LoveYangskr-,14,2,0,1,248.04001,0,0,0,0,0.0,0,0,290.0
31,AcG_He11oKt,16,0,0,0,56.88,0,0,0,0,0.0,0,0,80.0
32,AcG_Makabaka,16,0,0,0,0.0,0,0,0,0,0.0,0,0,80.0
33,AcG_Wuxidixi,16,0,0,0,71.82,0,0,0,0,0.0,0,0,80.0
34,AcG_Yigubigu,16,0,0,0,0.0,0,0,0,0,0.0,0,0,80.0
35,JTL_Enemy,5,0,1,1,106.07742,0,0,0,0,0.0,0,0,1473.0
36,JTL_LuckyHaoSkr,5,0,0,3,104.31564,0,0,1,1,206.97986,0,0,1422.0
37,JTL_He1Ma,5,2,0,2,212.04,0,1,1,2,35.522743,0,0,1476.0
38,JTL_Sor,5,0,1,1,56.517525,0,0,0,0,0.0,0,0,1476.0
39,emT_Stella,15,2,0,0,179.3951,0,0,2,2,7.2705994,0,0,128.0
40,emT_JeffLocka,15,0,1,0,36.477886,0,0,0,0,0.0,0,0,128.0
41,emT_BeaN,15,0,1,0,105.83999,0,0,0,0,0.0,0,0,128.0
42,emT_NEFiEX,15,0,0,0,35.28,0,0,0,0,0.0,0,0,128.0
43,KoK_JiaoMei,11,1,0,3,99.0,0,0,1,1,178.09143,0,0,850.0
44,KoK_Sprite7,11,0,0,5,0.0,0,0,0,0,0.0,0,0,827.0
45,KoK_3DuoDad,11,1,1,5,127.04695,0,4,0,0,0.0,0,0,1149.0
46,EO_banana,12,0,0,4,0.0,0,0,0,0,0.0,0,0,641.0
47,EO_Evin,12,0,0,1,126.93165,0,0,0,0,0.0,0,0,1141.0
48,EO_ReVe,12,1,0,4,147.7864,0,1,1,1,374.48398,0,0,1141.0
49,EO_DozeL,12,0,0,4,0.0,0,1,0,0,0.0,1,0,1141.0
50,DDT_1996,6,2,0,5,272.8006,1,3,1,1,24.332117,0,0,1475.0
51,DDT_GaoXin,6,1,1,5,246.71614,0,2,1,1,26.213745,1,0,1475.0
52,DDT_zHeee,6,0,1,3,142.161,0,7,0,0,0.0,0,0,937.0
53,DDT_Vama,6,2,2,3,234.5022,0,1,1,1,82.77919,0,0,1475.0
54,Tianba_Tang,7,2,2,4,416.1867,1,1,2,3,45.94297,1,0,1060.0
55,Tianba_LinShuNN,7,2,2,5,511.72455,0,4,1,2,62.73444,0,0,1391.0
56,Tianba_Cui71,7,1,0,2,47.132504,0,2,1,1,3.9145057,1,0,590.0
57,Tianba_LuRenA,7,3,0,7,198.5246,2,2,1,3,99.47872,0,0,1022.0
58,NK_iYIVen,9,0,0,4,169.4637,0,1,0,0,0.0,0,0,1266.0
59,NK_26iYy,9,0,0,0,104.81621,0,0,0,0,0.0,0,0,579.0
60,NK_Ning,9,0,0,4,25.10452,0,1,0,0,0.0,0,0,1266.0
61,NK_guguZe,9,1,0,0,116.11511,1,0,1,1,80.066765,0,0,844.0
62,PFG_Crow,13,0,0,0,152.44394,0,0,1,1,17.146244,0,0,488.0
63,PFG_RunCnB,13,0,0,0,88.97099,0,1,0,0,0.0,0,0,502.0
64,PFG_X,13,0,0,1,29.04,0,3,0,0,0.0,0,0,508.0
65,PFG_PPeng,13,1,1,0,111.456795,0,0,0,0,0.0,0,0,508.0
66,NK_Ning,9,0,0,0,4.073074,0,0,0,0,0.0,0,0,314.0
67,NK_26iYy,9,5,0,5,611.8726,2,3,4,6,47.303112,1,0,1049.0
68,NK_guguZe,9,0,1,0,87.42,0,0,0,0,0.0,0,0,332.0
69,NK_iYIVen,9,0,1,6,256.69794,0,6,0,0,0.0,0,0,1047.0
70,emT_BeaN,6,0,1,1,42.852013,0,0,0,0,0.0,0,0,996.0
71,emT_NEFiEX,6,0,1,2,187.16162,0,1,1,1,17.390177,1,0,1121.0
72,emT_JeffLocka,6,1,2,4,272.4601,0,5,1,2,100.55142,0,0,1444.0
73,emT_Stella,6,4,1,5,235.16005,1,2,2,3,86.613495,0,0,1442.0
74,XCG_LoveYangskr-,10,1,0,3,204.49371,1,0,1,1,59.938232,0,0,657.0
75,XCG_steven,10,0,2,1,193.47668,0,4,0,0,0.0,0,0,729.0
76,XCG_Candy,10,2,1,0,114.23578,0,0,2,2,46.51814,0,0,740.0
77,XCG_Jackying,10,0,0,0,210.24979,0,0,0,0,0.0,0,0,727.0
78,0731_1nuyasha,7,0,2,6,136.07896,0,8,0,0,0.0,0,0,1160.0
79,0731_Yixinnn,7,1,1,4,118.37491,0,3,1,1,38.955616,0,0,1099.0
80,0731_Fovk-,7,2,0,5,191.48744,1,2,2,2,24.230732,2,0,1097.0
81,0731_Gangd1ng,7,1,0,3,154.20978,0,2,1,1,33.192738,0,0,1077.0
82,AcG_Wuxidixi,14,2,0,2,200.0,0,6,1,2,11.057806,0,0,353.0
83,AcG_He11oKt,14,2,0,4,395.823,1,4,2,3,28.435139,0,0,451.0
84,AcG_Yigubigu,14,0,0,0,0.0,0,0,0,0,0.0,0,0,86.0
85,AcG_Makabaka,14,2,0,3,100.0,0,3,1,1,0.86126375,1,0,451.0
86,Tianba_LinShuNN,2,0,2,4,399.5072,1,2,1,1,194.64842,2,0,1679.0
87,Tianba_Tang,2,2,1,8,245.6566,1,9,1,1,4.9668126,1,0,1655.0
88,Tianba_Cui71,2,1,0,5,151.52737,1,5,2,3,455.0973,0,0,1679.0
89,Tianba_LuRenA,2,0,0,8,108.90588,0,4,0,0,0.0,0,0,1453.0
90,Dss_molu,1,3,2,5,391.5561,0,1,1,1,60.7967,0,0,1679.0
91,Dss_LiBai,1,3,2,8,399.75153,0,1,1,2,145.07289,0,0,1674.0
92,Dss_857,1,0,1,0,242.03809,0,0,3,3,26.406702,0,0,1679.0
93,Dss_XiaoHuxxXX,1,2,1,7,633.9559,1,5,1,5,342.3969,0,0,1679.0
94,Whale_qiuKK,16,0,1,0,54.000004,0,0,0,0,0.0,0,0,92.0
95,Whale_Miluc,16,0,0,0,0.0,0,0,0,0,0.0,0,0,97.0
96,Whale_SuiX1ngKK,16,1,0,0,78.55,0,0,1,1,2.6659753,0,0,97.0
97,Whale_WarGreymon,16,0,0,0,49.61712,0,0,0,0,0.0,0,0,97.0
98,EO_banana,15,0,0,0,32.34,0,0,0,0,0.0,0,0,249.0
99,EO_DozeL,15,2,0,1,236.274,0,1,0,0,0.0,0,0,348.0
