,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,SnakeTC-Mozz,30,0,0,0,98.6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,130.156,0,0
1,BananaNPC_46,10,1,0,2,27.9973049,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1085.681,0,0
2,EL-dAuLt,10,0,0,3,0.0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,1048.433,0,0
3,w_y917,11,0,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,813.072,0,0
4,BananaNPC_47,11,0,0,2,88.41589,0,4,0,0,0,0,0,0,0.0,0,0,0,0,1049.272,0,0
5,Huya_bbw,26,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,350.286,0,0
6,Huya_Dongxiaosa,7,1,0,5,271.999878,1,2,0,0,1,3,0,0,38.43093,0,0,0,0,1193.761,0,0
7,Huya_mitu,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,649.831,0,0
8,BananaNPC_52,17,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,629.297,0,0
9,80god__,17,0,0,3,38.954998,0,0,0,0,0,0,0,0,0.0,0,0,0,0,612.691,0,0
10,MNY_Xiao7 ,18,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,599.83,0,0
11,BananaNPC_49,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1155.81,0,0
12,BBBBBerry,3,0,0,3,0.0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1386.416,0,0
13,BananaNPC_55,27,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,196.446,0,0
14,Huya_Dabiaoke,27,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,196.441,0,0
15,Huya_XZ_XingHun,28,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,179.505,0,0
16,Huya_lafenglong,29,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,179.17,0,0
17,ZhanQiTV-13yi,15,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,741.064,0,0
18,BananaNPC_44,15,1,0,0,80.65,0,0,0,0,0,0,0,0,0.0,0,0,0,0,741.069,0,0
19,Douyu_QQQ,8,0,0,0,102.0,0,0,0,0,1,1,0,0,66.7738647,0,0,0,0,1102.577,0,0
20,BananaNPC_50,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,859.84,0,0
21,QIETVBaiHua,5,1,0,5,419.1493,0,1,0,0,2,3,0,0,123.534706,0,0,1,0,1345.334,0,0
22,Huya_xiaotiangua,4,1,1,7,424.736816,1,2,0,0,1,2,0,0,100.559364,0,0,0,0,1356.397,0,0
23,BananaNPC_54,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,530.856,0,0
24,Keeeee,22,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,515.579,0,0
25,BananaNPC_48,22,0,0,0,65.97857,0,0,0,0,0,0,0,0,0.0,0,0,0,1,515.585,0,0
26,DouyuTV_ZiyazzZ,19,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,577.838,0,0
27,RNG_XDD_,23,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,472.727,0,0
28,BaishajunzzZ,2,3,0,3,485.311829,2,4,0,0,1,5,0,0,154.159241,0,0,2,0,1525.831,0,0
29,BananaNPC_53,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,903.961,0,0
30,zqtv-chengZz,1,0,0,7,498.0,1,3,0,0,1,5,0,0,298.0278,0,0,0,0,1525.868,0,0
31,Vanessa488384,6,0,0,1,38.7,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1224.293,0,0
32,IsMusicRadioYA,13,0,0,3,0.0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,836.582,0,0
33,BananaNPC_45,13,1,0,0,81.725,0,0,0,0,0,0,0,0,0.0,0,0,0,1,911.778,0,0
34,Huya_xiaoxiong,9,2,2,5,246.808,0,0,0,0,1,2,0,0,143.89389,0,0,0,0,1095.874,0,0
35,DouYuTV110838,14,3,0,5,404.544952,2,1,0,0,2,4,0,0,33.4215622,0,0,0,0,855.836,0,0
36,Huya_ha1ker,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,425.62,0,0
37,BananaNPC_43,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,425.616,0,0
38,BananaNPC_56,21,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,477.845,0,0
39,SnakeTC-mansoN,21,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,540.83,0,0
40,Yjj_PaoPao,12,1,0,2,282.120667,1,4,0,0,2,3,0,0,45.1342239,0,0,0,0,962.847,0,0
41,BananaNPC_51,20,2,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,543.216,0,0
42,C_obaby,20,0,0,0,0.0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,327.656,0,0
43,Huya_fc4t,24,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,181.7,0,0
44,BananaNPC_42,24,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,464.833,0,0
45,BBBBBerry,19,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,200.788,0,0
46,MNY_Xiao7 ,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,606.294,0,0
47,Keeeee,18,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,206.339,0,0
48,DouyuTV_ZiyazzZ,20,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,200.589,0,0
49,ZhanQiTV-13yi,11,0,1,0,38.7,0,0,0,0,0,0,0,0,0.0,0,0,0,0,386.086,0,0
50,SnakeTC-Mozz,30,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,64.981,0,0
51,Huya_Dabiaoke,14,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,343.312,0,0
52,Huya_fc4t,3,0,0,0,100.0,0,0,0,0,1,1,0,0,35.3828735,0,0,0,0,908.297,0,0
53,EL-dAuLt,23,0,0,0,100.0,1,0,0,0,1,1,0,0,1.109036,0,0,0,0,113.009,0,0
