,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,OMGsilentBT,9,0,1,2,132.611542,0,4,0,0,0,0,0,0,0.0,0,0,0,0,893.191,0,0
1,OMGxiaohaixxxx,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,821.44,0,0
2,OMGxiaorong,9,0,0,0,28.509201,0,0,0,0,0,0,0,0,0.0,0,0,0,0,796.375,0,0
3,OMGlionkk,9,0,0,0,69.57395,0,0,0,0,0,0,0,0,0.0,0,0,0,0,829.652,0,0
4,QM_XiaoLian,1,2,3,6,315.536,0,7,0,0,1,1,0,0,10.0344143,0,0,0,0,1643.142,0,0
5,QM_JiYy,1,2,2,5,410.766479,0,8,0,0,1,4,0,0,84.3744,0,0,0,0,1643.142,0,0
6,QM_WuFeng,1,1,1,3,213.259,1,10,0,0,1,1,0,0,6.305804,0,0,0,0,1643.142,0,0
7,QM_YIZz,1,3,3,3,667.986145,0,7,0,0,1,3,0,0,226.626556,0,0,0,0,1643.142,0,0
8,Ark_invincible,7,0,0,1,67.27795,0,11,0,0,1,1,0,0,16.5018482,0,0,0,0,904.794,0,0
9,Ark_Mad98TnT,7,1,0,2,99.99999,0,2,0,0,1,1,0,0,213.969925,0,0,0,0,900.714,0,0
10,Ark_FnGO,7,0,0,0,0.0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,919.773,0,0
11,Ark_Z9maxSkr,7,0,0,2,61.904,0,12,0,0,0,0,0,0,0.0,0,0,0,0,919.78,0,0
12,HX_sanjing,6,3,0,2,425.151184,0,1,0,0,1,1,0,0,143.442429,0,0,0,0,1220.463,0,0
13,HX_desire,6,3,1,1,347.1561,0,1,0,0,1,2,0,0,100.3787,0,0,0,0,1097.073,0,0
14,HX_DouGay,6,1,0,2,101.31424,0,6,0,0,1,2,0,0,89.0035858,0,0,0,0,1085.186,0,0
15,HX_Xz_,6,0,0,0,77.909996,0,0,0,0,0,0,0,0,0.0,0,0,0,0,505.391,0,0
