,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,KX_Lanren,3,1,1,3,221.59525,0,2,1,3,113.06967,0,0,1706.053
1,KX_YUPPIE,3,0,0,4,122.051025,0,1,0,0,0.0,1,0,1419.536
2,KX_Yuren,3,0,0,4,71.445694,0,9,0,0,0.0,0,0,1396.361
3,KX_AzEeeeee,3,3,1,4,558.90247,1,3,1,2,49.36517,0,0,1776.915
4,4AM_Xiaohaixxxx,6,2,2,6,280.53638,0,1,0,0,0.0,0,0,1437.152
5,4AM_Forever,6,4,2,5,602.86346,1,1,1,1,25.499737,1,0,1441.382
6,4AM_Godv1,6,2,1,5,482.6196,0,3,1,1,22.329811,0,0,1431.123
7,4AM_CRAZY112,6,1,2,8,317.2574,0,3,2,2,37.019352,1,0,1472.54
8,QM_desire,5,0,0,4,211.07344,0,3,0,0,0.0,0,0,1661.883
9,QM_XiaoLianpp,5,1,0,6,360.6328,0,3,0,0,0.0,1,0,1661.887
10,QM_970,5,3,0,4,344.2364,0,3,1,1,72.36596,0,0,1661.885
11,QM_Savage,5,2,0,2,150.19998,0,1,0,0,0.0,0,0,1661.889
12,Unite_AiLi,9,0,0,4,0.0,0,6,0,0,0.0,0,0,1315.959
13,Unite_WuYan,9,2,0,7,443.88544,1,10,1,3,115.03384,0,0,1401.962
14,Unite_SykkkK,9,0,0,3,48.57241,0,4,0,0,0.0,0,0,1270.989
15,Unite_Thanos,9,0,0,2,0.0,0,0,0,0,0.0,0,0,862.871
16,WuK_Acc,12,1,1,1,242.91803,0,2,0,0,0.0,0,0,1077.535
17,WuK_95k,12,1,1,0,140.5215,0,2,0,0,0.0,2,1,1071.191
18,WuK_Regret,12,3,0,3,197.14807,0,2,1,2,9.137141,1,0,1094.719
19,WuK_BaiLongMax,12,0,0,3,181.73654,0,3,0,0,0.0,0,0,1050.226
20,AnG_iMeet26OuO,11,0,0,1,0.0,0,0,0,0,0.0,0,0,440.328
21,AnG_Starry,11,0,4,4,216.19861,0,2,0,0,0.0,1,0,1294.857
22,AnG_Amao,11,2,0,2,234.97673,1,1,2,3,211.48605,0,0,1177.633
23,AnG_LongGG,11,3,1,8,153.79216,1,2,1,4,286.1509,0,0,1301.161
24,XS_jKenn,1,1,2,6,311.6443,0,2,1,2,107.78638,1,0,1787.988
25,XS_GGakon,1,2,2,4,291.3358,0,2,2,2,55.863537,1,0,1787.988
26,XS_Tuanz,1,3,4,5,433.19354,0,5,2,5,343.80905,1,0,1787.988
27,XS_Delwynn,1,1,2,9,255.3717,0,4,1,2,26.935175,1,0,1709.057
28,DXG_LogFi,14,0,1,5,31.02,0,2,0,0,0.0,0,0,1030.6
29,DXG_IQ500,14,1,0,3,100.0,1,1,1,1,81.00378,0,0,1041.221
30,DXG_FerGus,14,0,0,4,0.0,0,0,0,0,0.0,0,0,1042.422
31,DXG_LONGK,14,1,0,2,100.0,0,2,1,1,5.735714,0,0,975.286
32,T1_Hulk,7,3,0,5,245.94614,0,3,1,2,5.2755523,1,0,1456.616
33,T1_Aqua5,7,2,1,0,312.41397,0,2,0,0,0.0,1,0,1173.025
34,T1_kAyle,7,1,0,4,284.84167,0,1,0,0,0.0,0,0,1044.505
35,T1_Hwan2da,7,0,0,1,17.742697,0,1,0,0,0.0,0,0,984.958
36,BRU_GodMiao,4,0,2,8,116.827354,0,4,1,1,45.36768,1,0,1650.484
37,BRU_Conaxy,4,2,2,5,298.22403,0,12,1,1,16.258635,0,0,1662.862
38,BRU_Eaddy,4,3,3,3,269.74762,0,4,2,4,304.24875,0,0,1643.565
39,BRU_Noardra,4,1,1,4,466.01627,0,9,1,1,29.780067,0,0,1410.637
40,emT_JeffLocka,16,0,0,0,95.76151,0,0,0,0,0.0,0,0,460.368
41,emT_Gyuyeon,16,0,0,0,121.28313,0,0,0,0,0.0,0,0,502.438
42,emT_Hwarang,16,0,0,0,38.55814,0,0,0,0,0.0,0,0,474.102
43,emT_HAIL,16,2,0,0,319.253,0,1,0,0,0.0,0,0,529.979
44,MaD_Lash,2,1,0,2,88.92884,0,1,1,1,175.97652,1,0,1680.312
45,MaD_DAEVA,2,1,1,4,336.3305,0,0,1,2,124.80379,0,0,1745.0
46,MaD_2tap,2,1,0,8,624.3673,0,4,1,1,44.26475,0,0,1787.838
47,MaD_EEND,2,3,3,4,671.0156,3,4,1,4,181.34082,0,0,1770.232
48,KIA_Makne,8,1,1,4,182.15405,0,2,0,0,0.0,1,0,1428.277
49,KIA_Loki,8,0,0,5,120.93509,0,3,0,0,0.0,0,0,1440.415
50,KIA_BeaN,8,0,0,2,30.443243,0,0,0,0,0.0,0,0,1440.694
51,KIA_Under,8,4,1,5,821.82794,1,1,1,4,296.7815,0,0,1440.696
52,GFY_Loong,15,1,0,1,208.11758,0,5,0,0,0.0,0,0,975.652
53,GFY_Dec12th,15,0,0,1,0.0,0,0,0,0,0.0,0,0,962.895
54,GFY_Giaoiqq,15,0,0,0,0.0,0,0,0,0,0.0,0,0,975.654
55,GFY_Sa1YaRen,15,0,0,0,0.0,0,0,0,0,0.0,0,0,962.474
56,RBS_XingXing,13,0,0,3,0.0,0,6,0,0,0.0,3,0,1070.54
57,RBS_Xkkk,13,0,0,0,0.0,0,0,0,0,0.0,0,0,94.202
58,RBS_iYiBaby,13,0,0,1,36.563713,0,3,0,0,0.0,0,0,1031.695
59,RBS_T9,13,0,0,3,0.0,0,2,0,0,0.0,0,0,1070.543
60,MG_Che4kz1nG,10,2,2,7,418.112,0,8,0,0,0.0,1,0,1332.093
61,MG_Neotica,10,1,0,4,4.5606556,0,7,1,1,56.904842,0,0,1256.207
62,MG_TongK,10,0,0,5,55.72703,0,7,0,0,0.0,3,0,1327.494
63,MG_LeonzQ,10,2,0,3,435.94806,1,2,1,3,46.47647,1,0,1304.985
64,RBS_iYiBaby,8,0,0,0,102.33049,0,0,0,0,0.0,0,0,1244.88
65,RBS_XingXing,8,1,0,4,100.0,0,2,1,1,53.87223,0,0,1163.763
66,RBS_T9,8,0,0,1,65.23222,0,1,0,0,0.0,0,0,1113.818
67,RBS_Xkkk,8,0,0,2,117.010506,0,2,0,0,0.0,0,0,1118.725
68,Unite_Thanos,3,0,1,3,144.70914,0,2,1,1,2.7877374,0,0,1499.673
69,Unite_AiLi,3,0,0,6,23.019234,0,7,0,0,0.0,0,0,1612.561
70,Unite_SykkkK,3,0,0,1,158.80505,0,0,0,0,0.0,1,0,1485.29
71,Unite_WuYan,3,0,0,7,291.4608,0,2,0,0,0.0,0,0,1470.309
72,4AM_Forever,2,3,1,6,565.13983,1,10,1,3,190.40976,0,0,1789.955
73,4AM_CRAZY112,2,1,0,7,322.88998,0,11,1,1,222.71332,1,0,1709.887
74,4AM_Xiaohaixxxx,2,3,3,8,585.5847,0,7,1,1,170.72615,0,0,1789.961
75,4AM_Godv1,2,3,0,8,745.8055,0,12,2,3,148.22954,3,0,1789.958
76,MG_TongK,9,1,0,0,122.56346,0,0,1,1,51.00433,0,0,1205.995
77,MG_Che4kz1nG,9,2,1,5,263.82385,0,1,1,2,52.153732,0,0,1182.255
78,MG_LeonzQ,9,1,1,3,102.59,0,0,1,2,44.820644,0,0,1205.993
79,MG_Neotica,9,0,0,0,0.0,0,0,0,0,0.0,0,0,858.727
80,T1_Hulk,12,0,0,1,92.498375,0,0,0,0,0.0,0,0,1104.829
81,T1_Aqua5,12,1,0,2,82.76873,0,1,1,1,52.658592,0,0,1026.296
82,T1_kAyle,12,0,0,0,25.08,0,0,0,0,0.0,0,0,1024.349
83,T1_Hwan2da,12,0,0,1,99.16715,0,0,0,0,0.0,0,0,1104.826
84,KX_Yuren,16,0,0,1,42.3,0,0,0,0,0.0,0,0,430.205
85,KX_YUPPIE,16,0,0,1,78.95999,0,2,0,0,0.0,0,0,533.364
86,KX_AzEeeeee,16,0,0,1,0.0,0,0,0,0,0.0,0,0,530.528
87,KX_Lanren,16,0,0,0,61.38,0,0,0,0,0.0,0,0,474.665
88,XS_Tuanz,6,1,0,8,342.70074,0,5,1,1,8.877184,0,0,1444.577
89,XS_GGakon,6,0,0,7,61.978077,0,2,0,0,0.0,0,0,1444.581
90,XS_jKenn,6,1,0,5,363.82034,0,5,1,1,3.6139116,0,0,1424.547
91,XS_Delwynn,6,3,0,5,447.66254,1,6,2,2,13.332804,0,0,1415.634
92,QM_970,4,2,4,4,422.58008,0,0,1,2,24.860952,1,0,1500.276
93,QM_XiaoLianpp,4,1,2,6,175.19266,0,2,1,2,187.05727,0,0,1500.279
94,QM_Savage,4,5,1,3,658.5045,0,3,3,7,120.22688,0,0,1500.281
95,QM_desire,4,0,1,5,216.695,0,0,0,0,0.0,0,0,1106.119
96,BRU_Noardra,14,1,0,4,159.9581,0,3,1,1,27.096031,0,0,1073.089
97,BRU_Eaddy,14,0,0,1,0.0,0,0,0,0,0.0,0,0,785.928
98,BRU_GodMiao,14,1,1,4,116.75628,0,2,0,0,0.0,0,0,1039.146
99,BRU_Conaxy,14,0,0,1,69.87191,0,1,0,0,0.0,0,0,1004.179
100,emT_JeffLocka,5,2,1,5,409.07074,2,3,2,3,40.56501,1,0,1467.697
101,emT_HAIL,5,0,1,6,170.90837,0,3,1,2,62.338066,0,0,1467.699
102,emT_Hwarang,5,0,0,6,182.60815,1,3,1,1,52.920322,0,0,1467.702
103,emT_Gyuyeon,5,1,1,0,102.64636,1,1,2,2,61.900288,0,0,1111.194
104,GFY_Dec12th,10,0,1,3,163.3583,1,0,1,1,113.68446,0,0,1198.768
105,GFY_Loong,10,1,0,0,100.0,1,0,1,1,20.11337,0,0,759.488
106,GFY_Sa1YaRen,10,0,0,3,95.42757,0,1,0,0,0.0,0,0,917.594
107,GFY_Giaoiqq,10,1,0,4,110.093185,0,0,1,1,212.22021,0,0,876.571
108,KIA_Makne,13,1,1,0,101.10088,1,0,1,1,76.02933,0,0,1054.262
109,KIA_Under,13,1,1,2,128.47691,0,1,1,1,287.37878,0,0,1051.56
110,KIA_Loki,13,0,1,1,93.588524,0,0,0,0,0.0,0,0,1038.287
111,KIA_BeaN,13,0,0,1,0.0,0,1,0,0,0.0,0,0,1074.229
112,MaD_EEND,1,5,3,8,812.30145,0,3,2,5,210.08134,0,0,1790.148
113,MaD_Lash,1,4,4,8,630.01843,0,3,1,2,96.83665,0,0,1790.148
114,MaD_DAEVA,1,2,2,6,809.0345,1,2,1,3,194.25995,0,0,1790.148
115,MaD_2tap,1,3,3,6,851.2142,1,2,1,2,200.15996,2,0,1790.148
116,DXG_IQ500,15,0,0,4,0.0,0,1,0,0,0.0,0,0,989.43
117,DXG_FerGus,15,0,0,4,0.0,0,0,0,0,0.0,1,0,989.427
118,DXG_LONGK,15,0,0,0,0.0,0,0,0,0,0.0,0,0,85.393
119,DXG_LogFi,15,0,0,3,0.0,0,3,0,0,0.0,0,0,947.12
120,AnG_Amao,7,0,0,4,184.92012,0,0,0,0,0.0,0,0,1432.829
121,AnG_iMeet26OuO,7,0,0,6,0.0,0,3,0,0,0.0,0,0,1434.816
122,AnG_LongGG,7,0,0,4,0.0,0,4,0,0,0.0,0,0,1434.813
123,AnG_Starry,7,1,1,6,83.387,0,4,0,0,0.0,0,0,1434.811
124,WuK_BaiLongMax,11,0,2,2,87.18492,0,2,0,0,0.0,0,0,1187.524
125,WuK_Acc,11,1,0,2,188.05771,0,3,2,2,130.06148,0,0,1162.918
126,WuK_95k,11,1,0,2,100.0,0,1,1,1,19.757618,0,0,1187.526
127,WuK_Regret,11,0,0,2,89.87141,0,4,0,0,0.0,0,0,1136.106
128,XS_Tuanz,4,3,0,4,432.56482,0,4,2,2,33.682476,1,0,1533.398
129,XS_GGakon,4,1,1,4,131.25534,0,2,0,0,0.0,0,0,1435.275
130,XS_Delwynn,4,1,0,6,248.26192,0,3,1,2,34.228123,0,0,1467.602
131,XS_jKenn,4,0,3,4,193.52518,0,2,0,0,0.0,1,0,1509.448
132,Unite_Thanos,9,0,0,5,72.23653,0,2,0,0,0.0,0,0,1275.907
133,Unite_WuYan,9,1,0,3,218.04596,0,0,1,1,176.01816,0,0,1204.05
134,Unite_AiLi,9,0,0,5,0.0,0,3,0,0,0.0,0,0,1260.093
135,Unite_SykkkK,9,1,0,5,185.56383,0,6,0,0,0.0,0,0,1313.243
136,MG_LeonzQ,7,1,1,4,197.73343,0,8,1,2,308.66476,1,0,1348.422
137,MG_TongK,7,1,0,3,162.9972,0,7,1,1,10.733721,0,0,1348.424
138,MG_Neotica,7,0,1,5,203.43358,0,3,0,0,0.0,0,0,1348.427
139,MG_Che4kz1nG,7,0,0,3,0.0,0,1,0,0,0.0,0,0,740.353
140,DXG_FerGus,12,1,0,5,113.42338,0,3,1,3,282.08142,1,0,1106.656
141,DXG_IQ500,12,1,3,2,366.06924,0,2,0,0,0.0,1,0,1106.652
142,DXG_LONGK,12,0,0,0,46.199997,0,0,0,0,0.0,0,0,1078.028
143,DXG_LogFi,12,1,0,1,36.4,0,1,1,1,33.332108,0,0,1106.654
144,4AM_Godv1,16,1,0,2,100.0,0,0,1,1,17.718996,0,0,744.595
145,4AM_CRAZY112,16,0,0,3,0.0,0,0,0,0,0.0,0,0,676.72
146,4AM_Forever,16,0,0,3,158.3945,0,0,0,0,0.0,0,0,669.292
147,4AM_Xiaohaixxxx,16,0,0,1,0.0,0,0,0,0,0.0,0,0,404.054
148,AnG_Amao,5,2,1,2,343.65732,1,0,1,1,21.72354,0,0,1516.014
149,AnG_iMeet26OuO,5,1,1,5,134.4093,0,0,1,1,7.954217,0,0,1453.752
150,AnG_Starry,5,1,0,3,67.71671,0,3,0,0,0.0,0,0,1503.698
151,AnG_LongGG,5,0,0,0,0.0,0,0,0,0,0.0,0,0,367.218
152,KIA_Loki,15,0,0,0,41.58,0,0,0,0,0.0,0,0,727.77
153,KIA_BeaN,15,1,0,2,124.0,0,0,1,1,17.850697,0,0,884.523
154,KIA_Under,15,0,0,0,48.986954,0,0,0,0,0.0,0,0,727.764
155,KIA_Makne,15,0,0,1,0.0,0,0,0,0,0.0,0,0,737.021
156,BRU_Noardra,2,3,0,8,424.3327,3,2,2,4,127.83642,1,0,1806.594
157,BRU_Conaxy,2,1,1,3,198.88673,0,1,1,1,176.20496,0,0,1620.133
158,BRU_GodMiao,2,0,2,6,204.27818,0,1,0,0,0.0,1,0,1512.54
159,BRU_Eaddy,2,3,3,6,636.925,0,4,3,6,59.331505,0,0,1806.596
160,emT_Hwarang,14,0,1,1,0.0,0,0,0,0,0.0,0,0,843.651
161,emT_HAIL,14,0,2,2,62.039997,0,0,0,0,0.0,0,0,912.06
162,emT_JeffLocka,14,2,0,3,137.96,0,2,2,2,9.446024,0,0,921.672
163,emT_Gyuyeon,14,1,0,1,201.64,0,1,1,1,119.218636,0,0,917.125
164,WuK_95k,1,1,2,5,286.33954,0,1,1,2,145.70073,2,0,1806.76
165,WuK_BaiLongMax,1,1,1,6,564.5224,1,2,1,3,82.68542,0,0,1806.76
166,WuK_Regret,1,5,1,2,464.48254,0,0,2,5,469.4089,0,0,1474.773
167,WuK_Acc,1,2,1,3,452.93506,0,2,1,2,85.49412,0,0,1806.76
168,T1_Hulk,8,4,2,5,736.19214,0,3,1,2,72.39668,0,0,1315.706
169,T1_Aqua5,8,1,1,5,255.10175,1,4,1,2,16.689781,0,0,1161.277
170,T1_Hwan2da,8,1,0,2,69.2,0,0,1,1,121.074715,0,0,914.013
171,T1_kAyle,8,0,1,2,52.800003,0,0,0,0,0.0,0,0,921.455
172,MaD_Lash,11,0,0,4,29.609999,0,1,0,0,0.0,0,0,1148.575
173,MaD_2tap,11,0,0,1,0.0,0,0,0,0,0.0,0,0,1130.637
174,MaD_DAEVA,11,0,0,1,31.198885,0,1,0,0,0.0,0,0,1148.578
175,MaD_EEND,11,1,0,1,288.25888,0,0,0,0,0.0,0,0,1140.844
176,QM_Savage,10,1,0,5,146.7077,0,3,1,1,32.94073,0,0,1163.885
177,QM_desire,10,0,1,4,72.06434,0,2,1,1,112.72519,0,0,1312.533
178,QM_XiaoLianpp,10,0,1,8,110.491,0,1,0,0,0.0,0,0,1308.791
179,QM_970,10,2,0,3,276.4118,1,2,1,2,112.36514,1,0,1311.608
180,RBS_Xkkk,13,1,0,3,175.4892,0,0,1,1,46.12526,0,0,1043.381
181,RBS_T9,13,1,0,1,272.56442,0,3,0,0,0.0,0,0,1093.448
182,RBS_iYiBaby,13,1,1,1,10.0,0,2,1,1,26.359621,0,0,1062.657
183,RBS_XingXing,13,2,1,0,249.55403,0,0,1,1,32.561596,0,0,1093.45
184,KX_YUPPIE,6,0,0,4,0.0,0,0,1,1,42.244644,0,0,1485.83
185,KX_Lanren,6,0,0,2,23.59592,0,3,0,0,0.0,0,0,1453.943
186,KX_Yuren,6,0,0,5,72.97146,0,7,0,0,0.0,0,0,1485.833
187,KX_AzEeeeee,6,0,1,0,79.99154,0,2,0,0,0.0,0,0,1485.828
188,GFY_Loong,3,2,3,4,423.14825,0,1,1,1,25.32235,2,0,1791.54
189,GFY_Giaoiqq,3,3,4,5,477.84232,1,3,1,4,180.3225,0,0,1794.227
190,GFY_Dec12th,3,0,0,1,52.8,0,0,0,0,0.0,0,0,854.193
191,GFY_Sa1YaRen,3,1,3,5,169.76369,1,7,1,1,8.702058,0,0,1794.224
192,XS_Tuanz,6,2,2,4,80.41066,0,8,1,1,188.40945,1,0,1441.966
193,XS_Delwynn,6,0,0,1,112.16774,0,0,0,0,0.0,0,0,1033.455
194,XS_GGakon,6,0,0,3,26.382923,0,2,0,0,0.0,1,1,1094.028
195,XS_jKenn,6,1,2,5,303.1051,1,2,1,2,219.3141,0,0,1441.969
196,DXG_LogFi,10,0,1,2,97.5159,0,0,0,0,0.0,0,0,1301.705
197,DXG_FerGus,10,0,0,1,24.740099,0,0,0,0,0.0,0,0,1250.531
198,DXG_LONGK,10,0,0,0,0.0,0,0,0,0,0.0,0,0,620.423
199,DXG_IQ500,10,1,0,3,285.10593,0,2,1,2,299.5488,0,0,1309.646
200,MaD_Lash,3,1,1,3,311.60004,0,7,1,2,27.899868,0,0,1311.908
201,MaD_2tap,3,0,0,2,42.180874,0,2,0,0,0.0,1,0,1310.168
202,MaD_DAEVA,3,0,0,6,194.9216,0,5,0,0,0.0,0,0,1662.944
203,MaD_EEND,3,1,0,3,364.25702,0,10,1,1,9.23904,0,0,1255.055
204,MG_LeonzQ,16,2,1,0,191.00002,0,1,1,1,13.90556,1,0,384.545
205,MG_Che4kz1nG,16,0,0,1,19.665411,0,1,0,0,0.0,0,0,384.54
206,MG_Neotica,16,0,0,0,0.0,0,0,0,0,0.0,0,0,91.54
207,MG_TongK,16,1,0,0,152.0,1,0,1,1,13.412422,0,0,384.542
208,RBS_iYiBaby,15,0,0,3,0.0,0,2,0,0,0.0,1,0,917.85
209,RBS_Xkkk,15,1,0,2,51.50759,0,1,1,1,30.315413,0,0,917.854
210,RBS_XingXing,15,0,0,2,124.04994,0,2,0,0,0.0,0,0,917.852
211,RBS_T9,15,1,0,0,200.87866,0,0,0,0,0.0,0,0,917.848
212,WuK_Acc,8,2,0,4,290.34595,0,1,0,0,0.0,0,0,1400.153
213,WuK_Regret,8,0,0,1,39.570602,0,3,0,0,0.0,0,0,1318.533
214,WuK_95k,8,0,0,0,27.98877,0,0,0,0,0.0,0,0,1400.147
215,WuK_BaiLongMax,8,0,0,3,0.0,0,3,0,0,0.0,0,0,1400.15
216,GFY_Giaoiqq,2,0,2,1,228.36719,0,5,0,0,0.0,0,0,1713.895
217,GFY_Sa1YaRen,2,1,0,0,259.78485,0,0,1,1,206.29047,0,0,1724.35
218,GFY_Loong,2,1,0,1,174.03152,0,0,1,1,25.480694,0,0,1724.353
219,GFY_Dec12th,2,0,1,2,226.06961,0,0,0,0,0.0,0,0,1678.575
220,emT_Hwarang,5,0,0,2,64.96521,0,2,0,0,0.0,0,0,1288.567
221,emT_JeffLocka,5,2,0,2,352.65942,1,3,1,3,134.69493,1,0,1359.687
222,emT_HAIL,5,0,0,5,220.92549,0,2,0,0,0.0,0,0,1514.71
223,emT_Gyuyeon,5,0,1,2,42.06281,0,0,0,0,0.0,0,0,1127.533
224,AnG_iMeet26OuO,7,0,1,1,109.33117,0,0,0,0,0.0,1,0,1428.81
225,AnG_LongGG,7,0,0,3,139.46735,0,3,0,0,0.0,0,0,1425.72
226,AnG_Starry,7,1,1,1,187.54735,0,1,1,2,204.38931,0,0,1428.813
227,AnG_Amao,7,0,1,2,335.67703,1,3,1,2,245.28752,1,0,1408.041
228,T1_Aqua5,11,0,0,0,84.21011,0,0,0,0,0.0,0,0,809.675
229,T1_Hulk,11,2,0,4,231.83063,0,2,1,2,178.67023,0,0,1179.157
230,T1_Hwan2da,11,0,0,3,55.89347,0,1,0,0,0.0,0,0,1172.284
231,T1_kAyle,11,1,1,0,125.83333,0,1,0,0,0.0,0,0,1184.892
232,4AM_Forever,13,3,0,3,478.33026,0,2,1,1,157.72823,0,0,1099.098
233,4AM_CRAZY112,13,1,0,4,458.28412,0,4,1,1,10.541295,1,0,1018.041
234,4AM_Xiaohaixxxx,13,0,1,3,236.51822,0,6,0,0,0.0,0,0,1097.44
235,4AM_Godv1,13,1,0,3,227.67853,0,6,1,1,128.5711,1,0,1099.101
236,KIA_BeaN,9,0,0,4,94.56659,0,0,0,0,0.0,0,0,1179.429
237,KIA_Loki,9,4,1,6,489.178,1,10,3,4,115.127686,0,0,1361.826
238,KIA_Under,9,0,1,5,161.5634,0,1,0,0,0.0,0,0,1173.991
239,KIA_Makne,9,0,1,4,0.0,0,0,0,0,0.0,0,0,943.379
240,KX_YUPPIE,1,8,3,8,923.0391,2,6,3,10,155.21329,1,0,1724.5
241,KX_AzEeeeee,1,0,0,0,0.0,0,0,0,0,0.0,0,0,107.232
242,KX_Yuren,1,5,9,7,821.27405,3,25,2,4,133.00197,0,0,1724.5
243,KX_Lanren,1,0,0,0,22.026432,0,0,0,0,0.0,0,0,108.897
244,BRU_Eaddy,12,1,0,3,98.999886,0,1,1,1,22.544823,0,0,1057.581
245,BRU_Conaxy,12,0,0,0,0.0,0,0,0,0,0.0,0,0,87.928
246,BRU_GodMiao,12,1,0,0,197.01999,0,0,0,0,0.0,0,0,194.531
247,BRU_Noardra,12,2,1,1,409.06107,0,3,0,0,0.0,0,0,1143.585
248,Unite_SykkkK,14,1,0,4,136.66887,0,8,1,1,59.38334,0,0,1040.155
