,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,DOMA_hANSOLOWWS,9,0,0,4,151.24716,0,3,0,0,0.0,0,0,1045.0
1,DOMA_kais028,9,0,0,1,68.36843,0,0,0,0,0.0,0,0,416.0
2,DOMA_JaCkC1,9,0,0,5,0.0,0,1,0,0,0.0,0,0,1265.0
3,DOMA_DaAdRi,9,1,0,0,100.0,0,1,1,1,6.436861,0,0,389.0
4,SKA_XTeam,5,1,0,3,354.04858,0,7,1,1,30.74578,1,0,1644.0
5,SKA_Agrsv,5,1,0,2,218.70457,0,0,0,0,0.0,0,0,1160.0
6,SKA_hellstory,5,0,0,4,202.58395,0,3,0,0,0.0,0,0,1628.0
7,SKA_Pluxor,5,0,0,2,0.0,0,3,0,0,0.0,0,0,1411.0
8,DV_s4har,13,0,0,1,83.11188,0,2,0,0,0.0,0,0,972.0
9,DV_Spencer,13,1,0,0,150.59999,0,0,0,0,0.0,0,0,972.0
10,DV_Buda,13,2,0,1,178.69301,0,1,0,0,0.0,0,0,972.0
11,DV_IllidanSR,13,0,0,0,48.0,0,0,0,0,0.0,0,0,926.0
12,NMD_do0kei,2,0,0,6,198.57446,0,8,0,0,0.0,0,0,1538.0
13,NMD_Coleral,2,1,1,6,172.24818,1,2,2,2,55.541416,1,0,1299.0
14,NMD_ostrovk,2,2,0,3,600.4798,1,11,1,2,12.790392,1,0,1740.0
15,NMD_MANYA-,2,2,0,11,227.9302,1,1,1,2,176.8843,1,0,1430.0
16,QM_ADOUZ1E,14,2,0,1,141.64911,0,2,1,2,60.736732,0,0,923.0
17,QM_fate,14,0,0,3,65.4,0,0,1,1,36.368275,0,0,923.0
18,QM_Faultlessly,14,0,1,2,93.530876,0,0,0,0,0.0,1,0,902.0
19,QM_DaNt3-,14,0,1,2,290.86105,0,2,0,0,0.0,0,0,923.0
20,PLB_TheWanderer,8,0,0,1,0.0,0,1,0,0,0.0,0,0,804.0
21,PLB_hallomybad,8,0,0,2,120.76819,0,2,0,0,0.0,0,0,1419.0
22,PLB_GIRYA,8,1,0,5,245.34674,1,4,1,1,68.35021,0,0,1419.0
23,PLB_Archi,8,2,0,4,211.42534,0,1,0,0,0.0,0,0,1419.0
24,SB_Fiasc0-,10,0,0,2,78.950035,0,0,0,0,0.0,0,0,1123.0
25,SB_Armyashev,10,1,0,4,162.15358,0,4,0,0,0.0,0,0,1208.0
26,SB_z1ma-,10,0,0,2,0.0,0,3,0,0,0.0,0,0,1192.0
27,SB_HaJiMe-,10,0,0,1,0.0,0,0,0,0,0.0,0,0,1081.0
28,NAVI_Mellman,15,0,0,2,27.278004,0,4,0,0,0.0,0,0,740.0
29,NAVI_xmpl,15,1,0,2,211.46754,0,5,0,0,0.0,0,0,802.0
30,NAVI_Qwizzy,15,0,1,1,0.0,0,1,0,0,0.0,0,0,754.0
31,NAVI_alya,15,2,0,1,203.0,0,1,1,1,168.02928,0,0,771.0
32,DiNG_Besto,11,0,0,0,0.0,0,0,0,0,0.0,0,0,366.0
33,DiNG_Priyl,11,0,0,0,57.43372,0,0,0,0,0.0,0,0,361.0
34,DiNG_ceh9,11,0,0,1,132.02815,0,0,0,0,0.0,0,0,1169.0
35,DiNG_Sai1,11,1,0,0,158.32312,1,2,1,1,125.00748,0,0,1185.0
36,MTN_Uxiq,6,2,2,7,458.67474,1,5,1,1,20.589699,0,0,1616.0
37,MTN_Granula,6,0,0,4,70.806274,0,1,0,0,0.0,0,0,1315.0
38,MTN_Layosh,6,3,0,2,446.6918,0,2,2,5,375.3836,2,0,1616.0
39,MTN_GOOSYARA666,6,1,0,3,313.48807,1,1,1,3,271.6293,0,0,1616.0
40,TXC_4eba,3,5,0,5,566.68884,0,5,2,4,42.9982,0,0,1701.0
41,TXC_1ulian,3,1,0,10,255.35367,0,4,2,2,23.940022,0,0,1701.0
42,TXC_jeka05firero,3,1,0,5,169.58789,1,3,1,1,236.87502,0,0,1540.0
43,TXC_Pashqez,3,2,1,8,891.6968,1,3,1,2,108.26907,0,0,1637.0
44,AA_HoBBitEz,12,1,1,4,352.15927,0,4,0,0,0.0,0,0,1108.0
45,WLA_btm,12,1,0,4,293.41867,0,7,1,1,8.550528,0,0,1108.0
46,WLA_Maxiz0r,12,0,1,4,19.053648,0,2,0,0,0.0,1,0,1108.0
47,NW_Ne0n1x-,7,1,0,6,160.23961,0,5,1,2,17.018444,1,0,1436.0
48,NW_Salamaleukym,7,2,0,6,310.58893,0,8,1,1,7.276622,4,0,1394.0
49,NW_nourj,7,1,0,11,243.87428,0,6,1,1,27.655418,0,0,1488.0
50,NW_k1o_o,7,0,1,4,304.4532,0,12,0,0,0.0,1,0,1437.0
