,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,MF4_Tizzer,3,2,4,4,681.6896,0,2,1,2,134.24263,2,1,1831.495
1,MF4_Vorix,3,1,1,8,367.62848,0,5,1,2,24.32545,0,0,1831.498
2,MF4_Klimson,3,0,0,1,136.27545,0,1,0,0,0.0,0,0,1039.393
3,MF4_IamPhil,3,0,2,5,133.7315,0,2,1,1,52.249043,0,0,1831.497
4,LDC_Beg1nner,5,0,1,8,134.05504,0,8,0,0,0.0,2,0,1239.456
5,LDC_TONI_SOSA,5,3,0,12,628.4422,2,23,1,3,75.19752,0,0,1610.901
6,LDC_ognimoD,5,0,0,1,0.0,0,2,0,0,0.0,1,0,683.693
7,LDC_Moesiii,5,1,1,4,163.21286,1,9,1,1,27.661829,0,0,1170.332
8,VPX_AzzaRR,14,2,0,3,354.96646,0,4,1,1,15.132555,0,0,1067.788
9,VPX_FutFut,14,1,0,3,117.41428,0,0,0,0,0.0,0,0,867.02
10,VPX_udyRR,14,0,0,1,99.26579,0,0,0,0,0.0,0,0,869.157
11,VPX_Vavoryd,14,2,0,3,241.40665,0,1,0,0,0.0,0,0,871.835
12,V1C_idkeron,12,0,0,2,0.0,0,0,0,0,0.0,0,0,1095.724
13,V1C_LikeZ,12,0,0,1,0.0,0,1,0,0,0.0,0,0,613.022
14,V1C_Cuanda,12,1,0,3,190.9192,0,3,1,2,17.5202,0,0,1194.126
15,V1C_pAsq,12,0,0,0,54.067852,0,0,0,0,0.0,0,0,557.093
16,WeS_pyyy,7,2,0,3,220.70439,0,2,1,1,262.23648,0,0,1362.649
17,WeS_gustl,7,3,1,4,394.62076,1,3,1,3,213.01746,0,0,1535.317
18,WeS_TUNK,7,0,0,1,0.0,0,0,0,0,0.0,0,0,930.03
19,WeS_reus,7,0,1,1,0.0,0,3,0,0,0.0,0,0,908.746
20,DFX_Magico,1,1,2,6,476.20685,0,4,1,2,130.5616,2,0,1857.001
21,DFX_Mitsche,1,1,2,3,350.66455,1,12,1,2,220.8097,0,0,1857.641
22,DFX_Kernyi,1,1,2,7,318.61316,0,4,1,1,29.616875,0,0,1857.641
23,DFX_Milowitch,1,4,0,5,534.0041,2,7,1,5,397.43195,0,0,1857.641
24,EYG_Jones,2,0,1,5,379.76077,0,4,0,0,0.0,0,0,1826.031
25,EYG_Carlo1997,2,1,1,11,302.5662,1,0,1,1,26.548717,0,0,1857.52
26,EYG_Hawara,2,2,0,2,698.7996,1,1,2,4,453.05637,0,0,1848.019
27,EYG_Lipsia,2,1,0,0,438.74896,0,0,1,1,189.51808,1,0,1837.938
28,TRTL_Xae,6,3,1,4,204.49948,0,3,1,1,7.8698735,1,0,1399.051
29,TRTL_Timzzel,6,1,0,4,60.189247,0,1,0,0,0.0,0,0,1575.395
30,TRTL_MIKSUU,6,3,0,2,392.43735,0,1,1,2,62.270462,1,0,1575.393
31,TRTL_ch0kE,6,1,0,3,99.99999,0,1,0,0,0.0,0,0,679.295
32,IRL_Kowo,10,0,1,5,238.44681,0,4,1,1,226.30502,0,0,1399.163
33,IRL_Justus,10,0,0,4,97.181694,0,8,0,0,0.0,0,0,1340.59
34,IRL_Freddy,10,0,1,1,82.93988,0,0,0,0,0.0,0,0,1252.101
35,IRL_ivel,10,2,0,4,396.7673,0,3,1,1,425.95776,0,0,1412.379
36,4HP_Semado,4,1,1,4,452.24652,1,14,1,2,162.58891,0,0,1650.128
37,4HP_xytte,4,1,0,1,166.26999,0,0,1,1,34.452526,0,0,927.713
38,4HP_sWeD1sH,4,0,0,1,64.16544,0,3,0,0,0.0,0,0,666.41
39,4HP_F1CHO,4,2,3,3,402.27982,0,5,1,2,144.72336,1,0,1636.159
40,DIV_Sm4llT4lk,15,0,1,0,149.1,0,1,0,0,0.0,0,0,936.892
41,DIV_PRTY,15,0,0,0,0.0,0,0,0,0,0.0,0,0,1016.08
42,DIV_ebaY,15,0,0,0,169.3274,0,0,0,0,0.0,0,0,1064.822
43,DIV_Dimmea,15,2,0,3,112.18,0,2,1,2,32.83481,1,0,1064.825
44,MeS_Lynx,13,0,0,5,27.72,0,1,0,0,0.0,0,0,919.213
45,MeS_sharban,13,0,0,5,0.0,0,3,0,0,0.0,0,0,1020.951
46,MeS_Spiderfrau,13,0,0,5,29.889156,0,9,0,0,0.0,0,0,1099.32
47,MeS_DannyDietz,13,0,0,4,0.0,0,4,0,0,0.0,0,0,1058.563
48,REC_CHEFEX,8,1,0,5,185.99669,0,2,1,1,20.964207,0,0,1497.563
49,REC_7crimeZ,8,0,1,3,138.26544,0,1,1,1,14.969097,0,0,1320.416
50,REC_N1CKI,8,0,0,6,221.23082,0,4,0,0,0.0,0,0,1284.955
51,REC_annico,8,2,0,1,228.13658,1,1,1,2,296.51154,0,0,1039.724
52,EPIC_PaiinZ,16,0,0,1,0.0,0,0,0,0,0.0,0,0,566.63
53,EPIC_Zoccer,16,1,0,3,110.99245,0,3,1,1,26.108286,1,0,1023.062
54,EPIC_liion,16,0,0,1,68.41983,0,0,0,0,0.0,0,0,669.255
55,EPIC_LeimoC,16,1,1,2,69.97679,0,5,1,1,120.84864,0,0,1023.067
56,CA_H4llow,9,1,1,5,424.7512,0,5,0,0,0.0,0,0,1364.456
57,CA_Sol3Z,9,1,0,1,55.8,0,1,0,0,0.0,1,0,1295.247
58,CA_Rev3rus,9,1,0,2,148.57819,1,3,1,2,275.71088,1,0,1469.031
59,CA_Beer,9,1,0,4,121.216934,0,11,1,1,132.95195,0,0,1328.091
60,BB_Enton,11,2,0,4,233.94006,1,1,1,2,304.5878,0,0,1391.662
61,BB_Rocky,11,1,1,8,236.66202,1,3,1,1,24.324419,0,0,1329.526
62,BB_mesQx,11,0,4,3,280.41565,0,9,0,0,0.0,0,0,1391.389
63,BB_Heawin,11,2,1,3,297.2434,0,2,1,2,293.96667,0,0,1400.676
64,WeS_pyyy,9,0,0,1,48.280304,0,0,0,0,0.0,0,0,910.622
65,WeS_TUNK,9,2,1,3,137.21605,0,1,1,2,151.08844,0,0,1486.647
66,WeS_gustl,9,0,3,2,146.76875,0,2,0,0,0.0,0,0,1486.645
67,WeS_reus,9,0,0,0,0.0,0,0,0,0,0.0,0,0,919.374
68,4HP_sWeD1sH,8,1,0,6,261.62842,0,4,1,1,36.863663,0,0,1104.765
