,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,CZ_PiXeL1K,10,1,0,3,210.69472,0,1,1,1,3.2719932,0,0,1112.919
1,CZ_Nowikk,10,1,0,5,301.4658,1,8,1,1,3.6109893,1,0,1278.937
2,CZ_Double,10,1,2,9,288.4346,0,2,0,0,0.0,0,0,1280.098
3,CZ_FreeKill,10,0,0,1,0.0,0,2,0,0,0.0,0,0,1057.48
4,HR_NIXZYEE,13,1,0,3,86.93955,0,1,1,1,4.739545,0,0,1110.162
5,HR_ivas,13,0,0,1,167.39037,0,7,0,0,0.0,0,0,1080.241
6,HR_Lukarux,13,3,0,5,654.6009,0,10,0,0,0.0,0,0,1154.599
7,HR_ZEKO,13,0,0,2,0.0,0,0,0,0,0.0,0,0,987.669
8,RO_nuTlinE,3,1,1,7,318.3253,1,7,2,2,46.730656,1,0,1588.487
9,RO_Iuriboi,3,0,1,2,0.0,0,0,0,0,0.0,0,0,904.184
10,RO_seba,3,2,3,7,402.49734,1,6,2,4,44.744713,2,0,1591.006
11,RO_1440x1080,3,5,2,7,789.8659,1,2,1,5,111.501976,1,0,1509.106
12,TR_scof1eld,12,1,0,1,337.93607,0,1,2,3,484.84012,0,0,1120.869
13,TR_mert,12,0,0,0,21.6,0,0,0,0,0.0,1,0,1120.068
14,TR_Hueth,12,0,0,2,153.47836,0,1,0,0,0.0,0,0,1117.931
15,TR_CodeMarco,12,3,3,5,461.27545,0,5,1,3,65.577415,0,0,1242.053
16,BE_FritZ,8,2,0,5,374.56046,1,4,2,2,14.350476,0,0,1264.579
17,BE_SILERZZ,8,0,0,4,120.04064,0,7,0,0,0.0,0,0,1106.139
18,BE_Wailren,8,2,1,4,241.95906,1,10,1,1,199.15863,0,0,1304.965
19,BE_Corsac,8,0,0,1,118.76953,0,1,0,0,0.0,0,0,785.224
20,FI_Tahvo,1,4,2,5,730.60815,1,3,1,3,105.417625,4,0,1839.333
21,FI_SKUIJKE,1,2,3,7,485.70242,0,1,1,2,174.1708,0,0,1839.333
22,FI_NOOKIE,1,0,1,6,371.57364,0,3,0,0,0.0,1,0,1839.333
23,FI_Jembty,1,4,2,3,392.16556,2,3,1,2,261.1948,0,0,1839.333
24,DE_Heawin,14,0,0,1,0.0,0,0,0,0,0.0,0,0,909.804
25,DE_MarcoOPz,14,1,0,0,237.70003,0,0,0,0,0.0,0,0,916.371
26,DE_braex,14,1,0,0,93.11279,1,0,1,1,130.365,0,0,920.771
27,DE_PaiinZ,14,0,0,1,0.0,0,0,0,0,0.0,0,0,725.213
28,AT_Hawara,11,0,0,3,56.399998,0,5,0,0,0.0,1,0,1259.297
29,AT_Schmidi,11,3,0,6,317.61914,0,3,1,1,33.23133,1,0,1257.47
30,AT_CrystalOps,11,1,0,3,286.5425,0,13,1,1,86.95502,1,0,1252.808
31,AT_SolettiH,11,0,0,4,123.01407,0,5,0,0,0.0,1,0,1252.316
