,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,XPLD_jazza,1,4,2,4,687.5038,1,4,1,5,142.86685,1,0,1904
1,XPLD_KILYAKAi,1,1,1,1,525.0141,0,0,1,1,120.099464,1,0,1369
2,XPLD_MiracU,1,3,2,8,413.166,1,10,1,3,408.6535,1,0,1904
3,XPLD_mykLe,1,2,3,12,360.23355,0,11,2,3,39.225388,1,0,1904
4,SH_Nowikk,10,1,1,0,250.72992,1,1,1,1,51.425655,0,0,1236
5,SH_Double,10,0,0,3,0.6000023,0,1,1,1,61.106148,0,0,1207
6,SH_Myca,10,2,0,4,375.00833,1,2,3,3,44.795753,0,0,1198
7,SH_Himan,10,0,1,1,211.0042,0,4,1,1,227.76785,1,0,1188
8,APKS_SIMSY,3,3,0,2,383.94815,0,0,0,0,0.0,1,0,1702
9,APKS_TekkerZ,3,1,0,2,200.08266,0,1,1,1,7.139498,0,0,1094
10,APKS_C4LVIN,3,1,0,3,173.82213,1,8,1,2,290.66666,0,0,1690
11,APKS_intenZ,3,1,1,4,574.91187,1,7,1,2,378.90726,0,0,1462
12,EP_FreeKill,12,1,0,2,192.55693,0,2,1,1,21.50788,0,0,1145
13,EP_TIXI,12,0,0,0,0.0,0,0,0,0,0.0,0,0,706
14,EP_jANYY,12,1,0,2,86.40139,0,1,0,0,0.0,0,0,1125
15,EP_Dedrix,12,0,0,1,326.7872,0,0,0,0,0.0,1,0,1145
16,CE_SPARTAcus,8,1,2,3,168.41013,0,6,0,0,0.0,1,0,1310
17,CE_GuillaumeTail,8,1,0,3,191.49998,1,5,1,1,13.313131,1,0,1234
18,CE_Elprovencal,8,1,1,1,27.1462,0,1,0,0,0.0,0,0,1106
19,CE_H_Abdallah,8,2,0,5,231.75632,2,4,1,3,59.633656,0,0,1285
20,WIN_Maxiz0r,16,2,0,0,200.0,0,0,1,1,22.907015,0,0,132
21,WIN_GOOSYARA666,16,2,0,0,96.152954,0,0,0,0,0.0,0,0,132
22,WIN_Layosh,16,1,0,0,23.847046,0,0,0,0,0.0,0,0,132
23,WIN_H1RUZEN,16,0,0,0,0.0,0,0,0,0,0.0,0,0,86
24,DD_Maccandark,6,1,0,3,144.44489,0,0,1,1,28.542341,0,0,808
25,DD_bjorN,6,1,1,5,108.77046,0,4,0,0,0.0,0,0,1459
26,DD_Doffy,6,1,0,4,225.01344,0,3,0,0,0.0,0,0,1461
27,EXN_Dab00m,11,1,1,0,102.90814,0,0,2,2,6.64555,2,0,578
28,EXN_btm,11,0,1,0,91.649994,0,0,0,0,0.0,0,0,78
29,EXN_iZooom,11,2,1,1,278.14,0,8,1,2,28.556494,1,0,1178
