,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,ALLS_Redzyy,13,0,0,0,0.0,0,0,0,0,0.0,0,0,1073
1,ALLS_seba,13,1,0,3,119.25891,0,2,0,0,0.0,0,0,1281
2,ALLS_Killstill,13,0,0,7,87.91128,0,2,0,0,0.0,0,0,1258
3,ALLS_1440x1080,13,0,0,4,129.8934,0,1,0,0,0.0,0,0,1130
4,IMP_Aimfr0st,8,2,1,2,308.31744,2,2,1,2,156.93672,0,0,1333
5,IMP_Paidaros2,8,1,0,3,120.81552,0,0,2,2,162.96214,0,0,1332
6,IMP_BLESSED,8,0,0,1,22.222305,0,0,0,0,0.0,0,0,1002
7,IMP_MAX,8,1,1,3,126.16204,0,4,0,0,0.0,1,0,1336
8,ADS_bombilovo,9,0,0,1,29.737667,0,5,0,0,0.0,1,0,549
9,ADS_h1xs,9,0,0,5,397.83185,0,6,0,0,0.0,0,0,1297
10,ADS_fa1kk,9,1,0,6,26.664234,0,13,0,0,0.0,2,1,1297
11,ADS_SoseD,9,0,0,0,0.0,0,0,0,0,0.0,0,0,123
12,JUST_hallomybad,14,0,0,2,0.0,0,0,0,0,0.0,0,0,955
13,JUST_SHROWWWWWWW,14,3,0,6,306.29745,1,2,1,2,284.62384,1,0,1206
14,JUST_Molodoct,14,1,0,2,248.68256,0,1,1,1,27.178333,0,0,979
15,JUST_Art1_x,14,0,1,2,106.48178,0,5,0,0,0.0,0,0,1088
16,DV_sda,10,1,0,6,302.65988,0,4,1,1,212.34908,1,0,1272
17,DV_s_pencer,10,2,1,7,474.9571,1,3,1,3,231.71266,0,0,1296
18,DV_s4har,10,0,1,2,151.27155,0,1,0,0,0.0,1,0,1281
19,DV_IllidanSR,10,0,1,3,263.93832,0,2,0,0,0.0,0,0,1296
20,VIS_stratos,4,2,0,2,284.22504,1,1,1,2,201.3519,0,0,1659
21,VIS_tuhojuho,4,0,0,3,243.45444,1,1,1,1,241.18912,0,0,1663
22,VIS_PaiinZ,4,0,0,4,401.25455,0,5,0,0,0.0,0,0,1663
23,VIS_Zoccer,4,0,1,4,245.81898,0,4,0,0,0.0,0,0,1662
24,GAL_xLyron,2,5,2,9,525.11285,2,5,2,5,128.95015,0,0,1772
25,GAL_Quetpa,2,5,0,6,659.3214,1,4,1,6,152.7768,0,0,1536
26,GAL_Thenderlost,2,0,0,1,0.0,0,0,0,0,0.0,0,0,587
27,GAL_onur,2,0,2,8,772.67065,0,4,1,3,50.000328,1,0,1487
28,RAW_Kova1evy,15,1,0,2,137.43675,0,2,1,1,36.368187,0,0,1120
29,RAW_jarbbba,15,2,1,2,167.23065,0,0,0,0,0.0,0,0,1120
30,RAW_DDazz1014,15,0,0,5,134.70908,0,4,0,0,0.0,0,0,1120
31,RAW_miikaz,15,0,0,3,0.0,0,0,0,0,0.0,0,0,1087
32,HOWL_Tusda,6,0,1,2,27.538967,0,2,0,0,0.0,1,0,1351
33,HOWL_JustB20,6,0,0,3,101.14005,0,0,0,0,0.0,0,0,1271
34,HOWL_TheMad,6,1,1,0,169.33138,0,1,0,0,0.0,0,0,1267
35,HOWL_RuerN,6,4,0,3,325.28207,1,1,2,3,73.7925,0,0,1342
36,HOG_FreeKill,3,2,2,9,249.19244,0,9,1,1,88.25258,0,0,1763
37,HOG_Godrillaa,3,2,1,6,531.9676,1,4,1,4,90.03114,0,0,1351
38,HOG_Momme,3,2,1,9,381.4407,1,11,1,3,98.229,3,0,1747
39,HOG_karxx,3,2,0,3,100.32143,1,7,1,1,41.231808,2,0,1184
