,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_eu-et_01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,142.969
1,es_eu-ew_01,2,0,0,0,0.0,0,0,0,0,0.0,0,0,142.936
2,BIZ_moonl1ght44,7,0,1,8,59.7073555,0,3,0,0,0.0,2,0,1469.996
3,BIZ_1ffy_,7,0,0,6,25.0977383,0,5,0,0,0.0,0,0,1221.207
4,BIZ_YaZheSanzhar,7,3,0,8,375.27,0,9,3,4,318.052643,0,1,1381.47
5,BIZ_FLasm,7,2,0,6,186.016129,0,6,1,1,143.031921,1,0,1470.001
6,FTC_Circle5,2,10,2,5,1150.13318,0,8,1,3,398.395264,0,0,1853.002
7,FTC_r1zzlee,2,1,2,5,244.393158,0,5,0,0,0.0,0,0,1422.677
8,FTC_ZorF,2,1,3,6,363.4093,0,6,1,1,84.18334,0,0,1813.813
9,FTC_Gifted,2,3,2,4,672.649048,0,13,1,3,425.329285,0,0,1853.005
10,BOY_aisumaisu,8,0,1,3,99.00661,0,1,0,0,0.0,0,0,1288.236
11,BOY_ST3GOW4Z4P3R,8,1,0,5,117.516037,0,4,1,2,41.31648,0,0,1305.259
12,BOY_Volter,8,0,0,0,0.0,0,0,0,0,0.0,1,0,767.406
13,BOY_stimx,8,1,0,5,210.703918,0,2,1,1,23.8401127,0,0,1034.025
14,HKH_VladKot,14,0,1,2,132.052414,1,4,1,1,320.3006,0,0,1011.969
15,HKH_f1ke,14,4,0,1,149.044586,1,0,2,3,567.825562,0,0,1046.613
16,HKH_Lazy,14,0,2,2,78.10292,0,0,0,0,0.0,0,0,1046.616
17,HKH_fiendw0w,14,2,2,3,264.6779,1,1,1,1,25.7763939,0,0,1046.62
18,SPT_PagyrA,9,3,0,3,503.335358,0,4,1,2,144.17868,0,0,1265.905
19,SPT_iFai-,9,1,0,1,192.177444,0,0,0,0,0.0,0,0,965.549
20,SPT_Keevo,9,0,0,2,94.97456,0,1,1,1,74.6340942,0,0,1293.694
21,SPT_Asmadeyka,9,1,1,5,265.774719,0,2,1,1,109.161659,2,0,1268.867
22,P2N_KoRv1,15,0,0,0,51.7308731,0,0,0,0,0.0,1,0,991.164
23,P2N_kioshi1-,15,0,1,0,181.053726,0,0,0,0,0.0,0,0,1028.015
24,P2N_raaa66,15,0,0,2,34.9571533,0,6,0,0,0.0,1,0,816.211
25,P2N_Smart,15,1,0,5,242.991364,0,10,0,0,0.0,0,0,1022.309
26,SKT_Maarsik,16,0,0,3,62.1815262,0,1,0,0,0.0,0,0,880.176
27,SKT_Lightningoud,16,1,0,2,46.81847,0,0,1,1,50.57992,1,0,902.238
28,SKT_Flack,16,0,0,5,0.0,0,3,0,0,0.0,0,0,936.384
29,SKT_Lexus,16,1,0,0,97.19986,0,0,1,1,53.21832,1,0,896.102
30,TXC_Prove,5,2,2,7,583.311462,0,3,1,2,129.616745,0,0,1561.303
31,TXC_MarKelo,5,0,2,7,391.111664,0,1,0,0,0.0,0,0,1561.3
32,TXC_Hexecutor,5,0,0,1,0.0,0,0,0,0,0.0,0,0,865.367
33,TXC_SamiyToxic,5,1,1,6,243.707947,0,1,1,1,53.54513,0,0,1561.306
