,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,AHQ_SR,15,2,0,2,366.682556,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,1201.329,0.0,0.0
1,AHQ_K3,15,0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,586.427,0.0,0.0
2,AHQ_W1nner,15,0,0,1,64.22007,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,1179.896,0.0,0.0
3,AHQ_Cc,15,0,0,1,80.04579,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,1201.323,0.0,0.0
4,AW1_Exagon,14,0,0,2,27.3685684,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,1211.282,0.0,0.0
5,AW1_RDK,14,0,0,2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,858.385,0.0,0.0
6,AW1_Katou,14,0,0,6,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,1194.86,0.0,0.0
7,AW1_IkyAr,14,0,0,2,131.99295,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,1211.286,0.0,0.0
8,17_Monkeyking,2,1,2,5,349.364044,2,2,0.0,0.0,2,2,0.0,0.0,51.207222,0,0.0,1,0,1807.97,0.0,0.0
9,17_shox,2,1,2,5,154.234589,0,3,0.0,0.0,2,2,0.0,0.0,32.6585846,0,0.0,0,0,1789.086,0.0,0.0
10,17_yyxovo,2,2,0,3,243.6438,0,1,0.0,0.0,1,1,0.0,0.0,153.103256,0,0.0,1,0,1788.339,0.0,0.0
11,17_shou,2,0,0,1,280.536,0,0,0.0,0.0,1,1,0.0,0.0,210.5729,0,0.0,0,0,1787.253,0.0,0.0
12,C9_Nerf,4,0,0,4,206.63121,0,7,0.0,0.0,1,1,0.0,0.0,284.8696,0,0.0,0,1,1559.165,0.0,0.0
13,C9_Kaymind,4,1,0,2,319.6397,0,3,0.0,0.0,1,2,0.0,0.0,287.612,0,0.0,0,0,1605.365,0.0,0.0
14,C9_Pr0phie,4,2,1,3,251.7824,0,3,0.0,0.0,2,2,0.0,0.0,13.3391085,0,0.0,0,0,1551.067,0.0,0.0
15,C9_Lobes,4,0,4,5,280.892761,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,1605.359,0.0,0.0
16,TL_Jembty,1,1,8,5,473.2931,0,4,0.0,0.0,2,2,0.0,0.0,100.065964,0,0.0,1,0,1808.036,0.0,0.0
17,TL_jeemzz,1,1,3,7,351.72,1,11,0.0,0.0,1,2,0.0,0.0,164.549438,0,0.0,2,0,1802.177,0.0,0.0
18,TL_Sambty,1,1,4,6,364.063416,0,7,0.0,0.0,1,1,0.0,0.0,37.42555,0,0.0,1,0,1804.625,0.0,0.0
19,TL_ibiza,1,8,4,5,703.699,1,2,0.0,0.0,3,7,0.0,0.0,225.981567,0,0.0,0,0,1808.036,0.0,0.0
20,OPR_Temeria,8,1,1,0,220.537231,0,1,0.0,0.0,1,1,0.0,0.0,17.5880928,0,0.0,0,1,1250.236,0.0,0.0
21,OPR_Menteul,8,1,1,2,122.333,1,1,0.0,0.0,1,1,0.0,0.0,24.190485,0,0.0,0,0,1312.181,0.0,0.0
22,OPR_BBABBO,8,2,3,2,534.8314,1,2,0.0,0.0,2,4,0.0,0.0,96.94622,0,0.0,0,0,1286.197,0.0,0.0
23,OPR_DG98,8,1,0,2,177.557983,0,3,0.0,0.0,1,2,0.0,0.0,16.95196,0,0.0,2,1,1312.175,0.0,0.0
