,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta
0,ToWzErA,2,3,1,1,422.2794,2,3,1000,0,2,3,0,0,52.5944061,0,0,0,1787.72,1500,0
1,C4LVINKL3IN,2,7,4,5,1100.48853,1,6,1000,0,3,5,0,0,108.307335,0,3,0,2028.493,1500,0
2,TONI_SOSA,2,2,0,5,267.733551,1,6,1000,0,1,1,0,0,213.902481,0,0,0,1913.267,1500,0
3,piidde,2,1,2,6,145.703888,0,4,1000,0,1,3,0,0,204.26152,0,0,0,2007.915,1500,0
4,Caint_,6,1,2,2,200.122787,0,1,1000,0,0,0,0,0,0.0,0,0,0,1816.705,1500,0
5,Braexco,6,7,2,2,677.795532,2,3,1000,0,1,5,0,0,53.6123428,0,0,0,1821.919,1500,0
6,UdyrMayFire,6,0,0,3,125.427643,0,1,1000,0,0,0,0,0,0.0,0,0,0,1556.31,1500,0
7,CRonex33,6,1,0,1,257.8874,0,1,1000,0,1,1,0,0,35.4973869,0,0,0,1671.667,1500,0
8,Psybone,3,2,1,2,253.8052,1,6,1000,0,1,2,0,0,107.101204,0,1,0,1950.765,1500,0
9,Ducky-quack,3,1,0,5,318.088043,0,9,1000,0,1,1,0,0,29.8977413,0,0,0,1967.256,1500,0
10,JAFAR-_-,3,0,2,0,70.97454,0,0,1000,0,0,0,0,0,0.0,0,0,0,1726.249,1500,0
11,Eye1___,3,2,1,1,361.993622,1,1,1000,0,2,3,0,0,102.323776,0,1,0,1977.694,1500,0
12,sudi__,15,0,0,2,189.503342,0,3,1000,0,0,0,0,0,0.0,0,0,0,1542.958,1500,0
13,Doughebag2,15,0,0,3,41.08109,0,5,1000,0,0,0,0,0,0.0,0,0,0,1549.002,1500,0
14,Nehringgg,15,0,0,3,7.40928841,0,7,1000,0,0,0,0,0,0.0,0,1,0,1441.078,1500,0
15,Jekoz_,15,1,0,0,100.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,1462.489,1500,0
16,Men0xx,13,0,0,2,113.918564,0,2,1000,0,0,0,0,0,0.0,0,1,0,1659.949,1500,0
17,Nihanas,13,1,1,5,199.023285,0,5,1000,0,0,0,0,0,0.0,0,0,0,1659.943,1500,0
18,Z33C__,13,1,0,4,100.0,0,1,1000,0,1,1,0,0,194.287018,0,0,0,1494.028,1500,0
19,Horseman,13,0,1,1,13.6092911,0,0,1000,0,0,0,0,0,0.0,0,0,0,741.843,1500,0
20,VelociREKTor,14,0,0,1,69.53853,0,0,1000,0,0,0,0,0,0.0,0,1,0,1636.489,1500,0
21,pbot1h,14,0,0,2,26.62117,0,4,1000,0,0,0,0,0,0.0,0,0,0,1580.478,1500,0
22,MOLNMAN,14,0,0,3,82.78625,0,1,1000,0,0,0,0,0,0.0,0,0,0,1407.77,1500,0
23,Raphyyy,14,0,0,1,127.468544,0,3,1000,0,0,0,0,0,0.0,0,1,0,1403.915,1500,0
24,zPAlex,7,1,0,2,158.271027,1,2,1000,0,1,1,0,0,204.7936,0,0,0,1772.692,1500,0
25,Larz__,7,0,1,2,78.2454,0,2,1000,0,0,0,0,0,0.0,0,0,0,1811.923,1500,0
