,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,KNIGHTS_Voxsic,1,2,3,4,673.5292,1,4,0,0,1,5,0,0,215.862946,0,0,0,0,2123.779,0,0
1,KNIGHTS_Krama,1,0,1,2,29.4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1017.482,0,0
2,KNIGHTS_TEXQS,1,5,0,7,751.7313,2,5,0,0,1,6,0,0,248.479843,0,0,1,0,2123.779,0,0
3,KNIGHTS_Draedon,1,4,2,7,457.42334,2,12,0,0,1,4,0,0,146.170868,0,0,1,0,2123.779,0,0
4,eU_Vegas,7,1,1,4,371.9316,0,3,0,0,0,0,0,0,0.0,0,0,1,0,1886.779,0,0
5,eU_TaylorJay,7,1,0,0,178.267426,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1268.829,0,0
6,eU_PistolaTime,7,0,0,3,93.7953339,0,7,0,0,1,1,0,0,195.273666,0,0,0,0,1323.037,0,0
7,eU_GICE,7,1,1,5,128.003922,0,13,0,0,0,0,0,0,0.0,0,0,0,0,1784.421,0,0
8,OpTic-Valliate,9,1,1,5,100.329926,0,0,0,0,1,1,0,0,22.13637,0,0,1,0,1709.332,0,0
9,OpTic-Hetror,9,1,0,5,188.7299,0,4,0,0,1,1,0,0,132.842392,0,0,0,0,1762.703,0,0
10,OpTic-hypoc,9,0,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1013.662,0,0
11,OpTic-Bawahaka,9,1,0,4,175.669373,0,2,0,0,1,1,0,0,114.090973,0,0,0,0,1523.747,0,0
12,TR_Iroh-,11,1,1,4,308.323822,0,2,0,0,0,0,0,0,0.0,0,0,1,0,1732.359,0,0
13,TR_mertgungor,11,0,0,1,43.0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1725.275,0,0
14,TR_SIXMO,11,1,0,1,219.914383,0,3,0,0,1,1,0,0,97.32187,0,0,0,0,1569.734,0,0
15,TR_ABeautfIDeath,11,1,0,1,2.9589653,0,3,0,0,1,1,0,0,131.3989,0,0,0,0,1732.355,0,0
16,Uniq_Playwithme,8,1,1,5,326.02066,0,4,0,0,0,0,0,0,0.0,0,0,1,0,1774.873,0,0
17,Uniq_ADOUZ1E,8,1,1,7,98.28698,0,5,0,0,0,0,0,0,0.0,0,0,0,0,1768.259,0,0
18,Uniq_Standin,8,2,0,4,225.571579,0,9,0,0,1,1,0,0,77.07097,0,0,0,0,1857.789,0,0
19,Uniq_MSTRBTR,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1295.013,0,0
20,DIG_aLOW,15,0,0,2,97.6713638,0,1,0,0,0,0,0,0,0.0,0,0,0,0,925.516,0,0
21,DIG_Uncivil,15,2,0,0,189.4945,0,0,0,0,1,1,0,0,11.96811,0,0,1,0,1022.38,0,0
22,DIG_Adam,15,0,0,2,97.72478,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1511.576,0,0
23,DIG_PurdyKurty,15,0,0,1,85.83535,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1403.84,0,0
24,BJK_LuX,4,4,1,3,875.421265,0,9,0,0,1,3,0,0,53.6565933,0,0,0,0,1984.894,0,0
25,BJK_ultra,4,2,1,4,675.9411,1,5,0,0,1,2,0,0,141.453873,0,0,0,0,1916.219,0,0
26,BJK_SIMSY,4,2,0,3,299.5504,1,4,0,0,1,1,0,0,129.412781,0,0,1,0,1916.753,0,0
27,BJK_TomiL,4,2,1,2,203.0,0,1,0,0,1,2,0,0,51.6145554,0,0,0,0,1750.119,0,0
28,Liquid_jeemzz,12,1,1,3,161.386765,0,14,0,0,0,0,0,0,0.0,0,0,0,0,1567.042,0,0
29,Liquid_Sambty,12,2,1,7,246.243652,1,3,0,0,1,2,0,0,249.599243,0,0,1,0,1651.16,0,0
30,Liquid_ibiza,12,0,0,1,14.0505009,0,8,0,0,0,0,0,0,0.0,0,0,0,0,1306.151,0,0
31,Liquid_Jembtyy,12,2,1,3,215.390015,0,0,0,0,1,1,0,0,19.1251659,0,0,0,0,1497.399,0,0
32,RD_Bestoloch,6,0,1,4,529.871,0,4,0,0,1,1,0,0,460.633423,0,0,0,0,1716.258,0,0
33,RD_P1NN,6,0,1,3,256.71875,0,6,0,0,1,1,0,0,23.15229,0,0,2,0,1820.885,0,0
34,RD_S1D,6,0,0,2,100.985443,0,11,0,0,0,0,0,0,0.0,0,0,2,0,1852.448,0,0
35,RD_HalloSenpai,6,2,0,5,349.7729,0,5,0,0,1,3,0,0,132.3995,0,0,0,0,1914.853,0,0
36,FaZe_Fuzzface,10,1,0,1,100.0,1,7,0,0,1,1,0,0,13.0256157,0,0,0,0,1016.409,0,0
37,FaZe_ubah,10,0,0,1,225.471786,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1604.913,0,0
38,FaZe_mxey,10,0,0,5,99.57504,0,7,0,0,0,0,0,0,0.0,0,0,3,0,1755.571,0,0
39,FaZe_Aitzy,10,3,0,3,337.640533,0,8,0,0,1,2,0,0,197.302673,0,0,0,0,1755.579,0,0
40,NV_Venerated,16,0,0,0,61.2353439,0,0,0,0,0,0,0,0,0.0,0,0,0,0,746.725,0,0
41,NV_CAD3N,16,1,0,0,68.35236,0,0,0,0,0,0,0,0,0.0,0,0,0,0,756.316,0,0
42,NV_PAT_KAPS,16,1,0,1,132.681732,0,11,0,0,0,0,0,0,0.0,0,0,0,0,1174.506,0,0
43,NV_Interrogate,16,0,0,3,110.752846,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1174.511,0,0
44,ELGIG_Hugstar_,14,3,1,4,297.5797,0,11,0,0,1,1,0,0,140.26564,0,0,0,0,1522.411,0,0
45,ELGIG_Savage,14,1,1,6,252.369247,0,4,0,0,1,1,0,0,12.7380028,0,0,0,0,1522.315,0,0
46,ELGIG_dEAGZ,14,1,0,3,479.402527,0,7,0,0,0,0,0,0,0.0,0,0,2,0,1520.91,0,0
47,ELGIG_vakk,14,0,0,3,172.904221,1,7,0,0,1,1,0,0,154.491531,0,0,0,0,1520.921,0,0
