,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,FaZe_Fuzzface,3,2,4,5,525.328064,0,9,0,0,1,3,0,0,325.627655,0,0,0,0,2019.464,0,0
1,FaZe_ubah,3,2,2,2,888.0783,1,0,0,0,1,4,0,0,242.797592,0,0,1,0,1942.178,0,0
2,FaZe_Aitzy,3,1,3,2,358.833435,0,2,0,0,1,1,0,0,284.997742,0,0,0,0,1954.118,0,0
3,FaZe_mxey,3,2,0,1,360.177032,0,0,0,0,1,3,0,0,176.726791,0,0,0,0,1961.998,0,0
4,eU_Vegas,2,2,4,4,289.163727,1,4,0,0,1,1,0,0,256.972626,0,0,1,0,1935.052,0,0
5,eU_TaylorJay,2,2,1,3,289.816284,0,9,0,0,0,0,0,0,0.0,0,0,1,0,1767.194,0,0
6,eU_GICE,2,1,1,3,232.190948,0,4,0,0,1,2,0,0,207.189316,0,0,0,0,2027.733,0,0
7,eU_PistolaTime,2,1,1,2,151.687927,0,0,0,0,1,1,0,0,45.0385246,0,0,0,0,1945.65,0,0
8,RD_Bestoloch,12,1,0,4,272.11972,1,8,0,0,1,1,0,0,230.820236,0,0,0,0,1553.43,0,0
9,RD_S1D,12,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,618.351,0,0
10,RD_P1NN,12,1,0,3,248.638077,0,0,0,0,1,1,0,0,2.13668418,0,0,0,0,1499.443,0,0
11,RD_HalloSenpai,12,0,0,3,49.6057968,0,11,0,0,0,0,0,0,0.0,0,0,0,1,1553.423,0,0
12,BJK_LuX,8,2,0,4,261.4123,0,5,0,0,1,2,0,0,38.73295,0,0,0,0,1671.497,0,0
13,BJK_SIMSY,8,0,0,5,191.223984,0,3,0,0,1,1,0,0,16.3194122,0,0,0,0,1572.393,0,0
14,BJK_TomiL,8,0,0,1,192.83136,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1595.469,0,0
15,BJK_ultra,8,2,0,5,257.8399,0,6,0,0,1,1,0,0,236.898376,0,0,0,0,1671.504,0,0
16,Uniq_MSTRBTR,11,1,1,1,245.402283,1,0,0,0,1,1,0,0,36.0615044,0,0,0,0,1215.295,0,0
17,Uniq_Standin,11,1,2,1,139.638,0,0,0,0,1,1,0,0,6.12628126,0,0,0,0,1171.61,0,0
18,Uniq_Playwithme,11,1,1,6,201.874069,0,8,0,0,2,2,0,0,51.8155823,0,0,0,0,1491.271,0,0
19,Uniq_ADOUZ1E,11,2,0,7,54.7290955,1,8,0,0,1,1,0,0,86.24595,0,0,1,0,1559.028,0,0
20,NV_Venerated,5,0,0,2,0.0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1132.696,0,0
21,NV_CAD3N,5,1,1,1,316.4604,0,1,0,0,1,2,0,0,243.721481,0,0,0,0,1882.353,0,0
22,NV_Interrogate,5,0,0,4,148.104065,0,4,0,0,0,0,0,0,0.0,0,0,0,0,1886.062,0,0
23,NV_PAT_KAPS,5,2,1,2,276.773743,1,3,0,0,1,2,0,0,201.679413,0,0,1,0,1909.101,0,0
24,NiP_Gaxy,10,1,0,6,150.581924,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1549.843,0,0
25,NiP_Nbs,10,1,0,5,71.0200043,0,1,0,0,1,1,0,0,45.87744,0,0,0,0,1479.192,0,0
26,NiP_MiracU,10,0,0,8,0.0,0,7,0,0,0,0,0,0,0.0,0,0,0,0,1589.335,0,0
27,NiP_vard,10,0,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1126.193,0,0
28,TR_Iroh-,4,1,0,6,388.6822,0,5,0,0,0,0,0,0,0.0,0,0,0,0,1613.513,0,0
29,TR_mertgungor,4,0,1,3,56.99155,0,5,0,0,0,0,0,0,0.0,0,0,1,0,1638.097,0,0
30,TR_SIXMO,4,1,0,4,182.705383,0,4,0,0,1,1,0,0,79.09805,0,0,0,0,1919.589,0,0
31,TR_ABeautfIDeath,4,0,0,2,0.0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1338.285,0,0
32,KNIGHTS_Voxsic,1,3,0,4,528.980042,2,3,0,0,1,5,0,0,163.108139,0,0,1,0,2027.795,0,0
33,KNIGHTS_Draedon,1,1,3,6,379.0287,1,3,0,0,1,3,0,0,110.004356,0,0,0,0,2027.795,0,0
34,KNIGHTS_TEXQS,1,0,2,5,479.22287,2,2,0,0,1,2,0,0,49.4444962,0,0,0,0,2027.795,0,0
35,KNIGHTS_Krama,1,0,1,6,120.464607,0,3,0,0,1,2,0,0,142.203217,0,0,1,0,2027.795,0,0
36,WC_pride,14,0,0,3,75.3466339,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1286.242,0,0
37,WC_Sharpshot,14,0,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1199.234,0,0
38,WC_toumai,14,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,555.018,0,0
39,WC_Kickstart,14,1,0,0,48.3999939,0,0,0,0,1,1,0,0,63.198555,0,0,0,0,1286.247,0,0
40,ELGIG_Hugstar,15,0,0,0,63.89547,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1158.261,0,0
41,ELGIG_vakk,15,0,0,1,140.650528,0,6,0,0,0,0,0,0,0.0,0,0,0,0,1169.602,0,0
42,ELGIG_dEAGZ,15,1,1,1,175.459991,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1169.612,0,0
43,ELGIG_Savage,15,0,0,2,82.48042,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1169.608,0,0
44,Liquid_Jembtyy,16,0,0,1,18.8269825,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1162.11,0,0
45,Liquid_ibiza,16,0,0,2,49.3580856,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1162.115,0,0
46,Liquid_Sambty,16,0,0,1,25.8,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1162.12,0,0
47,Liquid_jeemzz,16,0,0,3,172.130859,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1141.65,0,0
48,ExG_SKUIJKE,6,0,0,4,33.03702,0,5,0,0,0,0,0,0,0.0,0,0,1,0,1704.998,0,0
49,ExG_TRYFFELI,6,3,0,6,345.094452,0,4,0,0,2,3,0,0,22.0905647,0,0,1,0,1546.243,0,0
50,ExG_Rustanmar,6,0,0,5,121.077347,0,9,0,0,0,0,0,0,0.0,0,0,0,0,1394.117,0,0
51,ExG_miikaz,6,0,1,1,0.0,0,4,0,0,0,0,0,0,0.0,0,0,0,0,1511.675,0,0
52,AVANGAR_Snoopykx,9,1,0,4,238.471573,0,0,0,0,1,1,0,0,254.093536,0,0,0,0,1568.343,0,0
53,AVANGAR_azverin,9,1,1,4,150.138062,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1597.481,0,0
54,AVANGAR_Maxiz0r,9,4,2,2,428.137817,2,2,0,0,1,3,0,0,263.451,0,0,0,0,1597.486,0,0
55,AVANGAR_0nuqtive,9,1,0,3,280.858582,1,6,0,0,2,2,0,0,96.50042,0,0,0,0,1532.281,0,0
56,OpTic-Valliate,13,1,0,2,82.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1075.471,0,0
57,OpTic-Bawahaka,13,0,0,0,138.327,0,0,0,0,0,0,0,0,0.0,0,0,0,0,992.373,0,0
58,OpTic-Hetror,13,0,0,0,218.898773,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1079.726,0,0
59,OpTic-hypoc,13,0,0,2,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1502.355,0,0
60,DIG_aLOW,7,1,0,3,162.098969,0,8,0,0,0,0,0,0,0.0,0,0,1,0,1676.135,0,0
61,DIG_Adam,7,0,0,3,127.57695,0,3,0,0,1,1,0,0,9.273608,0,0,0,0,1439.888,0,0
62,DIG_Uncivil,7,4,1,1,411.94043,1,3,0,0,1,2,0,0,112.400574,0,0,0,0,1536.607,0,0
63,DIG_PurdyKurty,7,2,2,4,412.28537,0,3,0,0,2,2,0,0,23.48754,0,0,0,0,1511.608,0,0
64,WC_pride,10,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1293.075,0,0
65,WC_toumai,10,2,0,3,165.896622,1,12,0,0,1,1,0,0,14.6848116,0,0,0,0,1433.854,0,0
66,WC_Kickstart,10,0,0,2,147.190933,0,5,0,0,0,0,0,0,0.0,0,0,0,0,1409.417,0,0
67,WC_Sharpshot,10,0,0,3,33.28089,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1375.935,0,0
68,TR_Iroh-,11,0,0,4,129.83847,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1350.845,0,0
69,TR_mertgungor,11,0,0,1,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,601.014,0,0
70,TR_ABeautfIDeath,11,0,0,3,11.6100006,0,6,0,0,0,0,0,0,0.0,0,0,0,0,1350.853,0,0
71,TR_SIXMO,11,0,0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,584.161,0,0
72,DIG_aLOW,12,0,0,2,19.3499985,0,2,0,0,0,0,0,0,0.0,0,0,0,0,799.784,0,0
73,DIG_Adam,12,0,0,1,119.969994,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1023.299,0,0
74,DIG_PurdyKurty,12,1,0,3,183.85,0,9,0,0,0,0,0,0,0.0,0,0,0,0,1328.407,0,0
75,DIG_Uncivil,12,0,0,2,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,801.094,0,0
76,eU_Vegas,16,0,0,2,79.65081,0,4,0,0,0,0,0,0,0.0,0,0,0,0,1164.414,0,0
77,eU_TaylorJay,16,0,0,1,14.82383,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1154.699,0,0
78,eU_PistolaTime,16,0,0,0,109.776733,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1164.409,0,0
79,eU_GICE,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1153.125,0,0
80,AVANGAR_Snoopykx,8,3,2,3,240.4129,0,3,0,0,1,2,0,0,42.4399071,0,0,0,0,1570.674,0,0
81,AVANGAR_0nuqtive,8,2,0,2,402.582062,0,4,0,0,1,2,0,0,37.88621,0,0,1,0,1545.345,0,0
82,AVANGAR_azverin,8,1,1,6,338.752625,0,4,0,0,1,1,0,0,274.543182,0,0,0,0,1570.669,0,0
83,AVANGAR_Maxiz0r,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,907.166,0,0
84,Uniq_Playwithme,3,3,3,5,359.482239,2,4,0,0,1,3,0,0,316.651337,0,0,0,0,1701.522,0,0
85,Uniq_Standin,3,2,2,8,444.623322,0,3,0,0,1,4,0,0,128.4688,0,0,1,0,2122.916,0,0
86,Uniq_ADOUZ1E,3,1,2,7,262.854462,0,2,0,0,1,1,0,0,89.0413055,0,0,0,0,2001.502,0,0
87,Uniq_MSTRBTR,3,1,0,6,413.04776,0,8,0,0,1,3,0,0,246.090179,0,0,0,0,1925.351,0,0
88,NiP_Gaxy,9,2,1,3,282.167633,1,1,0,0,1,2,0,0,360.1402,0,0,0,0,1470.287,0,0
89,NiP_Nbs,9,1,1,1,155.079437,0,1,0,0,1,1,0,0,52.66547,0,0,0,0,1463.255,0,0
90,NiP_MiracU,9,1,0,3,385.81012,0,3,0,0,1,1,0,0,102.687111,0,0,1,0,1470.297,0,0
91,NiP_vard,9,0,0,4,217.14325,0,4,0,0,0,0,0,0,0.0,0,0,0,0,1470.294,0,0
92,Liquid_Jembtyy,13,1,0,2,234.9674,1,1,0,0,1,1,0,0,51.54114,0,0,0,0,1311.286,0,0
93,Liquid_jeemzz,13,0,1,0,128.544052,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1311.29,0,0
94,Liquid_Sambty,13,0,0,2,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1311.296,0,0
95,Liquid_ibiza,13,0,0,1,96.40669,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1309.864,0,0
