,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,HYB_Krushhh,2,0,0,0,0.0,0,0,0,0,0.0,0,1,82.881
1,PK_Draedon,1,0,0,0,0.0,0,0,0,0,0.0,0,0,82.914
2,TL_Jembty,15,1,1,1,100.0,0,0,0,0,0.0,0,0,633.347
3,TL_Sambty,15,1,0,0,100.0,0,0,1,1,23.6910858,0,0,632.614
4,TL_ibiza,15,0,0,0,0.0,0,0,0,0,0.0,0,0,599.647
5,TL_jeemzz,15,0,0,0,23.4175014,0,0,0,0,0.0,0,0,606.873
6,FC_mxey,6,1,0,3,148.325531,0,5,0,0,0.0,0,0,803.902
7,FC_Aitzy,6,1,0,1,100.0,0,1,1,1,33.9977531,0,0,622.329
8,FC_Fuzzface,6,0,0,0,0.0,0,0,0,0,0.0,0,0,562.752
9,FC_ubah,6,2,0,5,344.5313,1,1,1,2,106.812119,0,0,1371.333
10,HYB_ch4rle,5,1,0,4,248.444275,0,15,0,0,0.0,0,0,1453.457
11,HYB_Krushhh,5,1,0,1,145.324921,0,1,1,1,28.3482132,0,0,1278.531
12,HYB_vasili,5,0,1,3,0.0,0,8,0,0,0.0,0,0,1441.336
13,HYB_Chung1E,5,0,0,1,20.42448,0,7,0,0,0.0,0,0,1201.774
14,NV_ADOUZ1E,7,1,2,6,298.285645,0,0,1,2,434.4434,1,0,1172.497
15,NV_Bestoloch,7,2,0,6,611.733,0,5,1,2,76.22028,0,0,1322.413
16,NV_POKAMOLODOY,7,2,1,1,294.524445,0,1,1,2,162.294586,1,0,1322.416
17,NV_ceh9,7,1,0,0,100.0,0,0,1,1,42.2872276,0,0,177.924
18,ATH_Xtreme,3,2,0,8,744.530151,0,5,1,4,258.972626,1,0,1592.442
19,ATH_luke12,3,4,1,9,808.2989,2,8,1,5,255.699066,0,0,1592.437
20,ATH_Zoidm8,3,0,0,3,64.34999,0,12,0,0,0.0,1,0,676.642
21,ATH_Fludd,3,0,0,2,63.6155624,0,1,0,0,0.0,0,0,604.59
22,INC_Jouxy,2,1,2,5,355.390961,0,1,2,2,28.4325733,0,0,1441.421
23,INC_Ykikamucow,2,1,0,4,247.630188,0,1,1,2,90.91988,0,0,1436.37
24,INC_Ronon,2,2,0,7,233.55687,0,9,1,3,56.89064,0,0,1643.14
25,INC_lnsight,2,1,1,5,485.1477,1,2,1,2,169.80658,4,0,1465.503
26,SNG_Pand4e,14,1,0,0,80.0,0,0,1,1,14.2440739,0,0,677.116
27,SNG_RiboxD,14,0,0,1,186.95163,0,1,0,0,0.0,0,0,656.748
28,SNG_p0me,14,3,0,2,294.0,0,5,1,1,1.75828409,0,0,677.123
29,SNG_Loquix,14,0,0,1,81.60982,0,6,0,0,0.0,0,0,661.39
30,SSG_Valliate,1,1,2,5,521.8901,0,3,1,1,11.76977,0,0,1643.201
31,SSG_Bahawaka,1,0,0,5,123.556046,0,2,1,1,3.02274346,0,0,1643.201
32,SSG_Jsank,1,0,0,2,23.9192772,0,3,0,0,0.0,0,0,1643.201
33,SSG_ Hetror,1,3,0,2,547.157959,1,2,2,4,315.900818,1,0,1643.201
34,TS_Meluke,11,1,0,3,120.57518,0,0,1,2,125.592247,1,0,1074.975
