,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_eu-gls5_01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,5.579
1,AF_Zoccer,12,2,0,3,81.3094,1,1,1,2,75.512634,2,0,1423.0
2,AF_PaiinZ,12,2,1,8,344.985,0,6,2,3,141.01733,0,0,1432.0
3,AF_marb0,12,2,0,8,194.00717,1,4,1,1,3.3834095,0,0,1432.0
4,AF_gargi,12,0,0,1,58.995457,0,0,0,0,0.0,0,0,969.0
5,EIQ_Qbe,5,2,2,5,527.14294,0,1,1,1,131.26318,0,0,1514.0
6,EIQ_Naylup,5,0,1,0,78.72,0,0,0,0,0.0,0,0,389.0
7,EIQ_Lukarux,5,6,0,7,592.47473,1,7,2,5,43.88229,0,0,1664.0
8,EIQ_ivas,5,3,2,9,680.9118,1,5,2,3,145.13606,0,0,1681.0
9,SZ_Salty,1,4,2,5,736.6852,2,12,2,5,115.36969,2,0,1891.0
10,SZ_NIXZYEE,1,1,3,6,520.10547,0,2,2,3,30.112272,0,0,1891.0
11,SZ_HIMAN,1,3,3,6,690.39996,0,3,2,3,129.0936,0,0,1891.0
12,SZ_TekkerZ,1,3,1,1,339.01215,0,2,1,2,33.234684,0,0,1891.0
13,SRM_Shiplest,4,1,0,2,180.26065,0,3,0,0,0.0,0,0,1784.0
14,SRM_BARONPeek,4,1,0,6,127.335884,0,3,0,0,0.0,0,0,1784.0
15,SRM_Warde,4,0,0,5,198.5891,0,9,0,0,0.0,0,0,1774.0
16,SRM_MuzluSoda,4,0,0,2,140.83452,0,5,1,1,71.99753,0,0,1779.0
17,EP_jANYY,14,1,1,4,164.60745,0,8,0,0,0.0,0,0,1238.0
18,EP_FreeKill,14,0,0,2,0.0,0,2,0,0,0.0,0,0,1238.0
19,EP_dedrix,14,0,0,2,139.1175,0,0,0,0,0.0,2,0,1238.0
20,EP_Grendys,14,1,0,5,51.148567,0,1,1,2,329.5707,0,0,1238.0
21,EXN_Dab00m,16,1,0,0,100.0,0,0,1,1,27.197433,0,0,392.0
22,EXN_Salik,16,0,0,0,78.4,0,0,0,0,0.0,0,0,392.0
23,EXN_iZooom,16,0,0,0,22.68,0,0,0,0,0.0,0,0,373.0
24,EXN_btm,16,0,0,0,27.060001,0,0,0,0,0.0,0,0,392.0
25,AA_HIBAKO,7,0,1,4,281.03323,0,2,0,0,0.0,1,0,1524.0
26,AA_DieZzz,7,0,0,1,0.0,0,1,0,0,0.0,0,0,803.0
27,AA_Ieenan,7,1,0,4,157.09946,1,2,1,2,185.80292,0,0,1605.0
28,AA_POKAMOLODOY,7,0,0,5,210.32498,0,3,1,1,48.02564,0,0,1605.0
29,DPM_EddyBro,2,0,0,2,362.35092,0,2,1,2,34.674713,0,0,1869.0
30,DPM_SEEZUNG77,2,1,1,11,442.33313,0,10,1,1,33.77804,0,0,1891.0
31,DPM_Handzuz,2,1,0,3,278.3577,0,1,0,0,0.0,0,0,1891.0
