,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,DTG_Duff,7,4,0,3,503.3809,0,4,2,3,182.3383,0,0,1489
1,DTG_Dafit,7,0,0,5,375.32483,0,3,0,0,0.0,0,0,1458
2,DTG_TN,7,1,0,6,319.42737,0,2,0,0,0.0,0,0,1452
3,DTG_Trefeek,7,0,0,4,52.983776,0,2,0,0,0.0,0,0,1203
4,PLEBS_Peposlav,9,0,0,6,89.0365,0,3,0,0,0.0,0,0,1441
5,PLEBS_jubass43,9,0,0,3,180.15576,1,2,1,1,125.08249,1,0,1441
6,PLEBS_r3lox1kk-,9,2,0,4,292.0742,0,4,1,1,79.77084,1,0,1390
7,PLEBS_T0jv4,9,0,0,5,82.63827,0,3,0,0,0.0,1,0,1428
8,MSY_TIXI,5,1,0,7,405.93512,0,2,1,1,413.49454,0,0,1638
9,MSY_Xrols,5,0,0,6,138.95842,0,3,0,0,0.0,0,0,1638
10,MSY_Nutregon,5,0,0,2,72.02808,0,1,0,0,0.0,1,0,1638
11,MSY_creslo,5,2,0,6,385.5759,1,10,1,1,31.796944,1,0,1638
12,AF_Macaroni-_-,13,0,0,4,190.9466,0,3,0,0,0.0,0,0,1110
13,AF_L4K3R_,13,1,0,1,188.28157,0,3,1,1,333.49466,0,0,1232
14,AF_milosski,13,0,0,3,55.440002,0,1,0,0,0.0,0,0,1109
15,AF_Werto,13,2,1,4,351.78488,0,0,0,0,0.0,0,0,1210
16,SAF_Soggy,3,0,0,1,304.06232,0,0,0,0,0.0,0,0,1188
17,SAF_Ragnar,3,0,0,3,119.99313,0,8,0,0,0.0,0,0,1758
18,SAF_DarkHunt33r,3,0,0,4,421.94708,0,6,1,1,124.648026,0,0,1668
19,SAF_Bamty,3,1,0,7,204.595,0,11,0,0,0.0,0,0,1573
20,CUCU_PiskotCZ,10,2,1,1,380.39816,0,2,1,1,49.884556,0,0,888
21,CUCU_lukinkru,10,5,1,4,669.3837,2,5,2,3,59.095055,0,0,1422
22,CUCU_qoudyy,10,1,0,4,192.90163,1,8,1,1,11.253585,0,0,1171
23,CUCU_Kukyk,10,0,0,3,96.485,0,4,0,0,0.0,0,0,983
24,EP_dedrix,11,3,2,4,365.79788,0,2,1,2,70.4221,0,0,1418
25,EP_FreeKill,11,1,1,7,290.4673,0,4,1,2,110.92476,2,0,1413
26,EP_Grendys,11,0,0,3,287.59842,0,4,1,2,184.64912,0,0,1220
27,EP_jANYY,11,1,0,7,100.0,0,5,0,0,0.0,0,0,1417
28,RNG_Sqinzy,4,0,0,10,89.10405,0,3,0,0,0.0,0,0,1591
29,RNG_Danny,4,0,0,3,274.8289,0,3,0,0,0.0,0,0,1589
30,RNG_Hunnted,4,0,0,7,137.3385,0,5,0,0,0.0,0,0,1431
31,RNG_FaTxxx,4,4,0,7,633.86456,1,8,4,4,41.07675,1,0,1647
32,VP_J3rdie,8,0,0,0,0.0,0,0,0,0,0.0,0,0,432
33,VP_NX,8,1,1,3,214.1389,0,1,1,1,88.21016,0,0,1139
34,VP_Johnye,8,3,1,4,408.5782,2,4,1,4,143.97183,0,0,1472
35,VP_zderA,8,1,0,0,121.02749,0,0,1,1,34.51401,0,0,1185
36,LNGS_TheCoiffee,14,1,1,5,68.32,0,4,0,0,0.0,0,0,1197
37,LNGS_Skypi,14,0,0,0,56.399998,0,0,0,0,0.0,0,0,670
38,LNGS_tea_pack,14,0,0,1,64.259995,0,0,0,0,0.0,1,0,927
39,LNGS_Anet,14,0,0,3,0.0,0,0,0,0,0.0,0,0,947
40,FDEE_Werzic,6,1,0,4,102.525215,0,1,1,1,60.81807,0,0,1410
41,FDEE_E1dam-,6,0,0,4,75.0075,0,0,0,0,0.0,0,0,1398
42,FDEE_PawianeQ,6,0,2,6,177.53778,0,8,0,0,0.0,1,0,1612
43,FDEE_Kojot,6,1,1,3,229.00015,1,2,1,2,37.40561,1,0,1536
44,EXP_SILERZZ,2,3,1,5,725.797,0,3,1,2,311.44916,0,0,1662
45,EXP_seniks,2,2,1,5,333.37787,1,6,1,1,145.96094,0,0,1552
