,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,TLS_Deeda,2,3,2,4,450.27475,1,8,1,2,293.71075,0,0,1532
1,TLS_BajricH,2,3,3,7,600.9096,0,2,1,1,344.12894,1,0,1820
2,TLS_eXtreMe,2,2,0,8,532.1163,2,9,2,4,45.291676,0,0,1632
3,TLS_St1p1,2,3,0,4,461.61252,0,3,1,2,255.41478,0,0,1832
4,7C_4nte,11,0,1,7,307.0052,0,2,0,0,0.0,0,0,1134
5,7C_Sabnojz,11,3,0,3,213.7872,0,3,1,3,337.95755,0,0,899
6,7C_Bonki,11,0,1,4,0.0,0,10,0,0,0.0,0,0,880
7,7C_SEEZUNG77,11,1,0,5,164.82242,1,6,1,2,262.91794,1,0,1134
8,DSTN_Duff,9,0,0,0,0.0,0,0,0,0,0.0,0,0,502
9,DSTN_Klimson,9,2,2,4,225.42914,1,7,2,2,79.94754,0,0,1313
10,DSTN_Friz,9,1,1,4,282.5586,2,3,1,2,148.30838,0,0,1137
11,DSTN_Tejzi,9,2,0,1,118.35344,0,0,1,1,373.281,0,0,243
12,SHP_DelalaaCro,15,0,0,0,76.56,0,0,0,0,0.0,0,0,784
13,SHP_HrCo,15,0,0,1,123.49238,0,5,0,0,0.0,0,0,774
14,SHP_Juky844,15,0,0,0,0.0,0,0,0,0,0.0,0,0,490
15,SHP_borcale240hz,15,1,0,0,119.13534,0,0,0,0,0.0,0,0,871
16,MG_J4M,7,1,0,3,303.0864,1,2,1,1,282.26425,0,0,1343
17,MG_Samitooo,7,1,0,5,100.0,0,5,0,0,0.0,1,0,1438
18,MG_ivk,7,0,0,3,98.01304,0,6,0,0,0.0,1,0,1465
19,MG_Semado,7,0,0,4,155.01627,0,4,1,1,313.0393,0,0,1421
20,HOG_Momme,4,0,0,5,389.36737,0,3,0,0,0.0,0,0,1324
21,HOG_Godrillaa,4,1,0,7,732.1914,0,7,1,1,14.097799,0,0,1698
22,HOG_karxx,4,2,0,7,360.0495,1,11,1,1,34.56092,0,0,1654
23,HOG_S1Ny,4,0,0,7,200.04138,0,2,1,1,159.92831,0,0,1650
24,USF_iiFliixzZ,14,1,0,2,316.52512,1,1,1,1,8.194042,0,0,937
25,USF_Mostfox,14,0,0,3,48.979027,0,2,0,0,0.0,0,0,828
26,USF_vazo,14,1,0,2,123.3919,0,4,0,0,0.0,0,0,923
27,USF_hulkmodus,14,0,0,2,0.0,0,4,0,0,0.0,0,0,919
28,MF4_dogz3R,5,2,1,8,295.26248,0,10,1,1,265.2576,2,0,1603
29,MF4_rappha,5,1,0,7,332.88663,0,14,1,2,39.20684,0,0,1498
30,MF4_Vorix,5,0,0,0,23.854233,0,2,0,0,0.0,0,0,829
31,MF4_Zoccer,5,3,1,7,629.43634,0,13,1,3,199.22264,2,0,1603
32,GST_xertzy,12,0,0,2,38.745,0,2,0,0,0.0,1,0,852
33,GST_BLUES7AR,12,0,0,2,24.672804,0,1,0,0,0.0,0,0,865
34,GST_woxezlul,12,0,1,5,32.82294,0,5,0,0,0.0,0,0,998
35,GST_ZOON,12,2,1,4,342.23184,0,2,1,1,68.36025,0,0,868
36,MFP_Spooks,13,0,0,2,42.791313,0,0,0,0,0.0,0,0,788
37,MFP_Grande,13,0,0,4,40.307587,0,3,0,0,0.0,0,0,688
38,MFP_ANDIAMOSSS,13,1,1,3,136.9609,0,3,0,0,0.0,0,0,690
39,MFP_SirJetko,13,2,0,4,150.56166,2,4,1,2,37.82109,0,0,984
40,EIQ_Lukarux,1,3,3,8,832.54193,0,3,2,4,67.01368,0,0,1832
41,EIQ_Naylup,1,5,0,4,713.37787,2,5,2,7,169.1705,1,0,1800
42,EIQ_Qbe,1,0,1,3,0.0,0,2,0,0,0.0,0,0,1020
43,EIQ_ivas,1,0,0,4,214.88406,0,1,1,1,2.1733966,1,0,1304
44,NOT_GiveiT-,10,4,1,3,694.1098,0,2,3,4,126.543144,0,0,1248
45,NOT_croman86,10,0,3,2,338.9361,0,1,0,0,0.0,0,0,926
46,NOT_DoctorBeso,10,0,0,2,86.87948,0,4,0,0,0.0,0,0,219
47,NOT_OConnell,10,0,0,0,0.0,0,0,0,0,0.0,0,0,17
48,PL4Z_Zekoslav,3,4,1,4,555.97327,1,1,1,3,72.62183,1,0,1679
49,PL4Z_ognimoD,3,1,1,2,344.68796,0,4,1,1,142.05727,0,0,1778
50,PL4Z_strixhunteR,3,0,0,5,286.87085,0,2,1,1,220.26607,1,0,1679
51,PL4Z_Beg1nner,3,2,2,5,315.76645,0,7,1,1,16.512222,0,0,1778
52,TXC_NOD1,8,0,0,3,21.789742,0,9,0,0,0.0,0,0,977
53,TXC_thalyan,8,1,0,3,40.039707,0,2,1,2,397.6392,0,0,965
54,TXC_1ulian,8,1,0,10,60.0,1,11,1,1,334.10608,0,0,1447
55,TXC_Layosh,8,0,0,2,0.0,0,3,0,0,0.0,0,0,975
56,TH_dul1k,6,0,0,5,222.78197,0,10,0,0,0.0,1,0,1540
57,TH_Nyn0,6,1,1,2,257.78357,0,1,0,0,0.0,1,0,1506
58,TH_K4pii,6,0,0,0,32.36284,0,0,0,0,0.0,0,0,553
59,TH_MrLuuckY,6,0,0,6,251.2461,0,15,0,0,0.0,0,0,1493
60,7D_Sqinzy,16,2,0,1,129.84927,0,0,0,0,0.0,1,0,776
61,7D_Velehos,16,0,0,1,287.08948,0,1,0,0,0.0,0,0,813
62,7D_almmir,16,0,0,3,146.0491,0,2,0,0,0.0,0,0,752
63,7D_Mare,16,0,0,1,30.937798,0,0,0,0,0.0,0,0,549
64,GST_BLUES7AR,10,1,0,5,309.9997,1,3,1,1,95.09943,0,0,1299
65,GST_ZOON,10,2,0,5,182.79103,2,0,1,2,539.42316,1,0,1256
66,GST_woxezlul,10,0,2,5,246.1084,0,6,0,0,0.0,0,0,1299
67,GST_xertzy,10,1,0,2,174.00845,0,1,0,0,0.0,0,0,1228
68,HOG_karxx,12,0,0,4,0.0,0,8,0,0,0.0,0,0,966
69,HOG_Godrillaa,12,0,0,5,23.602222,0,8,0,0,0.0,0,0,1036
70,HOG_S1Ny,12,0,2,5,158.92221,0,8,0,0,0.0,0,0,971
71,HOG_Momme,12,2,0,7,84.10829,1,8,2,2,61.111465,0,0,1036
72,NOT_DoctorBeso,13,0,0,2,0.0,0,0,0,0,0.0,0,0,235
73,NOT_croman86,13,0,0,5,78.76491,0,19,0,0,0.0,1,0,1030
74,NOT_OConnell,13,0,0,0,0.0,0,0,0,0,0.0,0,0,500
75,NOT_GiveiT-,13,1,0,5,0.0,0,17,0,0,0.0,0,0,1030
76,SHP_DelalaaCro,15,0,0,1,154.51248,0,0,0,0,0.0,1,0,883
77,SHP_borcale240hz,15,0,0,2,111.13672,0,0,0,0,0.0,0,0,883
78,SHP_HrCo,15,0,0,3,201.2351,0,2,0,0,0.0,0,0,883
79,SHP_Juky844,15,1,0,1,175.20578,0,0,0,0,0.0,0,0,789
80,PL4Z_Zekoslav,7,2,0,4,171.80591,1,2,1,2,83.876755,1,0,1356
81,PL4Z_ognimoD,7,1,0,4,488.50314,0,1,1,2,29.692255,0,0,1251
82,PL4Z_Beg1nner,7,2,3,6,612.0195,0,8,1,2,66.32973,0,0,1388
83,PL4Z_strixhunteR,7,2,2,6,526.91223,1,5,1,2,65.57391,1,0,1329
84,TLS_Deeda,8,0,1,4,117.74399,0,4,0,0,0.0,0,0,1355
85,TLS_eXtreMe,8,0,0,2,107.5688,0,1,0,0,0.0,1,0,1365
86,TLS_St1p1,8,1,0,4,148.15211,0,5,1,1,68.087234,0,0,1369
