,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,GF_Aaab,7,2,2,4,443.3103,0,4,0,3,70.68088,0,0,1394.651
1,GF_ultra,7,1,1,4,524.51843,0,2,0,1,297.06375,0,0,1249.194
2,GF_deX,7,2,0,6,294.90497,1,1,0,2,48.43216,2,0,1439.796
3,GF_TekkerZ,7,0,1,4,213.81332,0,4,0,0,0.0,0,0,1243.49
4,OMK_PaG3,1,5,4,1,810.51294,1,5,0,3,266.01663,1,0,1632.598
5,OMK_TeaBone,1,0,0,2,275.03696,0,0,0,2,65.83292,1,0,1632.598
6,OMK_Vazku,1,2,1,1,524.8948,2,1,0,3,45.177555,1,0,1632.598
7,OMK_Jembty,1,2,1,5,463.84943,0,8,0,1,22.618292,0,0,1632.598
8,OMK_ball1n,1,0,0,0,0.0,0,0,0,0,0.0,0,0,85.911
9,TSM_dohfOs,11,0,0,0,0.0,0,0,0,0,0.0,0,0,80.198
10,TSM_vard,11,1,1,6,36.911118,0,12,0,0,0.0,1,0,1198.837
11,TSM_Fexx,11,0,0,3,126.71694,1,2,0,1,6.134001,0,0,1008.029
12,TSM_MiracU,11,1,0,2,255.06174,0,6,0,0,0.0,2,0,1201.371
13,TSM_Iroh,11,1,0,5,131.36497,0,10,0,2,37.08027,1,0,1190.995
14,APKS_intenZ,2,4,3,11,867.4705,1,10,0,4,120.82147,0,0,1632.469
15,APKS_SIMSY,2,5,0,6,577.678,0,12,0,2,186.20757,1,0,1465.458
16,APKS_C4LVIN,2,2,1,4,383.0035,2,6,0,4,94.746544,2,0,1445.686
17,APKS_ivel,2,1,0,4,228.3326,0,7,0,1,87.54548,0,0,1134.435
18,TL_clib,16,0,0,1,72.515076,0,4,0,0,0.0,0,0,602.574
19,TL_mxey,16,0,0,1,0.0,0,0,0,0,0.0,0,0,813.124
20,TL_jeemzz,16,1,0,1,172.77655,0,0,0,1,30.502886,0,0,795.748
21,TL_ibiza,16,0,0,2,83.38792,0,0,0,0,0.0,0,0,813.136
22,FaZe_Gustav,6,2,0,0,208.27222,0,1,0,1,76.70617,0,0,1064.96
23,FaZe_Aitzy,6,0,0,1,0.0,0,0,0,0,0.0,0,0,549.92
24,FaZe_ubah,6,2,1,4,911.39606,0,0,0,0,0.0,1,0,1463.19
25,FaZe_Fuzzface,6,3,0,4,452.40637,1,8,0,2,206.24336,0,0,1457.938
26,FaZe_Didz,6,0,0,0,0.0,0,0,0,0,0.0,0,0,81.702
27,ENCE_D1gg3r1,3,0,0,0,0.0,0,0,0,0,0.0,0,0,453.569
28,ENCE_SENTEX,3,0,0,0,0.0,0,0,0,0,0.0,0,0,83.123
29,ENCE_Tiikzu,3,0,0,0,0.0,0,0,0,0,0.0,0,0,446.609
30,ENCE_SKUIJKE,3,2,2,5,223.16,0,3,0,1,5.9738665,0,0,1595.711
31,ENCE_Rustanmar,3,5,1,5,539.0418,2,12,0,4,228.96875,0,0,1078.405
32,EIQ_RedgieBeardo,15,0,0,2,0.0,0,0,0,0,0.0,0,0,917.927
33,EIQ_Nowikk,15,0,0,3,112.46084,0,1,0,0,0.0,0,0,980.894
34,EIQ_Double,15,0,0,0,61.215,0,0,0,0,0.0,0,0,106.663
35,RL_MARV,5,1,1,2,326.7562,0,2,0,1,164.7729,0,0,1488.12
36,RL_Momme,5,0,1,4,213.69157,0,1,0,0,0.0,0,0,1488.111
37,RL_mykLe,5,4,0,2,424.90274,0,3,0,3,280.68677,0,0,1488.13
38,NAVI_Dyrem,14,0,0,0,0.0,0,0,0,0,0.0,0,0,80.56
39,NAVI_ceh9,14,0,0,4,87.65766,0,0,0,0,0.0,0,0,1023.468
40,NAVI_TheTab,14,1,0,4,86.0,0,2,0,1,21.881235,0,0,1054.356
41,NAVI_Orange,14,0,0,0,57.01563,0,0,0,0,0.0,0,0,1023.004
42,NAVI_Besto,14,0,0,2,0.0,0,3,0,0,0.0,1,0,1017.996
43,RYE_Shiv,17,0,1,2,42.850502,0,0,0,0,0.0,0,0,508.185
44,RYE_ADOUZ1E,17,1,0,1,81.7495,1,1,0,1,45.372997,0,0,508.21
45,RYE_Znooper,17,0,0,0,0.0,0,0,0,0,0.0,0,0,81.502
46,RYE_udyRR,17,0,0,2,84.299995,0,1,0,0,0.0,1,0,508.223
47,RYE_mOnKeY,17,1,1,2,174.51999,0,1,0,0,0.0,0,0,508.197
48,NLT_Perfect1ks,4,0,0,1,26.369446,0,1,0,0,0.0,0,0,906.627
49,NLT_Myacho,4,0,0,0,0.0,0,0,0,0,0.0,0,0,82.687
50,NLT_spyrro,4,3,0,5,435.6545,0,5,0,1,35.032238,0,0,1533.374
51,NLT_BatulinS,4,0,0,6,347.46838,1,3,0,1,76.66497,0,0,1325.876
52,NLT_Deep,4,4,1,2,521.8464,1,1,0,5,297.94608,0,0,1297.172
53,DA_memo,9,0,0,4,0.0,0,3,0,0,0.0,0,0,1063.846
54,DA_Mitraleius,9,1,0,5,81.077736,0,6,0,1,23.49653,1,1,1299.739
55,DA_mert,9,0,0,7,24.461782,0,13,0,0,0.0,1,0,1326.794
56,DA_SIXMO,9,0,0,0,0.0,0,0,0,0,0.0,0,0,638.733
57,MTN_Muver,13,0,0,1,250.5588,0,1,0,0,0.0,0,0,1042.292
58,MTN_Uxiq,13,0,0,2,67.277275,0,3,0,0,0.0,0,0,1054.529
59,MTN_Zubila,13,1,2,3,366.4913,0,2,0,0,0.0,0,0,1054.516
60,MTN_Granula,13,0,0,3,224.68307,0,1,0,1,278.34253,0,0,951.806
61,ETG_Thenderlost,8,0,0,4,0.0,0,0,0,0,0.0,1,0,1262.749
62,ETG_CodeMarco,8,2,1,1,361.3431,0,4,0,2,112.612625,2,0,1432.24
63,ETG_forever,8,0,0,3,11.778314,0,2,0,0,0.0,0,1,1425.812
64,TMP_NIXZYEE,12,0,0,2,168.13446,0,0,0,0,0.0,1,0,1141.555
65,TMP_PiXeL1K,12,1,0,1,144.13538,0,2,0,1,121.311035,1,0,1149.88
66,TMP_Naylup,12,0,0,0,0.0,0,0,0,0,0.0,0,0,249.97
67,TMP_Wookiebookie,12,0,0,5,43.629745,0,10,0,0,0.0,0,0,1149.892
68,CRP_4ebyra6ka,10,0,0,0,0.0,0,0,0,0,0.0,0,0,88.73
69,CRP_Pashqez,10,1,0,3,161.86456,0,0,0,0,0.0,0,0,1046.332
70,CRP_xhype3,10,0,1,4,74.36395,0,0,0,0,0.0,1,0,1199.718
71,CRP_Priyl,10,2,0,4,235.15303,0,3,0,1,259.59866,0,0,1227.217
72,NLT_BatulinS,9,2,0,2,143.01044,1,1,0,2,31.929462,0,0,872.893
73,NLT_Perfect1ks,9,1,1,6,410.21817,0,5,0,1,344.3311,0,0,1220.897
74,NLT_Deep,9,2,0,4,274.42563,1,4,0,2,244.41412,0,0,1264.701
75,NLT_Myacho,9,1,0,0,0.0,0,0,0,0,0.0,0,1,56.479
76,NLT_spyrro,9,3,1,7,616.34283,0,1,0,3,379.72855,0,0,1225.96
77,RYE_udyRR,16,0,1,0,130.8,0,1,0,1,4.6101775,1,0,666.83
78,RYE_mOnKeY,16,0,1,1,70.0193,0,1,0,0,0.0,0,0,631.45
79,RYE_Znooper,16,0,0,0,0.0,0,0,0,0,0.0,0,0,127.671
80,RYE_Shiv,16,1,0,1,118.58,0,2,0,1,6.042583,0,0,666.84
81,RYE_ADOUZ1E,16,4,1,1,459.6193,0,3,0,1,45.31705,0,0,666.851
82,FaZe_Fuzzface,11,0,1,4,67.17162,0,2,0,0,0.0,0,0,987.891
83,FaZe_ubah,11,0,0,2,0.0,0,0,0,0,0.0,0,0,931.769
84,FaZe_Didz,11,1,0,0,0.0,0,0,0,0,0.0,0,1,67.371
85,FaZe_Aitzy,11,1,0,0,74.697784,0,0,0,0,0.0,0,0,895.282
86,FaZe_Gustav,11,0,0,1,92.200005,0,2,0,0,0.0,0,0,899.811
87,ENCE_Tiikzu,6,1,2,7,433.4261,0,11,0,1,11.864011,0,0,1421.871
88,ENCE_D1gg3r1,6,0,0,5,377.03214,1,4,0,3,542.4112,0,0,1298.12
89,ENCE_SENTEX,6,1,0,0,0.0,0,0,0,0,0.0,0,1,137.487
90,ENCE_SKUIJKE,6,1,1,5,7.540001,0,1,0,2,431.1921,0,0,1229.06
91,ENCE_Rustanmar,6,6,0,4,711.3428,3,1,0,8,76.32068,0,0,1390.31
92,OMK_ball1n,13,0,0,0,0.0,0,0,0,0,0.0,0,0,129.452
93,OMK_Vazku,13,3,1,3,262.8461,0,0,0,0,0.0,0,0,827.864
94,OMK_PaG3,13,0,0,1,24.067907,0,0,0,0,0.0,0,0,588.551
95,OMK_TeaBone,13,0,2,0,136.81898,0,0,0,1,374.48456,0,0,827.851
96,OMK_Jembty,13,0,0,0,0.0,0,0,0,0,0.0,0,0,469.814
97,DA_SIXMO,8,0,2,6,192.74757,0,5,0,1,48.641068,1,0,1312.976
98,DA_mert,8,0,1,1,27.6,0,0,0,0,0.0,0,0,829.299
99,DA_memo,8,1,1,4,178.00266,0,2,0,0,0.0,0,0,1312.953
100,DA_Mitraleius,8,1,1,5,143.74,0,2,0,1,22.95641,0,0,1312.966
101,TSM_vard,12,0,0,0,57.621147,0,1,0,0,0.0,0,0,560.82
102,TSM_MiracU,12,4,0,5,393.97482,1,3,0,4,44.450634,1,0,878.285
103,TSM_dohfOs,12,1,0,0,0.0,0,0,0,0,0.0,0,1,136.392
104,TSM_Iroh,12,0,0,1,21.15,0,0,0,0,0.0,1,0,571.498
105,TSM_Fexx,12,0,0,4,173.25143,0,1,0,0,0.0,0,0,878.273
106,ETG_Hueth,15,0,0,0,35.420002,0,0,0,0,0.0,0,0,304.531
107,ETG_Thenderlost,15,0,0,4,18.0,0,1,0,0,0.0,0,0,756.553
108,ETG_forever,15,0,0,2,0.0,0,1,0,0,0.0,0,0,654.498
109,ETG_CodeMarco,15,0,0,2,0.0,0,1,0,0,0.0,1,0,755.034
110,APKS_C4LVIN,10,0,0,2,58.085636,0,1,0,0,0.0,0,0,1208.204
111,APKS_intenZ,10,0,0,4,0.0,0,0,0,0,0.0,0,0,1208.19
112,APKS_ivel,10,1,0,6,71.7122,0,1,0,1,39.277058,0,0,1174.893
113,APKS_SIMSY,10,0,0,4,130.52397,0,1,0,0,0.0,0,0,1202.18
114,RL_MARV,7,0,0,1,28.062298,0,0,0,0,0.0,0,0,587.505
115,RL_mykLe,7,0,0,1,27.6,0,0,0,0,0.0,0,0,640.094
116,RL_FreeKill,7,0,0,4,111.3046,0,0,0,0,0.0,0,0,1324.544
117,RL_Momme,7,0,0,2,185.87517,0,2,0,0,0.0,0,0,1324.555
