,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,PINK_VampireGame,14,1,0,3,133.39,0,4,0,0,0.0,2,0,1185.894
1,PINK_GIRYA,14,0,1,1,135.40628,0,0,0,0,0.0,0,0,1185.884
2,PINK_AIMLUL,14,1,0,4,352.2208,0,4,0,1,65.44581,0,0,1173.429
3,PINK_Archi,14,0,0,1,108.896996,0,2,0,1,138.08757,0,0,1182.851
4,OMK_Vazku,6,1,3,4,261.9351,0,2,0,2,414.4491,0,0,1377.397
5,OMK_TeaBone,6,4,0,4,784.4488,1,15,0,5,343.8938,0,0,1543.847
6,OMK_Jembty,6,1,0,1,187.17343,1,1,0,2,297.37656,0,0,1138.959
7,OMK_PaG3,6,4,0,1,396.57495,0,0,0,4,38.139236,1,0,1374.422
8,NLT_Lu,1,1,2,2,438.6012,1,10,0,2,24.465874,0,0,1789.406
9,NLT_Perfect1ks,1,2,4,2,409.7623,0,2,0,1,199.20175,0,0,1789.406
10,NLT_BatulinS,1,2,0,5,446.95667,2,3,0,4,75.024185,1,0,1789.406
11,NLT_spyrro,1,3,1,2,681.2329,0,4,0,1,150.94084,0,0,1789.406
12,FaZe_Aitzy,7,0,1,4,257.66727,0,5,0,0,0.0,0,0,1459.617
13,FaZe_ubah,7,1,2,3,536.18115,0,4,0,0,0.0,0,0,1338.213
14,FaZe_Fuzzface,7,0,0,1,0.0,0,0,0,0,0.0,0,0,953.612
15,FaZe_Gustav,7,3,0,3,425.74692,2,1,0,4,234.95988,0,0,1433.733
16,BOIS_Sikora,15,0,0,3,0.0,0,1,0,0,0.0,0,0,1149.682
17,BOIS_NOOKIE,15,0,0,1,0.0,0,0,0,0,0.0,0,0,1052.942
18,BOIS_Mise,15,0,1,3,95.9554,0,2,0,0,0.0,0,0,1149.692
19,BOIS_Anonymous,15,0,0,1,97.979675,0,0,0,0,0.0,0,0,930.263
20,RL_ivas,11,2,1,6,323.25745,0,4,0,2,234.42488,0,0,1387.134
21,RL_Naylup,11,0,1,3,108.13269,0,3,0,0,0.0,1,0,1194.354
22,RL_MARV,11,0,1,4,192.41727,0,6,0,1,287.76483,0,0,1267.432
23,RL_Qbe,11,0,2,6,77.21274,0,5,0,0,0.0,1,0,1387.124
24,WS_OFSTRING,12,0,0,1,0.0,0,1,0,0,0.0,0,0,934.632
25,WS_TheWanderer,12,0,0,4,24.059576,0,3,0,0,0.0,0,0,1325.07
26,WS_Kemba7,12,1,0,1,87.0,0,1,0,0,0.0,0,0,1012.482
27,WS_Maxiz0r,12,0,0,0,124.6918,0,0,0,0,0.0,0,0,926.597
28,ETG_Thenderlost,4,2,2,6,433.52963,1,9,0,1,146.42213,0,0,1540.943
29,ETG_forever,4,1,0,3,121.0706,1,1,0,1,220.40793,1,0,1562.478
30,ETG_Hueth,4,1,0,6,190.16602,0,7,0,0,0.0,0,0,1598.469
31,ETG_Quetpa,4,0,2,4,170.59721,0,9,0,1,2.6065638,0,0,1607.467
32,TSM_Iroh,3,2,1,5,545.971,1,3,0,4,184.35486,0,0,1744.925
33,TSM_vard,3,1,0,4,294.1841,0,4,0,2,201.48276,1,0,1542.529
34,TSM_MiracU,3,2,0,4,390.34464,0,2,0,0,0.0,1,0,1744.93
35,TSM_Fexx,3,1,1,5,727.88165,0,2,0,2,154.1743,0,0,1720.925
36,DA_mert,2,2,0,0,107.75,0,0,0,1,11.522181,0,0,986.767
37,DA_Mitraleius,2,0,0,0,53.833797,0,0,0,0,0.0,0,0,981.786
38,DA_CodeMarco,2,0,0,3,147.90776,0,4,0,0,0.0,0,0,984.09
39,DA_Smash,2,1,3,5,249.48685,0,5,0,0,0.0,0,0,1789.273
40,TE_xmpl,5,0,0,5,353.1535,0,8,0,2,500.65277,0,0,1595.149
