,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,KFLR_Metebey,2,3,3,4,693.80334,0,3,1,3,189.36661,1,0,1891.0
1,KFLR_Nailqop13,2,3,2,2,807.2872,1,1,1,3,56.748028,1,0,1892.0
2,KFLR_Murfle,2,3,0,4,342.1234,1,3,2,3,34.724712,1,0,1088.0
3,KFLR_Z3R3F,2,1,1,5,182.16882,0,2,1,1,4.6079807,1,0,1863.0
4,SMB_LAHZA,4,1,1,4,245.64574,1,3,1,1,70.17333,0,0,1179.0
5,SMB_rip9,4,5,0,3,719.1615,1,3,2,3,31.61144,2,0,1756.0
6,SMB_Hueth,4,0,0,3,151.6778,0,2,1,1,52.725964,0,0,1181.0
7,SMB_Apocalyp,4,1,0,8,355.03723,1,4,2,2,82.17195,1,0,1756.0
8,DJR_Texaslae,8,0,0,6,75.23778,0,3,0,0,0.0,0,0,1209.0
9,DJR_Shiplest,8,3,0,5,426.08508,0,4,1,1,44.26242,2,0,1356.0
10,DJR_Jessie,8,1,1,3,102.0,0,0,0,0,0.0,0,0,1175.0
11,DJR_MuzluSoda,8,0,0,6,67.220505,0,0,0,0,0.0,0,0,1214.0
12,TyT_Saban38,10,1,0,3,310.8781,0,8,1,1,78.30104,1,0,1262.0
13,TyT_Blackliht,10,0,0,2,82.20453,0,0,0,0,0.0,0,0,988.0
14,TyT_doNinja,10,0,1,3,45.69593,0,2,0,0,0.0,0,0,1262.0
15,TyT_ShacharEZ,10,1,0,3,190.91455,0,0,0,0,0.0,0,0,958.0
16,KRG_Heycopp,14,0,0,2,0.0,0,0,0,0,0.0,0,0,917.0
17,KRG_ANamluda,14,0,0,2,0.0,0,0,0,0,0.0,0,0,917.0
18,ProG_SUSHII2K,11,0,0,0,0.0,0,0,0,0,0.0,0,0,446.0
19,ProG_ScreamZ,11,0,0,5,25.837141,0,7,0,0,0.0,0,0,1141.0
20,ProG_Nix0nzZ,11,2,0,3,363.04123,0,3,1,1,131.31172,0,0,1188.0
21,ProG_KoKa,11,1,0,5,205.47984,0,0,0,0,0.0,0,0,1188.0
22,XF_Msinik,9,0,1,4,138.00162,0,5,0,0,0.0,0,0,1170.0
23,XF_Voldemon,9,2,1,7,362.11728,1,7,1,2,81.25357,0,0,1296.0
24,XF_UNO,9,0,0,1,46.888966,0,0,0,0,0.0,0,0,952.0
25,XF_Weiss,9,3,1,8,386.7167,2,8,1,3,132.3009,1,0,1283.0
26,FB_20,1,2,0,4,322.00684,0,10,1,1,30.209517,0,0,1878.0
27,FB_Kalimdor,1,2,0,5,94.74831,0,4,2,2,70.130745,1,0,1892.494
28,FB_DogSRS,1,4,2,4,614.91754,2,8,1,2,170.64075,0,0,1892.494
29,FB_MockingJayFPS,1,0,1,4,202.6435,0,1,0,0,0.0,0,0,1892.494
30,IFG_Zidan,6,0,0,4,31.34313,0,3,0,0,0.0,1,0,1420.0
31,IFG_Jawad,6,0,0,5,0.0,0,4,0,0,0.0,1,0,1420.0
32,IFG_Skoocha,6,0,0,6,62.181,0,5,0,0,0.0,1,0,1420.0
33,SHN_LeBorke,12,0,0,1,95.81952,0,0,0,0,0.0,0,0,1166.0
34,SHN_Launes,12,0,0,1,46.893883,0,1,0,0,0.0,0,0,1123.0
35,SHN_Zeunproxy,12,1,0,1,263.6546,1,2,1,1,64.77245,0,0,1173.0
36,SHN_shishio,12,0,0,1,0.0,0,0,0,0,0.0,0,0,1125.0
37,ORG_onur,3,0,0,3,26.024218,0,1,1,1,30.814678,0,0,1347.0
38,ORG_Quetpa,3,1,2,4,175.1553,1,1,1,1,39.681255,0,0,1362.0
39,ORG_xLyron,3,3,0,4,243.81444,0,3,1,2,129.38203,0,0,1795.0
40,ORG_Thenderlost,3,3,0,7,488.73126,1,6,1,3,171.30377,0,0,1551.0
41,IW_CCINEXT,7,1,0,7,153.98553,0,2,1,1,78.42793,3,0,1309.0
42,IW_Globalarmy,7,2,1,10,163.43129,1,4,1,2,34.318844,0,0,1368.0
43,IW_buyukayi,7,0,0,3,24.0,0,4,0,0,0.0,1,0,1323.0
44,IW_Tarcus,7,0,0,3,28.937428,0,4,0,0,0.0,0,0,1043.0
45,RARE_odunmavisi,5,2,0,9,460.76447,0,3,1,3,176.08907,0,0,1683.0
46,RARE_shecreated,5,1,2,4,344.20444,1,2,1,1,170.12396,0,0,971.0
47,RARE_Ulseng,5,3,2,9,596.0008,2,6,1,4,103.32854,0,0,1683.0
48,RARE_IGluttony,5,2,0,4,210.62854,0,0,1,1,150.56827,0,0,970.0
49,CE_Qual1ty-,15,0,0,2,0.0,0,0,0,0,0.0,0,0,594.0
50,CE_H_Abdallah,15,0,0,1,0.0,0,0,0,0,0.0,0,0,598.0
51,CE_GuillaumeTail,15,0,0,2,0.0,0,0,0,0,0.0,0,0,598.0
52,AAA_CaitY,13,0,0,3,50.631348,0,6,0,0,0.0,0,0,1099.0
53,AAA_khaJu,13,1,0,1,155.12965,1,0,1,1,149.7475,0,0,1099.0
54,AAA_TouchsOfGod,13,1,0,0,100.0,0,0,1,1,24.14108,1,0,1008.0
55,AAA_Croscow,13,0,1,3,119.08326,0,1,0,0,0.0,0,0,1008.0
56,FB_MockingJayFPS,9,0,0,4,108.81905,0,7,0,0,0.0,0,0,1294.0
57,FB_20,9,0,0,2,47.910637,0,4,0,0,0.0,0,0,1081.0
58,FB_DogSRS,9,5,0,5,435.44382,2,9,2,3,285.10623,0,0,1400.0
59,FB_Kalimdor,9,0,0,3,0.0,0,5,0,0,0.0,1,0,1297.0
60,ORG_Thenderlost,16,0,0,0,0.0,0,0,0,0,0.0,0,0,389.0
61,ORG_onur,16,1,0,0,200.0,0,0,2,2,28.464832,0,0,662.0
62,ORG_Quetpa,16,1,0,1,169.51382,0,0,1,1,25.578743,0,0,662.0
63,ORG_xLyron,16,0,0,0,0.0,0,0,0,0,0.0,0,0,659.0
64,IW_Tarcus,12,0,1,3,75.6,0,2,0,0,0.0,0,0,995.0
65,IW_Globalarmy,12,2,4,9,483.60626,1,2,1,1,28.180716,0,0,1190.0
66,IW_CCINEXT,12,1,0,2,65.40001,1,7,2,2,70.25436,0,0,998.0
67,IW_buyukayi,12,0,0,5,57.21675,0,8,1,1,9.116613,1,0,1190.0
68,TyT_ShacharEZ,4,2,0,4,415.7214,0,6,2,2,77.0681,0,0,1825.0
69,TyT_doNinja,4,1,2,6,394.80115,0,21,1,1,52.768208,1,0,1825.0
70,TyT_Saban38,4,1,1,6,443.28482,0,10,0,0,0.0,0,0,1671.0
71,TyT_Blackliht,4,1,1,4,456.86523,0,3,1,3,548.14624,0,0,1825.0
72,KRG_Heycopp,8,0,0,4,79.09566,0,0,0,0,0.0,0,0,1427.0
73,KRG_BasH,8,0,0,0,0.0,0,0,0,0,0.0,0,0,908.0
74,KRG_ANamluda,8,0,0,4,30.20397,0,0,0,0,0.0,0,0,1427.0
75,DJR_MuzluSoda,10,0,0,3,84.48221,0,5,0,0,0.0,0,0,1305.0
76,DJR_Texaslae,10,1,0,3,154.05447,0,2,0,0,0.0,0,0,1216.0
77,DJR_Shiplest,10,1,0,2,243.56511,0,1,0,0,0.0,0,0,1269.0
78,DJR_Jessie,10,0,0,0,36.067787,0,0,0,0,0.0,1,0,1271.0
79,ProG_SUSHII2K,3,2,0,8,259.94574,1,8,1,2,64.48855,0,0,1878.0
80,ProG_ScreamZ,3,2,2,4,68.782036,0,2,1,2,224.3095,0,0,1411.0
81,ProG_Nix0nzZ,3,0,0,2,0.0,0,0,0,0,0.0,0,0,1117.0
82,ProG_KoKa,3,0,0,4,96.3443,0,3,0,0,0.0,3,0,1555.0
83,KFLR_Z3R3F,15,0,0,3,0.0,0,0,0,0,0.0,0,0,665.0
84,KFLR_Metebey,15,1,0,0,100.0,1,0,1,1,52.3719,0,0,665.0
85,KFLR_Murfle,15,0,0,0,100.0,0,0,1,1,21.513792,0,0,665.0
86,KFLR_Nailqop13,15,0,0,0,0.0,0,0,0,0,0.0,0,0,665.0
87,RARE_Ulseng,1,1,1,11,440.64825,0,4,0,0,0.0,0,0,1901.0
88,RARE_odunmavisi,1,2,5,7,589.64355,0,5,2,3,62.817787,1,0,1901.0
89,RARE_shecreated,1,12,2,11,1118.6897,1,4,3,7,151.09892,0,0,1901.0
90,RARE_IGluttony,1,2,1,6,454.27368,1,0,1,2,265.80548,1,0,1697.0
91,AAA_Croscow,7,0,1,3,169.69312,0,0,0,0,0.0,1,0,1593.0
92,AAA_khaJu,7,0,0,1,0.0,0,0,0,0,0.0,0,0,885.0
93,AAA_TouchsOfGod,7,0,0,5,343.1282,0,2,0,0,0.0,0,0,1593.0
94,AAA_CaitY,7,2,0,5,140.13055,0,5,1,1,13.623963,0,0,1593.0
95,ICY_ANT4R,13,0,0,3,143.75276,0,2,0,0,0.0,0,0,933.0
96,ICY_zWiSs,13,0,0,3,0.0,0,2,0,0,0.0,0,0,936.0
97,ICY_4BzZ,13,2,1,5,126.4,0,3,0,0,0.0,1,0,955.0
98,ICY_Rw,13,0,0,0,0.0,0,0,0,0,0.0,0,0,926.0
99,SHN_Zeunproxy,5,2,1,5,471.988,1,0,1,2,57.398247,0,0,1590.0
100,SHN_Launes,5,3,1,7,346.88043,0,3,1,3,352.3146,0,0,1674.0
101,SHN_shishio,5,0,0,2,22.35984,0,4,0,0,0.0,0,0,923.0
102,SHN_LeBorke,5,2,0,1,228.30646,0,4,1,2,27.496788,1,0,1674.0
103,SMB_rip9,2,0,0,3,191.68628,0,1,0,0,0.0,1,0,1901.0
104,SMB_Apocalyp,2,4,0,5,697.8437,3,1,3,5,125.196526,1,0,1871.0
105,SMB_LAHZA,2,1,0,11,419.25925,0,9,0,0,0.0,1,0,1884.0
106,SMB_Hueth,2,1,0,10,494.60297,0,8,1,1,42.773403,2,0,1901.0
107,XF_Weiss,6,0,0,4,26.4,0,1,0,0,0.0,0,0,1468.0
108,XF_Voldemon,6,0,0,5,77.222496,0,5,0,0,0.0,0,0,1612.0
109,XF_Msinik,6,2,0,1,345.63022,1,1,2,3,45.726074,1,0,1612.0
110,XF_UNO,6,0,0,3,106.55774,0,0,0,0,0.0,1,0,1612.0
111,CE_H_Abdallah,11,2,0,2,157.84286,0,0,1,1,436.63547,0,0,863.0
112,CE_Qual1ty-,11,2,0,6,292.1255,0,5,0,0,0.0,3,0,1227.0
113,CE_SPARTAcus,11,0,0,2,75.620026,0,14,0,0,0.0,0,0,1227.0
114,CE_GuillaumeTail,11,1,0,5,100.0,0,3,0,0,0.0,0,0,1219.0
115,IFG_Zidan,14,0,0,3,0.0,0,1,0,0,0.0,0,0,944.0
116,IFG_Jawad,14,3,0,3,363.3705,1,2,3,3,5.699245,0,0,944.0
117,IFG_Skoocha,14,0,0,2,26.4,0,0,0,0,0.0,0,0,944.0
118,SHN_shishio,16,0,0,0,28.38621,0,0,0,0,0.0,0,0,310.0
119,SHN_Launes,16,0,0,1,0.0,0,0,0,0,0.0,0,0,668.0
120,SHN_Zeunproxy,16,0,0,0,0.0,0,0,0,0,0.0,0,0,308.0
121,SHN_LeBorke,16,0,0,0,53.019997,0,0,0,0,0.0,0,0,668.0
122,IFG_Skoocha,13,1,0,3,217.79665,0,2,1,1,118.91437,0,0,1182.0
123,IFG_Jawad,13,0,1,1,111.57854,0,0,0,0,0.0,0,0,1170.0
124,IFG_Nightmare,13,1,0,8,159.51396,0,3,1,1,27.70676,0,0,1177.0
125,IFG_Zidan,13,1,0,2,18.0,0,0,0,0,0.0,1,0,1161.0
126,DJR_Jessie,4,1,2,6,256.3217,0,2,1,1,61.90744,0,0,1452.0
127,DJR_MuzluSoda,4,2,2,3,313.45288,1,1,1,1,20.669666,0,0,1461.0
128,DJR_Texaslae,4,3,0,6,627.5753,1,4,2,4,182.45255,0,0,1461.0
129,DJR_Shiplest,4,1,0,6,358.67166,1,4,1,2,75.75666,1,0,1449.0
130,ProG_SUSHII2K,11,1,0,0,161.2314,0,1,1,1,139.49796,0,0,987.0
