,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,CE_H_Abdallah,12,0,0,4,0.0,0,1,0,0,0.0,0,0,598
1,CE_HoBBitEz,12,2,0,5,172.95874,0,4,2,2,46.986263,0,0,1175
2,CE_sparta,12,1,1,6,188.63283,0,3,0,0,0.0,0,0,1240
3,CE_Lev4nte,12,2,2,2,284.08966,0,3,0,0,0.0,0,0,1190
4,GD_Kallerss,2,0,0,7,484.84213,0,2,1,2,461.05484,1,0,1756
5,GD_kicimusl4,2,1,1,3,293.63916,0,1,1,1,339.0494,1,0,1756
6,GD_Jessie,2,3,2,7,661.2063,1,0,1,2,287.58093,0,0,1727
7,GD_jinpyro,2,1,1,4,422.07562,0,8,1,1,9.898227,0,0,1756
8,LS_khaSoo,8,1,0,1,162.04,0,8,1,1,23.896885,0,0,1081
9,LS_CaitY,8,1,1,3,261.89163,0,9,1,1,131.30635,0,0,1431
10,LS_Jester,8,0,0,3,143.38225,0,2,0,0,0.0,1,0,1429
11,LS_soqettooo,8,0,0,3,102.34505,0,1,1,1,102.21363,0,0,1284
12,DA_shecreated,10,2,0,0,240.96855,0,0,1,1,13.494883,0,0,788
13,DA_Hueth,10,1,0,7,245.10297,1,6,1,1,15.605078,0,0,1355
14,DA_rup7ure,10,2,2,4,359.79852,0,11,2,3,58.26719,0,0,1360
15,LV_glebasta44,16,0,1,1,198.68361,0,0,0,0,0.0,0,0,1039
16,LV_Z33C,16,0,0,2,0.0,0,0,0,0,0.0,0,0,788
17,LV_K1LLER-B,16,1,0,2,140.86978,1,0,1,1,280.4666,0,0,1039
18,LV_Ufuk,16,1,0,3,17.843185,1,0,1,1,12.071007,0,0,888
19,GU_Gedrox,11,1,0,3,256.33398,0,3,2,2,136.6194,0,0,1291
20,GU_Gen-Z-,11,0,0,2,0.0,0,1,0,0,0.0,0,0,1164
21,GU_imSancho,11,1,0,2,185.04166,0,0,0,0,0.0,0,0,1093
22,GU_7SHR,11,0,0,0,62.68337,0,0,0,0,0.0,0,0,1154
23,RA_Hawaii_Five-0,6,1,0,4,95.74985,0,6,0,0,0.0,0,0,905
24,RA_MR-YAZIN,6,0,0,2,0.0,0,1,0,0,0.0,0,0,686
25,RA_Thba790-tv,6,0,0,7,83.44417,0,3,0,0,0.0,0,0,1470
26,RA_Niko_tv,6,0,0,4,51.66,0,8,0,0,0.0,0,0,929
27,XF_Msinik,7,1,0,3,151.9174,0,3,0,0,0.0,1,0,1440
28,XF_Globalarmy,7,1,0,6,48.36898,0,2,1,1,60.492657,0,0,1388
29,XF_Voldemon,7,0,1,3,129.63983,0,0,0,0,0.0,0,0,1069
30,XF_Tarcus,7,0,0,7,117.57936,0,5,0,0,0.0,1,0,1383
31,GR_MOCK,9,0,0,2,0.0,0,0,0,0,0.0,0,0,834
32,GR_Nitoets,9,0,0,4,28.416899,0,4,1,1,355.46164,0,0,1321
33,GR_KALIM,9,0,0,5,101.596924,0,3,0,0,0.0,0,0,1309
34,GR_Noxy,9,0,0,6,182.02266,0,0,0,0,0.0,0,0,1380
35,TR_LAHZA,1,3,2,3,477.85968,0,3,1,3,247.31476,0,0,1756
36,TR_Mitraleius,1,2,1,3,388.07632,0,0,2,4,444.4982,0,0,1756
37,TR_mert,1,7,2,2,778.5221,1,3,1,5,206.8399,0,0,1756
38,TR_scof1eld,1,0,1,5,202.8106,0,4,0,0,0.0,0,0,1756
39,KGE_DEPPYZIX,3,2,2,2,309.21466,1,1,1,1,6.984419,0,0,1131
40,KGE_Fancy,3,4,0,8,407.0095,1,6,2,6,268.63626,1,0,1613
41,KGE_GlodeX,3,1,4,5,468.37476,0,4,1,1,276.80215,0,0,1675
42,KGE_xGrift,3,0,1,3,46.752094,0,7,0,0,0.0,0,0,1138
43,NG_woexy,13,0,0,3,16.666727,0,0,0,0,0.0,0,0,1151
44,NG_Juenzy,13,0,0,3,64.63217,0,0,0,0,0.0,1,0,1164
45,NG_andRe,13,1,1,6,191.69652,0,6,0,0,0.0,0,0,1165
46,NG_kguz9,13,1,0,4,194.73088,0,1,2,2,27.093956,0,0,1148
47,OM_Sayeed,5,0,0,2,117.50009,0,0,0,0,0.0,0,0,1445
48,OM_sniper,5,1,0,3,357.73438,0,8,1,1,28.996233,1,0,1466
49,OM_La3inN,5,0,1,5,41.59073,0,3,0,0,0.0,0,0,1415
50,OM_MaFiaa,5,1,0,6,78.46009,0,5,1,1,133.27663,2,0,1476
51,ASHI_HellBoy,14,1,2,6,308.03928,0,6,1,1,12.931232,0,0,1085
52,ASHI_ArKoN,14,0,0,3,0.0,0,2,0,0,0.0,0,0,953
53,ASHI_ABOU_LMEW,14,3,1,4,325.95154,1,4,1,2,59.656963,0,0,1114
54,ASHI_YourDad,14,0,0,3,0.0,0,1,0,0,0.0,0,0,916
55,T9_GIRYA,15,0,0,3,28.58035,0,2,0,0,0.0,0,0,1101
56,T9_ZorF,15,0,0,4,28.57401,0,1,0,0,0.0,0,0,1101
57,T9_KAW4NZz,15,0,0,1,0.0,0,0,0,0,0.0,0,0,1078
