,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,THUN_HIBAKO,16,0,0,0,0.0,0,0,0,0,0.0,0,0,104
1,THUN_Myca,16,0,0,3,0.0,0,0,0,0,0.0,0,0,688
2,THUN_H1RUZEN,16,0,0,0,26.640001,0,0,0,0,0.0,0,0,100
3,4DOG_Ripp3r,4,0,0,0,0.0,0,0,0,0,0.0,0,0,1165
4,4DOG_Doid,4,2,0,4,521.31866,2,3,2,3,254.44524,0,0,1343
5,4DOG_J4M,4,1,0,0,189.38257,0,2,1,1,344.41904,0,0,1183
6,4DOG_Duff,4,0,0,3,170.63026,0,4,1,1,105.32355,0,0,1604
7,BSTN_Flamyy,12,0,0,3,107.508896,0,5,0,0,0.0,1,0,1104
8,BSTN_Hjort,12,0,0,0,22.088015,0,0,0,0,0.0,0,0,850
9,BSTN_Keano,12,1,0,1,100.0,1,1,1,1,87.01075,1,0,1104
10,BSTN_Herkii,12,0,0,2,100.0,0,1,1,1,79.0931,0,0,1104
11,MF4_dogz3R,5,1,1,5,108.66997,0,1,1,1,191.7318,0,0,1511
12,MF4_Vorix,5,0,0,5,72.4635,0,2,0,0,0.0,0,0,1504
13,MF4_VampireGame,5,1,0,4,142.52985,0,12,0,0,0.0,0,0,1511
14,MF4_Kemba7,5,1,0,3,329.45404,0,4,1,1,198.96777,0,0,1511
15,NNY_Toundo,13,1,1,1,107.96828,0,0,1,1,10.179142,0,0,973
16,NNY_mOnKeY,13,0,1,5,272.3635,0,1,0,0,0.0,0,0,1074
17,NNY_pHILOU,13,2,1,3,175.32928,1,3,1,2,290.97266,0,0,1074
18,NNY_Shiv,13,1,0,3,70.43529,0,2,1,1,89.37953,0,0,960
19,DV_IllidanSR,8,0,0,0,0.0,0,0,0,0,0.0,0,0,256
20,DV_s4har,8,0,0,2,110.26555,0,1,0,0,0.0,0,0,1167
21,DV_alpenGod,8,2,0,2,217.35535,0,1,0,0,0.0,0,0,1279
22,DV_NordSkif,8,0,0,2,184.25883,0,2,0,0,0.0,0,0,1279
23,WT_poro600500,14,0,0,2,0.0,0,1,0,0,0.0,0,0,822
24,WT_Squeye,14,0,0,2,51.660004,0,1,0,0,0.0,0,0,1031
25,WT_Sanni,14,0,0,1,0.0,0,0,0,0,0.0,0,0,809
26,EP_FreeKill,3,2,1,5,382.33926,0,3,1,1,26.61601,1,0,1705
27,EP_dedrix,3,1,1,5,326.1045,0,1,2,2,21.301498,1,0,1676
28,EP_jANYY,3,1,1,11,503.1458,0,4,0,0,0.0,0,0,1705
29,EP_Grendys,3,2,1,5,381.4052,0,3,1,1,11.303339,0,0,1705
30,MSF_DaniloP,9,1,0,3,162.55351,0,1,1,1,140.67645,0,0,1266
31,MSF_dul1k,9,3,3,0,238.29031,0,1,1,1,262.51498,0,0,1254
32,MSF_zembery,9,2,1,1,199.59042,0,0,1,1,69.725945,0,0,1240
33,ALLS_Killstill,15,1,0,0,117.0836,0,0,1,1,37.343266,0,0,885
34,ALLS_SHROWWWWWWW,15,0,0,1,24.42825,0,0,0,0,0.0,0,0,885
35,ALLS_seba,15,0,0,0,18.449087,0,1,0,0,0.0,0,0,625
36,ALLS_UUUUUUUU1X,15,0,0,0,0.0,0,0,0,0,0.0,0,0,466
37,HOG_S1Ny,6,1,1,3,33.088623,0,1,1,1,223.39125,0,0,1492
38,HOG_karxx,6,2,2,4,330.89502,1,3,1,2,126.078255,1,0,1438
39,HOG_Godrillaa,6,1,2,3,115.46781,0,1,1,1,255.61948,0,0,1428
40,HOG_Momme,6,1,1,5,115.24595,0,1,1,1,31.528677,0,0,1489
41,WHO_braex,10,0,1,0,172.47667,0,1,0,0,0.0,0,0,972
42,WHO_KILYAKAi,10,0,1,0,139.13461,0,1,0,0,0.0,0,0,973
43,WHO_MarcoOPz,10,2,0,5,273.83762,0,14,2,3,58.731148,0,0,1245
44,WHO_ItzzChrizZ,10,3,0,4,177.62526,0,3,1,3,125.6256,0,0,946
45,SZ_HIMAN,1,2,4,6,741.94574,0,6,2,2,36.773243,0,0,1769
46,SZ_TekkerZ,1,2,2,9,266.62674,0,16,2,4,382.27298,1,0,1674
47,SZ_Salty,1,6,0,2,502.18576,1,3,2,7,442.62234,1,0,1769
48,GM_EKR1S,11,0,0,5,23.526096,0,1,0,0,0.0,0,0,1156
49,GM_BLZS,11,0,0,4,20.476183,0,3,0,0,0.0,1,0,1138
50,GM_royjG,11,0,0,2,59.346344,0,2,0,0,0.0,0,0,1128
51,GM_Xrepz,11,0,0,1,0.0,0,0,0,0,0.0,0,0,508
52,PP_Marcelek,7,1,0,4,212.48027,0,8,1,1,5.24108,0,0,1233
53,PP_Krunio,7,1,1,8,345.14392,0,7,1,1,42.468624,0,0,1357
54,PP_K4pii,7,1,0,3,362.48074,0,6,1,1,3.9510467,0,0,1234
55,PP_KnorkiS,7,0,0,2,23.146297,0,0,1,1,49.449623,0,0,926
56,AF_PaiinZ,2,1,0,6,207.95236,0,3,2,2,24.732162,0,0,1556
57,AF_gargi,2,1,2,10,552.6387,0,5,1,1,420.89978,1,0,1769
58,AF_Zoccer,2,1,2,3,165.93575,0,2,1,1,20.37741,2,0,1769
59,AF_marb0,2,0,0,8,290.00284,0,0,0,0,0.0,0,0,1769
60,ALLS_Killstill,10,0,0,0,0.0,0,0,0,0,0.0,0,0,329
61,ALLS_SHROWWWWWWW,10,0,0,2,225.01797,0,3,0,0,0.0,0,0,1143
62,ALLS_UUUUUUUU1X,10,1,0,4,119.48002,0,1,1,1,63.3938,0,0,1258
63,ALLS_seba,10,0,0,3,176.99408,0,6,0,0,0.0,0,0,1258
64,WT_Sanni,5,0,0,5,80.61853,0,2,0,0,0.0,0,0,1274
65,WT_Squeye,5,2,0,5,224.27448,0,3,1,2,298.36877,0,0,1474
66,WT_poro600500,5,1,0,2,80.413956,0,0,1,1,192.62947,1,0,1270
67,WT_Serphi,5,0,0,2,38.280346,0,13,0,0,0.0,0,0,1285
68,PP_Marcelek,13,0,0,0,0.0,0,1,0,0,0.0,0,0,357
69,PP_KnorkiS,13,1,0,3,61.52486,0,1,0,0,0.0,0,0,1116
70,PP_Krunio,13,0,0,1,0.0,0,0,0,0,0.0,0,0,679
71,PP_K4pii,13,1,0,3,143.02763,0,2,1,1,69.44533,1,0,1150
72,SZ_HIMAN,1,0,3,6,386.5097,1,2,1,2,372.84473,0,0,1863
73,SZ_NIXZYEE,1,4,0,6,719.45386,0,6,1,5,287.91577,0,0,1863
74,SZ_Salty,1,1,5,2,493.63867,0,0,0,0,0.0,1,0,1824
75,SZ_TekkerZ,1,1,2,1,365.3148,1,2,1,1,127.73961,0,0,1694
76,NNY_mOnKeY,3,2,1,4,278.19247,1,6,1,1,8.5460615,0,0,1694
77,NNY_Toundo,3,1,1,1,252.90605,1,1,1,1,46.9369,0,0,1368
78,NNY_Shiv,3,3,2,3,314.67978,1,2,2,2,58.14197,0,0,1381
79,NNY_pHILOU,3,0,0,1,201.87482,0,0,0,0,0.0,0,0,1380
80,4DOG_Ripp3r,9,1,2,2,315.4492,2,4,2,2,36.4398,1,0,1183
81,4DOG_Doid,9,0,2,1,194.61386,0,4,1,1,17.766052,0,0,1279
82,4DOG_J4M,9,0,1,3,248.44339,0,6,0,0,0.0,1,0,1176
83,4DOG_Duff,9,6,1,3,695.9956,3,4,3,6,136.42262,0,0,1290
84,DV_alpenGod,6,1,1,2,188.30605,0,12,1,1,50.16621,0,0,1363
85,DV_s4har,6,0,1,6,151.87,0,11,1,2,100.76364,1,0,1458
86,DV_NordSkif,6,5,1,6,546.51135,2,9,1,3,69.3151,0,0,1384
87,DV_IllidanSR,6,0,0,4,0.0,0,1,0,0,0.0,0,0,948
88,HOG_Godrillaa,8,1,0,3,314.33902,0,4,0,0,0.0,0,0,1339
89,HOG_karxx,8,0,0,3,31.611916,0,0,0,0,0.0,0,0,1045
90,HOG_S1Ny,8,0,0,3,23.369999,0,1,0,0,0.0,1,0,1339
91,HOG_Momme,8,0,0,5,70.0385,0,3,1,1,275.0215,0,0,1265
92,THUN_Myca,4,0,0,5,332.20575,0,6,0,0,0.0,0,0,1659
93,THUN_H1RUZEN,4,1,0,3,74.876724,0,6,1,2,301.53723,0,0,1413
94,THUN_Double,4,0,0,3,118.78379,0,5,0,0,0.0,0,0,1654
95,THUN_HIBAKO,4,0,0,4,106.04997,0,3,0,0,0.0,0,0,1423
96,EP_jANYY,15,0,0,3,67.846634,0,0,0,0,0.0,0,0,1018
97,EP_dedrix,15,2,0,1,354.35437,0,1,0,0,0.0,0,0,1018
98,EP_FreeKill,15,0,0,3,60.768055,0,1,0,0,0.0,0,0,1018
99,EP_Grendys,15,0,0,0,51.660004,0,0,0,0,0.0,0,0,1008
100,GM_Xrepz,11,2,3,3,337.56042,1,1,1,2,147.04247,1,0,1242
101,GM_EKR1S,11,0,0,4,63.39549,0,2,0,0,0.0,0,0,1140
102,GM_royjG,11,0,0,2,96.10948,0,3,0,0,0.0,0,0,1154
103,GM_BLZS,11,2,1,4,93.85012,1,2,2,2,54.893673,0,0,1242
104,MSF_zembery,12,0,0,2,274.82245,0,0,0,0,0.0,0,0,1220
105,MSF_DaniloP,12,0,0,5,83.85213,0,2,0,0,0.0,0,0,1220
