,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,REC_Haxete,2,0,0,1,34.47507,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1071.099,0.0,0.0
1,REC_Raphyyy,2,1,0,4,214.663651,0,6,0.0,0.0,1,2,0.0,0.0,56.4181671,0.0,0.0,0,0,1857.366,0.0,0.0
2,REC_Scoom,2,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1082.826,0.0,0.0
3,REC_Shiv,2,6,0,3,709.55365,2,2,0.0,0.0,2,5,0.0,0.0,53.265316,0.0,0.0,1,0,1879.339,0.0,0.0
4,Twitch_Loggybuff,14,1,0,3,39.37,0,1,0.0,0.0,1,1,0.0,0.0,26.4692364,0.0,0.0,1,0,1134.233,0.0,0.0
5,Apocalyp,14,0,0,1,0.0,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1013.923,0.0,0.0
6,LAHZA,14,0,1,3,203.519409,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1095.925,0.0,0.0
7,Mitraleius,14,0,0,2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,786.194,0.0,0.0
8,0nuqtive,11,2,0,1,222.8617,1,1,0.0,0.0,1,1,0.0,0.0,195.287033,0.0,0.0,0,0,1380.453,0.0,0.0
9,azverin_,11,2,0,0,170.893341,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1374.166,0.0,0.0
10,SnoopykX,11,0,0,9,134.6127,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1486.626,0.0,0.0
11,Maxiz0r,11,2,0,2,370.142639,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1437.409,0.0,0.0
