,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_eu-pfl21_01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0.244
1,es_eu-pfl21_01,1,0,0,0,100.0,0,0,1,1,6.2040696,0,0,324.666
2,bme_observer2,2,0,0,0,61.6,0,0,0,0,0.0,0,0,324.547
3,TC_Vazku,9,1,1,2,502.82843,0,0,1,1,284.06412,1,0,1289.904
4,TC_PurdyKurty,9,3,1,6,536.8961,0,10,2,3,50.839867,0,0,1367.145
5,TC_NHS,9,1,3,6,282.09897,0,6,0,0,0.0,0,1,1295.019
6,TC_rhyp,9,0,0,0,0.0,0,0,0,0,0.0,0,0,372.222
7,DISK_Nixtys,16,1,0,1,100.00001,0,0,0,0,0.0,0,0,799.186
8,DISK_Jembty,16,1,1,1,159.91586,0,3,1,1,10.948164,0,0,955.141
9,DISK_Kompot,16,2,1,3,238.81053,0,3,1,1,26.675005,0,0,944.716
10,SKD_Anonymous,7,0,0,2,98.46857,0,1,0,0,0.0,0,0,1317.206
11,Sikora,7,0,0,5,253.22977,0,4,0,0,0.0,1,0,1428.3
12,SKD_Mise,7,1,0,1,239.04114,0,0,1,1,98.14184,0,0,1324.645
13,SKD_NOOKIE,7,0,0,4,139.99991,0,2,0,0,0.0,0,0,1276.852
14,ATC_itsZeiko,4,0,0,2,0.0,0,8,0,0,0.0,0,0,1549.232
15,ATC_Momme,4,2,2,3,633.47156,1,1,1,2,226.11447,0,0,1648.881
16,ATC_Marcelek,4,1,0,5,357.71362,1,1,1,3,120.17501,0,0,1599.387
17,ATC_marv,4,1,0,5,360.53552,0,9,1,1,144.30421,0,0,1648.879
18,TMP_PiXeL1K,2,4,2,7,485.30725,1,9,1,4,217.56252,0,0,1681.91
19,TMP_Wookiebookie,2,0,0,3,26.6,0,1,0,0,0.0,0,0,874.19
20,TMP_Himan,2,1,1,6,606.11145,1,7,2,4,247.01154,0,0,1497.401
21,TMP_TomiL,2,2,2,5,202.63121,0,6,1,2,110.20012,0,0,1681.908
22,WT_Serphi,5,1,0,3,100.0,0,7,1,1,152.64368,0,0,1289.658
23,WT_ydi,5,0,1,8,234.56735,0,3,1,1,29.061901,0,0,1547.658
24,WT_poro600500,5,1,0,1,82.77459,0,0,1,1,102.170654,0,0,1289.662
25,WT_Squeye,5,1,1,2,100.0,0,1,1,1,108.58552,0,0,1056.215
